Time,Block,NR/2023/16437/F,NR/2023/13242/A,NR/2023/15770/A,NR/2023/13383/A,NR/2023/13385/A,NR/2023/13254/A,NR/2023/16844/D,NR/2023/13148/A,NR/2023/13636/A,NR/2023/13253/A,NR/2023/13908/A,NR/2023/16073/A,NR/2023/16893/D,NR/2023/16520/F,NR/2023/13165/A,NR/2023/16905/C,NR/2023/16843/D,NR/2023/16908/C,NR/2023/13519/A,NR/2023/16724/F,NR/2023/13376/A,NR/2023/13150/A,NR/2023/16291/F,NR/2023/16291/F/II,NR/2023/16185/A,NR/2023/16077/A,NR/2023/16191/A,NR/2023/13387/A,NR/2023/16892/D,NR/2023/16890/D,ER/2023/10705/C,Total
72,17:45-18:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,0.000000,19.160000,48.340000,175.050000,24.170000,17.400000,0.000000,22.230000,8.070000,67.670000,9.600000,0.000000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0.15,2.000000,1222.91

73,18:00-18:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,0.000000,22.230000,10.090000,67.670000,9.780000,0.000000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1219.86

74,18:15-18:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,0.000000,22.230000,10.090000,67.670000,9.780000,0.000000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1219.86

75,18:30-18:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,0.000000,22.230000,10.090000,67.670000,9.780000,0.000000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1219.86

76,18:45-19:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,0.000000,22.230000,10.090000,67.670000,9.780000,0.000000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1219.86

77,19:00-19:15,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,48.340000,22.230000,10.090000,67.670000,9.870000,0.000000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1268.29

78,19:15-19:30,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,48.340000,22.230000,10.090000,67.670000,9.870000,0.000000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1268.29

79,19:30-19:45,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,48.340000,22.230000,10.090000,67.670000,9.870000,0.000000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1268.29

80,19:45-20:00,148.040000,0.000000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,48.340000,22.230000,10.090000,67.670000,9.870000,0.000000,193.340000,20.300000,63.030000,0.000000,0.820000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1268.29

81,20:00-20:15,148.040000,29.580000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,10.090000,67.670000,9.970000,0.000000,193.340000,20.300000,63.030000,0.000000,0.770000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1288.25

82,20:15-20:30,148.040000,29.580000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,10.090000,67.670000,9.970000,0.000000,193.340000,20.300000,63.030000,0.000000,0.770000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1288.25

83,20:30-20:45,148.040000,29.580000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,10.090000,67.670000,9.970000,0.000000,193.340000,20.300000,63.030000,0.000000,0.770000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1288.25

84,20:45-21:00,148.040000,29.580000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,10.090000,67.670000,9.970000,0.000000,193.340000,20.300000,63.030000,0.000000,0.770000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1288.25

85,21:00-21:15,148.040000,29.580000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,10.090000,67.670000,9.970000,58.430000,193.340000,20.300000,63.030000,0.000000,0.770000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1346.68

86,21:15-21:30,148.040000,29.580000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,10.090000,67.670000,9.970000,58.430000,193.340000,20.300000,63.030000,0.000000,0.770000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1346.68

87,21:30-21:45,148.040000,29.580000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,10.090000,67.670000,9.970000,58.430000,193.340000,20.300000,63.030000,0.000000,0.770000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1346.68

88,21:45-22:00,148.040000,29.580000,29.000000,0.000000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,10.090000,67.670000,9.970000,58.430000,193.340000,20.300000,63.030000,0.000000,0.770000,77.340000,0.000000,142.100000,100.050000,0.000000,0,2.000000,1346.68

89,22:00-22:15,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,7.070000,67.670000,9.870000,58.430000,193.340000,20.300000,63.030000,0.000000,0.770000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1497.26

90,22:15-22:30,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,7.070000,67.670000,9.870000,58.430000,193.340000,20.300000,63.030000,0.000000,0.770000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1497.26

91,22:30-22:45,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,7.070000,67.670000,9.870000,58.430000,193.340000,20.300000,63.030000,0.000000,0.770000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1497.26

92,22:45-23:00,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,7.070000,67.670000,9.870000,58.430000,193.340000,20.300000,63.030000,0.000000,0.770000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1497.26

93,23:00-23:15,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,5.050000,67.670000,9.780000,58.430000,185.270000,20.300000,63.030000,0.000000,0.770000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1487.08

94,23:15-23:30,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,5.050000,67.670000,9.780000,58.430000,185.270000,20.300000,63.030000,0.000000,0.770000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1487.08

95,23:30-23:45,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,5.050000,67.670000,9.780000,58.430000,185.270000,20.300000,63.030000,0.000000,0.770000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1487.08

96,23:45-24:00,148.040000,29.580000,29.000000,46.110000,30.610000,19.610000,4.830000,36.470000,19.160000,48.340000,175.050000,0.000000,0.000000,38.670000,22.230000,5.050000,67.670000,9.780000,58.430000,185.270000,20.300000,63.030000,0.000000,0.770000,77.340000,107.590000,142.100000,100.050000,0.000000,0,2.000000,1487.08

