Column1,Block,NR/30092023/31122025/SH-07,GNA/NR/2025/09/01/5590,GNA/NR/2025/09/01/7205,GNA/NR/2025/09/01/2909,GNA/NR/2025/09/01/5084,GNA/NR/2025/09/01/4314,GNA/NR/2025/09/01/6485,NR/30092023/26122029/SH-06,GNA/NR/2025/09/01/7215,GNA/NR/2025/09/01/7452,GNA/NR/2025/09/01/2039,GNA/NR/2025/09/01/4602,GNA/NR/2025/09/01/9239,GNA/NR/2025/09/01/8071,GNA/NR/2025/09/01/9418,NR/2025/34682/A/102391,NR/2025/34712/A/102144,NR/2025/34681/A/102396,NR/2025/34683/A/102386,NR/2025/34713/A/102142,NR/2025/34681/A/102399,NR/2025/34683/A/102387,NR/2025/34682/A/102390,NR/2025/34710/A/102145,NR/2025/34615/A/102118,GNARE/NR/2024/12/20/3668,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/09/01/7691,GNA/NR/2025/09/01/6755,NR/2025/29992/A/102343,NR/2025/34527/A/102442,NR/2025/34853/A/102131,NR/2025/33476/A/102432,NR/2025/33479/A/102433,NR/2025/34822/A/102094,NR/2025/29440/A/101971,NR/2025/34323/A/102565,NR/2025/34528/A/102439,NR/2025/34529/A/102443,NR/2025/34545/A/102544,NR/2025/33226/A/102466,NR/2025/34676/A/102463,NR/2025/34324/A/102564,NR/2025/34325/A/102550,NR/2025/34499/A/102134,NR/2025/29910/A/102573,Total
65,16:00-16:15,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0.77,0,0.07,0.15,0,0.67,0.96,0.1,0,102,64.37,0,0,0,44.33,61.44,0,0,0,13.49,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,31.97,1069.1299999999999

66,16:15-16:30,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0.77,0,0.07,0.15,0,0.67,0.96,0.1,0,91,58.9,0,0,0,44.33,61.44,0,0,0,13.49,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,31.97,1052.6599999999999

67,16:30-16:45,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0.77,0,0.07,0.15,0,0.67,0.96,0.1,0,81,53.91,0,0,0,44.33,61.44,0,0,0,13.49,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,31.97,1037.6699999999998

68,16:45-17:00,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0.77,0,0.07,0.15,0,0.67,0.96,0.1,0,70,48.7,0,0,0,44.33,61.44,0,0,0,13.49,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,31.97,1021.4599999999998

69,17:00-17:15,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0.43,0,0.08,0.18,0,0.38,0.54,0.11,0,60,43.76,0,0,0,44.33,61.44,0,0,0,13.49,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,31.97,1005.5199999999999

70,17:15-17:30,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0,0,0.1,0.25,0,0,0,0.14,0,49,38.28,0,0,0,44.33,61.44,0,0,0,13.49,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,31.97,987.8099999999998

71,17:30-17:45,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0,0,0.15,0.38,0,0,0,0.23,0,39,32.51,0,0,0,44.33,61.44,0,0,0,13.49,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,31.97,972.3099999999998

72,17:45-18:00,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,15.27,20.48,0,28.98,28.67,19.27,0,0,0.19,0.48,0,0,0,0.29,0,28,25.71,0,0,0,44.33,61.44,0,0,0,13.49,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,31.97,954.7099999999998

73,18:00-18:15,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0.17,0.43,0,0,0,0.26,0,18,18.97,0,0,0,44.33,61.44,0,0,0,13.49,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,31.97,903.3299999999998

74,18:15-18:30,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0.11,0.26,0,0,0,0.15,0,11,12.27,0,0,0,44.33,61.44,0,0,0,13.49,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,31.97,889.2899999999998

75,18:30-18:45,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0.06,0.14,0,0,0,0.09,0,7,6.92,0,0,0,44.33,61.44,0,0,0,13.49,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,895.9199999999997

76,18:45-19:00,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0.01,0.01,0,0,0,0.01,0,4,1.85,0,0,0,44.33,61.44,0,0,0,13.49,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,887.5899999999998

77,19:00-19:15,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,1,0.52,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,888.0999999999998

78,19:15-19:30,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,886.5799999999998

79,19:30-19:45,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,886.5799999999998

80,19:45-20:00,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,886.5799999999998

81,20:00-20:15,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,886.5799999999998

82,20:15-20:30,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,886.5799999999998

83,20:30-20:45,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,886.5799999999998

84,20:45-21:00,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,886.5799999999998

85,21:00-21:15,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,886.5799999999998

86,21:15-21:30,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,886.5799999999998

87,21:30-21:45,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,886.5799999999998

88,21:45-22:00,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,886.5799999999998

89,22:00-22:15,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,886.5799999999998

90,22:15-22:30,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,13.49,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,48.18,886.5799999999998

91,22:30-22:45,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,192.74,1030.1799999999998

92,22:45-23:00,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.92,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,192.74,1030.1799999999998

93,23:00-23:15,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,192.74,1030.1299999999997

94,23:15-23:30,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,192.74,1030.1299999999997

95,23:30-23:45,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,192.74,1030.1299999999997

96,23:45-24:00,0,36.86,14.6,20.48,0,20.48,20.48,0,12.29,0,20.48,0,28.98,28.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.33,61.44,4.82,0,0,12.53,0.87,43.8,40.96,81.91,40.96,48.18,48.18,43.8,39.42,122.87,192.74,1030.1299999999997

