Column1,Block,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7663,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/2868,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/27356/A/81053,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/80654,NR/2025/26860/A/81085,NR/2025/26861/A/81188,NR/2025/27167/A/80826,NR/2025/27725/A/81243,NR/2025/27728/A/81241,NR/2025/27726/A/81242,NR/2025/27187/A/81246,NR/2025/27185/A/81247,NR/2025/26777/A/80703,NR/2025/28849/A/81048,NR/2025/28993/C,NR/2025/29159/C,NR/2025/27506/A/80658,NR/2025/26571/A/81190,NR/2025/27168/A/80828,NR/2025/26975/A/81249,NR/2025/26952/A/80632,NR/2025/26785/A/80602,NR/2025/28851/A/81050,NR/2025/27500/A/80659,NR/2025/27088/A/81123,NR/2025/27100/A/81097,NR/2025/26889/A/81116,NR/2025/27162/A/81248,NR/2025/27499/A/81115,NR/2025/26562/A/81194,NR/2025/27281/A/81226,NR/2025/27727/A/81240,NR/2025/27157/A/80728,NR/2025/27242/A/81080,NR/2025/28719/A/80753,NR/2025/29116/C,NR/2025/26565/A/81193,NR/2025/27782/A/81239,NR/2025/26566/A/81192,NR/2025/26085/A/80613,NR/2025/26445/A/81131,NR/2025/26572/A/81189,NR/2025/29137/C,NR/2025/29133/C,NR/2025/29067/C,NR/2025/29135/C,NR/2025/29126/C,NR/2025/29100/C,NR/2025/29134/C,NR/2025/29101/C,NR/2025/29127/C,NR/2025/29102/C,NR/2025/29128/C,NR/2025/29143/C,NR/2025/29066/C,NR/2025/29132/C,NR/2025/29106/C,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/9719,NR/2025/29125/C,GNA/NR/2025/06/01/7782,NR/2025/29124/C,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/5280,NR/2025/29009/C,GNA/NR/2025/06/16/8791,Total
35,08:30-08:45,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,17.41,18.15,53,36.36,4.87,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,0,0,1.93,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,43.97,0,48.37,10.64,0,0,14.66,0,0.97,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,135.44,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2038.71

36,08:45-09:00,48.37,24.18,193.48,19.35,24.18,48.37,26.75,26.75,17.41,18.15,60,41.87,5.48,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,0,0,1.93,1.93,0,24.18,5.8,0,0,0,7.74,192.86,0,0,56.05,0,145.11,24.91,43.97,0,48.37,10.64,0,0,14.66,0,0.97,31.17,0,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,135.44,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2051.8300000000004

37,09:00-09:15,48.37,24.18,193.48,19.35,24.18,48.37,26.8,26.8,17.41,17.96,70,51.92,6.07,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,10.64,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,0,29.02,135.44,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2120.42

38,09:15-09:30,48.37,24.18,193.48,19.35,24.18,48.37,26.8,26.8,17.41,17.96,77,56.5,6.65,0,0,24.18,0,0,0,0,0,0,0,24.91,0.97,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,0,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2190.63

39,09:30-09:45,48.37,24.18,193.48,19.35,24.18,48.37,26.8,26.8,17.41,17.96,84,61.07,7.14,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,0,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2203.65

40,09:45-10:00,48.37,24.18,193.48,19.35,24.18,48.37,26.8,26.8,17.41,17.96,91,65.65,7.57,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,0,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2215.66

41,10:00-10:15,48.37,24.18,193.48,19.35,24.18,48.37,26.8,26.8,17.41,17.87,98,70.22,8,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,0,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2227.5699999999997

42,10:15-10:30,48.37,24.18,193.48,19.35,24.18,48.37,26.8,26.8,17.41,17.87,105,74.98,8.31,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,0,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2239.64

43,10:30-10:45,48.37,24.18,193.48,19.35,24.18,48.37,26.8,26.8,17.41,17.87,84,79.74,7,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,0,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2222.0899999999997

44,10:45-11:00,48.37,24.18,193.48,19.35,24.18,48.37,26.8,26.8,17.41,17.87,91,84.5,7.07,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,0,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2233.9199999999996

45,11:00-11:15,48.37,24.18,193.48,19.35,24.18,48.37,26.8,26.8,17.41,17.87,112,89.26,7.17,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,0,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2259.7799999999997

46,11:15-11:30,48.37,24.18,193.48,19.35,24.18,48.37,26.8,26.8,17.41,17.87,126,91.1,7.27,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,0,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2275.7199999999993

47,11:30-11:45,48.37,24.18,193.48,19.35,24.18,48.37,26.8,26.8,17.41,14.63,116,92.52,7.38,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,0,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2264.0099999999993

48,11:45-12:00,48.37,24.18,193.48,19.35,24.18,48.37,26.8,26.8,17.41,14.63,119,92.68,7.49,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,0,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2267.2799999999993

49,12:00-12:15,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,14.63,109,100,7.54,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,135.44,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2400.1899999999996

50,12:15-12:30,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,14.63,112,100,7.52,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,135.44,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2403.1699999999996

51,12:30-12:45,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,14.63,91,100,7.5,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,135.44,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2382.149999999999

52,12:45-13:00,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,14.63,98,100,7.52,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,135.44,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2389.1699999999996

53,13:00-13:15,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,84,93.24,7.52,0,0,24.18,0,0,0,0,0,0,0,24.91,1.93,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,11.61,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,135.44,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2366.0999999999995

54,13:15-13:30,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,88,90.55,7.47,0,0,24.18,0,0,0,0,0,0,0,24.91,0.97,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,12.58,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,135.44,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2367.3699999999994

55,13:30-13:45,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,70,96.26,7.34,0,0,24.18,0,0,0,0,0,0,0,24.91,0.97,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,12.58,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,135.44,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2354.9499999999994

56,13:45-14:00,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,74,95.42,7.18,0,0,24.18,0,0,0,0,0,0,0,24.91,0.97,1.93,0,24.18,0,0,0,0,0,0,0,0,0,0,15.85,0,0,0,48.37,12.58,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,0,108.7,0,14.66,129.26,39.95,19.35,135.44,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2357.9499999999994

57,14:00-14:15,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,74,94.86,6.42,0,0,24.18,0,0,0,0,0,0,193.48,24.91,0.97,1.93,0,24.18,0,0,0,38.7,0,0,0,0,0,0,15.85,0,0,0,48.37,12.58,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,145.11,108.7,145.11,14.66,129.26,39.95,19.35,135.44,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2879.0299999999993

58,14:15-14:30,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,77,92.94,6.49,0,0,24.18,0,0,0,0,0,0,193.48,24.91,0.97,1.93,0,24.18,0,0,0,38.7,0,0,0,0,0,0,15.85,0,0,0,48.37,12.58,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,145.11,108.7,145.11,14.66,129.26,39.95,19.35,135.44,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2880.1799999999994

59,14:30-14:45,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,63,89.66,6.31,0,0,24.18,0,0,0,0,0,0,193.48,24.91,0.97,1.93,0,24.18,0,0,0,38.7,0,0,0,0,0,0,15.85,0,0,0,48.37,12.58,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,145.11,108.7,145.11,14.66,129.26,39.95,19.35,135.44,29.02,193.48,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2862.7199999999993

60,14:45-15:00,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,63,86.26,6.22,0,0,24.18,0,0,0,0,0,0,193.48,24.91,0.97,1.93,0,24.18,0,0,0,38.7,0,0,0,0,0,0,15.85,0,0,0,48.37,12.58,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,145.11,108.7,145.11,14.66,129.26,39.95,19.35,135.44,29.02,116.09,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2781.8399999999997

61,15:00-15:15,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,63,82.74,6.09,0,0,24.18,0,0,0,0,0,0,193.48,24.91,0,1.93,0,24.18,0,0,0,38.7,0,0,0,0,0,0,15.85,0,0,0,48.37,13.54,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,145.11,108.7,145.11,14.66,129.26,39.95,19.35,135.44,29.02,116.09,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2778.1799999999994

62,15:15-15:30,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,63,76.92,5.86,0,0,24.18,0,0,0,0,0,0,193.48,24.91,0,1.93,0,24.18,0,0,0,38.7,0,0,0,0,0,0,15.85,0,0,0,48.37,13.54,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,145.11,108.7,145.11,14.66,129.26,39.95,19.35,135.44,29.02,116.09,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2772.1299999999997

63,15:30-15:45,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,70,72.98,5.62,0,0,24.18,0,0,0,0,0,0,193.48,24.91,0,1.93,0,24.18,0,0,0,38.7,0,0,0,0,0,0,15.85,0,0,0,48.37,13.54,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,145.11,108.7,145.11,14.66,129.26,39.95,19.35,135.44,29.02,116.09,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2774.9499999999994

64,15:45-16:00,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,67,69.04,5.33,0,0,24.18,0,0,0,0,0,0,193.48,24.91,0,1.93,0,24.18,0,0,0,38.7,0,0,0,0,0,0,15.85,0,0,0,48.37,13.54,193.48,0,0,0,0.97,31.17,0,192.86,5.8,106.41,56.05,43.97,145.11,108.7,145.11,14.66,129.26,39.95,19.35,135.44,29.02,116.09,48.37,24.18,43.97,11.92,14.66,62.88,11.93,53.21,15.33,2767.7199999999993

65,16:00-16:15,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,88,65.1,4.54,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,135.44,53.21,38.7,7.74,192.86,25.23,0,56.05,0,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,116.09,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,3031.95

66,16:15-16:30,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,81,58.8,4.6,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,135.44,53.21,38.7,7.74,192.86,25.23,0,56.05,0,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2902.6199999999994

67,16:30-16:45,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,67,52.5,4.1,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,135.44,53.21,38.7,7.74,192.86,25.23,0,56.05,0,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2881.8199999999997

68,16:45-17:00,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,12.32,60,46.2,4.06,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,135.44,53.21,38.7,7.74,192.86,25.23,0,56.05,0,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2868.4799999999996

69,17:00-17:15,48.37,24.18,193.48,19.35,24.18,48.37,26.64,28.5,17.41,16.94,46,33.91,0,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,135.44,0,38.7,7.74,192.86,25.23,0,56.05,0,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2790.9799999999996

70,17:15-17:30,48.37,24.18,193.48,19.35,24.18,48.37,26.64,28.5,17.41,16.94,39,28.53,0,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,135.44,0,38.7,7.74,192.86,25.23,0,56.05,0,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2778.5999999999995

71,17:30-17:45,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,16.94,32,13.33,0,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,135.44,0,38.7,7.74,192.86,25.23,0,56.05,0,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2754.96

72,17:45-18:00,48.37,24.18,193.48,19.35,24.18,48.37,26.85,26.85,17.41,16.94,25,11.67,0,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,135.44,0,38.7,7.74,192.86,25.23,0,56.05,0,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,108.7,0,0,0,0,0,0,29.02,0,48.37,24.18,0,11.92,0,62.88,11.93,0,15.33,2746.2999999999997

73,18:00-18:15,48.37,24.18,193.48,0,24.18,48.37,26.8,26.8,17.41,17.22,18,9.1,0,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2855.2600000000007

74,18:15-18:30,48.37,24.18,193.48,0,24.18,48.37,26.8,26.8,17.41,17.22,14,5.32,0,106.41,0,24.18,14.66,37.38,43.97,0,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2847.4800000000005

75,18:30-18:45,48.37,24.18,193.48,0,24.18,48.37,26.8,26.8,17.41,17.22,11,3.53,0,106.41,0,24.18,14.66,37.38,43.97,19.35,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2862.0400000000004

76,18:45-19:00,48.37,24.18,193.48,0,24.18,48.37,26.8,26.8,17.41,17.22,7,1.26,0,106.41,0,24.18,14.66,37.38,43.97,19.35,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2855.7700000000004

77,19:00-19:15,48.37,24.18,193.48,0,24.18,48.37,26.8,26.8,29.2,17.4,5,0.23,0,106.41,0,24.18,14.66,37.38,43.97,19.35,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2864.7100000000005

78,19:15-19:30,48.37,24.18,193.48,0,24.18,48.37,26.8,26.8,29.2,17.4,1,0,0,106.41,0,24.18,14.66,37.38,43.97,19.35,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2860.4800000000005

79,19:30-19:45,48.37,24.18,193.48,0,24.18,48.37,26.8,26.8,29.2,17.4,0,0,0,106.41,0,24.18,14.66,37.38,43.97,19.35,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2859.4800000000005

80,19:45-20:00,48.37,24.18,193.48,0,24.18,48.37,26.8,26.8,29.2,17.4,0,0,0,106.41,0,24.18,14.66,37.38,43.97,19.35,19.35,193.48,193.48,0,0,1.93,0,24.18,5.8,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.87,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2859.4800000000005

81,20:00-20:15,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,17.68,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,0,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.92,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2823.060000000001

82,20:15-20:30,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,17.68,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,0,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.92,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2823.060000000001

83,20:30-20:45,48.37,24.18,0,0,24.18,48.37,26.8,26.8,29.2,17.68,0,0,0,106.41,193.48,24.18,14.66,37.38,43.97,19.35,19.35,193.48,135.44,0,0,1.93,0,24.18,27.09,0,0,38.7,7.74,192.86,25.23,5.8,56.05,8.71,145.11,24.91,43.97,217.66,48.37,13.54,0,0,14.66,145.11,0.92,31.17,145.11,0,0,0,0,0,0,163.06,0,0,0,0,0,0,14.51,234.11,48.37,24.18,0,11.92,0,62.88,11.93,0,0,2823.060000000001

