Column1,Block,NR/2025/33550/C,NR/2025/33541/C,NR/2025/33552/C,NR/2025/33556/C,NR/2025/33559/C,NR/2025/33539/C,GNA/NR/2025/08/01/6209,NR/2025/32397/A/96266,NR/2025/29992/A/96400,NR/2025/32004/A/96706,NR/2025/31421/A/96838,NR/2025/31041/A/96799,NR/2025/32375/A/96831,NR/2025/31042/A/96800,NR/2025/32554/A/96737,NR/2025/32598/A/96822,NR/2025/29440/A/96339,NR/2025/33233/A/96818,NR/2025/32610/A/96701,NR/2025/32556/A/96703,NR/2025/31046/A/96802,NR/2025/32455/A/96882,NR/2025/31047/A/96801,NR/2025/32559/A/96702,NR/2025/32262/A/96357,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/4452,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6475,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/2414,NR/2025/33502/C,NR/2025/32653/A/96570,NR/2025/32652/A/96567,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/96773,NR/2025/32535/A/96776,NR/2025/32599/A/96416,NR/2025/32534/A/96774,NR/2025/32857/A/96590,NR/2025/32535/A/96777,NR/2025/33487/C,NR/2025/32532/A/96772,NR/2025/33503/C,NR/2025/32534/A/96775,NR/2025/33449/C,NR/2025/33465/C,NR/2025/33536/C,NR/2025/33537/C,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/1196,Total
51,12:30-12:45,76.71,192.7,43.79,43.79,37.23,19.95,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,48.18,0,1.45,1.64,89.83,0.39,0.19,158,0.29,1.16,0.39,192.7,0.48,0,0.48,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1576.8000000000004

52,12:45-13:00,76.71,192.7,43.79,43.79,37.23,20.23,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.37,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,48.18,0,1.45,1.64,89.29,0.39,0.19,158,0.29,1.16,0.39,192.7,0.48,0,0.48,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1576.5400000000004

53,13:00-13:15,76.71,192.7,43.79,43.79,37.23,8.83,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,48.18,0,1.45,1.64,88.16,0.39,0.19,161,0.29,1.16,0.39,192.7,0.48,0,0.48,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1567.1900000000003

54,13:15-13:30,76.71,192.7,43.79,43.79,37.23,8.83,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,48.18,0,1.45,1.64,87.08,0.39,0.19,158,0.29,1.16,0.39,192.7,0.48,0,0.48,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1563.1100000000004

55,13:30-13:45,76.71,192.7,43.79,43.79,37.23,8.83,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,48.18,0,1.45,1.64,85.96,0.63,0.19,140,0.29,1.16,0.39,192.7,0.48,0,0.44,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1544.1900000000005

56,13:45-14:00,76.71,192.7,43.79,43.79,37.23,8.83,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,48.18,0,1.45,1.64,85.21,0.63,0.19,140,0.29,1.16,0.39,192.7,0.48,0,0.44,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1543.4400000000005

57,14:00-14:15,76.71,192.7,43.79,43.79,37.23,8.83,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,22.91,96.35,1.45,1.64,83.44,0.63,0.19,147,0.29,1.16,0.39,192.7,0.48,96.35,0.44,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1716.1000000000004

58,14:15-14:30,76.71,192.7,43.79,43.79,37.23,8.83,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,96.35,1.45,1.64,80.92,0.63,0.19,144,0.29,1.16,0.39,192.7,0.48,96.35,0.44,18.09,13.49,48.18,48.18,96.35,28.97,19.27,1707.6700000000003

59,14:30-14:45,76.71,192.7,43.79,43.79,37.23,8.83,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,96.35,1.45,1.64,80.2,0.96,0.19,133,0.29,1.16,0.66,192.7,0.48,96.35,0.76,18.09,13.49,48.18,48.18,96.35,28.51,19.27,1696.4100000000003

60,14:45-15:00,76.71,192.7,43.79,43.79,37.23,8.83,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,96.35,1.45,1.64,76.69,0.96,0.19,130,0.29,1.16,0.66,192.7,0.48,96.35,0.75,18.09,13.49,48.18,48.18,96.35,28.51,19.27,1689.8900000000003

61,15:00-15:15,76.71,192.7,43.79,43.79,37.23,10.78,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,96.35,1.45,1.64,73.44,0.96,0.19,98,0.29,1.16,0.62,192.7,0.48,96.35,0.7,18.09,13.49,48.18,48.18,96.35,28.51,19.27,1656.5000000000002

62,15:15-15:30,76.71,192.7,43.79,43.79,37.23,10.78,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,96.35,1.45,1.64,70.04,0.96,0.19,91,0.29,1.16,0.57,192.7,0.48,96.35,0.66,18.09,13.49,48.18,48.18,96.35,28.51,19.27,1646.0100000000002

63,15:30-15:45,76.71,192.7,43.79,43.79,37.23,10.78,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,96.35,1.45,1.64,70.15,0.96,0.19,98,0.29,1.16,0.55,192.7,0.48,96.35,0.63,18.09,13.49,48.18,48.18,96.35,28.51,19.27,1653.0700000000002

64,15:45-16:00,76.71,192.7,43.79,43.79,37.23,10.78,96.35,0,26.23,0,0,0,0,0,0,81.9,0.96,14.45,0,0,0,0,0,0,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,96.35,1.45,1.64,63.75,0.96,0.19,91,0.29,1.16,0.51,192.7,0.48,96.35,0.59,18.09,13.49,48.18,48.18,96.35,28.51,19.27,1639.5900000000001

65,16:00-16:15,0,192.7,0,0,0,10.78,96.35,0,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,0,96.35,43.79,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,0,0,0,56.01,0.96,0.19,88,0.29,0,0.42,28.9,0.48,0,0.48,0,13.49,0,0,96.35,28.51,19.27,1624.3099999999997

66,16:15-16:30,0,192.7,0,0,0,10.78,96.35,0,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,0,96.35,43.79,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,0,0,0,49.94,0.96,0.19,81,0.29,0,0.37,28.9,0.48,0,0.42,0,13.49,0,0,96.35,28.51,19.27,1611.1299999999997

67,16:30-16:45,0,192.7,0,0,0,10.78,96.35,0,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,0,96.35,43.79,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,0,0,0,37.3,0.96,0.19,74,0.29,0,0.3,28.9,0.48,0,0.34,0,13.49,0,0,96.35,28.51,19.27,1591.3399999999995

68,16:45-17:00,0,192.7,0,0,0,8.83,96.35,0,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,0,96.35,43.79,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,0,0,0,32.69,0.96,0.19,67,0.29,0,0.22,28.9,0.48,0,0.26,0,13.49,0,0,96.35,28.51,19.27,1577.62

69,17:00-17:15,0,192.7,0,0,0,8.17,96.35,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,0,96.35,43.79,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,0,0,0,27.7,0.96,0.19,63,0.29,0,0.14,28.9,0.48,0,0.16,0,13.49,0,0,96.35,28.51,19.27,1576.46

70,17:15-17:30,0,192.7,0,0,0,7.89,96.35,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,0,96.35,43.79,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,0,0,0,23.41,0.96,0.19,56,0.29,0,0.08,28.9,0.48,0,0.1,0,13.49,0,0,96.35,28.51,19.27,1564.7699999999995

71,17:30-17:45,0,192.7,0,0,0,7.71,96.35,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,0,96.35,43.79,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,0,0,0,19.57,0.07,0.19,49,0.29,0,0.04,28.9,0.48,0,0.06,0,13.49,0,0,96.35,28.51,19.27,1552.7799999999995

72,17:45-18:00,0,192.7,0,0,0,7.78,96.35,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,0,96.35,43.79,0,19.55,8.76,15.27,26.95,20.79,26.95,8.76,24.09,24.09,20,0,0,0,15.81,0,0.15,39,0.23,0,0,28.9,0.39,0,0,0,13.49,0,0,96.35,28.51,19.27,1538.7299999999998

73,18:00-18:15,0,192.7,0,0,0,8.59,48.18,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,48.18,96.35,43.79,0,19.55,14.6,0,26.58,20.79,30,14.6,24.09,24.09,20,0,0,0,12.3,0,0.11,28,0.15,0,0,28.9,0.26,0,0,0,13.49,0,0,96.35,28.51,0,1504.6099999999994

74,18:15-18:30,0,192.7,0,0,0,4.08,48.18,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,48.18,96.35,43.79,0,19.55,14.6,0,26.58,20.79,30,14.6,24.09,24.09,20,0,0,0,8.3,0,0.07,18,0.1,0,0,28.9,0.16,0,0,0,13.49,0,0,96.35,28.51,0,1485.9099999999994

75,18:30-18:45,0,192.7,0,0,0,4.08,48.18,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,48.18,96.35,43.79,0,19.55,14.6,0,17.12,20.79,30,14.6,24.09,24.09,24.05,0,0,0,4.67,0,0.02,11,0.03,0,0,28.9,0.05,0,0,0,13.49,0,0,96.35,28.51,0,1469.6399999999994

76,18:45-19:00,0,192.7,0,0,0,2.61,48.18,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,48.18,96.35,43.79,0,19.55,14.6,0,11.12,20.79,30,14.6,24.09,24.09,24.05,0,0,0,2.12,0,0,6,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1454.5199999999993

77,19:00-19:15,0,192.7,0,0,0,0,48.18,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,0,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0.92,0,0,1,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1465.7999999999995

78,19:15-19:30,0,192.7,0,0,0,0,48.18,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,0,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0.26,0,0,0,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1464.1399999999994

79,19:30-19:45,0,192.7,0,0,0,0,48.18,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,0,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1463.8799999999994

80,19:45-20:00,0,192.7,0,0,0,0,48.18,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,0,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1463.8799999999994

81,20:00-20:15,0,192.7,0,0,0,0,48.18,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1518.0799999999995

82,20:15-20:30,0,192.7,0,0,0,0,48.18,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1518.0799999999995

83,20:30-20:45,0,192.7,0,0,0,0,48.18,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1518.0799999999995

84,20:45-21:00,0,192.7,0,0,0,0,48.18,8.67,44.32,76.71,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1518.0799999999995

85,21:00-21:15,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1547.3499999999997

86,21:15-21:30,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1547.3499999999997

87,21:30-21:45,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1547.3499999999997

88,21:45-22:00,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1547.3499999999997

89,22:00-22:15,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1547.3499999999997

90,22:15-22:30,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,13.49,0,0,96.35,28.51,0,1547.3499999999997

91,22:30-22:45,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,28.51,0,1546.3899999999996

92,22:45-23:00,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,0,48.18,96.35,163.8,81.9,0.92,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,28.51,0,1546.3899999999996

93,23:00-23:15,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,28.51,0,1546.3399999999997

94,23:15-23:30,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,28.51,0,1546.3399999999997

95,23:30-23:45,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,28.51,0,1546.3399999999997

96,23:45-24:00,0,192.7,0,0,0,0,48.18,8.67,44.32,105.98,48.18,0,48.18,96.35,163.8,81.9,0.87,14.45,37.23,43.79,0,48.18,96.35,43.79,54.2,19.55,14.6,0,30,20.79,30,14.6,24.09,24.09,25.21,0,0,0,0,0,0,0,0,0,0,28.9,0,0,0,0,12.53,0,0,96.35,28.51,0,1546.3399999999997

