Time,Block,NR/2023/14217/D,NR/2023/11266/A,NR/2023/11953/A,NR/2023/13679/F,NR/2023/12916/F,NR/2023/12872/F,NR/2023/12922/F,NR/2023/12915/F,NR/2023/10651/A,NR/2023/14230/C,NR/2023/10460/A,NR/2023/10956/A,NR/2023/14223/C,NR/2023/10561/A,NR/2023/11068/A,NR/2023/10959/A,NR/2023/13369/F,NR/2023/14218/D,NR/2023/12921/F,NR/2023/12661/A,NR/2023/10436/A,NR/2023/11709/A,NR/2023/10435/A,NR/2023/12917/F,NR/2023/10947/A,NR/2023/14238/C,NR/2023/10786/A,NR/2023/10720/A,NR/2023/12919/F,NR/2023/12924/F,NR/2023/10432/A,NR/2023/12813/F,NR/2023/12169/A,NR/2023/12923/F,NR/2023/13985/F,NR/2023/10650/A,NR/2023/11712/A,NR/2023/12814/F,NR/2023/10705/A,NR/2023/10488/A,NR/2023/14212/D,NR/2023/11507/A,NR/2023/12706/A,NR/2023/14215/D,NR/2023/14245/C,NR/2023/12920/F,NR/2023/14220/D,NR/2023/14219/D,Total
45,11:00-11:15,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,5.23,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,168,72,1683.74

46,11:15-11:30,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,6.1,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,168,72,1684.61

47,11:30-11:45,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,6.1,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,169.4,72.6,1686.61

48,11:45-12:00,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,6.97,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,171.5,73.5,1690.48

49,12:00-12:15,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,6.97,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,171.5,73.5,1690.48

50,12:15-12:30,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,6.97,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,171.5,73.5,1690.48

51,12:30-12:45,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,6.97,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,171.5,73.5,1690.48

52,12:45-13:00,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,7.84,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,171.5,73.5,1691.35

53,13:00-13:15,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,8.71,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,171.5,73.5,1692.22

54,13:15-13:30,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,9.68,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,171.5,73.5,1693.19

55,13:30-13:45,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,8.71,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,168,72,1687.22

56,13:45-14:00,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,7.84,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,30.000000,90.990000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,168,72,1686.35

57,14:00-14:15,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,7.84,0.980000,62.920000,24.200000,23.170000,24.200000,0.920000,0.000000,30.000000,106.480000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,168,72,1725.01

58,14:15-14:30,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,6.97,0.980000,62.920000,24.200000,23.170000,24.200000,0.920000,0.000000,30.000000,106.480000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,168,72,1724.14

59,14:30-14:45,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,6.1,0.980000,62.920000,24.200000,23.170000,24.200000,0.920000,0.000000,30.000000,106.480000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,90.360000,0.000000,0.980000,161,69,1713.27

60,14:45-15:00,0.000000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,5.23,0.980000,62.920000,24.200000,23.170000,24.200000,0.920000,0.000000,30.000000,106.480000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,125.330000,0.000000,0.980000,157.5,67.5,1742.37

61,15:00-15:15,38.720000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,5.23,0.980000,62.920000,24.200000,23.170000,24.200000,0.920000,0.000000,0.000000,106.480000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,146.190000,0.000000,0.980000,140,60,1746.95

62,15:15-15:30,38.720000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,4.84,0.980000,62.920000,24.200000,23.170000,24.200000,0.920000,0.000000,0.000000,106.480000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,146.190000,0.000000,0.980000,136.5,58.5,1741.56

63,15:30-15:45,38.720000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,4.36,0.980000,62.920000,24.200000,23.170000,24.200000,0.920000,0.000000,0.000000,106.480000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,146.190000,0.000000,0.980000,128.1,54.9,1729.08

64,15:45-16:00,38.720000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,36.690000,48.400000,48.400000,21.280000,24.200000,3.39,0.980000,62.920000,24.200000,23.170000,24.200000,0.920000,0.000000,0.000000,106.480000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,146.190000,0.000000,0.980000,118.3,50.7,1714.11

65,16:00-16:15,38.720000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,38.730000,48.400000,48.400000,21.280000,24.200000,2.66,0.980000,62.920000,24.200000,23.170000,24.200000,0.920000,0.000000,0.000000,106.480000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,146.190000,0.000000,0.980000,109.9,47.1,1703.42

66,16:15-16:30,38.720000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,16.410000,23.230000,85.150000,38.730000,48.400000,48.400000,21.280000,24.200000,2.22,0.980000,62.920000,24.200000,23.170000,24.200000,0.920000,0.000000,0.000000,106.480000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,146.190000,0.000000,0.980000,95.2,40.8,1681.98

67,16:30-16:45,38.720000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,19.360000,23.230000,85.150000,38.730000,48.400000,48.400000,21.280000,24.200000,1.69,0.980000,62.920000,24.200000,23.170000,24.200000,0.920000,0.000000,0.000000,106.480000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,146.190000,0.000000,0.980000,80.5,34.5,1663.4

68,16:45-17:00,38.720000,63.620000,0.000000,4.840000,0.520000,0.970000,1.020000,0.370000,63.160000,19.360000,23.230000,85.150000,38.730000,48.400000,48.400000,21.280000,24.200000,1.22,0.980000,62.920000,24.200000,23.170000,24.200000,0.920000,0.000000,0.000000,106.480000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,33.880000,255.460000,6.780000,146.190000,0.000000,0.980000,70,30,1647.93

69,17:00-17:15,38.720000,63.620000,0.000000,4.840000,0.520000,0.680000,1.020000,0.370000,63.160000,19.360000,23.230000,85.150000,38.730000,48.400000,48.400000,21.280000,0.000000,0.83,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.980000,60.9,26.1,1519.12

70,17:15-17:30,38.720000,63.620000,0.000000,4.840000,0.520000,0.680000,1.020000,0.370000,63.160000,19.360000,23.230000,85.150000,38.730000,48.400000,48.400000,21.280000,0.000000,0.44,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.980000,49,21,1501.73

71,17:30-17:45,38.720000,63.620000,0.000000,4.840000,0.520000,0.680000,1.020000,0.370000,63.160000,19.360000,23.230000,85.150000,38.730000,48.400000,48.400000,21.280000,0.000000,0.23,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.980000,35,15,1481.52

72,17:45-18:00,38.720000,63.620000,0.000000,4.840000,0.520000,0.680000,1.020000,0.370000,63.160000,19.360000,23.230000,85.150000,38.730000,48.400000,48.400000,21.280000,0.000000,0.1,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,7.740000,64.370000,85.670000,15.810000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.980000,31.5,13.5,1476.39

73,18:00-18:15,38.720000,63.620000,36.520000,4.840000,0.520000,0.680000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,37.700000,48.400000,48.400000,21.280000,0.000000,0,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.980000,31.5,13.5,1518.52

74,18:15-18:30,38.720000,63.620000,36.520000,4.840000,0.520000,0.680000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,37.700000,48.400000,48.400000,21.280000,0.000000,0,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.980000,24.5,10.5,1508.52

75,18:30-18:45,38.720000,63.620000,36.520000,4.840000,0.520000,0.680000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,37.700000,48.400000,48.400000,21.280000,0.000000,0,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.980000,21,9,1503.52

76,18:45-19:00,38.720000,63.620000,36.520000,4.840000,0.520000,0.680000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,37.700000,48.400000,48.400000,21.280000,0.000000,0,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.980000,14,6,1493.52

77,19:00-19:15,38.720000,63.620000,36.520000,4.840000,0.520000,0.730000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,37.700000,48.400000,48.400000,21.280000,0.000000,0,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.980000,7,3,1483.57

78,19:15-19:30,38.720000,63.620000,36.520000,4.840000,0.520000,0.730000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,37.700000,48.400000,48.400000,21.280000,0.000000,0,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.980000,4.2,1.8,1479.57

79,19:30-19:45,38.720000,63.620000,36.520000,4.840000,0.520000,0.730000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,37.700000,48.400000,48.400000,21.280000,0.000000,0,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.980000,1.4,0.6,1475.57

80,19:45-20:00,38.720000,63.620000,36.520000,4.840000,0.520000,0.730000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,37.700000,48.400000,48.400000,21.280000,0.000000,0,0.980000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.970000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.980000,0,0,1473.57

81,20:00-20:15,0.000000,63.620000,36.520000,4.840000,0.520000,0.770000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,35.670000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.920000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.930000,0,0,1432.71

82,20:15-20:30,0.000000,63.620000,36.520000,4.840000,0.520000,0.770000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,35.670000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.920000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,146.190000,0.000000,0.930000,0,0,1432.71

83,20:30-20:45,0.000000,63.620000,36.520000,4.840000,0.520000,0.770000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,35.670000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.920000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,146.190000,11.620000,0.930000,0,0,1444.33

84,20:45-21:00,0.000000,63.620000,36.520000,4.840000,0.520000,0.770000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,35.670000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,48.400000,23.720000,0.920000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,146.190000,38.720000,0.930000,0,0,1471.43

85,21:00-21:15,0.000000,63.620000,36.520000,4.840000,0.520000,0.770000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,35.670000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,91.960000,23.720000,0.920000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,129.080000,88.090000,0.930000,0,0,1547.25

86,21:15-21:30,0.000000,63.620000,36.520000,4.840000,0.520000,0.770000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,35.670000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,91.960000,23.720000,0.920000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,129.080000,130.680000,0.930000,0,0,1589.84

87,21:30-21:45,0.000000,63.620000,36.520000,4.840000,0.520000,0.770000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,35.670000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,91.960000,23.720000,0.920000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.830000,48.400000,24.200000,255.460000,6.780000,125.330000,150.040000,0.930000,0,0,1605.45

88,21:45-22:00,0.000000,63.620000,36.520000,4.840000,0.520000,0.770000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,35.670000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,0.000000,24.200000,0.920000,0.000000,0.000000,91.960000,23.720000,0.920000,0.610000,43.560000,62.920000,0.000000,0.610000,24.200000,14.280000,64.370000,85.670000,15.870000,48.400000,24.200000,255.460000,6.780000,125.330000,153.910000,0.930000,0,0,1609.36

89,22:00-22:15,0.000000,63.620000,36.520000,4.840000,0.520000,0.730000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,91.960000,23.720000,0.920000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1840.53

90,22:15-22:30,0.000000,63.620000,36.520000,4.840000,0.520000,0.730000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,91.960000,23.720000,0.920000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1840.53

91,22:30-22:45,0.000000,63.620000,36.520000,4.840000,0.520000,0.730000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,91.960000,23.720000,0.920000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,0.000000,0.930000,0,0,1840.53

92,22:45-23:00,0.000000,63.620000,36.520000,4.840000,0.520000,0.730000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,91.960000,23.720000,0.920000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,125.330000,23.230000,0.930000,0,0,1863.76

93,23:00-23:15,0.000000,63.620000,36.520000,4.840000,0.520000,0.630000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,91.960000,23.720000,0.920000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,120.060000,50.340000,0.930000,0,0,1885.5

94,23:15-23:30,0.000000,63.620000,36.520000,4.840000,0.520000,0.630000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,91.960000,23.720000,0.920000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,119.680000,53.240000,0.930000,0,0,1888.02

95,23:30-23:45,0.000000,63.620000,36.520000,4.840000,0.520000,0.630000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,91.960000,23.720000,0.920000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,119.680000,31.940000,0.930000,0,0,1866.72

96,23:45-24:00,0.000000,63.620000,36.520000,4.840000,0.520000,0.630000,1.020000,0.370000,63.160000,19.540000,23.230000,85.150000,34.650000,48.400000,48.400000,21.280000,0.000000,0,0.930000,62.920000,24.200000,23.170000,24.200000,0.920000,23.230000,0.000000,91.960000,23.720000,0.920000,0.610000,43.560000,62.920000,54.210000,0.610000,24.200000,83.250000,64.370000,85.670000,232.430000,48.400000,24.200000,255.460000,6.780000,119.680000,15.490000,0.930000,0,0,1850.27

