Time,Block,NR/2023/10947/A,NR/2023/13970/D,NR/2023/12169/A,NR/2023/13964/D,NR/2023/13997/C,NR/2023/13369/F,NR/2023/13679/F,NR/2023/10959/A,NR/2023/10432/A,WR/2023/16529/C,NR/2023/13968/D,NR/2023/13984/C,NR/2023/12814/F,NR/2023/12923/F,NR/2023/10956/A,NR/2023/10488/A,NR/2023/10786/A,NR/2023/12813/F,NR/2023/13053/F,NR/2023/10705/A,NR/2023/10650/A,NR/2023/11953/A,NR/2023/13990/C,NR/2023/10435/A,NR/2023/10460/A,NR/2023/12872/F,NR/2023/13971/D,NR/2023/10436/A,NR/2023/10651/A,NR/2023/12921/F,NR/2023/11507/A,NR/2023/14009/C,NR/2023/11709/A,NR/2023/10720/A,ER/2023/8620/C,NR/2023/10561/A,NR/2023/13969/D,NR/2023/12924/F,NR/2023/12915/F,NR/2023/11266/A,NR/2023/12916/F,NR/2023/13053/F/II,NR/2023/12919/F,NR/2023/12706/A,NR/2023/11712/A,NR/2023/12920/F,NR/2023/12661/A,NR/2023/11068/A,NR/2023/14008/C,NR/2023/12922/F,NR/2023/12917/F,Total
42,10:15-10:30,0.000000,99.270000,0.000000,6.1,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,37.710000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,68.4,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,159.6,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1665.33

43,10:30-10:45,0.000000,99.270000,0.000000,6.68,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,37.710000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,70.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,164.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1672.91

44,10:45-11:00,0.000000,99.270000,0.000000,6.97,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,37.710000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,72.6,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,169.4,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1680.2

45,11:00-11:15,0.000000,99.270000,0.000000,6.97,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,37.710000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,75,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,175,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1688.2

46,11:15-11:30,0.000000,99.270000,0.000000,7.16,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,37.710000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,76.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,178.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1693.39

47,11:30-11:45,0.000000,99.270000,0.000000,7.36,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,37.710000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,76.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,178.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1693.59

48,11:45-12:00,0.000000,99.270000,0.000000,7.84,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,37.710000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,76.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,178.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1694.07

49,12:00-12:15,0.000000,99.270000,0.000000,7.84,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,37.710000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,76.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,178.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1694.07

50,12:15-12:30,0.000000,99.270000,0.000000,7.84,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,37.710000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,76.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,178.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1694.07

51,12:30-12:45,0.000000,99.270000,0.000000,8.62,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,37.710000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,76.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,178.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1694.85

52,12:45-13:00,0.000000,99.270000,0.000000,8.62,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,37.710000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,76.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,178.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1694.85

53,13:00-13:15,0.000000,99.270000,0.000000,8.91,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,38.730000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,76.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,178.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1696.16

54,13:15-13:30,0.000000,99.270000,0.000000,8.91,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,38.730000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,76.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,178.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1696.16

55,13:30-13:45,0.000000,99.270000,0.000000,9.12,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,38.730000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,76.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,178.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1696.37

56,13:45-14:00,0.000000,99.270000,0.000000,8.91,0.000000,24.200000,4.840000,14.280000,43.570000,0.000000,38.730000,38.730000,85.690000,0.610000,85.170000,48.410000,91.010000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,76.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,43.000000,48.410000,178.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1696.16

57,14:00-14:15,0.000000,147.910000,0.000000,8.91,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,38.730000,85.690000,0.610000,85.170000,48.410000,106.500000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,75,24.200000,63.180000,0.980000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,175,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1742.47

58,14:15-14:30,0.000000,147.910000,0.000000,8.62,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,38.730000,85.690000,0.610000,85.170000,48.410000,106.500000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,73.8,24.200000,63.180000,0.980000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,172.2,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1738.18

59,14:30-14:45,0.000000,147.910000,0.000000,8.62,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,38.730000,85.690000,0.610000,85.170000,48.410000,106.500000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,72.6,24.200000,63.180000,0.980000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,169.4,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1734.18

60,14:45-15:00,0.000000,147.910000,0.000000,8.62,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,38.730000,85.690000,0.610000,85.170000,48.410000,106.500000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,69.9,24.200000,63.180000,0.980000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,163.1,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1725.18

61,15:00-15:15,0.000000,147.910000,0.000000,8.23,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,39.740000,85.690000,0.610000,85.170000,48.410000,106.500000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,66.6,24.200000,63.180000,0.980000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,155.4,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1714.8

62,15:15-15:30,0.000000,147.910000,0.000000,7.55,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,39.740000,85.690000,0.610000,85.170000,48.410000,106.500000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,63,24.200000,63.180000,0.980000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,147,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1702.12

63,15:30-15:45,0.000000,147.910000,0.000000,6.1,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,39.740000,85.690000,0.610000,85.170000,48.410000,106.500000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,59.4,24.200000,63.180000,0.980000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,138.6,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1688.67

64,15:45-16:00,0.000000,147.910000,0.000000,5.28,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,39.740000,85.690000,0.610000,85.170000,48.410000,106.500000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,54.9,24.200000,63.180000,0.980000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,128.1,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1672.85

65,16:00-16:15,0.000000,147.910000,0.000000,4.36,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,39.740000,85.690000,0.610000,85.170000,48.410000,106.500000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,50.1,24.200000,63.180000,0.980000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,116.9,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1655.93

66,16:15-16:30,0.000000,147.910000,0.000000,3.78,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,39.740000,85.690000,0.610000,85.170000,48.410000,106.500000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,46.5,24.200000,63.180000,0.980000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,108.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1643.35

67,16:30-16:45,0.000000,147.910000,0.000000,3.49,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,39.740000,85.690000,0.610000,85.170000,48.410000,106.500000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,41.1,24.200000,63.180000,0.980000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,95.9,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1625.06

68,16:45-17:00,0.000000,147.910000,0.000000,2.61,0.000000,24.200000,4.840000,21.280000,43.570000,0.000000,38.730000,39.740000,85.690000,0.610000,85.170000,48.410000,106.500000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.970000,34.5,24.200000,63.180000,0.980000,255.520000,0.000000,23.180000,23.720000,0.000000,48.410000,80.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1602.18

69,17:00-17:15,0.000000,147.910000,0.000000,2.61,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,39.740000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.680000,30,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,70,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1442.69

70,17:15-17:30,0.000000,147.910000,0.000000,1.74,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,39.740000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.680000,26.1,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,60.9,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1428.82

71,17:30-17:45,0.000000,147.910000,0.000000,1.74,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,39.740000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.680000,22.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,52.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1416.82

72,17:45-18:00,0.000000,147.910000,0.000000,0.77,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,39.740000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.810000,7.750000,0.000000,12.300000,24.200000,23.240000,0.680000,18,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,42,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1400.85

73,18:00-18:15,0.000000,147.910000,0.000000,0.48,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.830000,14.280000,36.530000,12.300000,24.200000,23.240000,0.680000,13.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,31.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1427.63

74,18:15-18:30,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.830000,14.280000,36.530000,12.300000,24.200000,23.240000,0.680000,10.5,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,24.5,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1417.15

75,18:30-18:45,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.830000,14.280000,36.530000,12.300000,24.200000,23.240000,0.680000,9,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,21,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1412.15

76,18:45-19:00,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.830000,14.280000,36.530000,12.300000,24.200000,23.240000,0.680000,6,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,14,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1402.15

77,19:00-19:15,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.830000,14.280000,36.530000,12.300000,24.200000,23.240000,0.730000,4,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,9.34,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1395.54

78,19:15-19:30,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.830000,14.280000,36.530000,12.300000,24.200000,23.240000,0.730000,1.77,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,4.12,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1388.09

79,19:30-19:45,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.830000,14.280000,36.530000,12.300000,24.200000,23.240000,0.730000,0.41,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0.97,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1383.58

80,19:45-20:00,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.830000,14.280000,36.530000,12.300000,24.200000,23.240000,0.730000,0,24.200000,63.180000,0.980000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.970000,6.780000,64.390000,0.980000,38.730000,48.410000,0.000000,1.020000,0.920000,1382.2

81,20:00-20:15,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.830000,14.280000,36.530000,19.600000,24.200000,23.240000,0.770000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,0.000000,1.020000,0.920000,1389.39

82,20:15-20:30,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.830000,14.280000,36.530000,19.600000,24.200000,23.240000,0.770000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,14.520000,1.020000,0.920000,1403.91

83,20:30-20:45,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.830000,14.280000,36.530000,19.600000,24.200000,23.240000,0.770000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,1459.1

84,20:45-21:00,0.000000,147.910000,0.000000,0,0.000000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,48.410000,62.930000,24.200000,15.830000,14.280000,36.530000,19.600000,24.200000,23.240000,0.770000,0,24.200000,63.180000,0.930000,255.520000,0.000000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,1459.1

85,21:00-21:15,0.000000,147.910000,0.000000,0,112.310000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,91.980000,62.930000,24.200000,15.830000,14.280000,36.530000,19.600000,24.200000,23.240000,0.770000,0,24.200000,63.180000,0.930000,255.520000,48.410000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,19.360000,1.020000,0.920000,1613.04

86,21:15-21:30,0.000000,147.910000,0.000000,0,128.770000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,91.980000,62.930000,24.200000,15.830000,14.280000,36.530000,19.600000,24.200000,23.240000,0.770000,0,24.200000,63.180000,0.930000,255.520000,48.410000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,1679.85

87,21:30-21:45,0.000000,147.910000,0.000000,0,128.770000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,91.980000,62.930000,24.200000,15.830000,14.280000,36.530000,19.600000,24.200000,23.240000,0.770000,0,24.200000,63.180000,0.930000,255.520000,48.410000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,1679.85

88,21:45-22:00,0.000000,147.910000,0.000000,0,128.770000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,38.730000,85.690000,0.610000,85.170000,48.410000,91.980000,62.930000,24.200000,15.870000,14.280000,36.530000,19.600000,24.200000,23.240000,0.770000,0,24.200000,63.180000,0.930000,255.520000,48.410000,0.000000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,1679.89

89,22:00-22:15,23.240000,147.910000,54.220000,0,48.410000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,36.690000,85.690000,0.610000,85.170000,48.410000,91.980000,62.930000,24.200000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.730000,0,24.200000,63.180000,0.930000,255.520000,48.410000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,1983.68

90,22:15-22:30,23.240000,147.910000,54.220000,0,48.410000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,36.690000,85.690000,0.610000,85.170000,48.410000,91.980000,62.930000,24.200000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.730000,0,24.200000,63.180000,0.930000,255.520000,48.410000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,1983.68

91,22:30-22:45,23.240000,147.910000,54.220000,0,65.840000,0.000000,4.840000,21.280000,43.570000,0.000000,0.000000,36.690000,85.690000,0.610000,85.170000,48.410000,91.980000,62.930000,24.200000,232.470000,83.270000,36.530000,19.600000,24.200000,23.240000,0.730000,0,24.200000,63.180000,0.930000,255.520000,48.410000,23.180000,23.720000,0.000000,48.410000,0,0.610000,0.370000,63.630000,0.520000,0.000000,0.920000,6.780000,64.390000,0.930000,38.730000,48.410000,69.710000,1.020000,0.920000,2001.11

