Column1,Time,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug'24,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/01102023/14082046/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02012046/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13,NR/01102023/25072045/L_NR_2021_15,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31102037/L_NR_2019_11,GNA/SR/2024/08/12/8286,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/06022042/L_NR_2012_02,NR/01082024/15082024/APL-Raigarh,NR/01082024/30092024/LT_MEJA_DELHI,GNA/WR/2024/08/12/7836,NR/01102023/31052040/LT-31,NR/01102023/22052037/LT-59,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,NR/01102023/19072037/LT-05,GNA/WR/2024/08/12/5862
78,19:15-19:30,48.08,100.19,12.39,11.93,18.18,27.25,0,48.08,7,0,0,23.33,0,58.33,23.34,0,19,70,58.33,0,0,1,0,0,0,0.98,0,4.91,0,0,0.02,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0.02,0,18.5536,0.02,86.75,32,87.04,0

79,19:30-19:45,48.08,100.19,12.39,11.93,18.18,26.75,0,48.08,7,0,0,20,0,46.67,20,0,13.34,60,46.67,0,0,0,0,0,0,0.43,0,2.18,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,18.5536,0,86.75,32,95.52,0

80,19:45-20:00,48.08,100.19,12.39,11.93,18.18,26.75,0,48.08,7,0,0,19.17,0,46,19.16,0,12.66,57.5,46,0,0,0,0,0,0,0.11,0,0.54,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,18.5536,0,86.75,32,104,0

81,20:00-20:15,48.08,100.19,12.39,11.93,18.18,26.75,0,48.08,7,0,0,14.17,0,38.33,14.16,0,12,42.5,38.33,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,32,0,86.75,32,112.47,0

82,20:15-20:30,48.08,100.19,12.39,11.93,18.18,26.75,0,48.08,7,0,0,13.33,0,36.67,13.34,0,11.66,40,36.67,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,32,0,86.75,32,114.92,0

83,20:30-20:45,48.08,100.19,12.39,11.93,18.18,26.75,0,48.08,7,0,0,12.5,0,35,12.5,0,11,37.5,35,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,32,0,86.75,32,114.92,0

84,20:45-21:00,48.08,100.19,12.39,11.93,18.18,26.24,0,48.08,7,0,0,11.67,0,33.33,11.66,0,10.66,35,33.33,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,32,0,86.75,32,114.92,0

85,21:00-21:15,48.08,100.19,12.39,11.93,18.18,26.24,0,48.08,7,0,0,11.33,0,30,11.34,0,10,34,30,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,32,0,86.75,32,114.92,0

86,21:15-21:30,48.08,100.19,12.39,11.93,18.18,26.24,0,48.08,7,0,0,10.83,0,29.33,10.84,0,9.66,32.5,29.33,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,30.5,0,86.75,30.5,114.92,0

87,21:30-21:45,48.08,100.19,12.39,11.93,18.18,26.75,6.47,48.08,7,0,0,10.33,0,28.33,10.34,0,9.34,31,28.33,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,30.5,0,86.75,30.5,114.92,0

88,21:45-22:00,48.08,100.19,12.39,11.93,18.18,26.75,6.47,48.08,7,0,0,10,0,27.33,10,0,9,30,27.33,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,30.5,0,86.75,30.5,114.92,0

89,22:00-22:15,48.08,100.19,12.39,11.93,18.18,27.25,6.47,48.08,7,0,0,11.67,0,30.67,11.66,0,8.66,35,30.67,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,30.5,0,86.75,30.5,114.92,0

90,22:15-22:30,48.08,100.19,12.39,11.93,18.18,27.25,6.47,48.08,7,0,0,11,0,30,11,0,8.34,33,30,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,30.5,0,86.75,30.5,114.92,0

91,22:30-22:45,48.08,100.19,12.39,11.93,18.18,28.26,6.47,48.08,7,0,0,10.83,0,30,10.84,0,8.34,32.5,30,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,30.5,0,86.75,30.5,114.92,0

92,22:45-23:00,48.08,100.19,12.39,11.93,18.18,28.26,6.47,48.08,7,0,0,10.83,0,29,10.84,0,8.34,32.5,29,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,30.5,0,86.75,30.5,114.92,0

93,23:00-23:15,48.08,100.19,12.39,11.93,18.18,27.76,6.19,48.08,7,0,0,10.5,0,28,10.5,0,8.34,31.5,28,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,30.5,0,86.75,30.5,114.92,0

94,23:15-23:30,48.08,100.19,12.39,11.93,18.18,27.76,6.19,48.08,7,0,0,10.33,0,27,10.34,0,8.34,31,27,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,30.5,0,86.75,30.5,114.92,0

95,23:30-23:45,48.08,100.19,12.39,11.93,18.18,27.76,6.19,48.08,7,0,0,10.17,0,26.33,10.16,0,8.34,30.5,26.33,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,30.5,0,86.75,30.5,114.92,0

96,23:45-24:00,48.08,100.19,12.39,11.93,18.18,27.76,6.19,48.08,7,0,0,10,0,26,10,0,8.34,30,26,0,0,0,0,0,0,0,0,0,0,0,0,271.92,0,24.04,0,258.57,192.34,3.5,48.08,0,0,30.5,0,86.75,30.5,114.92,0

