Time,Block,NR/2023/12915/F,NR/2023/10959/A,NR/2023/10432/A,NR/2023/11507/A,NR/2023/13791/C,NR/2023/13772/D,NR/2023/13369/F,NR/2023/12169/A,NR/2023/12916/F,NR/2023/12923/F,NR/2023/11266/A,NR/2023/12919/F,NR/2023/11953/A,NR/2023/13773/D,NR/2023/13053/F,NR/2023/12872/F,NR/2023/13775/D,NR/2023/13053/F/II,NR/2023/13315/F,NR/2023/10488/A,NR/2023/10947/A,NR/2023/11709/A,NR/2023/12924/F,NR/2023/10651/A,NR/2023/10705/A,NR/2023/12813/F,NR/2023/10720/A,NR/2023/13799/C,NR/2023/10786/A,NR/2023/10561/A,NR/2023/13774/D,ER/2023/8491/C,NR/2023/13786/C,NR/2023/12814/F,NR/2023/10435/A,NR/2023/13777/D,NR/2023/12706/A,NR/2023/10436/A,NR/2023/11712/A,NR/2023/10650/A,NR/2023/12917/F,NR/2023/12922/F,NR/2023/10460/A,NR/2023/12920/F,NR/2023/13771/D,NR/2023/12921/F,NR/2023/10956/A,NR/2023/12661/A,ER/2023/8507/C,Total
44,10:45-11:00,0.370000,21.280000,43.570000,255.520000,17.470000,90.380000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,168,24.200000,0.970000,72,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,54.220000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,6.1,0.980000,85.170000,62.930000,0.000000,1782.15

45,11:00-11:15,0.370000,21.280000,43.570000,255.520000,17.470000,90.380000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,170.1,24.200000,0.970000,72.9,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,54.220000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,6.97,0.980000,85.170000,62.930000,0.000000,1786.02

46,11:15-11:30,0.370000,21.280000,43.570000,255.520000,17.470000,90.380000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,171.5,24.200000,0.970000,73.5,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,54.220000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,6.97,0.980000,85.170000,62.930000,0.000000,1788.02

47,11:30-11:45,0.370000,21.280000,43.570000,255.520000,17.470000,90.380000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,175,24.200000,0.970000,75,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,54.220000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,7.84,0.980000,85.170000,62.930000,0.000000,1793.89

48,11:45-12:00,0.370000,21.280000,43.570000,255.520000,17.470000,90.380000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,178.5,24.200000,0.970000,76.5,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,54.220000,100.000000,30.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,7.84,0.980000,85.170000,62.930000,0.000000,1798.89

49,12:00-12:15,0.370000,21.280000,43.570000,255.520000,17.470000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,180.6,24.200000,0.970000,77.4,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,47.440000,50.000000,0.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,7.84,0.980000,85.170000,62.930000,0.000000,1770.93

50,12:15-12:30,0.370000,21.280000,43.570000,255.520000,17.470000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,180.6,24.200000,0.970000,77.4,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,47.440000,50.000000,0.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,8.91,0.980000,85.170000,62.930000,0.000000,1772

51,12:30-12:45,0.370000,21.280000,43.570000,255.520000,17.470000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,180.6,24.200000,0.970000,77.4,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,47.440000,50.000000,0.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,9.29,0.980000,85.170000,62.930000,0.000000,1772.38

52,12:45-13:00,0.370000,21.280000,43.570000,255.520000,17.470000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,180.6,24.200000,0.970000,77.4,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,47.440000,50.000000,0.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,9.49,0.980000,85.170000,62.930000,0.000000,1772.58

53,13:00-13:15,0.370000,21.280000,43.570000,255.520000,17.380000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,178.5,24.200000,0.970000,76.5,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,47.440000,50.000000,0.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,9.49,0.980000,85.170000,62.930000,0.000000,1769.49

54,13:15-13:30,0.370000,21.280000,43.570000,255.520000,17.380000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,178.5,24.200000,0.970000,76.5,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,47.440000,50.000000,0.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,9.68,0.980000,85.170000,62.930000,0.000000,1769.68

55,13:30-13:45,0.370000,21.280000,43.570000,255.520000,17.380000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,178.5,24.200000,0.970000,76.5,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,47.440000,50.000000,0.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,9.49,0.980000,85.170000,62.930000,0.000000,1769.49

56,13:45-14:00,0.370000,21.280000,43.570000,255.520000,17.380000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,178.41,24.200000,0.970000,76.46,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,91.010000,38.730000,47.440000,50.000000,0.000000,85.690000,24.200000,32.920000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,9.2,0.980000,85.170000,62.930000,0.000000,1769.07

57,14:00-14:15,0.370000,21.280000,43.570000,255.520000,17.470000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,175,24.200000,0.970000,75,0.000000,4.840000,48.410000,0.000000,23.180000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,106.500000,38.730000,47.440000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,8.71,0.980000,85.170000,62.930000,0.000000,1719.55

58,14:15-14:30,0.370000,21.280000,43.570000,255.520000,17.470000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,172.2,24.200000,0.970000,73.8,0.000000,4.840000,48.410000,0.000000,23.180000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,106.500000,38.730000,47.440000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,7.84,0.980000,85.170000,62.930000,0.000000,1714.68

59,14:30-14:45,0.370000,21.280000,43.570000,255.520000,17.470000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,169.4,24.200000,0.970000,72.6,0.000000,4.840000,48.410000,0.000000,23.180000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,106.500000,38.730000,47.440000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,6.97,0.980000,85.170000,62.930000,0.000000,1709.81

60,14:45-15:00,0.370000,21.280000,43.570000,255.520000,17.470000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,163.1,24.200000,0.970000,69.9,0.000000,4.840000,48.410000,0.000000,23.180000,0.610000,63.180000,15.810000,62.930000,23.720000,37.730000,106.500000,38.730000,47.440000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,6.58,0.980000,85.170000,62.930000,0.000000,1700.42

61,15:00-15:15,0.370000,21.280000,43.570000,255.520000,17.560000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,155.4,24.200000,0.970000,66.6,0.000000,4.840000,48.410000,0.000000,23.180000,0.610000,63.180000,15.810000,62.930000,23.720000,38.750000,106.500000,38.730000,47.440000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,6.1,0.980000,85.170000,62.930000,0.000000,1690.05

62,15:15-15:30,0.370000,21.280000,43.570000,255.520000,17.560000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,145.6,24.200000,0.970000,62.4,0.000000,4.840000,48.410000,0.000000,23.180000,0.610000,63.180000,15.810000,62.930000,23.720000,38.750000,106.500000,38.730000,47.440000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,5.91,0.980000,85.170000,62.930000,0.000000,1675.86

63,15:30-15:45,0.370000,21.280000,43.570000,255.520000,17.560000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,137.2,24.200000,0.970000,58.8,0.000000,4.840000,48.410000,0.000000,23.180000,0.610000,63.180000,15.810000,62.930000,23.720000,38.750000,106.500000,38.730000,47.440000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,5.81,0.980000,85.170000,62.930000,0.000000,1663.76

64,15:45-16:00,0.370000,21.280000,43.570000,255.520000,17.560000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,123.2,24.200000,0.970000,52.8,0.000000,4.840000,48.410000,0.000000,23.180000,0.610000,63.180000,15.810000,62.930000,23.720000,38.750000,106.500000,38.730000,47.440000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,5.33,0.980000,85.170000,62.930000,0.000000,1643.28

65,16:00-16:15,0.370000,21.280000,43.570000,255.520000,17.650000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,110.6,24.200000,0.970000,47.4,0.000000,4.840000,48.410000,0.000000,23.180000,0.610000,63.180000,15.810000,62.930000,23.720000,38.750000,106.500000,38.730000,47.440000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,5.23,0.980000,85.170000,62.930000,0.000000,1625.27

66,16:15-16:30,0.370000,21.280000,43.570000,255.520000,17.650000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,102.2,24.200000,0.970000,43.8,0.000000,4.840000,48.410000,0.000000,23.180000,0.610000,63.180000,15.810000,62.930000,23.720000,38.750000,106.500000,38.730000,47.440000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,4.74,0.980000,85.170000,62.930000,0.000000,1612.78

67,16:30-16:45,0.370000,21.280000,43.570000,255.520000,17.650000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,89.6,24.200000,0.970000,38.4,0.000000,4.840000,48.410000,0.000000,23.180000,0.610000,63.180000,15.810000,62.930000,23.720000,38.750000,106.500000,38.730000,47.440000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,4.36,0.980000,85.170000,62.930000,0.000000,1594.4

68,16:45-17:00,0.370000,21.280000,43.570000,255.520000,17.650000,146.200000,24.200000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,77,24.200000,0.970000,33,0.000000,4.840000,48.410000,0.000000,23.180000,0.610000,63.180000,15.810000,62.930000,23.720000,38.750000,106.500000,38.730000,47.440000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,2.03,0.980000,85.170000,62.930000,0.000000,1574.07

69,17:00-17:15,0.370000,21.280000,43.570000,255.520000,17.750000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,65.8,24.200000,0.680000,28.2,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,38.750000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,1.94,0.980000,85.170000,62.930000,0.000000,1404.9

70,17:15-17:30,0.370000,21.280000,43.570000,255.520000,17.750000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,59.5,24.200000,0.680000,25.5,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,38.750000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,1.45,0.980000,85.170000,62.930000,0.000000,1395.41

71,17:30-17:45,0.370000,21.280000,43.570000,255.520000,17.750000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,49,24.200000,0.680000,21,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,38.750000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,1.16,0.980000,85.170000,62.930000,0.000000,1380.12

72,17:45-18:00,0.370000,21.280000,43.570000,255.520000,17.750000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,0.000000,38.5,24.200000,0.680000,16.5,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.810000,62.930000,23.720000,38.750000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,7.750000,0.920000,1.020000,23.240000,0.980000,0.68,0.980000,85.170000,62.930000,0.000000,1364.64

73,18:00-18:15,0.370000,21.280000,43.570000,255.520000,17.930000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,36.530000,28,24.200000,0.680000,12,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,37.730000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.980000,0.48,0.980000,85.170000,62.930000,0.000000,1391.68

74,18:15-18:30,0.370000,21.280000,43.570000,255.520000,17.930000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,36.530000,21,24.200000,0.680000,9,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,37.730000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.980000,0,0.980000,85.170000,62.930000,0.000000,1381.2

75,18:30-18:45,0.370000,21.280000,43.570000,255.520000,17.930000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,36.530000,17.5,24.200000,0.680000,7.5,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,37.730000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.980000,0,0.980000,85.170000,62.930000,0.000000,1376.2

76,18:45-19:00,0.370000,21.280000,43.570000,255.520000,17.930000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,36.530000,14,24.200000,0.680000,6,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,37.730000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.980000,0,0.980000,85.170000,62.930000,0.000000,1371.2

77,19:00-19:15,0.370000,21.280000,43.570000,255.520000,18.030000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,36.530000,9.34,24.200000,0.730000,4,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,37.730000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.980000,0,0.980000,85.170000,62.930000,0.000000,1364.69

78,19:15-19:30,0.370000,21.280000,43.570000,255.520000,18.030000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,36.530000,4.12,24.200000,0.730000,1.77,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,37.730000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.980000,0,0.980000,85.170000,62.930000,0.000000,1357.24

79,19:30-19:45,0.370000,21.280000,43.570000,255.520000,18.030000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,36.530000,0.97,24.200000,0.730000,0.41,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,37.730000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.980000,0,0.980000,85.170000,62.930000,0.000000,1352.73

80,19:45-20:00,0.370000,21.280000,43.570000,255.520000,18.030000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.970000,36.530000,0,24.200000,0.730000,0,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,37.730000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.980000,0,0.980000,85.170000,62.930000,0.000000,1351.35

81,20:00-20:15,0.370000,21.280000,43.570000,255.520000,18.210000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.770000,0,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,36.700000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1350.39

82,20:15-20:30,0.370000,21.280000,43.570000,255.520000,18.210000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.770000,0,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,36.700000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1350.39

83,20:30-20:45,0.370000,21.280000,43.570000,255.520000,18.210000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.770000,0,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,36.700000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1350.39

84,20:45-21:00,0.370000,21.280000,43.570000,255.520000,18.210000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.770000,0,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,36.700000,48.410000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1350.39

85,21:00-21:15,0.370000,21.280000,43.570000,255.520000,18.400000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.770000,0,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,36.700000,91.980000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1394.15

86,21:15-21:30,0.370000,21.280000,43.570000,255.520000,18.400000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.770000,0,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,36.700000,91.980000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1394.15

87,21:30-21:45,0.370000,21.280000,43.570000,255.520000,18.400000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.770000,0,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.830000,62.930000,23.720000,36.700000,91.980000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1394.15

88,21:45-22:00,0.370000,21.280000,43.570000,255.520000,18.400000,146.220000,0.000000,0.000000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.770000,0,0.000000,4.840000,48.410000,0.000000,0.000000,0.610000,63.180000,15.870000,62.930000,23.720000,36.700000,91.980000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,14.280000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1394.19

89,22:00-22:15,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.730000,0,0.000000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,35.690000,91.980000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1779.55

90,22:15-22:30,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.730000,0,0.000000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,35.690000,91.980000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1779.55

91,22:30-22:45,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.730000,0,0.000000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,35.690000,91.980000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1779.55

92,22:45-23:00,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.730000,0,0.000000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,35.690000,91.980000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1779.55

93,23:00-23:15,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.630000,0,0.000000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,35.690000,91.980000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1779.45

94,23:15-23:30,0.370000,21.280000,43.570000,255.520000,18.580000,146.220000,0.000000,54.220000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.630000,0,0.000000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,35.690000,91.980000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1779.45

95,23:30-23:45,0.370000,21.280000,43.570000,255.520000,18.580000,125.350000,0.000000,54.220000,0.520000,0.610000,63.630000,0.920000,36.530000,0,24.200000,0.630000,0,0.000000,4.840000,48.410000,23.240000,23.180000,0.610000,63.180000,232.470000,62.930000,23.720000,35.690000,91.980000,38.730000,0.000000,0.000000,0.000000,85.690000,24.200000,0.000000,6.780000,24.200000,64.390000,83.270000,0.920000,1.020000,23.240000,0.930000,0,0.930000,85.170000,62.930000,0.000000,1758.58

