Time,Block,NR/2023/13908/A,NR/2023/16656/C,NR/2023/13242/A,NR/2023/13385/A,NR/2023/13254/A,NR/2023/13165/A,NR/2023/13636/A,NR/2023/13387/A,NR/2023/16650/D,NR/2023/16191/A,NR/2023/16185/A,NR/2023/16291/F,NR/2023/13383/A,NR/2023/16520/F,NR/2023/16073/A,NR/2023/16638/D,NR/2023/13376/A,NR/2023/16077/A,NR/2023/13253/A,NR/2023/16437/F,NR/2023/13519/A,NR/2023/13148/A,NR/2023/16651/D,NR/2023/16669/C,NR/2023/16291/F/II,NR/2023/13150/A,NR/2023/16666/C,NR/2023/16648/D,NR/2023/15770/A,NR/2023/16647/D,NR/2023/16663/C,Total
72,17:45-18:00,175.160000,8.070000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0.74,216.190000,62.870000,0.000000,0.000000,0.000000,24.180000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,0.000000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.190000,1144.09

73,18:00-18:15,175.160000,9.080000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0.41,216.190000,62.870000,0.000000,0.000000,0.000000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,36.500000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1157.27

74,18:15-18:30,175.160000,9.080000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0.15,216.190000,62.870000,0.000000,0.000000,0.000000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,36.500000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1157.01

75,18:30-18:45,175.160000,9.080000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,0.000000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,36.500000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1156.86

76,18:45-19:00,175.160000,9.080000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,0.000000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,36.500000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1156.86

77,19:00-19:15,175.160000,9.080000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,48.360000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,36.500000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.560000,1205.41

78,19:15-19:30,175.160000,9.080000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,48.360000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,36.500000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.560000,1205.41

79,19:30-19:45,175.160000,9.080000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,48.360000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,36.500000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.560000,1205.41

80,19:45-20:00,175.160000,9.080000,0.000000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,48.360000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,36.500000,2.460000,0.000000,0.820000,63.070000,0.000000,67.710000,29.020000,4.840000,12.560000,1205.41

81,20:00-20:15,175.160000,9.080000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,48.360000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.560000,1331.69

82,20:15-20:30,175.160000,9.080000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,48.360000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.560000,1331.69

83,20:30-20:45,175.160000,9.080000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,48.360000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.560000,1331.69

84,20:45-21:00,175.160000,9.080000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,48.360000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,0.000000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.560000,1331.69

85,21:00-21:15,175.160000,9.080000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,48.360000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.560000,1390.15

86,21:15-21:30,175.160000,9.080000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,48.360000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.560000,1390.15

87,21:30-21:45,175.160000,9.080000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,48.360000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.560000,1390.15

88,21:45-22:00,175.160000,9.080000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,0.000000,48.360000,0.000000,18.990000,20.310000,0.000000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.560000,1390.15

89,22:00-22:15,175.160000,8.070000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,48.360000,0.000000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.470000,1500.29

90,22:15-22:30,175.160000,8.070000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,48.360000,0.000000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.470000,1500.29

91,22:30-22:45,175.160000,8.070000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,48.360000,0.000000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.470000,1500.29

92,22:45-23:00,175.160000,8.070000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,48.360000,0.000000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.470000,1500.29

93,23:00-23:15,175.160000,8.070000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,48.360000,0.000000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1500.19

94,23:15-23:30,175.160000,8.070000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,48.360000,0.000000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1500.19

95,23:30-23:45,175.160000,8.070000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,48.360000,0.000000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1500.19

96,23:45-24:00,175.160000,8.070000,29.600000,50.060000,19.630000,22.250000,22.580000,100.120000,0,216.190000,62.870000,0.000000,33.370000,48.360000,0.000000,18.990000,20.310000,77.870000,48.360000,174.470000,58.460000,36.500000,2.460000,96.730000,0.770000,63.070000,0.000000,67.710000,29.020000,4.840000,12.370000,1500.19

