Time,Block,NR/2023/10236/A,NR/2023/10487/A,NR/2023/10944/A,NR/2023/11862/F,NR/2023/12428/C,NR/2023/11342/A,NR/2023/10613/A,NR/2023/11962/F,NR/2023/10434/A,NR/2023/11947/F,NR/2023/11955/F,NR/2023/10344/A,NR/2023/11957/F,NR/2023/11330/A,NR/2023/11963/F,NR/2023/11476/A,NR/2023/11952/F,NR/2023/11642/A,NR/2023/11956/F,NR/2023/11941/F,NR/2023/12404/D,NR/2023/12433/C,NR/2023/12415/C,NR/2023/10229/A,NR/2023/10611/A,NR/2023/11960/F,NR/2023/12423/C,NR/2023/11961/F,NR/2023/12436/C,NR/2023/11643/A,NR/2023/11958/F,NR/2023/11959/F,NR/2023/12405/D,NR/2023/12411/D,NR/2023/12412/D,Total
65,16:00-16:15,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.730000,11.220000,0.770000,0.000000,13.010000,0.620000,0.730000,4.73,53.1,123.9,903.32

66,16:15-16:30,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.730000,11.220000,0.770000,0.000000,13.010000,0.620000,0.730000,3.76,46.8,109.2,881.35

67,16:30-16:45,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.730000,11.220000,0.770000,0.000000,13.010000,0.620000,0.730000,3.76,40.8,95.2,861.35

68,16:45-17:00,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,69.080000,0.000000,30.570000,42.740000,9.920000,0.730000,11.220000,0.770000,0.000000,13.010000,0.620000,0.730000,2.89,35.4,82.6,844.69

69,17:00-17:15,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,80.840000,0.000000,31.590000,42.740000,9.920000,0.730000,11.310000,0.770000,0.000000,13.010000,0.620000,0.730000,2.6,28.8,67.2,835.27

70,17:15-17:30,213.720000,41.430000,0.000000,2.890000,13.490000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,80.840000,0.000000,31.590000,42.740000,9.920000,0.730000,11.310000,0.770000,0.000000,13.010000,0.620000,0.730000,1.64,21.9,51.1,824.8

71,17:30-17:45,213.720000,41.430000,0.000000,2.890000,15.420000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,133.730000,0.000000,31.590000,42.740000,9.920000,0.730000,11.310000,0.770000,0.000000,13.010000,0.620000,0.730000,0.87,16.5,38.5,860.85

72,17:45-18:00,213.720000,41.430000,0.000000,2.890000,19.270000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,0.000000,14.450000,0.400000,62.630000,192.700000,0.000000,31.590000,42.740000,9.920000,0.730000,11.310000,0.770000,0.000000,13.010000,0.620000,0.730000,0.21,12,28,908.01

73,18:00-18:15,213.720000,41.430000,0.000000,2.890000,25.050000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,192.700000,0.000000,32.610000,42.740000,9.920000,0.730000,11.410000,0.770000,0.000000,13.010000,0.620000,0.730000,0,9,21,941.05

74,18:15-18:30,213.720000,41.430000,0.000000,2.890000,6.740000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,192.700000,0.000000,32.610000,42.740000,9.920000,0.730000,11.410000,0.770000,0.000000,13.010000,0.620000,0.730000,0,4.5,10.5,907.74

75,18:30-18:45,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,192.700000,0.000000,32.610000,42.740000,9.920000,0.730000,11.410000,0.770000,0.000000,13.010000,0.620000,0.730000,0,3,7,896

76,18:45-19:00,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.460000,24.090000,6.740000,0.360000,12.210000,0.770000,0.000000,0.460000,48.180000,36.350000,14.450000,0.400000,62.630000,192.700000,0.000000,32.610000,42.740000,9.920000,0.730000,11.410000,0.770000,0.000000,13.010000,0.620000,0.730000,0,1.5,3.5,891

77,19:00-19:15,213.720000,41.430000,0.000000,2.890000,0.000000,115.620000,0.000000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,0.000000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,192.700000,0.000000,32.610000,42.740000,9.920000,0.810000,11.590000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,886.77

78,19:15-19:30,213.720000,41.430000,0.000000,2.890000,16.380000,115.620000,0.000000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,0.000000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,192.700000,0.000000,32.610000,42.740000,9.920000,0.810000,11.590000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,903.15

79,19:30-19:45,213.720000,41.430000,0.000000,2.890000,12.530000,115.620000,0.000000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,0.000000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,192.700000,0.000000,32.610000,42.740000,9.920000,0.810000,11.590000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,899.3

80,19:45-20:00,213.720000,41.430000,0.000000,2.890000,30.830000,115.620000,0.000000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,0.000000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,192.700000,0.000000,32.610000,42.740000,9.920000,0.810000,11.590000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,917.6

81,20:00-20:15,213.720000,41.430000,0.000000,2.890000,26.980000,115.620000,0.000000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,0.000000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,192.700000,0.000000,32.610000,42.740000,9.920000,0.810000,11.770000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,913.93

82,20:15-20:30,213.720000,41.430000,0.000000,2.890000,26.010000,115.620000,0.000000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,0.000000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,192.700000,0.000000,32.610000,42.740000,9.920000,0.810000,11.770000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,912.96

83,20:30-20:45,213.720000,41.430000,0.000000,2.890000,82.860000,115.620000,0.000000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,0.000000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,192.700000,0.000000,32.610000,42.740000,9.920000,0.810000,11.770000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,969.81

84,20:45-21:00,213.720000,41.430000,0.000000,2.890000,102.130000,115.620000,0.000000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,0.000000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,192.700000,0.000000,32.610000,42.740000,9.920000,0.810000,11.770000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,989.08

85,21:00-21:15,213.720000,41.430000,0.000000,2.890000,139.710000,115.620000,0.000000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,0.000000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,133.730000,0.000000,32.610000,42.740000,9.920000,0.810000,11.960000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,967.88

86,21:15-21:30,213.720000,41.430000,0.000000,2.890000,165.720000,115.620000,0.000000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,0.000000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,133.730000,0.000000,32.610000,42.740000,9.920000,0.810000,11.960000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,993.89

87,21:30-21:45,213.720000,41.430000,0.000000,2.890000,222.570000,115.620000,0.000000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,0.000000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,66.870000,0.000000,32.610000,42.740000,9.920000,0.810000,11.960000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,983.88

88,21:45-22:00,213.720000,41.430000,0.000000,2.890000,273.630000,115.620000,0.000000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,0.000000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,66.870000,0.000000,32.610000,42.740000,9.920000,0.810000,11.960000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,1034.94

89,22:00-22:15,213.720000,41.430000,23.120000,2.890000,112.730000,115.620000,12.620000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,53.960000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.810000,12.140000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,961.88

90,22:15-22:30,213.720000,41.430000,23.120000,2.890000,113.690000,115.620000,12.620000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,53.960000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.810000,12.140000,0.860000,28.900000,13.010000,0.720000,0.810000,0,0,0,991.74

91,22:30-22:45,213.720000,41.430000,23.120000,2.890000,114.660000,115.620000,12.620000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,53.960000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.810000,12.140000,0.860000,104.060000,13.010000,0.720000,0.810000,0,0,0,1067.87

92,22:45-23:00,213.720000,41.430000,23.120000,2.890000,101.170000,115.620000,12.620000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,53.960000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.810000,12.140000,0.860000,104.060000,13.010000,0.720000,0.810000,0,0,0,1054.38

93,23:00-23:15,213.720000,41.430000,23.120000,2.890000,415.270000,115.620000,12.620000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,53.960000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.810000,12.320000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,1264.6

94,23:15-23:30,213.720000,41.430000,23.120000,2.890000,422.980000,115.620000,12.620000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,53.960000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.810000,12.320000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,1272.31

95,23:30-23:45,213.720000,41.430000,23.120000,2.890000,424.900000,115.620000,12.620000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,53.960000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.810000,12.320000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,1274.23

96,23:45-24:00,213.720000,41.430000,23.120000,2.890000,423.940000,115.620000,12.620000,0.510000,24.090000,6.740000,0.360000,12.210000,0.870000,53.960000,0.510000,48.180000,36.350000,14.450000,0.440000,62.630000,66.870000,0.000000,30.570000,42.740000,9.920000,0.810000,12.320000,0.860000,0.000000,13.010000,0.720000,0.810000,0,0,0,1273.27

