Column1,Block,GNA/NR/2025/08/01/5126,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4125,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5784,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/2414,NR/2025/32535/A/101133,NR/2025/32535/A/101132,NR/2025/32534/A/101131,NR/2025/33637/A/101147,NR/2025/32599/A/100946,NR/2025/33632/A/101149,NR/2025/33633/A/101148,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/101128,NR/2025/32532/A/101129,NR/2025/32534/A/101130,NR/2025/34680/C,NR/2025/32397/A/100687,NR/2025/31421/A/101210,NR/2025/32556/A/101113,NR/2025/31045/A/101237,NR/2025/31043/A/101239,NR/2025/32375/A/101207,NR/2025/32455/A/101268,NR/2025/32559/A/101112,NR/2025/32610/A/101111,NR/2025/29440/A/100730,NR/2025/34637/C,NR/2025/29992/A/100816,NR/2025/34638/C,NR/2025/32262/A/100766,NR/2025/34639/C,NR/2025/31049/A/101235,NR/2025/31048/A/101236,NR/2025/34263/A/101192,NR/2025/34626/C,NR/2025/34078/A/100811,NR/2025/34664/C,NR/2025/34247/A/101225,NR/2025/32004/A/101116,NR/2025/34658/C,NR/2025/34625/C,NR/2025/34622/C,NR/2025/34657/C,NR/2025/34647/C,Total
56,13:45-14:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.38,0.19,0.26,1.64,151,1.15,1.44,90.93,0.48,0.39,0.29,8.81,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,0,13.47,192.42,0,0,48.1,0,163.56,48.1,76.6,1409.5199999999998

57,14:00-14:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.38,0.19,0.26,1.64,140,1.15,1.44,81.83,0.48,0.39,0.29,8.81,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,96.21,13.47,192.42,0,0,48.1,96.21,163.56,48.1,76.6,1581.8399999999997

58,14:15-14:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.38,0.19,0.26,1.64,140,1.15,1.44,78.84,0.48,0.39,0.29,8.81,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,96.21,13.47,192.42,0,0,48.1,96.21,163.56,48.1,76.6,1578.8499999999997

59,14:30-14:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.58,0.19,0.67,1.64,126,1.15,1.44,75.86,0.48,0.96,0.29,8.81,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,96.21,13.47,192.42,0,0,48.1,96.21,163.56,48.1,76.6,1563.0499999999997

60,14:45-15:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.67,0.19,0.67,1.64,123,1.15,1.44,72.87,0.48,0.96,0.29,8.81,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,96.21,13.47,192.42,0,0,48.1,96.21,163.56,48.1,76.6,1557.1499999999996

61,15:00-15:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.67,0.19,0.67,1.64,95,1.15,1.44,64.72,0.48,0.96,0.29,10.77,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,96.21,13.47,192.42,0,0,48.1,96.21,163.56,48.1,76.6,1522.9599999999998

62,15:15-15:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.67,0.19,0.77,1.64,88,1.15,1.44,60.21,0.48,0.96,0.29,10.77,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,96.21,13.47,192.42,0,0,48.1,96.21,163.56,48.1,76.6,1511.5499999999997

63,15:30-15:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.67,0.19,0.77,1.64,63,1.15,1.44,55.7,0.48,0.96,0.29,10.77,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,96.21,13.47,192.42,0,0,48.1,96.21,163.56,48.1,76.6,1482.0399999999997

64,15:45-16:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.67,0.19,0.77,1.64,56,1.15,1.44,51.2,0.48,0.96,0.29,10.77,0,0,0,0,0,0,0,0,0,0.96,43.73,44.26,43.73,0,37.18,0,0,81.78,96.21,13.47,192.42,0,0,48.1,96.21,163.56,48.1,76.6,1470.5399999999997

65,16:00-16:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.67,0.19,0.77,0,56,0,0,38.33,0.48,0.96,0.29,10.77,0,48.1,43.73,96.21,0,48.1,0,43.73,37.18,0.87,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1453.35

66,16:15-16:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0.63,0.19,0.77,0,56,0,0,35,0.48,0.96,0.29,10.77,0,48.1,43.73,96.21,0,48.1,0,43.73,37.18,0.87,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1449.98

67,16:30-16:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0.19,0.77,0,46,0,0,18.33,0.48,0.96,0.29,10.77,0,48.1,43.73,96.21,0,48.1,0,43.73,37.18,0.87,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1422.6799999999998

68,16:45-17:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0.19,0.77,0,46,0,0,16.67,0.48,0.96,0.29,8.81,0,48.1,43.73,96.21,0,48.1,0,43.73,37.18,0.87,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1419.06

69,17:00-17:15,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0.19,0.77,0,35,0,0,15,0.48,0.96,0.29,8.16,8.66,48.1,43.73,96.21,0,48.1,0,43.73,37.18,0.87,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1414.4

70,17:15-17:30,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0.19,0.77,0,32,0,0,13.33,0.48,0.96,0.29,7.88,8.66,48.1,43.73,96.21,0,48.1,0,43.73,37.18,0.87,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1409.45

71,17:30-17:45,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0.19,0.77,0,28,0,0,11.67,0.48,0,0.29,7.7,8.66,48.1,43.73,96.21,0,48.1,0,43.73,37.18,0.87,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1402.65

72,17:45-18:00,20.44,0,14.58,0,28.93,14.58,15.25,81.78,19.24,20.76,81.78,0,20.44,40.89,0,0.19,0.77,0,22,0,0,10,0.48,0,0.29,7.76,8.66,48.1,43.73,96.21,0,48.1,0,43.73,37.18,0.87,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1395.04

73,18:00-18:15,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,0,20.44,40.89,0,0,0.77,0,18,0,0,7.79,0,0,0,8.58,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.87,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1354.1899999999998

74,18:15-18:30,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,0,20.44,40.89,0,0,0,0,11,0,0,5.68,0,0,0,6.23,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.87,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1341.96

75,18:30-18:45,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,0,20.44,40.89,0,0,0,0,7,0,0,3.56,0,0,0,4.07,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.87,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1333.6799999999998

76,18:45-19:00,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,0,20.44,40.89,0,0,0,0,5,0,0,1.45,0,0,0,2.61,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.87,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1328.11

77,19:00-19:15,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,0,20.44,40.89,0,0,0,0,1,0,0,0.81,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1320.8999999999999

78,19:15-19:30,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0.36,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1319.4499999999998

79,19:30-19:45,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0.09,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1319.1799999999998

80,19:45-20:00,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,0,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,0,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1319.09

81,20:00-20:15,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,54.12,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1376.4299999999998

82,20:15-20:30,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,54.12,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1376.4299999999998

83,20:30-20:45,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,54.12,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1376.4299999999998

84,20:45-21:00,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,54.12,0,96.21,0,81.78,0,13.47,192.42,163.56,76.6,0,0,0,0,0,1376.4299999999998

85,21:00-21:15,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,54.12,0,96.21,0,81.78,0,13.47,192.42,163.56,105.83,0,0,0,0,0,1405.6599999999999

86,21:15-21:30,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,54.12,0,96.21,0,81.78,0,13.47,192.42,163.56,105.83,0,0,0,0,0,1405.6599999999999

87,21:30-21:45,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,54.12,0,96.21,0,81.78,0,13.47,192.42,163.56,105.83,0,0,0,0,0,1405.6599999999999

88,21:45-22:00,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,54.12,0,96.21,0,81.78,0,13.47,192.42,163.56,105.83,0,0,0,0,0,1405.6599999999999

89,22:00-22:15,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,54.12,0,96.21,0,81.78,0,13.47,192.42,163.56,105.83,0,0,0,0,0,1405.6599999999999

90,22:15-22:30,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,54.12,0,96.21,0,81.78,0,13.47,192.42,163.56,105.83,0,0,0,0,0,1405.6599999999999

91,22:30-22:45,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,54.12,0,96.21,0,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1404.6999999999998

92,22:45-23:00,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.91,0,44.26,0,54.12,0,96.21,0,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1404.6999999999998

93,23:00-23:15,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.87,0,44.26,0,54.12,0,96.21,0,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1404.6599999999999

94,23:15-23:30,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.87,0,44.26,0,54.12,0,96.21,0,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1404.6599999999999

95,23:30-23:45,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.87,0,44.26,0,54.12,0,96.21,0,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1404.6599999999999

96,23:45-24:00,20.44,0,14.58,0,28.93,14.58,0,33.67,0,20.76,81.78,3.22,20.44,40.89,0,0,0,0,0,0,0,0,0,0,0,0,8.66,48.1,43.73,96.21,0,48.1,48.1,43.73,37.18,0.87,0,44.26,0,54.12,0,96.21,0,81.78,0,12.51,192.42,163.56,105.83,0,0,0,0,0,1404.6599999999999

