Time,Block,NR/2024/19121/A/17615,NR/2024/19024/A/17594,NR/2024/19764/A/17814,NR/2024/18919/A/18109,NR/2024/18986/A/17478,NR/2024/19043/A/17546,NR/2024/19975/C,NR/2024/19726/A/17578,NR/2024/19337/A/17592,NR/2024/19787/A/17735,NR/2024/18977/A/17492,NR/2024/19976/C,NR/2024/19143/A/17561,NR/2024/19290/A/18184,NR/2024/19245/A/17593,NR/2024/19656/A/17590,NR/2024/19739/A/17589,NR/2024/18935/A/17503,NR/2024/19970/C,NR/2024/19172/A/18185,NR/2024/18996/A/18079,NR/2024/19030/A/17551,NR/2024/18934/A/17504,NR/2024/19484/A/18173,NR/2024/18976/A/17493,NR/2024/19989/C,NR/2024/19075/A/17565,NR/2024/18855/A/17616,NR/2024/20007/C,NR/2024/19485/A/18174,NR/2024/19469/A/17591,NR/2024/19483/A/18172,NR/2024/19727/A/17573,NR/2024/20004/C,NR/2024/19115/A/17564,NR/2024/18978/A/17491,NR/2024/19984/C,NR/2024/18936/A/17502,Total
58,14:15-14:30,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,1.930000,0.000000,5.800000,5.57,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,863.05

59,14:30-14:45,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,1.930000,0.000000,5.800000,3.4,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,860.88

60,14:45-15:00,0.000000,4.830000,72.480000,0.000000,0.970000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,1.930000,0.000000,5.800000,2.26,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,859.74

61,15:00-15:15,0.000000,4.830000,72.480000,0.000000,0.720000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,2.900000,0.000000,5.800000,2.25,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,860.45

62,15:15-15:30,0.000000,4.830000,72.480000,0.000000,0.720000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,2.900000,0.000000,5.800000,1.79,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,859.99

63,15:30-15:45,0.000000,4.830000,72.480000,0.000000,0.720000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,2.900000,0.000000,5.800000,2.21,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,860.41

64,15:45-16:00,0.000000,4.830000,72.480000,0.000000,0.720000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,2.900000,0.000000,5.800000,3.35,77.310000,48.320000,19.330000,4.830000,37.330000,39.620000,0.000000,19.330000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,14.500000,0.000000,6.760000,861.55

65,16:00-16:15,0.000000,4.830000,72.480000,0.000000,0.720000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,2.900000,0.000000,5.800000,4.08,77.310000,48.320000,0.000000,4.830000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,769.5

66,16:15-16:30,0.000000,4.830000,72.480000,0.000000,0.720000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,2.900000,0.000000,5.800000,3.01,77.310000,48.320000,0.000000,4.830000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,768.43

67,16:30-16:45,0.000000,4.830000,72.480000,0.000000,0.720000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,2.900000,0.000000,5.800000,2.64,77.310000,48.320000,0.000000,4.830000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,768.06

68,16:45-17:00,0.000000,4.830000,72.480000,0.000000,0.720000,46.390000,111.430000,0.000000,1.930000,48.320000,57.980000,72.480000,0.000000,45.100000,1.930000,2.900000,0.000000,5.800000,2.37,77.310000,48.320000,0.000000,4.830000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,6.760000,767.79

69,17:00-17:15,0.000000,4.830000,72.480000,0.000000,0.680000,0.000000,111.430000,0.000000,1.930000,48.320000,0.000000,72.480000,0.000000,45.100000,1.930000,2.900000,0.000000,0.000000,1.7,77.310000,48.320000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,645.32

70,17:15-17:30,0.000000,4.830000,72.480000,0.000000,0.680000,0.000000,111.430000,0.000000,1.930000,48.320000,0.000000,72.480000,0.000000,45.100000,1.930000,2.900000,0.000000,0.000000,1.32,77.310000,48.320000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,644.94

71,17:30-17:45,0.000000,4.830000,72.480000,0.000000,0.680000,0.000000,111.430000,0.000000,1.930000,48.320000,0.000000,72.480000,0.000000,54.650000,1.930000,2.900000,0.000000,0.000000,1.09,93.690000,48.320000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,670.64

72,17:45-18:00,0.000000,4.830000,72.480000,0.000000,0.680000,0.000000,111.430000,0.000000,1.930000,48.320000,0.000000,72.480000,0.000000,54.650000,1.930000,2.900000,0.000000,0.000000,0.86,93.690000,48.320000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,670.41

73,18:00-18:15,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,0.000000,1.930000,0.000000,0.000000,26.090000,0.000000,57.040000,1.930000,1.930000,0.000000,0.000000,0.53,97.790000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,515.85

74,18:15-18:30,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,0.000000,1.930000,0.000000,0.000000,26.090000,0.000000,57.040000,1.930000,1.930000,0.000000,0.000000,0.24,97.790000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,515.56

75,18:30-18:45,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,0.000000,1.930000,0.000000,0.000000,26.090000,0.000000,59.420000,1.930000,1.930000,0.000000,0.000000,0.1,101.880000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,521.89

76,18:45-19:00,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,0.000000,1.930000,0.000000,0.000000,26.090000,0.000000,59.420000,1.930000,1.930000,0.000000,0.000000,0,101.880000,0.000000,0.000000,0.000000,37.330000,0.000000,0.000000,0.000000,66.870000,0,37.330000,1.930000,12.450000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,521.79

77,19:00-19:15,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,0.000000,1.930000,0.000000,0.000000,26.090000,2.000000,61.820000,1.930000,1.930000,0.000000,0.000000,0,105.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,0,37.330000,1.930000,12.450000,193.280000,0.000000,0.000000,0.000000,0.000000,0.000000,1013.48

78,19:15-19:30,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,0.000000,1.930000,0.000000,0.000000,26.090000,2.000000,61.820000,1.930000,1.930000,0.000000,0.000000,0,105.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,0,37.330000,1.930000,12.450000,193.280000,0.000000,0.000000,0.000000,0.000000,0.000000,1013.48

79,19:30-19:45,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,0.000000,1.930000,0.000000,0.000000,26.090000,2.000000,64.210000,1.930000,1.930000,0.000000,0.000000,0,110.060000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,0,37.330000,1.930000,12.450000,193.280000,0.000000,0.000000,0.000000,0.000000,0.000000,1019.96

80,19:45-20:00,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,0.000000,1.930000,0.000000,0.000000,26.090000,2.000000,67.650000,1.930000,1.930000,0.000000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,0,37.330000,1.930000,12.450000,193.280000,0.000000,0.000000,0.000000,0.000000,0.000000,1029.31

81,20:00-20:15,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,96.640000,1.930000,0.000000,0.000000,26.090000,2.000000,67.650000,1.930000,1.930000,0.000000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,55.86,37.330000,1.930000,12.450000,193.280000,0.000000,0.000000,0.000000,386.560000,0.000000,1568.37

82,20:15-20:30,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,96.640000,1.930000,0.000000,0.000000,26.090000,2.000000,67.650000,1.930000,1.930000,0.000000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,55.86,37.330000,1.930000,12.450000,193.280000,0.000000,0.000000,0.000000,386.560000,0.000000,1568.37

83,20:30-20:45,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,96.640000,1.930000,0.000000,0.000000,26.090000,2.000000,67.650000,1.930000,1.930000,0.000000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,55.86,37.330000,1.930000,12.450000,193.280000,0.000000,0.000000,0.000000,386.560000,0.000000,1568.37

84,20:45-21:00,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,96.640000,1.930000,0.000000,0.000000,26.090000,2.000000,67.650000,1.930000,1.930000,0.000000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,55.86,37.330000,1.930000,12.450000,193.280000,0.000000,0.000000,0.000000,386.560000,0.000000,1568.37

85,21:00-21:15,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,96.640000,1.930000,0.000000,0.000000,26.090000,2.000000,67.650000,1.930000,0.000000,0.000000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,55.86,37.330000,1.930000,12.450000,193.280000,129.300000,0.000000,0.000000,386.560000,0.000000,1695.74

86,21:15-21:30,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,96.640000,1.930000,0.000000,0.000000,26.090000,2.000000,67.650000,1.930000,0.000000,0.000000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,55.86,37.330000,1.930000,12.450000,193.280000,129.300000,0.000000,0.000000,386.560000,0.000000,1695.74

87,21:30-21:45,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,96.640000,1.930000,0.000000,0.000000,26.090000,2.000000,67.650000,1.930000,0.000000,0.000000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,56.53,37.330000,1.930000,12.450000,193.280000,129.300000,0.000000,0.000000,386.560000,0.000000,1696.41

88,21:45-22:00,0.000000,4.830000,0.000000,0.000000,0.680000,0.000000,167.190000,96.640000,1.930000,0.000000,0.000000,26.090000,2.000000,67.650000,1.930000,0.000000,0.000000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,57.31,37.330000,1.930000,12.450000,193.280000,129.300000,0.000000,0.000000,386.560000,0.000000,1697.19

89,22:00-22:15,0.000000,4.830000,0.000000,9.660000,0.680000,0.000000,111.430000,96.640000,1.930000,0.000000,0.000000,57.980000,2.000000,67.650000,1.930000,0.000000,0.970000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,57.98,37.330000,1.930000,12.450000,193.280000,129.300000,0.000000,0.000000,386.560000,0.000000,1684.62

90,22:15-22:30,0.000000,4.830000,0.000000,9.660000,0.680000,0.000000,111.430000,96.640000,1.930000,0.000000,0.000000,57.980000,2.000000,67.650000,1.930000,0.000000,0.970000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,58.76,37.330000,1.930000,12.450000,193.280000,129.300000,0.000000,0.000000,386.560000,0.000000,1685.4

91,22:30-22:45,0.000000,4.830000,0.000000,9.660000,0.680000,0.000000,111.430000,96.640000,1.930000,0.000000,0.000000,57.980000,2.000000,67.650000,1.930000,0.000000,0.970000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,59.43,37.330000,1.930000,12.450000,193.280000,129.300000,0.000000,0.000000,386.560000,0.000000,1686.07

92,22:45-23:00,0.000000,4.830000,0.000000,9.660000,0.680000,0.000000,111.430000,96.640000,1.930000,0.000000,0.000000,57.980000,2.000000,67.650000,1.930000,0.000000,0.970000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,60.21,37.330000,1.930000,12.450000,193.280000,129.300000,0.000000,0.000000,386.560000,0.000000,1686.85

93,23:00-23:15,0.000000,4.830000,0.000000,9.660000,0.630000,0.000000,111.430000,96.640000,1.930000,0.000000,0.000000,57.980000,2.000000,67.650000,1.930000,0.000000,0.970000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,60.21,37.330000,1.930000,12.450000,193.280000,129.300000,0.000000,0.000000,386.560000,0.000000,1686.8

94,23:15-23:30,0.000000,4.830000,0.000000,9.660000,0.630000,0.000000,111.430000,96.640000,1.930000,0.000000,0.000000,57.980000,2.000000,67.650000,1.930000,0.000000,0.970000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,59.43,37.330000,1.930000,12.450000,193.280000,129.300000,0.000000,0.000000,386.560000,0.000000,1686.02

95,23:30-23:45,0.000000,4.830000,0.000000,9.660000,0.630000,0.000000,111.430000,96.640000,1.930000,0.000000,0.000000,57.980000,2.000000,67.650000,1.930000,0.000000,0.970000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,59.43,37.330000,1.930000,12.450000,193.280000,129.300000,0.000000,0.000000,386.560000,0.000000,1686.02

96,23:45-24:00,0.000000,4.830000,0.000000,9.660000,0.630000,0.000000,111.430000,96.640000,1.930000,0.000000,0.000000,57.980000,2.000000,67.650000,1.930000,0.000000,0.970000,0.000000,0,115.970000,0.000000,0.000000,0.000000,37.330000,0.000000,289.920000,0.000000,66.870000,59.43,37.330000,1.930000,12.450000,193.280000,129.300000,0.000000,0.000000,386.560000,0.000000,1686.02

