Time,Block,NR/2024/21425/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/01072024/15072024/NR/01072024/15072024/717759,NR/2024/21076/A/26269,NR/2024/21146/A/26016,NR/2024/21173/A/26150,NR/2024/20688/A/26152,NR/2024/21023/A/25996,NR/2024/21104/A/26233,NR/2024/21062/A/26018,NR/2024/21376/A/26297,NR/2024/20930/A/26156,NR/2024/21426/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/30092023/26122029/SH-06,NR/2024/19779/A/25930,NR/2024/21156/A/26013,NR/2024/20573/A/26215,NR/2024/21186/A/26263,NR/2024/21072/A/26251,NR/2024/21142/A/25971,NR/2024/21089/A/26250,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21144/A/25999,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21150/A/26014,NR/2024/21148/A/26015,NR/2024/20711/A/26298,ER/09072024/09072024/HPX-TAMCTG-090724-01596,NR/09072024/09072024/IEX_240708_01445,NR/2024/21153/A/26020,NR/2024/21152/A/25955,NR/2024/20877/A/26264,NR/2024/21339/A/25967,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21312/A/25819,NR/2024/21183/A/26271,NR/2024/21160/A/26017,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/30092023/31122025/SH-07,NR/01072024/31072024/R2,NR/01102023/23072042/L_NR_2012_04,NR/2024/21075/A/26270,NR/2024/21159/A/26019,NR/2024/20966/A/25956,NR/2024/21243/A/25998,NR/2024/21096/A/26238,NR/2024/21141/A/25973,NR/2024/21238/A/26275,NR/2024/21113/A/26249,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21087/A/26151,NR/2024/20574/A/26214,NR/2024/21108/A/26232,NR/2024/21099/A/25974,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21427/C,NR/2024/21199/A/25995,NR/2024/21227/A/26234,NR/2024/21103/A/26235,NR/2024/21210/A/25970,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21158/A/26023,Total
29,07:00-07:15,0.55,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.770000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,13.610000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1929.27

30,07:15-07:30,0.79,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.770000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,13.610000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1929.51

31,07:30-07:45,1.14,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.770000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,13.610000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1929.86

32,07:45:08:00,1.52,0,0,163.760000,90.550000,0.360000,20.710000,66.650000,0.000000,64.620000,0.000000,240.820000,0.000000,164.000000,0.000000,26.910000,0.770000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,13.610000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,0.000000,15.120000,7.710000,18.010000,0.970000,81.880000,26.910000,20.470000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,61.410000,20.710000,0.000000,24.010000,20.470000,81.880000,27.940000,0.000000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1930.24

33,08:00-08:15,2.05,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,13.610000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,8.670000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1931.92

34,08:15-08:30,2.85,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,13.610000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,8.670000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,72.250000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1932.72

35,08:30-08:45,3.86,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,13.610000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,8.670000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1981.89

36,08:45:09:00,4.44,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,13.610000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,8.670000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1982.47

37,09:00:09:15,4.89,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1982.09

38,09:15-09:30,3.87,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1981.07

39,09:30-09:45,5.51,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1982.71

40,09:45-10:00,5.88,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1983.08

41,10:00-10:15,5.69,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1982.89

42,10:15-10:30,6.16,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1983.36

43,10:30-10:45,6.65,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1983.85

44,10:45-11:00,6.17,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1983.37

45,11:00-11:15,6.14,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,11.560000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1984.3

46,11:15-11:30,7.19,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,11.560000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1985.35

47,11:30-11:45,6.54,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,11.560000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1984.7

48,11:45-12:00,5.52,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,11.560000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1983.68

49,12:00-12:15,4.93,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,11.560000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1983.09

50,12:15-12:30,4.11,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,11.560000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1982.27

51,12:30-12:45,6.58,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,11.560000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1984.74

52,12:45-13:00,5.19,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,11.560000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1983.35

53,13:00-13:15,4.13,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,8.090000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,11.560000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1979.53

54,13:15-13:30,7.26,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,8.090000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,11.560000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1982.66

55,13:30-13:45,4.8,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,11.560000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1982.96

56,13:45-14:00,2.3,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,11.560000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1980.46

57,14:00-14:15,1.49,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1978.69

58,14:15-14:30,1.72,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1978.92

59,14:30-14:45,2.92,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1980.12

60,14:45-15:00,4.67,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1981.87

61,15:00-15:15,3.74,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1980.94

62,15:15-15:30,1.6,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1978.8

63,15:30-15:45,3.87,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1981.07

64,15:45-16:00,2.5,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,26.910000,0.960000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,10.850000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.910000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1979.7

65,16:00-16:15,2.48,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.330000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1987.73

66,16:15-16:30,3.54,0,0,0.000000,90.550000,0.360000,20.710000,66.650000,81.880000,64.620000,20.470000,240.820000,163.760000,164.000000,0.000000,32.000000,0.820000,0.610000,0.000000,48.160000,37.210000,40.940000,37.210000,0.000000,0.480000,14.530000,0.880000,0.520000,96.330000,0.000000,0.000000,1.590000,1.930000,0.000000,81.880000,15.120000,10.600000,18.010000,0.970000,0.000000,26.330000,0.000000,0.000000,11.700000,0.880000,4.820000,134.860000,120.410000,0.000000,2.890000,37.210000,0.000000,20.710000,0.000000,24.010000,20.470000,0.000000,27.940000,61.410000,0.000000,83.980000,40.940000,0.000000,12.410000,0.670000,1988.79

