Column1,Block,NR/2024/21971/A/33830,NR/2024/21966/A/33608,NR/2024/21814/A/33832,NR/2024/21933/A/33576,NR/2024/21968/A/33828,NR/2024/22498/A/33884,NR/2024/21970/A/33829,NR/2024/22279/A/33558,NR/2024/22763/C,NR/2024/22623/A/33609,NR/2024/22014/A/33562,NR/2024/21961/A/33814,NR/2024/21938/A/33816,NR/2024/21860/A/33807,NR/2024/21954/A/33849,NR/2024/21940/A/33851,NR/2024/21911/A/33802,NR/2024/22010/A/33889,NR/2024/22042/A/33561,NR/2024/22751/C,NR/2024/21943/A/33847,NR/2024/22750/C,NR/2024/21918/A/33871,NR/2024/21956/A/33856,NR/2024/22610/A/33620,NR/01102023/14082046/L_NR_2021_16,NR/2024/22611/A/33619,NR/2024/22749/C,NR/01102023/02012046/L_NR_2021_17,SR/2024/13994/C,NR/2024/22756/C,NR/2024/22742/C,NR/2024/21974/A/33831,NR/2024/21658/A/33565,NR/2024/21983/A/33575,NR/30092023/31122025/SH-07,GNA/NR/2024/08/24/6404,NR/01082024/31082024/SKS-Raigarh,GNA/NR/2024/08/24/7149,NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/31082024/jitpl,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/16082024/31082024/APL-Raigarh_august,NR/30092023/26122029/SH-06,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),Total
58,14:15-14:30,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,7.24,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,15.49,0,26.9071,0,1357.7142

59,14:30-14:45,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,6.57,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,15.49,0,26.9071,0,1357.0441999999998

60,14:45-15:00,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,5.99,0,0,0,241.42,37.3,0.97,48.28,26.9071,0,12.44,0,0,0,0,0,24.68,0,15.49,0,26.9071,0,1356.4642

61,15:00-15:15,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,5.6,0,0,0,241.42,37.3,0.97,48.28,24.3748,0,12.44,0,0,0,0,0,24.68,0,15.49,0,24.3748,0,1351.0096

62,15:15-15:30,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,4.73,0,0,0,241.42,37.3,0.97,48.28,24.3748,0,12.44,0,0,0,0,0,24.68,0,15.49,0,24.3748,0,1350.1396000000002

63,15:30-15:45,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,4.35,0,0,0,241.42,37.3,0.97,48.28,24.3748,0,12.44,0,0,0,0,0,24.68,0,15.49,0,24.3748,0,1349.7596

64,15:45-16:00,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,4.06,0,0,0,241.42,37.3,0.97,48.28,24.3748,0,12.44,0,0,0,0,0,24.68,0,15.49,0,24.3748,0,1349.4696000000001

65,16:00-16:15,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,42.49,0,10.62,3.67,0,0,0,241.42,37.3,0.82,48.28,24.3748,0,12.44,0,0,0,0,0,24.68,0,15.95,0,24.3748,0,1349.3896

66,16:15-16:30,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,41.53,0,10.62,2.32,0,0,0,241.42,37.3,0.82,48.28,24.3748,0,12.44,0,0,0,0,0,24.68,0,15.95,0,24.3748,0,1347.0796

67,16:30-16:45,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,35.73,0,10.62,1.74,0,0,0,241.42,37.3,0.82,48.28,24.3748,0,12.44,0,0,0,0,0,24.68,0,15.95,0,24.3748,0,1340.6996000000001

68,16:45-17:00,37.3,96.57,48.28,24.14,37.3,21.25,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,96.57,11.72,3.86,28.01,38.63,164.41,90.78,24.14,28.01,0,10.62,1.01,0,0,0,241.42,37.3,0.82,48.28,24.3748,0,12.44,0,0,0,0,0,24.68,0,15.95,0,24.3748,0,1332.2496

69,17:00-17:15,37.3,0,48.28,0,37.3,0,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0.53,0,0,0,241.42,37.3,0.77,0,24.3748,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.95,96.57,24.3748,48.28,1293.0895999999998

70,17:15-17:30,37.3,0,48.28,0,37.3,0,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0.1,0,0,0,241.42,37.3,0.77,0,24.3748,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.95,96.57,24.3748,48.28,1292.6596

71,17:30-17:45,37.3,0,48.28,0,37.3,0,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0.05,0,0,0,241.42,37.3,0.77,0,26.9066,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.95,96.57,26.9066,48.28,1297.6731999999997

72,17:45-18:00,37.3,0,48.28,0,37.3,0,12.44,4.83,0,12.55,1.93,0,0,0,24.07,84.19,0,11.72,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0.04,0,0,0,241.42,37.3,0.77,0,26.9066,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.95,96.57,26.9066,48.28,1297.6631999999997

73,18:00-18:15,37.3,0,48.28,0,37.3,0,12.44,4.83,0,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0.01,0,0,0,241.42,37.3,0.77,0,26.9066,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.95,96.57,26.9066,48.28,1284.9532

74,18:15-18:30,37.3,0,48.28,0,37.3,0,12.44,4.83,0,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,24.14,0,0,0,0,0,0,0,241.42,37.3,0.77,0,26.9066,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.95,96.57,26.9066,48.28,1284.9432

75,18:30-18:45,37.3,0,48.28,0,37.3,0,12.44,4.83,0,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,0,241.42,37.3,0.77,0,26.9066,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.95,96.57,26.9066,48.28,1304.2631999999999

76,18:45-19:00,37.3,0,48.28,0,37.3,0,12.44,4.83,0,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,0,241.42,37.3,0.77,0,26.9066,0,12.44,0,21.25,0,0,24.14,24.68,96.57,15.95,96.57,26.9066,48.28,1304.2631999999999

77,19:00-19:15,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,32,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,19.97,48.28,1621.09

78,19:15-19:30,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,32,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,19.97,48.28,1621.09

79,19:30-19:45,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,24.3834,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,24.3834,48.28,1617.8867999999998

80,19:45-20:00,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,24.3834,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,24.3834,48.28,1617.8867999999998

81,20:00-20:15,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,32,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,19.9796,48.28,1621.0995999999998

82,20:15-20:30,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,32,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,19.9796,48.28,1621.0995999999998

83,20:30-20:45,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,32,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,19.9796,48.28,1621.0995999999998

84,20:45-21:00,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,32,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,19.9796,48.28,1621.0995999999998

85,21:00-21:15,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,24.3834,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,24.3834,48.28,1617.8867999999998

86,21:15-21:30,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,24.3834,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,24.3834,48.28,1617.8867999999998

87,21:30-21:45,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,24.3834,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,24.3834,48.28,1617.8867999999998

88,21:45-22:00,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,11.59,1.93,0,0,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,24.3834,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,24.3834,48.28,1617.8867999999998

89,22:00-22:15,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,10.62,1.93,97.78,32.59,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,24.3834,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,24.3834,48.28,1747.2867999999999

90,22:15-22:30,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,10.62,1.93,97.78,32.59,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,43.46,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,24.3834,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,24.3834,48.28,1747.2867999999999

91,22:30-22:45,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,9.66,1.93,97.78,32.59,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,24.3834,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,24.3834,48.28,1770.4667999999997

92,22:45-23:00,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,9.66,1.93,97.78,32.59,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,48.28,241.42,37.3,0.77,0,24.3834,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,24.3834,48.28,1770.4667999999997

93,23:00-23:15,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,9.66,1.93,97.78,32.59,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,48.28,241.42,37.3,0.72,0,26.9071,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,26.9071,48.28,1775.4641999999997

94,23:15-23:30,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,9.66,1.93,97.78,32.59,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,48.28,241.42,37.3,0.72,0,26.9071,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,26.9071,48.28,1775.4641999999997

95,23:30-23:45,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,9.66,1.93,97.78,32.59,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,48.28,241.42,37.3,0.72,0,26.9071,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,26.9071,48.28,1775.4641999999997

96,23:45-24:00,37.3,0,48.28,0,37.3,0,12.44,4.83,48.28,9.66,1.93,97.78,32.59,0,24.07,84.19,0,0,3.86,28.01,38.63,164.41,90.78,67.6,0,0,0,0,0,0,48.28,241.42,37.3,0.72,0,26.9071,96.57,12.44,125.54,21.25,0,0,24.14,24.68,96.57,15.95,96.57,26.9071,48.28,1775.4641999999997

