Time,Block,NR/2023/11941/F,NR/2023/11959/F,NR/2023/11342/A,NR/2023/12650/D,NR/2023/11961/F,NR/2023/10223/A,NR/2023/10611/A,NR/2023/11284/A,NR/2023/10236/A,NR/2023/11947/F,NR/2023/11642/A,NR/2023/12657/C,NR/2023/11643/A,NR/2023/11962/F,ER/2023/7688/C,NR/2023/10229/A,NR/2023/11957/F,NR/2023/11958/F,NR/2023/12663/C,NR/2023/12675/C,NR/2023/11963/F,NR/2023/10613/A,NR/2023/10944/A,NR/2023/10487/A,NR/2023/10344/A,NR/2023/11862/F,NR/2023/11960/F,NR/2023/10434/A,NR/2023/11955/F,NR/2023/11476/A,NR/2023/11956/F,NR/2023/11330/A,NR/2023/11952/F,NR/2023/12648/D,NR/2023/12655/D,NR/2023/12653/D,Total
63,15:30-15:45,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,35.670000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.410000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,6.55,58.5,136.5,1057.31

64,15:45-16:00,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,35.670000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.410000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,5.97,51.9,121.1,1034.73

65,16:00-16:15,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,36.690000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,5.59,46.5,108.5,1017.45

66,16:15-16:30,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,36.690000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,4.82,41.1,95.9,998.68

67,16:30-16:45,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,36.690000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,4.38,37.5,87.5,986.24

68,16:45-17:00,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,36.690000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.490000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,3.9,31.2,72.8,964.76

69,17:00-17:15,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,37.700000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.680000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,3.03,24,56,941.09

70,17:15-17:30,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,37.700000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.680000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,1.78,18.9,44.1,922.84

71,17:30-17:45,62.610000,0.730000,115.600000,69.650000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,37.700000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.680000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,1.2,13.5,31.5,904.26

72,17:45-18:00,62.610000,0.730000,115.600000,133.710000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,37.700000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.680000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,0.000000,0.55,12,28,962.67

73,18:00-18:15,62.610000,0.730000,115.600000,192.660000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,37.700000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.770000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,36.350000,0,9,21,1047.51

74,18:15-18:30,62.610000,0.730000,115.600000,192.660000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,37.700000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.770000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,36.350000,0,4.5,10.5,1032.51

75,18:30-18:45,62.610000,0.730000,115.600000,192.660000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,37.700000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.770000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,36.350000,0,3,7,1027.51

76,18:45-19:00,62.610000,0.730000,115.600000,192.660000,0.770000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,37.700000,13.000000,0.460000,0.000000,49.850000,0.770000,0.620000,11.770000,0.000000,0.460000,0.000000,0.000000,41.420000,12.210000,2.890000,0.730000,24.080000,0.360000,48.160000,0.390000,0.000000,36.350000,0,1.5,3.5,1022.51

77,19:00-19:15,62.610000,0.810000,115.600000,192.660000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,37.700000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,11.950000,0.000000,0.510000,0.000000,0.000000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,0.000000,36.350000,0,0,0,1018.29

78,19:15-19:30,62.610000,0.810000,115.600000,192.660000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,37.700000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,11.950000,0.000000,0.510000,0.000000,0.000000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,0.000000,36.350000,0,0,0,1018.29

79,19:30-19:45,62.610000,0.810000,115.600000,192.660000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,37.700000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,11.950000,0.000000,0.510000,0.000000,0.000000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,0.000000,36.350000,0,0,0,1018.29

80,19:45-20:00,62.610000,0.810000,115.600000,192.660000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,37.700000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,11.950000,0.000000,0.510000,0.000000,0.000000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,0.000000,36.350000,0,0,0,1018.29

81,20:00-20:15,62.610000,0.810000,115.600000,192.660000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,34.650000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.140000,0.000000,0.510000,0.000000,0.000000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,0.000000,36.350000,0,0,0,1015.43

82,20:15-20:30,62.610000,0.810000,115.600000,192.660000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,34.650000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.140000,0.000000,0.510000,0.000000,0.000000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,0.000000,36.350000,0,0,0,1015.43

83,20:30-20:45,62.610000,0.810000,115.600000,192.660000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,34.650000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.140000,0.000000,0.510000,0.000000,0.000000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,0.000000,36.350000,0,0,0,1015.43

84,20:45-21:00,62.610000,0.810000,115.600000,192.660000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,34.650000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.140000,0.000000,0.510000,0.000000,0.000000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,0.000000,36.350000,0,0,0,1015.43

85,21:00-21:15,62.610000,0.810000,115.600000,164.050000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,34.650000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.320000,18.300000,0.510000,0.000000,0.000000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,0.000000,36.350000,0,0,0,1005.3

86,21:15-21:30,62.610000,0.810000,115.600000,69.650000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,34.650000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.320000,19.270000,0.510000,0.000000,0.000000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,0.000000,36.350000,0,0,0,911.87

87,21:30-21:45,62.610000,0.810000,115.600000,69.650000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,34.650000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.320000,67.430000,0.510000,0.000000,0.000000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,0.000000,36.350000,0,0,0,960.03

88,21:45-22:00,62.610000,0.810000,115.600000,69.650000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,34.650000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.320000,132.940000,0.510000,0.000000,0.000000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,0.000000,36.350000,0,0,0,1025.54

89,22:00-22:15,62.610000,0.810000,115.600000,69.650000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,34.650000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.420000,75.140000,0.510000,12.620000,27.740000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,64.730000,36.350000,0,0,0,1072.93

90,22:15-22:30,62.610000,0.810000,115.600000,69.650000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,34.650000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.420000,148.350000,0.510000,12.620000,27.740000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,64.730000,36.350000,0,0,0,1146.14

91,22:30-22:45,62.610000,0.810000,115.600000,66.850000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,34.650000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.420000,206.150000,0.510000,12.620000,27.740000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,64.730000,36.350000,0,0,0,1201.14

92,22:45-23:00,62.610000,0.810000,115.600000,66.850000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,34.650000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.420000,269.720000,0.510000,12.620000,27.740000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,64.730000,36.350000,0,0,0,1264.71

93,23:00-23:15,62.610000,0.810000,115.600000,66.850000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.500000,308.260000,0.510000,12.620000,27.740000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,64.730000,36.350000,0,0,0,1301.29

94,23:15-23:30,62.610000,0.810000,115.600000,66.850000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.500000,288.990000,0.510000,12.620000,27.740000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,64.730000,36.350000,0,0,0,1282.02

95,23:30-23:45,62.610000,0.810000,115.600000,66.850000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.500000,288.990000,0.510000,12.620000,27.740000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,64.730000,36.350000,0,0,0,1282.02

96,23:45-24:00,62.610000,0.810000,115.600000,66.850000,0.860000,24.920000,9.920000,33.720000,274.170000,6.740000,14.450000,32.610000,13.000000,0.510000,0.000000,49.850000,0.870000,0.720000,12.500000,288.990000,0.510000,12.620000,27.740000,41.420000,12.210000,2.890000,0.810000,24.080000,0.360000,48.160000,0.440000,64.730000,36.350000,0,0,0,1282.02

