Time,Block,NR/2023/14895/A,NR/2023/16464/C,NR/2023/15309/F,NR/2023/16190/F,NR/2023/16468/C,NR/2023/16443/D,NR/2023/16466/C,NR/2023/12053/A,NR/2023/12431/A,NR/2023/12347/A,NR/2023/16441/D,NR/2023/13635/A,NR/2023/12591/A,NR/2023/16460/C,NR/2023/16453/C,NR/2023/12168/A,NR/2023/13862/A,NR/2023/12422/A,NR/2023/12592/A,NR/2023/14898/A,ER/2023/10236/C,NR/2023/12148/A,NR/2023/15402/F,NR/2023/12167/A,NR/2023/16467/C,NR/2023/16442/D,NR/2023/14746/A,NR/2023/16445/D,NR/2023/15057/F,NR/2023/12052/A,NR/2023/14745/A,NR/2023/14737/A,SR/2023/8973/C,Total
69,17:00-17:15,95.760000,0.000000,4.840000,144.090000,0,0.000000,0.000000,0.000000,125.110000,48.360000,1.29,18.650000,50.060000,13.720000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.820000,63.120000,24.180000,62.870000,0.00,1107.06

70,17:15-17:30,95.760000,0.000000,4.840000,144.090000,0,0.000000,0.000000,0.000000,125.110000,48.360000,1.11,18.650000,50.060000,13.720000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.820000,63.120000,24.180000,62.870000,0.00,1106.88

71,17:30-17:45,95.760000,0.000000,4.840000,144.090000,0,0.000000,0.000000,0.000000,125.110000,48.360000,0.92,18.650000,50.060000,13.720000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.820000,63.120000,24.180000,62.870000,0.00,1106.69

72,17:45-18:00,95.760000,0.000000,4.840000,144.090000,0,0.000000,0.000000,0.000000,125.110000,48.360000,0.44,18.650000,50.060000,13.720000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.820000,63.120000,24.180000,62.870000,0.00,1106.21

73,18:00-18:15,95.760000,0.000000,4.840000,144.090000,0,0.000000,0.000000,36.500000,125.110000,48.360000,0.25,18.650000,50.060000,13.900000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.870000,63.120000,0.000000,62.870000,0.00,1118.57

74,18:15-18:30,95.760000,0.000000,4.840000,144.090000,0,0.000000,0.000000,36.500000,125.110000,48.360000,0.1,18.650000,50.060000,13.900000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.870000,63.120000,0.000000,62.870000,0.00,1118.42

75,18:30-18:45,95.760000,0.000000,4.840000,144.090000,0,0.000000,0.000000,36.500000,125.110000,48.360000,0,18.650000,50.060000,13.900000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.870000,63.120000,0.000000,62.870000,0.00,1118.32

76,18:45-19:00,95.760000,0.000000,4.840000,144.090000,0,0.000000,0.000000,36.500000,125.110000,48.360000,0,18.650000,50.060000,13.900000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.870000,63.120000,0.000000,62.870000,0.00,1118.32

77,19:00-19:15,95.760000,22.250000,4.840000,144.090000,0,0.000000,0.000000,36.500000,125.110000,48.360000,0,18.650000,50.060000,14.080000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1140.8

78,19:15-19:30,95.760000,22.250000,4.840000,144.090000,0,0.000000,0.000000,36.500000,125.110000,48.360000,0,18.650000,50.060000,14.080000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,100.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1140.8

79,19:30-19:45,95.760000,22.250000,4.840000,144.090000,0,0.000000,50.000000,36.500000,125.110000,48.360000,0,18.650000,50.060000,14.080000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1140.8

80,19:45-20:00,95.760000,22.250000,4.840000,144.090000,0,0.000000,50.000000,36.500000,125.110000,48.360000,0,18.650000,50.060000,14.080000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1140.8

81,20:00-20:15,95.760000,22.250000,4.840000,144.090000,0,0.000000,50.000000,36.500000,125.110000,48.360000,0,18.650000,50.060000,14.170000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1140.89

82,20:15-20:30,95.760000,22.250000,4.840000,144.090000,0,0.000000,50.000000,36.500000,125.110000,48.360000,0,18.650000,50.060000,14.170000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1140.89

83,20:30-20:45,95.760000,22.250000,4.840000,144.090000,0,0.000000,50.000000,36.500000,125.110000,48.360000,0,18.650000,50.060000,14.170000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1140.89

84,20:45-21:00,95.760000,22.250000,4.840000,144.090000,0,0.000000,50.000000,36.500000,125.110000,48.360000,0,18.650000,50.060000,14.170000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1140.89

85,21:00-21:15,95.760000,22.250000,4.840000,193.460000,0,0.000000,40.000000,36.500000,125.110000,91.890000,0,25.030000,50.060000,14.270000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1230.27

86,21:15-21:30,95.760000,22.250000,4.840000,193.460000,0,0.000000,40.000000,36.500000,125.110000,91.890000,0,25.030000,50.060000,14.270000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1230.27

87,21:30-21:45,95.760000,22.250000,4.840000,193.460000,0,0.000000,40.000000,36.500000,125.110000,91.890000,0,25.030000,50.060000,14.270000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1230.27

88,21:45-22:00,95.760000,22.250000,4.840000,193.460000,0,0.000000,40.000000,36.500000,125.110000,91.890000,0,25.030000,50.060000,14.270000,11.090000,46.620000,0.000000,0.000000,100.120000,77.380000,50.000000,22.250000,0.000000,24.180000,0.000000,72.550000,0.000000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1230.27

89,22:00-22:15,95.760000,22.250000,4.840000,193.460000,0,0.000000,40.000000,36.500000,125.110000,91.890000,0,25.030000,50.060000,14.080000,11.090000,46.620000,23.150000,38.010000,100.120000,77.380000,0.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1329.94

90,22:15-22:30,95.760000,22.250000,4.840000,193.460000,0,0.000000,40.000000,36.500000,125.110000,91.890000,0,25.030000,50.060000,14.080000,11.090000,46.620000,23.150000,38.010000,100.120000,77.380000,0.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1329.94

91,22:30-22:45,95.760000,22.250000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,91.890000,0,25.030000,50.060000,14.080000,11.090000,46.620000,23.150000,38.010000,100.120000,77.380000,0.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1289.94

92,22:45-23:00,95.760000,22.250000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,91.890000,0,25.030000,50.060000,14.080000,11.090000,46.620000,23.150000,38.010000,100.120000,77.380000,0.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.920000,63.120000,0.000000,62.870000,0.00,1289.94

93,23:00-23:15,95.760000,22.250000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,91.890000,0,25.030000,50.060000,13.900000,11.090000,46.620000,23.150000,38.010000,100.120000,77.380000,0.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.870000,63.120000,0.000000,62.870000,0.00,1289.71

94,23:15-23:30,95.760000,22.250000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,91.890000,0,25.030000,50.060000,13.900000,11.090000,46.620000,23.150000,38.010000,100.120000,77.380000,0.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.870000,63.120000,0.000000,62.870000,0.00,1289.71

95,23:30-23:45,95.760000,22.250000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,91.890000,0,25.030000,50.060000,13.900000,11.090000,46.620000,23.150000,38.010000,100.120000,77.380000,0.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.870000,63.120000,0.000000,62.870000,0.00,1289.71

96,23:45-24:00,95.760000,22.250000,4.840000,193.460000,0,0.000000,0.000000,36.500000,125.110000,91.890000,0,25.030000,50.060000,13.900000,11.090000,46.620000,23.150000,38.010000,100.120000,77.380000,0.000000,22.250000,0.000000,24.180000,0.000000,72.550000,88.700000,0.000000,0.870000,63.120000,0.000000,62.870000,0.00,1289.71

