Column1,Block,NR/2024/23427/C,NR/2024/23428/C,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/16/2535,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/8090,NR/30092023/26122029/SH-06,NR/2024/23119/A/39686,NR/2024/23038/A/39411,NR/2024/23412/C,NR/2024/23393/A/39596,NR/2024/23217/A/39477,NR/2024/21658/A/39457,NR/2024/22874/A/39689,NR/2024/22754/A/39632,NR/2024/22848/A/39665,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7119,NR/2024/23121/A/39687,NR/2024/22835/A/39699,NR/2024/22820/A/39423,NR/2024/23122/A/39685,NR/2024/22803/A/39690,NR/2024/23118/A/39684,NR/2024/23213/A/39476,NR/2024/23426/C,NR/2024/23214/A/39475,Total
92,22:45-23:00,162.89,29.96,0,24.16,8.4,0,163.08,32,96.64,8.78,32,26.35,3.87,241.6,1.93,7.73,0.77,0,54.36,83.9,2.42,17.47,26.35,90.84,4.83,26.35,96.64,8.78,0,0,0,1252.0999999999997

93,23:00-23:15,162.89,29.96,0,24.16,8.3,0,163.08,32,96.64,8.78,32,26.35,3.87,241.6,1.93,7.73,0.77,0,54.36,83.9,2.42,17.47,26.35,94.13,4.83,26.35,96.64,8.78,0,0,0,1255.29

94,23:15-23:30,162.89,29.96,0,24.16,8.3,0,163.08,32,96.64,8.78,32,26.35,3.87,241.6,1.93,7.73,0.77,0,54.36,83.9,2.42,17.47,26.35,94.13,4.83,26.35,96.64,8.78,0,0,0,1255.29

95,23:30-23:45,162.89,29.96,0,24.16,8.3,0,163.08,32,96.64,8.78,32,26.35,3.87,241.6,1.93,7.73,0.77,0,54.36,83.9,2.42,17.47,26.35,94.13,4.83,26.35,96.64,8.78,0,0,0,1255.29

96,23:45-24:00,162.89,29.96,0,24.16,8.3,0,163.08,32,96.64,8.78,32,26.35,3.87,241.6,1.93,7.73,0.77,0,54.36,83.9,2.42,17.47,26.35,94.13,4.83,26.35,96.64,8.78,0,0,0,1255.29

