Column1,Block,NR/2025/33178/C,NR/2025/33160/C,NR/2025/33235/C,NR/2025/33207/C,NR/2025/33159/C,GNA/NR/2025/08/01/4125,NR/2025/33184/C,NR/2025/33212/C,GNA/NR/2025/08/01/6187,NR/2025/33202/C,NR/2025/33113/C,NR/2025/33182/C,NR/2025/33154/C,NR/2025/33239/C,NR/2025/33180/C,NR/2025/32598/A/95302,NR/2025/32556/A/95474,NR/2025/32262/A/95054,NR/2025/31041/A/95425,NR/2025/29440/A/94997,NR/2025/31042/A/95426,NR/2025/32559/A/95473,NR/2025/33234/C,NR/2025/32554/A/95429,NR/2025/29992/A/95065,NR/2025/32610/A/95472,NR/2025/32004/A/95477,NR/2025/32397/A/95037,NR/2025/32455/A/95521,NR/2025/31421/A/95517,NR/2025/32702/A/95080,NR/2025/31046/A/95427,NR/2025/32375/A/95514,NR/2025/31047/A/95428,NR/2025/33229/C,NR/2025/32652/A/95157,NR/2025/32534/A/95415,NR/2025/32653/A/95156,NR/2025/32532/A/95413,NR/2025/32534/A/95416,NR/2025/32532/A/95414,NR/2025/32535/A/95418,NR/2025/32857/A/95146,NR/2025/32599/A/95170,NR/2025/33238/C,NR/2025/32535/A/95419,GNARE/NR/2024/12/20/3668,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/08/3642,GNA/NR/2025/08/01/3698,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/6209,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5784,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5126,Total
49,12:00-12:15,76.42,0,0,47.99,0,14.54,37.09,191.96,17.56,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,19.32,1.63,0.29,1.44,0.48,0.48,0.67,0.19,1.15,182,0,0.38,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1514.7600000000004

50,12:15-12:30,76.42,0,0,47.99,0,14.54,37.09,191.96,17.56,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,19.62,1.63,0.29,1.44,0.48,0.48,0.67,0.19,1.15,182,0,0.38,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1515.0600000000002

51,12:30-12:45,76.42,0,0,47.99,0,14.54,37.09,191.96,17.56,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,19.88,1.63,0.29,1.44,0.48,0.48,0.67,0.19,1.15,193,0,0.38,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1526.3200000000004

52,12:45-13:00,76.42,0,0,47.99,0,14.54,37.09,191.96,17.56,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,20.16,1.63,0.29,1.44,0.48,0.48,0.67,0.19,1.15,193,0,0.38,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1526.6000000000001

53,13:00-13:15,76.42,0,0,47.99,0,14.54,37.09,191.96,17.56,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,8.79,1.63,0.29,1.44,0.48,0.48,0.67,0.19,1.15,193,0,0.38,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1515.2300000000002

54,13:15-13:30,76.42,0,0,47.99,0,14.54,37.09,191.96,17.56,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,8.79,1.63,0.29,1.44,0.48,0.48,0.67,0.19,1.15,193,0,0.38,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1515.2300000000002

55,13:30-13:45,76.42,0,0,47.99,0,14.54,37.09,191.96,17.56,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,8.79,1.63,0.29,1.44,0.48,0.48,0.61,0.19,1.15,200,0,0.38,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1522.1700000000003

56,13:45-14:00,76.42,0,0,47.99,0,14.54,37.09,191.96,17.56,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,8.79,1.63,0.29,1.44,0.48,0.48,0.61,0.19,1.15,200,0,0.38,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1522.1700000000003

57,14:00-14:15,76.42,95.98,0,47.99,95.98,14.54,37.09,191.96,17.56,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,8.79,1.63,0.29,1.44,0.48,0.48,0.61,0.19,1.15,200,0,0.38,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1714.1300000000006

58,14:15-14:30,76.42,95.98,0,47.99,95.98,14.54,37.09,191.96,17.56,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,8.79,1.63,0.29,1.44,0.48,0.46,0.64,0.19,1.15,200,0,0.37,100,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1714.1300000000006

59,14:30-14:45,76.42,95.98,0,47.99,95.98,14.54,37.09,191.96,15.37,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,8.79,1.63,0.29,1.44,0.48,0.46,0.58,0.19,1.15,186,0,0.4,98.12,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1696.0300000000004

60,14:45-15:00,76.42,95.98,0,47.99,95.98,14.54,37.09,191.96,13.21,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,8.79,1.63,0.29,1.44,0.48,0.6,0.74,0.19,1.15,175,0,0.52,94.21,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1679.3800000000003

61,15:00-15:15,76.42,95.98,0,47.99,95.98,14.54,37.09,191.96,11.82,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,10.74,1.63,0.29,1.44,0.48,0.72,0.9,0.19,1.15,161,0,0.63,85.46,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1657.5800000000006

62,15:15-15:30,76.42,95.98,0,47.99,95.98,14.54,37.09,191.96,11.82,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,10.74,1.63,0.29,1.44,0.48,0.77,0.96,0.19,1.15,151,0,0.67,80.53,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1642.8000000000004

63,15:30-15:45,76.42,95.98,0,47.99,95.98,14.54,37.09,191.96,11.82,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,10.74,1.63,0.29,1.44,0.48,0.77,0.96,0.19,1.15,140,0,0.67,75.39,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1626.6600000000005

64,15:45-16:00,76.42,95.98,0,47.99,95.98,14.54,37.09,191.96,11.82,47.99,44.15,43.62,163.17,0,43.62,81.58,0,0,0,0.96,0,0,0,0,0,0,0,0,0,0,13.44,0,0,0,10.74,1.63,0.29,1.44,0.48,0.77,0.96,0.19,1.15,133,0,0.67,70.02,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1614.2900000000004

65,16:00-16:15,0,0,0,0,0,14.54,0,191.96,11.82,0,0,0,0,0,0,81.58,43.62,0,0,0.86,95.98,43.62,0,163.17,44.15,37.09,76.42,0,0,47.99,13.44,0,47.99,95.98,10.74,0,0.29,0,0.48,0.77,0.96,0.19,0,123,0,0.67,64.11,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1594.0600000000002

66,16:15-16:30,0,0,0,0,0,14.54,0,191.96,11.82,0,0,0,0,0,0,81.58,43.62,0,0,0.86,95.98,43.62,0,163.17,44.15,37.09,76.42,0,0,47.99,13.44,0,47.99,95.98,10.74,0,0.29,0,0.48,0.77,0.96,0.19,0,112,0,0.67,58.1,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1577.0500000000002

67,16:30-16:45,0,0,0,0,0,14.54,0,191.96,11.82,0,0,0,0,0,0,81.58,43.62,0,0,0.86,95.98,43.62,0,163.17,44.15,37.09,76.42,0,0,47.99,13.44,0,47.99,95.98,10.74,0,0.29,0,0.48,0.55,0.68,0.19,0,98,0,0.47,55.96,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1560.21

68,16:45-17:00,0,0,0,0,0,14.54,0,191.96,11.82,0,0,0,0,0,0,81.58,43.62,0,0,0.86,95.98,43.62,0,163.17,44.15,37.09,76.42,0,0,47.99,13.44,0,47.99,95.98,8.79,0,0.29,0,0.48,0.47,0.6,0.19,0,84,0,0.41,49.47,15.21,0,14.54,14.33,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1537.5500000000004

69,17:00-17:15,0,0,0,0,0,14.54,0,191.96,11.82,0,0,0,0,0,0,81.58,43.62,0,0,0.86,95.98,43.62,0,163.17,44.15,37.09,76.42,8.64,0,47.99,13.44,0,47.99,95.98,8.14,0,0.28,0,0.46,0.36,0.45,0.18,0,70,0,0.32,34.09,15.21,0,14.54,14.51,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1515.95

70,17:15-17:30,0,0,0,0,0,14.54,0,191.96,11.82,0,0,0,0,0,0,81.58,43.62,0,0,0.86,95.98,43.62,0,163.17,44.15,37.09,76.42,8.64,0,47.99,13.44,0,47.99,95.98,7.86,0,0.29,0,0.47,0.24,0.31,0.19,0,60,0,0.18,28.89,15.21,0,14.54,14.51,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1500.1000000000004

71,17:30-17:45,0,0,0,0,0,14.54,0,191.96,11.82,0,0,0,0,0,0,81.58,43.62,0,0,0.86,95.98,43.62,0,163.17,44.15,37.09,76.42,8.64,0,47.99,13.44,0,47.99,95.98,7.68,0,0.29,0,0.48,0.12,0.15,0.19,0,42,0,0.09,23.79,15.21,0,14.54,18.01,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1479.96

72,17:45-18:00,0,0,0,0,0,14.54,0,191.96,11.82,0,0,0,0,0,0,81.58,43.62,0,0,0.86,95.98,43.62,0,163.17,44.15,37.09,76.42,8.64,0,47.99,13.44,0,47.99,95.98,7.75,0,0.29,0,0.48,0.01,0.01,0.19,0,35,0,0.01,18.64,15.21,0,14.54,18.01,19.2,20.4,81.58,26.95,40.79,81.58,26.95,20.71,20.4,1467.5500000000002

73,18:00-18:15,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,0,0,0.86,95.98,43.62,143.97,163.17,44.15,37.09,76.42,8.64,47.99,47.99,13.44,0,47.99,95.98,8.56,0,0.26,0,0.43,0,0,0.17,0,25,19.2,0,14.36,0,40.31,14.54,18.01,0,20.4,33.59,26.54,40.79,81.58,30,20.71,20.4,1807.3500000000001

74,18:15-18:30,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,0,0,0.86,95.98,43.62,143.97,163.17,44.15,37.09,76.42,8.64,47.99,47.99,13.44,0,47.99,95.98,6.22,0,0.17,0,0.28,0,0,0.12,0,18,19.2,0,10.78,0,40.31,14.54,18.01,0,20.4,33.59,26.54,40.79,81.58,30,20.71,20.4,1794.14

75,18:30-18:45,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,0,0,0.86,95.98,43.62,143.97,163.17,44.15,37.09,76.42,8.64,47.99,47.99,13.44,0,47.99,95.98,4.06,0,0.1,0,0.16,0,0,0.07,0,11,28.79,0,5.57,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1792.58

76,18:45-19:00,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,0,0,0.86,95.98,43.62,143.97,163.17,44.15,37.09,76.42,8.64,47.99,47.99,13.44,0,47.99,95.98,2.6,0,0.05,0,0.08,0,0,0.03,0,7,28.79,0,2.69,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1784.07

77,19:00-19:15,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,0,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,76.42,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,3,28.79,0,1.55,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1776.22

78,19:15-19:30,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,0,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,76.42,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,1,28.79,0,0.66,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1773.3300000000002

79,19:30-19:45,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,0,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,76.42,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,28.79,0,0.16,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1771.8300000000002

80,19:45-20:00,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,0,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,76.42,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,28.79,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1771.67

81,20:00-20:15,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,76.42,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,28.79,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1825.66

82,20:15-20:30,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,76.42,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,28.79,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1825.66

83,20:30-20:45,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,76.42,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,28.79,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1825.66

84,20:45-21:00,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,76.42,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,28.79,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1825.66

85,21:00-21:15,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,105.58,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,23.61,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1849.6399999999999

86,21:15-21:30,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,105.58,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,23.61,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1849.6399999999999

87,21:30-21:45,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,105.58,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,28.79,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1854.82

88,21:45-22:00,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,105.58,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,28.79,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1854.82

89,22:00-22:15,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,105.58,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,28.79,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1854.82

90,22:15-22:30,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,105.58,8.64,47.99,47.99,13.44,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,28.79,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1854.82

91,22:30-22:45,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,105.58,8.64,47.99,47.99,12.48,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,28.79,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1853.86

92,22:45-23:00,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.91,95.98,43.62,143.97,163.17,44.15,37.09,105.58,8.64,47.99,47.99,12.48,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,28.79,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1853.86

93,23:00-23:15,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.86,95.98,43.62,143.97,163.17,44.15,37.09,105.58,8.64,47.99,47.99,12.48,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,33.59,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1858.61

94,23:15-23:30,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.86,95.98,43.62,143.97,163.17,44.15,37.09,105.58,8.64,47.99,47.99,12.48,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,33.59,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1858.61

95,23:30-23:45,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.86,95.98,43.62,143.97,163.17,44.15,37.09,105.58,8.64,47.99,47.99,12.48,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,36.47,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1861.49

96,23:45-24:00,0,0,95.98,0,0,14.54,0,191.96,11.15,0,0,0,0,86.38,0,81.58,43.62,53.99,0,0.86,95.98,43.62,143.97,163.17,44.15,37.09,105.58,8.64,47.99,47.99,12.48,0,47.99,95.98,0,0,0,0,0,0,0,0,0,0,38.39,0,0,0,40.31,14.54,18.01,0,20.4,33.59,30,40.79,81.58,30,20.71,20.4,1863.41

