Time,Block,NR/2023/12053/A,NR/2023/12347/A,NR/2023/16064/C,NR/2023/16063/C,NR/2023/15057/F,NR/2023/15309/F,NR/2023/15694/F,NR/2023/12592/A,NR/2023/15402/F,NR/2023/16043/C,NR/2023/16039/C,NR/2023/14898/A,NR/2023/12422/A,NR/2023/16059/C,NR/2023/16040/C,NR/2023/14737/A,NR/2023/16024/D,NR/2023/12052/A,NR/2023/13635/A,NR/2023/12431/A,NR/2023/12591/A,NR/2023/14745/A,NR/2023/16041/C,NR/2023/14895/A,NR/2023/16038/C,NR/2023/12167/A,NR/2023/16042/C,NR/2023/16053/C,NR/2023/16023/D,NR/2023/12148/A,NR/2023/16044/C,NR/2023/14746/A,ER/2023/9990/C,NR/2023/16022/D,NR/2023/16032/C,NR/2023/12168/A,NR/2023/13862/A,Total
60,14:45-15:00,0.000000,106.160000,0.000000,0.000000,0.970000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,0.000000,95.540000,18.390000,24.130000,0.000000,0.000000,28.950000,22.200000,41.070000,0.000000,0.000000,5.34,10.090000,46.520000,23.090000,1227.09

61,15:00-15:15,0.000000,106.160000,0.000000,0.000000,0.920000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.470000,24.130000,48.260000,0.000000,28.950000,22.200000,41.070000,0.000000,0.000000,5.75,10.090000,46.520000,23.090000,1324.05

62,15:15-15:30,0.000000,106.160000,0.000000,0.000000,0.920000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.470000,24.130000,48.260000,0.000000,28.950000,22.200000,41.070000,0.000000,0.000000,5.17,10.090000,46.520000,23.090000,1323.47

63,15:30-15:45,0.000000,106.160000,0.000000,0.000000,0.920000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.470000,24.130000,48.260000,0.000000,28.950000,22.200000,41.070000,0.000000,0.000000,4.13,10.090000,46.520000,23.090000,1322.43

64,15:45-16:00,0.000000,106.160000,0.000000,0.000000,0.920000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.470000,24.130000,48.260000,0.000000,28.950000,22.200000,41.070000,0.000000,0.000000,5.47,10.090000,46.520000,23.090000,1323.77

65,16:00-16:15,0.000000,106.160000,30.000000,0.000000,0.820000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.570000,24.130000,48.260000,0.000000,28.950000,22.200000,41.070000,0.000000,0.000000,3.9,10.090000,46.520000,23.090000,1352.2

66,16:15-16:30,0.000000,106.160000,30.000000,0.000000,0.820000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.570000,24.130000,48.260000,0.000000,28.950000,22.200000,41.070000,0.000000,0.000000,2.42,10.090000,46.520000,23.090000,1350.72

67,16:30-16:45,0.000000,106.160000,30.000000,0.000000,0.820000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.570000,24.130000,48.260000,0.000000,28.950000,22.200000,41.070000,0.000000,0.000000,2.65,10.090000,46.520000,23.090000,1350.95

68,16:45-17:00,0.000000,106.160000,30.000000,0.000000,0.820000,4.830000,193.020000,99.890000,6.760000,63.700000,0.000000,77.210000,0.000000,9.65,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.570000,24.130000,48.260000,0.000000,28.950000,22.200000,41.070000,0.000000,0.000000,1.74,10.090000,46.520000,23.090000,1350.04

69,17:00-17:15,0.000000,48.260000,30.000000,0.000000,0.820000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.660000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,1.17,9.080000,46.520000,0.000000,1222.2

70,17:15-17:30,0.000000,48.260000,30.000000,0.000000,0.820000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.660000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,2.19,9.080000,46.520000,0.000000,1223.22

71,17:30-17:45,0.000000,48.260000,30.000000,0.000000,0.820000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.660000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,1.48,9.080000,46.520000,0.000000,1222.51

72,17:45-18:00,0.000000,48.260000,30.000000,0.000000,0.820000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,0.000000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,24.130000,48.260000,95.540000,18.660000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0.5,9.080000,46.520000,0.000000,1221.53

73,18:00-18:15,36.410000,48.260000,30.000000,101.340000,0.870000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.750000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0.35,9.080000,46.520000,0.000000,1364.09

74,18:15-18:30,36.410000,48.260000,30.000000,101.340000,0.870000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.750000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0.28,9.080000,46.520000,0.000000,1364.02

75,18:30-18:45,36.410000,48.260000,30.000000,101.340000,0.870000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.750000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0,9.080000,46.520000,0.000000,1363.74

76,18:45-19:00,36.410000,48.260000,30.000000,101.340000,0.870000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.750000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0,9.080000,46.520000,0.000000,1363.74

77,19:00-19:15,36.410000,48.260000,30.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0,9.080000,46.520000,0.000000,1363.88

78,19:15-19:30,36.410000,48.260000,30.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0,9.080000,46.520000,0.000000,1363.88

79,19:30-19:45,36.410000,48.260000,30.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0,9.080000,46.520000,0.000000,1363.88

80,19:45-20:00,36.410000,48.260000,30.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0,9.080000,46.520000,0.000000,1363.88

81,20:00-20:15,36.410000,48.260000,0.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0,8.070000,46.520000,0.000000,1332.87

82,20:15-20:30,36.410000,48.260000,0.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0,8.070000,46.520000,0.000000,1332.87

83,20:30-20:45,36.410000,48.260000,0.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0,8.070000,46.520000,0.000000,1332.87

84,20:45-21:00,36.410000,48.260000,0.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,0.000000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,0.000000,0.000000,22.200000,41.070000,0.000000,0.000000,0,8.070000,46.520000,0.000000,1332.87

85,21:00-21:15,36.410000,91.680000,0.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,45.360000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,147.660000,0.000000,22.200000,41.070000,0.000000,0.000000,0,8.070000,46.520000,0.000000,1569.31

86,21:15-21:30,36.410000,91.680000,0.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,45.360000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,147.660000,0.000000,22.200000,41.070000,0.000000,0.000000,0,8.070000,46.520000,0.000000,1569.31

87,21:30-21:45,36.410000,91.680000,0.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,45.360000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,147.660000,0.000000,22.200000,41.070000,0.000000,0.000000,0,8.070000,46.520000,0.000000,1569.31

88,21:45-22:00,36.410000,91.680000,0.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,45.360000,77.210000,0.000000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,147.660000,0.000000,22.200000,41.070000,0.000000,0.000000,0,8.070000,46.520000,0.000000,1569.31

89,22:00-22:15,36.410000,91.680000,0.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,45.360000,77.210000,36.770000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,147.660000,0.000000,22.200000,41.070000,85.800000,0.000000,0,8.070000,46.520000,23.090000,1714.97

90,22:15-22:30,36.410000,91.680000,0.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,45.360000,77.210000,36.770000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,147.660000,0.000000,22.200000,41.070000,85.800000,0.000000,0,7.060000,46.520000,23.090000,1713.96

91,22:30-22:45,36.410000,91.680000,0.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,45.360000,77.210000,36.770000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,147.660000,0.000000,22.200000,41.070000,85.800000,0.000000,0,7.060000,46.520000,23.090000,1713.96

92,22:45-23:00,36.410000,91.680000,0.000000,101.340000,0.920000,4.830000,193.020000,99.890000,0.000000,63.700000,45.360000,77.210000,36.770000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,147.660000,0.000000,22.200000,41.070000,85.800000,0.000000,0,7.060000,46.520000,23.090000,1713.96

93,23:00-23:15,36.410000,91.680000,0.000000,101.340000,0.870000,4.830000,193.020000,99.890000,0.000000,63.700000,45.360000,77.210000,36.770000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,147.660000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1712.9

94,23:15-23:30,36.410000,91.680000,0.000000,101.340000,0.870000,4.830000,193.020000,99.890000,0.000000,63.700000,45.360000,77.210000,36.770000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,147.660000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1712.9

95,23:30-23:45,36.410000,91.680000,0.000000,101.340000,0.870000,4.830000,193.020000,99.890000,0.000000,63.700000,45.360000,77.210000,36.770000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,147.660000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1712.9

96,23:45-24:00,36.410000,91.680000,0.000000,101.340000,0.870000,4.830000,193.020000,99.890000,0.000000,63.700000,45.360000,77.210000,36.770000,0,28.950000,62.730000,0.000000,62.970000,24.980000,124.830000,49.940000,0.000000,48.260000,95.540000,18.840000,24.130000,48.260000,147.660000,0.000000,22.200000,41.070000,85.800000,0.000000,0,6.050000,46.520000,23.090000,1712.9

