Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/71149,NR/2025/26236/A/70783,NR/2025/26688/C,NR/30092023/31122025/SH-07,NR/2025/25855/A/71178,NR/2025/26101/A/70773,NR/2025/26085/A/70742,NR/2025/26312/A/70782,NR/30092023/26122029/SH-06,NR/2025/26291/A/71243,GNA/NR/2025/05/01/8954,NR/2025/25858/A/71179,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/4138,NR/2025/26002/A/71162,NR/2025/26153/A/70784,NR/2025/26191/A/70717,NR/2025/26672/C,NR/2025/26711/C,NR/2025/26673/C,NR/2025/26712/C,NR/2025/26233/A/71246,NR/2025/26265/A/71245,NR/2025/26198/A/71364,NR/2025/26202/A/71357,NR/2025/26199/A/71363,NR/2025/26201/A/71361,NR/2025/26674/C,NR/2025/26232/A/71247,NR/2025/26197/A/71365,NR/2025/26289/A/71244,NR/2025/26675/C,NR/2025/26676/C,NR/2025/26336/A/71147,NR/2025/26677/C,NR/2025/26200/A/71362,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/7791,Total
59,14:30-14:45,92.92,172,11.58,4.83,26.95,0,0,0.97,0,26.95,0,0,0,10.43,0,17.38,0,0,0,28.96,48.26,96.53,33.79,48.26,51.13,0,0,26.32,0,26.32,26.32,24.13,0,8.77,0,4.83,4.83,0,53.09,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1373.17

60,14:45-15:00,90.1,165,11.58,4.83,26.95,0,0,0.97,0,26.95,0,0,0,10.43,0,17.38,0,0,0,28.96,48.26,96.53,33.79,48.26,51.13,0,0,26.32,0,26.32,26.32,24.13,0,8.77,0,4.83,4.83,0,53.09,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1363.35

61,15:00-15:15,87.08,154,8.69,4.83,26.95,0,0,0.97,0,26.95,0,0,0,10.43,0,17.38,0,0,0,28.96,48.26,96.53,33.79,48.26,51.13,0,0,26.32,0,26.32,26.32,24.13,0,8.77,0,4.83,4.83,0,53.09,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1346.44

62,15:15-15:30,82.63,144,8.69,4.83,26.95,0,0,0.97,0,26.95,0,0,0,10.43,0,17.38,0,0,0,28.96,48.26,96.53,33.79,48.26,51.13,0,0,26.32,0,26.32,26.32,24.13,0,8.77,0,4.83,4.83,0,53.09,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1331.99

63,15:30-15:45,76.89,133,8.69,4.83,26.95,0,0,0.97,0,26.95,0,0,0,10.43,0,17.38,0,0,0,28.96,48.26,96.53,33.79,48.26,51.13,0,0,26.32,0,26.32,26.32,24.13,0,8.77,0,4.83,4.83,135.14,53.09,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1450.3899999999999

64,15:45-16:00,70.96,123,8.69,4.83,26.95,0,0,0.97,0,26.95,0,0,0,10.43,0,17.38,0,0,0,28.96,48.26,96.53,33.79,48.26,51.13,0,0,26.32,0,26.32,26.32,24.13,0,8.77,0,4.83,4.83,135.14,53.09,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1434.46

65,16:00-16:15,65.32,105,5.79,5.79,26.95,0,0,0.82,53.09,26.95,24.13,0,0,10.53,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1408.8299999999997

66,16:15-16:30,58.33,95,5.79,5.79,26.95,0,0,0.82,53.09,26.95,24.13,0,0,10.53,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1391.8399999999997

67,16:30-16:45,47.54,81,5.79,5.79,26.95,0,0,0.82,53.09,26.95,24.13,0,0,10.53,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1367.05

68,16:45-17:00,41.46,67,5.79,5.79,26.95,0,0,0.82,53.09,26.95,24.13,0,0,10.53,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1346.97

69,17:00-17:15,35.62,53,0,5.79,26.95,0,0,0.68,0,26.95,24.13,0,0,10.81,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1268.3899999999999

70,17:15-17:30,29.78,35,0,5.79,26.95,0,0,0.68,0,26.95,24.13,0,0,10.81,0,17.38,0,0,0,28.96,48.26,0,33.79,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1244.55

71,17:30-17:45,23.55,35,0,5.79,26.95,0,0,0.68,0,26.95,24.13,0,0,10.81,0,17.38,0,0,0,28.96,48.26,0,0,0,102.25,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1255.6499999999999

72,17:45-18:00,17.66,18,0,5.79,26.95,0,0,0.68,0,26.95,24.13,0,0,10.81,0,17.38,0,0,0,28.96,48.26,0,0,0,102.25,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,164.1,0,0,13.51,14.48,0,28.96,10.62,123.08,0,1232.7599999999998

73,18:00-18:15,12.64,7,0,7.72,26.94,0,0,0.68,0,26.94,24.13,5.79,0,11.18,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,162.7,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1432.9999999999998

74,18:15-18:30,8.5,4,0,7.72,26.94,0,0,0.68,0,26.94,24.13,5.79,0,11.18,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,162.7,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1425.86

75,18:30-18:45,0.74,1,0,7.72,26.94,0,0,0.68,0,26.94,24.13,5.79,0,11.18,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,162.7,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1415.1

76,18:45-19:00,0.27,0,0,7.72,26.94,0,0,0.68,0,26.94,24.13,5.79,0,11.18,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,162.7,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1413.6299999999999

77,19:00-19:15,0.27,0,0,7.72,26.94,0,0,0.72,0,26.94,24.13,5.79,0,11.54,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,162.7,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1414.0299999999997

78,19:15-19:30,0,0,0,7.72,26.94,0,0,0.72,0,26.94,24.13,5.79,0,11.54,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,162.7,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1413.7599999999998

79,19:30-19:45,0,0,0,7.72,26.94,0,0,0.72,0,26.94,24.13,5.79,0,11.54,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,162.7,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1413.7599999999998

80,19:45-20:00,0,0,0,7.72,26.94,0,0,0.72,0,26.94,24.13,5.79,0,11.54,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,162.7,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1413.7599999999998

81,20:00-20:15,0,0,0,7.72,26.94,0,0,0.77,0,26.94,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,162.7,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1415.4899999999998

82,20:15-20:30,0,0,0,7.72,26.94,0,0,0.77,0,26.94,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,162.7,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1415.4899999999998

83,20:30-20:45,0,0,0,7.72,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,162.7,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1413.2899999999997

84,20:45-21:00,0,0,0,7.72,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,162.7,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1413.2899999999997

85,21:00-21:15,0,0,0,6.76,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,108.46,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1358.09

86,21:15-21:30,0,0,0,6.76,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,102.25,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1351.8799999999999

87,21:30-21:45,0,0,0,6.76,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1300.76

88,21:45-22:00,0,0,0,6.76,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1300.76

89,22:00-22:15,0,0,0,6.76,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1300.76

90,22:15-22:30,0,0,0,6.76,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1300.76

91,22:30-22:45,0,0,0,6.76,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1300.76

92,22:45-23:00,0,0,0,6.76,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1300.76

93,23:00-23:15,0,0,0,6.76,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1300.76

94,23:15-23:30,0,0,0,6.76,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1300.76

95,23:30-23:45,0,0,0,6.76,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1300.76

96,23:45-24:00,0,0,0,6.76,25.84,0,0,0.77,0,25.84,24.13,5.79,0,13.22,5.79,29.01,28.96,0,164.1,28.96,48.26,0,0,0,51.13,4.83,96.53,26.32,0,26.32,26.32,0,4.83,8.77,48.26,0,0,135.14,0,8.77,164.1,0,14.48,67.57,13.51,14.48,0,28.96,10.62,123.08,19.31,1300.76

