Time,Block,NR/2024/22218/C,NR/01102023/14082046/L_NR_2021_16,NR/2024/22239/C,NR/01102023/02012046/L_NR_2021_17,NR/01082024/31082024/jitpl,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21870/A/30159,NR/2024/21974/A/30387,NR/2024/21909/A/30320,NR/2024/21954/A/30377,NR/2024/21918/A/30414,NR/2024/22219/C,NR/03082024/03082024/IEX_240802-01871,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/2024/22226/C,NR/2024/21966/A/30145,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/21869/A/30163,NR/2024/22236/C,NR/2024/21971/A/30386,NR/03082024/03082024/DD20240803NR26018,NR/2024/22042/A/30112,NR/2024/21876/A/30157,NR/2024/22080/A/30043,NR/03082024/03082024/HPX-TAMCTG-020824-01969,NR/01082024/31082024/SKS-Raigarh,NR/01082024/30082024/	NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/23072042/L_NR_2012_04,NR/2024/21872/A/30162,NR/2024/21658/A/30123,NR/2024/21814/A/30389,NR/30092023/31122025/SH-07,NR/2024/22081/A/30341,NR/2024/21940/A/30379,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/21983/A/30274,NR/2024/21968/A/30383,NR/2024/21943/A/30376,NR/2024/22014/A/30113,NR/01082024/15082024/APL-Raigarh,NR/2024/21961/A/30353,NR/2024/22229/C,NR/2024/22010/A/30410,NR/2024/22231/C,NR/30092023/26122029/SH-06,NR/2024/22227/C,NR/2024/22238/C,NR/2024/21868/A/30160,NR/2024/21970/A/30384,NR/2024/21875/A/30156,NR/2024/21932/A/30146,NR/2024/21956/A/30385,NR/2024/21873/A/30158,NR/2024/22220/C,NR/2024/21860/A/30342,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21871/A/30161,NR/2024/21938/A/30355,Total
34,08:15-08:30,2.4,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1613.62

35,08:30-08:45,2.03,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1613.25

36,08:45:09:00,2.08,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,8.670000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1613.3

37,09:00:09:15,2.56,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1614.74

38,09:15-09:30,3.28,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,9.630000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1615.46

39,09:30-09:45,3.32,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,11.560000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1617.43

40,09:45-10:00,2.06,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,11.560000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1616.17

41,10:00-10:15,4.42,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,11.560000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1618.53

42,10:15-10:30,5.35,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,11.560000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1619.46

43,10:30-10:45,3.6,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1618.67

44,10:45-11:00,3.78,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1618.85

45,11:00-11:15,4.43,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1619.5

46,11:15-11:30,5.47,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1620.54

47,11:30-11:45,6.52,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1621.59

48,11:45-12:00,7.55,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.610000,0.000000,0.000000,1622.62

49,12:00-12:15,6.16,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,17.290000,0.000000,0.000000,1624.91

50,12:15-12:30,2.49,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,17.290000,0.000000,0.000000,1621.24

51,12:30-12:45,4.25,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,17.290000,0.000000,0.000000,1623

52,12:45-13:00,5.58,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,17.290000,0.000000,0.000000,1624.33

53,13:00-13:15,5.45,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,17.290000,0.000000,0.000000,1624.2

54,13:15-13:30,6.1,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,17.290000,0.000000,0.000000,1624.85

55,13:30-13:45,5.42,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,17.290000,0.000000,0.000000,1624.17

56,13:45-14:00,4.22,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,0.000000,37.210000,96.320000,3.850000,0.000000,12.520000,96.320000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,17.290000,0.000000,0.000000,1622.97

57,14:00-14:15,2.94,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,16.830000,0.000000,0.000000,1621.23

58,14:15-14:30,3.01,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,16.830000,0.000000,0.000000,1621.3

59,14:30-14:45,3.42,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,16.830000,0.000000,0.000000,1621.71

60,14:45-15:00,3.46,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,16.830000,0.000000,0.000000,1621.75

61,15:00-15:15,2.01,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1616.62

62,15:15-15:30,1.96,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.910000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.910000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1616.57

63,15:30-15:45,2.35,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.870000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.870000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1616.88

64,15:45-16:00,2.32,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.960000,48.160000,26.870000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.870000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1616.85

65,16:00-16:15,2.15,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.870000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.870000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1616.59

66,16:15-16:30,2.02,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.870000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.870000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1616.46

67,16:30-16:45,1.99,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.870000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.870000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1616.43

68,16:45-17:00,2.06,0,0,0,12.170000,0.000000,0.000000,37.210000,192.640000,24.000000,90.540000,163.980000,0.000000,0.000000,0.000000,48.160000,0.000000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.870000,240.800000,83.970000,0.000000,48.160000,37.210000,38.530000,1.930000,0.000000,0.000000,96.320000,11.690000,0.000000,26.870000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1616.5

69,17:00-17:15,1.73,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.870000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.870000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1616.17

70,17:15-17:30,1.16,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.870000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,26.870000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1615.6

71,17:30-17:45,0.79,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,24.800000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,24.800000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1611.09

72,17:45-18:00,0.57,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,12.520000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,24.800000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,11.690000,0.000000,24.800000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1610.87

73,18:00-18:15,0.46,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,11.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.870000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,0.000000,26.870000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1602.25

74,18:15-18:30,0.28,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,11.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.870000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,0.000000,26.870000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,24.080000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1602.07

75,18:30-18:45,0.11,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,11.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.870000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,0.000000,26.870000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1621.16

76,18:45-19:00,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,0.000000,48.160000,0.000000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,11.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.870000,48.160000,26.870000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,0.000000,26.870000,0.000000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,27.930000,48.160000,13.150000,0.000000,0.000000,1621.05

77,19:00-19:15,0,0,0,0,12.170000,0.000000,0.000000,37.210000,0.000000,24.000000,90.540000,163.980000,288.960000,48.160000,0.000000,0.000000,48.160000,0.000000,96.320000,37.210000,96.320000,3.850000,0.000000,11.560000,0.000000,12.410000,0.000000,0.000000,0.000000,0.920000,48.160000,32.000000,240.800000,83.970000,0.000000,0.000000,37.210000,38.530000,1.930000,192.640000,0.000000,96.320000,0.000000,48.160000,25.160000,39.380000,0.000000,0.000000,12.410000,0.000000,0.000000,43.340000,0.000000,19.260000,48.160000,15.450000,0.000000,0.000000,1994.65

