Time,Block,NR/2023/12956/F,NR/2023/13145/F,NR/2023/11953/A,NR/2023/10959/A,NR/2023/10561/A,NR/2023/10432/A,NR/2023/11712/A,NR/2023/12922/F,NR/2023/12924/F,NR/2023/12872/F,NR/2023/12915/F,NR/2023/11717/A,NR/2023/10956/A,NR/2023/12920/F,NR/2023/11266/A,NR/2023/10786/A,NR/2023/11447/A,NR/2023/12661/A,NR/2023/13326/D,NR/2023/13338/C,NR/2023/13350/C,NR/2023/11507/A,NR/2023/10947/A,NR/2023/10460/A,SR/2023/6041/C,NR/2023/11709/A,NR/2023/12921/F,NR/2023/13336/C,NR/2023/13325/D,NR/2023/12169/A,NR/2023/13151/F,NR/2023/12706/A,NR/2023/10720/A,NR/2023/12814/F,NR/2023/12919/F,SR/2023/6046/C,NR/2023/12813/F,NR/2023/12923/F,NR/2023/10436/A,NR/2023/12917/F,SR/2023/6045/C,NR/2023/10488/A,NR/2023/12916/F,NR/2023/13331/C,NR/2023/10435/A,NR/2023/10651/A,ER/2023/8197/C,NR/2023/13327/D,NR/2023/13324/D,NR/2023/13323/D,Total
43,10:30-10:45,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.500000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,39.6,92.4,5.13,1374.98

44,10:45-11:00,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,33.850000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.500000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,40.5,94.5,5.13,1377.98

45,11:00-11:15,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,33.850000,30.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.310000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,40.5,94.5,6,1408.66

46,11:15-11:30,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,33.850000,30.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.310000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,40.5,94.5,6.87,1409.53

47,11:30-11:45,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,33.850000,30.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.310000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,40.5,94.5,7.74,1410.4

48,11:45-12:00,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,33.850000,30.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.310000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,40.5,94.5,7.74,1410.4

49,12:00-12:15,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,33.850000,30.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.220000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,40.5,94.5,7.74,1410.31

50,12:15-12:30,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,33.850000,30.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.220000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,40.5,94.5,7.74,1410.31

51,12:30-12:45,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,33.850000,30.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.220000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,40.5,94.5,8.51,1411.08

52,12:45-13:00,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,33.850000,30.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.220000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,40.5,94.5,8.51,1411.08

53,13:00-13:15,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,34.820000,30.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.030000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,32.610000,24.180000,63.110000,0.000000,40.5,94.5,8.51,1412.88

54,13:15-13:30,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,34.820000,30.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.030000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,32.610000,24.180000,63.110000,0.000000,40.5,94.5,8.7,1413.07

55,13:30-13:45,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,34.820000,30.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.030000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,32.610000,24.180000,63.110000,0.000000,40.5,94.5,8.7,1413.07

56,13:45-14:00,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,0.000000,90.920000,12.710000,62.870000,34.820000,30.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.030000,23.800000,0.000000,50.850000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,32.610000,24.180000,63.110000,0.000000,40.5,94.5,8.73,1413.1

57,14:00-14:15,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,11.420000,85.080000,0.980000,17.200000,106.390000,12.710000,62.870000,34.820000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,23.150000,0.980000,13.950000,23.800000,0.000000,33.650000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,32.610000,24.180000,63.110000,43.000000,40.5,94.5,8.73,1476.06

58,14:15-14:30,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,11.420000,85.080000,0.980000,17.200000,106.390000,12.710000,62.870000,34.820000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,23.150000,0.980000,13.950000,23.800000,0.000000,33.650000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,32.610000,24.180000,63.110000,43.000000,39.6,92.4,8.73,1473.06

59,14:30-14:45,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,11.420000,85.080000,0.980000,17.200000,106.390000,12.710000,62.870000,34.820000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,23.150000,0.980000,13.950000,23.800000,0.000000,33.650000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,32.610000,24.180000,63.110000,43.000000,39,91,8.73,1471.06

60,14:45-15:00,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,11.420000,85.080000,0.980000,17.200000,106.390000,12.710000,62.870000,34.820000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,23.150000,0.980000,13.950000,23.800000,0.000000,33.650000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,32.610000,24.180000,63.110000,43.000000,36.9,86.1,8.51,1463.84

61,15:00-15:15,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,11.420000,85.080000,0.980000,36.700000,106.390000,12.710000,62.870000,34.820000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,23.150000,0.980000,13.950000,23.800000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,34.650000,24.180000,63.110000,43.000000,35.4,82.6,8.51,1460.88

62,15:15-15:30,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,11.420000,85.080000,0.980000,36.700000,106.390000,12.710000,62.870000,34.820000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,23.150000,0.980000,13.950000,23.800000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,34.650000,24.180000,63.110000,43.000000,33,77,7.74,1452.11

63,15:30-15:45,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,11.420000,85.080000,0.980000,36.700000,106.390000,12.710000,62.870000,34.820000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,23.150000,0.980000,13.950000,23.800000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,34.650000,24.180000,63.110000,43.000000,31.5,73.5,6.87,1446.24

64,15:45-16:00,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,11.460000,85.080000,0.980000,36.700000,106.390000,12.710000,62.870000,34.820000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,23.150000,0.980000,13.950000,23.800000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,34.650000,24.180000,63.110000,43.000000,28.5,66.5,6,1435.41

65,16:00-16:15,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,36.700000,106.390000,12.710000,62.870000,34.820000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,23.150000,0.980000,13.950000,23.800000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,35.670000,24.180000,63.110000,43.000000,25.65,59.85,5.13,1414.6

66,16:15-16:30,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,36.700000,106.390000,12.710000,62.870000,34.820000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,23.150000,0.980000,13.950000,23.800000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,35.670000,24.180000,63.110000,43.000000,22.8,53.2,4.26,1404.23

67,16:30-16:45,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,36.700000,106.390000,12.710000,62.870000,34.820000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,23.150000,0.980000,13.950000,23.800000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,35.670000,24.180000,63.110000,43.000000,20.7,48.3,3.29,1396.26

68,16:45-17:00,4.840000,24.180000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.970000,0.370000,0.000000,85.080000,0.980000,36.700000,106.390000,12.710000,62.870000,34.820000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,23.150000,0.980000,13.950000,23.800000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,35.670000,24.180000,63.110000,43.000000,17.7,41.3,2.51,1385.48

69,17:00-17:15,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.680000,0.370000,0.000000,85.080000,0.980000,36.700000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.030000,23.800000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,35.670000,24.180000,63.110000,43.000000,14.4,33.6,2.51,1234.09

70,17:15-17:30,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.680000,0.370000,0.000000,85.080000,0.980000,36.700000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.030000,23.800000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,35.670000,24.180000,63.110000,43.000000,12,28,1.64,1225.22

71,17:30-17:45,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.680000,0.370000,0.000000,85.080000,0.980000,36.700000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.030000,23.800000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,35.670000,24.180000,63.110000,43.000000,9,21,1.55,1215.13

72,17:45-18:00,4.840000,0.000000,0.000000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.680000,0.370000,0.000000,85.080000,0.980000,36.700000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.030000,68.870000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,35.670000,24.180000,63.110000,43.000000,6.6,15.4,0.68,1251.33

73,18:00-18:15,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.680000,0.370000,0.000000,85.080000,0.980000,36.700000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.130000,113.950000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,34.650000,24.180000,63.110000,0.000000,5.1,11.9,0.48,1283.78

74,18:15-18:30,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.680000,0.370000,0.000000,85.080000,0.980000,36.700000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.130000,113.950000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,34.650000,24.180000,63.110000,0.000000,3.6,8.4,0,1278.3

75,18:30-18:45,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.680000,0.370000,0.000000,85.080000,0.980000,36.700000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.130000,146.060000,0.000000,14.150000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,34.650000,24.180000,63.110000,0.000000,2.7,6.3,0,1307.41

76,18:45-19:00,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.680000,0.370000,0.000000,85.080000,0.980000,50.850000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.130000,146.060000,0.000000,0.000000,6.770000,23.700000,85.600000,0.970000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,34.650000,24.180000,63.110000,0.000000,1.35,3.15,0,1302.91

77,19:00-19:15,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.730000,0.370000,0.000000,85.080000,0.980000,50.850000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.220000,146.060000,0.000000,0.000000,6.770000,23.700000,85.600000,0.970000,50.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,34.650000,24.180000,63.110000,50.000000,0.6,1.4,0,1440.55

78,19:15-19:30,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.730000,0.370000,0.000000,85.080000,0.980000,50.850000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.220000,146.060000,0.000000,0.000000,6.770000,23.700000,85.600000,0.970000,50.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,34.650000,24.180000,63.110000,50.000000,0,0,0,1438.55

79,19:30-19:45,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.730000,0.370000,0.000000,85.080000,0.980000,50.850000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.220000,146.060000,0.000000,0.000000,6.770000,23.700000,85.600000,0.970000,50.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,34.650000,24.180000,63.110000,50.000000,0,0,0,1438.55

80,19:45-20:00,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.730000,0.370000,0.000000,85.080000,0.980000,50.850000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.980000,14.220000,146.060000,0.000000,0.000000,6.770000,23.700000,85.600000,0.970000,50.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,34.650000,24.180000,63.110000,50.000000,0,0,0,1438.55

81,20:00-20:15,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.770000,0.370000,0.000000,85.080000,0.930000,50.850000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.930000,14.310000,146.060000,0.000000,0.000000,6.770000,23.700000,85.600000,0.920000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,32.610000,24.180000,63.110000,50.000000,0,0,0,1346.49

82,20:15-20:30,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.770000,0.370000,0.000000,85.080000,0.930000,50.850000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.930000,14.310000,146.060000,0.000000,0.000000,6.770000,23.700000,85.600000,0.920000,50.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,32.610000,24.180000,63.110000,50.000000,0,0,0,1436.49

83,20:30-20:45,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.770000,0.370000,0.000000,85.080000,0.930000,50.850000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,50.00,0.000000,0.930000,14.310000,127.470000,0.000000,0.000000,6.770000,23.700000,85.600000,0.920000,50.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,32.610000,24.180000,63.110000,50.000000,0,0,0,1467.9

84,20:45-21:00,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.770000,0.370000,0.000000,85.080000,0.930000,50.850000,48.360000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,0.00,0.000000,0.930000,14.310000,113.950000,0.000000,0.000000,6.770000,23.700000,85.600000,0.920000,50.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,32.610000,24.180000,63.110000,50.000000,0,0,0,1404.38

85,21:00-21:15,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.770000,0.370000,0.000000,85.080000,0.930000,36.700000,91.880000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,50.00,0.000000,0.930000,14.400000,68.870000,0.000000,14.150000,6.770000,23.700000,85.600000,0.920000,50.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,32.610000,24.180000,63.110000,50.000000,0,0,0,1452.91

86,21:15-21:30,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.770000,0.370000,0.000000,85.080000,0.930000,36.700000,91.880000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,50.00,0.000000,0.930000,14.400000,68.870000,0.000000,14.150000,6.770000,23.700000,85.600000,0.920000,50.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,32.610000,24.180000,63.110000,50.000000,0,0,0,1452.91

87,21:30-21:45,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.770000,0.370000,0.000000,85.080000,0.930000,36.700000,91.880000,12.710000,62.870000,0.000000,0.000000,0.000000,255.260000,0.000000,23.210000,50.00,0.000000,0.930000,14.400000,23.800000,0.000000,14.150000,6.770000,23.700000,85.600000,0.920000,50.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,32.610000,24.180000,63.110000,50.000000,0,0,0,1407.84

88,21:45-22:00,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.770000,0.370000,0.000000,85.080000,0.930000,50.850000,91.880000,12.710000,62.870000,0.000000,0.000000,33.850000,255.260000,0.000000,23.210000,50.00,0.000000,0.930000,14.400000,23.800000,0.000000,0.000000,6.770000,23.700000,85.600000,0.920000,50.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,32.610000,24.180000,63.110000,50.000000,0,0,0,1441.69

89,22:00-22:15,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.730000,0.370000,0.000000,85.080000,0.930000,50.850000,91.880000,12.710000,62.870000,0.000000,0.000000,21.280000,255.260000,23.210000,23.210000,50.00,23.150000,0.930000,14.500000,23.800000,54.160000,0.000000,6.770000,23.700000,85.600000,0.920000,0.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,0,0,0,1428.68

90,22:15-22:30,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.730000,0.370000,0.000000,85.080000,0.930000,50.850000,91.880000,12.710000,62.870000,0.000000,0.000000,42.560000,255.260000,23.210000,23.210000,50.00,23.150000,0.930000,14.500000,23.800000,54.160000,0.000000,6.770000,23.700000,85.600000,0.920000,0.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,0,0,0,1449.96

91,22:30-22:45,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.730000,0.370000,0.000000,85.080000,0.930000,50.850000,91.880000,12.710000,62.870000,0.000000,0.000000,62.870000,255.260000,23.210000,23.210000,50.00,23.150000,0.930000,14.500000,23.800000,54.160000,0.000000,6.770000,23.700000,85.600000,0.920000,0.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,0,0,0,1470.27

92,22:45-23:00,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.730000,0.370000,0.000000,85.080000,0.930000,50.850000,91.880000,12.710000,62.870000,0.000000,0.000000,81.240000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,14.500000,23.800000,54.160000,0.000000,6.770000,23.700000,85.600000,0.920000,0.00,62.870000,0.610000,24.180000,0.920000,40.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,0,0,0,1438.64

93,23:00-23:15,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.630000,0.370000,0.000000,85.080000,0.930000,50.850000,91.880000,12.710000,62.870000,0.000000,0.000000,87.050000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,14.590000,23.800000,54.160000,0.000000,6.770000,23.700000,85.600000,0.920000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,0,0,0,1404.44

94,23:15-23:30,4.840000,0.000000,36.490000,21.270000,48.360000,43.520000,64.320000,1.020000,0.610000,0.630000,0.370000,0.000000,85.080000,0.930000,36.700000,91.880000,12.710000,62.870000,0.000000,0.000000,92.850000,255.260000,23.210000,23.210000,0.00,23.150000,0.930000,14.590000,23.800000,54.160000,14.150000,6.770000,23.700000,85.600000,0.920000,0.00,62.870000,0.610000,24.180000,0.920000,0.00,48.360000,0.520000,31.590000,24.180000,63.110000,0.000000,0,0,0,1410.24

