Column1,Block,NR/2025/26082/A/72620,NR/2025/26202/A/72618,NR/2025/26909/C,NR/2025/26005/A/72174,NR/2025/26379/A/72573,NR/2025/26336/A/72297,NR/2025/25967/A/72572,NR/2025/26153/A/72206,NR/2025/26198/A/72771,NR/2025/26291/A/72661,NR/2025/26910/C,NR/2025/26197/A/72764,NR/2025/26200/A/72762,NR/2025/26191/A/72171,NR/2025/26913/C,NR/2025/26289/A/72663,NR/2025/26912/C,NR/2025/26233/A/72668,NR/2025/26232/A/72670,NR/2025/26199/A/72763,NR/2025/26201/A/72761,NR/2025/26085/A/72221,NR/2025/26265/A/72666,GNARE/NR/2024/12/20/3668,NR/2025/26755/A/72312,NR/2025/26335/A/72298,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/7791,GNA/SR/2025/05/16/7915,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6363,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/ER/2025/05/16/9578,GNA/NR/2025/05/01/5800,NR/2025/26956/C,NR/2025/26878/C,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/4138,NR/2025/26689/A/72256,NR/2025/26004/A/72173,ER/2025/17598/C,NR/2025/26871/C,NR/2025/26899/C,NR/2025/26902/C,NR/2025/26911/C,NR/2025/26880/C,NR/2025/26900/C,GNA/NR/2025/05/01/8954,NR/2025/26901/C,GNA/NR/2025/05/01/2474,NR/2025/26904/C,NR/2025/25861/A/72567,NR/2025/25860/A/72566,NR/2025/26845/C,NR/2025/26843/C,NR/2025/25859/A/72565,NR/2025/26101/A/72309,GNA/NR/2025/05/01/9252,NR/2025/26846/C,NR/2025/26842/C,GNA/NR/2025/05/01/2069,NR/2025/26847/C,NR/2025/26844/C,NR/2025/26312/A/72135,GNA/NR/2025/05/01/6957,NR/2025/26891/C,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/3877,Total
39,09:30-09:45,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,79.76,10.59,165,96.3,24.08,0,0,26.94,26.94,0,10.04,0,0,0,52.68,10.59,0,5.78,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,77.04,14.44,0,0,28.89,2049.8599999999997

40,09:45-10:00,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,85.45,10.59,179,96.3,24.08,0,0,26.94,26.94,0,10.04,0,0,0,52.68,10.59,0,5.78,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,77.04,14.44,0,0,28.89,2069.5499999999997

41,10:00-10:15,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,90.57,12.52,189,96.3,24.08,0,0,26.94,26.94,0,9.96,0,0,0,52.68,10.59,0,5.78,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,77.04,14.44,0,0,28.89,2086.5199999999995

42,10:15-10:30,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,95.32,12.52,196,96.3,24.08,0,0,26.94,26.94,0,9.96,0,0,0,52.68,10.59,0,5.78,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2136.7899999999995

43,10:30-10:45,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,99.57,12.52,203,96.3,24.08,0,0,26.94,26.94,0,9.96,0,0,0,52.68,10.59,0,5.78,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2148.0399999999995

44,10:45-11:00,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,100,12.52,207,96.3,24.08,0,0,26.94,26.94,0,9.96,0,0,0,52.68,10.59,0,5.78,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2152.47

45,11:00-11:15,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,100,13.48,210,96.3,24.08,0,0,26.94,26.94,0,9.76,0,0,0,52.68,10.59,0,6.74,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2157.1899999999996

46,11:15-11:30,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,100,13.48,210,96.3,24.08,0,0,26.94,26.94,0,9.76,0,0,0,52.68,10.59,0,6.74,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2157.1899999999996

47,11:30-11:45,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,100,13.48,210,96.3,24.08,0,0,26.94,26.94,0,9.76,0,0,0,52.68,10.59,0,6.74,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2157.1899999999996

48,11:45-12:00,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,100,13.48,210,96.3,24.08,0,0,26.94,26.94,0,9.76,0,0,0,52.68,10.59,0,6.74,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2157.1899999999996

49,12:00-12:15,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,100,13.48,210,96.3,24.08,0,0,26.95,26.95,0,9.58,0,0,0,52.68,10.59,0,6.74,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2157.0299999999997

50,12:15-12:30,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,100,13.48,210,96.3,24.08,0,0,26.95,26.95,0,9.58,0,0,0,52.68,10.59,0,6.74,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2157.0299999999997

51,12:30-12:45,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,100,13.48,210,96.3,24.08,0,0,26.95,26.95,0,9.58,0,0,0,52.68,10.59,0,6.74,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2157.0299999999997

52,12:45-13:00,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,100,13.48,210,96.3,24.08,0,0,26.95,26.95,0,9.58,0,0,0,52.68,10.59,0,6.74,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2157.0299999999997

53,13:00-13:15,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,100,13.48,210,96.3,24.08,0,0,26.95,26.95,0,9.5,0,0,0,52.68,10.59,0,6.74,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2156.95

54,13:15-13:30,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,100,13.48,210,96.3,24.08,0,0,26.95,26.95,0,9.5,0,0,0,52.68,10.59,0,6.74,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2156.95

55,13:30-13:45,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,100,13.48,210,96.3,24.08,0,0,26.95,26.95,0,9.5,0,0,0,52.68,10.59,0,6.74,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2156.95

56,13:45-14:00,47.19,0,14.59,48.15,0,0,192.6,9.92,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0.96,0,100,13.48,210,96.3,24.08,0,0,26.95,26.95,0,9.5,0,0,0,52.68,10.59,0,6.74,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,0,0,24.08,96.3,96.3,0,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2156.95

57,14:00-14:15,0,0,14.59,39.48,0,0,192.6,0,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0,0,100,11.56,207,96.3,24.08,0,0,26.95,26.95,0,9.5,0,0,0,62.6,10.59,0,7.7,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,110.74,0,24.08,96.3,96.3,33.7,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2240.6099999999997

58,14:15-14:30,0,0,14.59,39.48,0,0,192.6,0,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0,0,100,11.56,203,96.3,24.08,0,0,26.95,26.95,0,9.5,0,0,0,62.6,10.59,0,7.7,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,110.74,0,24.08,96.3,96.3,33.7,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2236.6099999999997

59,14:30-14:45,0,0,14.59,39.48,0,0,192.6,0,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0,0,98.32,11.56,175,96.3,24.08,0,0,26.95,26.95,0,9.5,0,0,0,62.6,10.59,0,7.7,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,110.74,0,24.08,96.3,96.3,33.7,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2206.93

60,14:45-15:00,0,0,14.59,39.48,0,0,192.6,0,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0,0,94.44,11.56,168,96.3,24.08,0,0,26.95,26.95,0,9.5,0,0,0,62.6,10.59,0,7.7,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,110.74,0,24.08,96.3,96.3,33.7,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2196.0499999999997

61,15:00-15:15,0,0,14.59,39.48,0,0,192.6,0,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0,0,90.14,8.67,161,96.3,24.08,0,0,26.95,26.95,0,9.4,0,0,0,62.6,10.59,0,8.67,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,110.74,0,24.08,96.3,96.3,33.7,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2182.7299999999996

62,15:15-15:30,0,0,14.59,39.48,0,0,192.6,0,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0,0,85.53,8.67,151,96.3,24.08,0,0,26.95,26.95,0,9.4,0,0,0,62.6,10.59,0,8.67,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,110.74,0,24.08,96.3,96.3,33.7,13.48,4.82,52.96,0,4.82,48.15,0,192.6,115.56,14.44,0,0,28.89,2168.12

63,15:30-15:45,0,0,14.59,39.48,0,221.49,192.6,0,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0,0,80.18,8.67,140,96.3,24.08,0,0,26.95,26.95,0,9.4,0,0,0,62.6,10.59,0,8.67,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,110.74,0,24.08,96.3,96.3,33.7,13.48,4.82,52.96,0,4.82,48.15,0,192.6,77.04,14.44,0,0,28.89,2334.74

64,15:45-16:00,0,0,14.59,39.48,0,221.49,192.6,0,0,0,43.77,0,0,0,37.21,0,14.59,0,0,0,0,0,0,74.85,8.67,130,96.3,24.08,0,0,26.95,26.95,0,9.4,0,0,0,62.6,10.59,0,8.67,48.15,0,192.6,0,14.44,43.77,0,0,0,54.1,28.94,96.3,110.74,0,24.08,96.3,96.3,33.7,13.48,4.82,52.96,0,4.82,48.15,0,192.6,77.04,14.44,0,0,28.89,2319.41

65,16:00-16:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.82,96.3,66.53,5.78,119,96.3,24.08,0,0,26.95,26.95,0,9.4,0,0,0,0,10.59,0,8.67,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,52.96,192.6,77.04,14.44,0,0,28.89,2402.0299999999997

66,16:15-16:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.82,96.3,58.8,5.78,105,96.3,24.08,0,0,26.95,26.95,0,9.4,0,0,0,0,10.59,0,8.67,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,52.96,192.6,77.04,14.44,0,0,28.89,2380.2999999999997

67,16:30-16:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.82,96.3,52.06,5.78,91,96.3,24.08,0,0,26.95,26.95,0,9.4,0,0,0,0,10.59,0,8.67,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,52.96,192.6,62.78,14.44,0,0,28.89,2345.3

68,16:45-17:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.82,96.3,45.17,5.78,81,96.3,24.08,0,0,26.95,26.95,0,9.4,0,0,0,0,10.59,0,8.67,48.15,0,0,0,14.44,0,0,0,0,54.1,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,52.96,192.6,0,14.44,0,0,28.89,2265.63

69,17:00-17:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,96.3,38.4,0,70,96.3,24.08,0,0,26.95,26.95,0,9.68,0,0,0,0,10.59,0,9.63,48.15,0,0,0,0,0,33.7,0,0,102.01,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,0,14.44,0,0,28.89,2257.3800000000006

70,17:15-17:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,96.3,30.94,0,56,96.3,24.08,0,0,26.95,26.95,0,9.68,0,0,0,0,10.59,0,9.63,48.15,0,0,0,0,0,33.7,0,0,102.01,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,0,14.44,0,0,28.89,2235.9200000000005

71,17:30-17:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,96.3,24.34,0,42,96.3,24.08,0,100,26.95,26.95,0,9.68,0,0,0,0,10.59,0,9.63,48.15,403.5,0,0,0,0,33.7,0,0,102.01,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,0,14.44,0,0,28.89,2718.82

72,17:45-18:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,96.3,18.05,0,28,96.3,24.08,0,100,26.95,26.95,0,9.68,0,0,0,0,10.59,0,9.63,48.15,410.24,0,0,0,0,33.7,0,0,102.01,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,0,14.44,0,0,28.89,2705.27

73,18:00-18:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,96.3,13.01,0,14,96.3,24.08,19.26,100,26.94,26.94,14.44,9.96,0,67.41,0,0,10.59,0,9.63,48.15,459.35,0,0,0,0,33.7,0,5.78,162.31,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,0,14.44,28.89,5.78,28.89,2937.46

74,18:15-18:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,96.3,8.98,0,7,96.3,24.08,19.26,100,26.94,26.94,14.44,9.96,0,67.41,0,0,10.59,0,9.63,48.15,459.35,0,0,0,0,33.7,0,5.78,162.31,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,0,14.44,28.89,5.78,28.89,2926.4300000000003

75,18:30-18:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,96.3,0.76,0,4,96.3,24.08,19.26,100,26.94,26.94,14.44,10.87,0,67.41,0,0,10.59,0,9.63,48.15,459.35,0,0,0,0,33.7,0,5.78,162.31,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,182.06,14.44,28.89,5.78,28.89,3098.18

76,18:45-19:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.67,96.3,0.29,0,1,96.3,24.08,19.26,100,25.99,25.99,14.44,10.87,0,67.41,0,0,10.59,0,9.63,48.15,459.35,0,0,0,0,33.7,0,5.78,162.31,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,182.06,14.44,28.89,5.78,28.89,3092.81

77,19:00-19:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.72,96.3,0.19,0,0,96.3,24.08,19.26,100,24.09,29.5,14.44,11.33,0,67.41,0,0,10.59,0,9.63,48.15,459.35,0,0,0,0,33.7,0,5.78,162.31,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,182.06,14.44,28.89,5.78,28.89,3093.83

78,19:15-19:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.72,96.3,0,0,0,96.3,24.08,19.26,100,24.09,29.5,14.44,11.33,0,67.41,0,0,10.59,0,9.63,48.15,459.35,0,0,0,0,33.7,0,5.78,162.31,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,182.06,14.44,28.89,5.78,28.89,3093.64

79,19:30-19:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.72,96.3,0,0,0,96.3,24.08,19.26,100,29,29,14.44,11.33,0,67.41,0,0,10.59,0,9.63,48.15,459.35,0,0,0,0,33.7,0,5.78,162.31,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,182.06,14.44,28.89,5.78,28.89,3098.0499999999997

80,19:45-20:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.72,96.3,0,0,0,96.3,24.08,19.26,100,29,29,14.44,11.33,0,67.41,0,0,10.59,0,9.63,48.15,459.35,0,0,0,0,33.7,0,5.78,162.31,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,182.06,14.44,28.89,5.78,28.89,3098.0499999999997

81,20:00-20:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,12.33,14.44,11.8,0,67.41,0,0,10.59,0,8.67,48.15,459.35,0,0,0,0,33.7,0,5.78,162.31,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,182.06,14.44,28.89,5.78,28.89,3081.4399999999996

82,20:15-20:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,12.33,14.44,11.8,0,67.41,0,0,10.59,0,8.67,48.15,459.35,0,0,0,0,33.7,0,5.78,162.31,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,182.06,14.44,28.89,5.78,28.89,3081.4399999999996

83,20:30-20:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,12.33,14.44,11.33,0,67.41,0,0,10.59,0,8.67,48.15,442.02,0,0,0,0,33.7,0,5.78,162.31,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,166.37,14.44,28.89,5.78,28.89,3047.9499999999994

84,20:45-21:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,12.33,14.44,11.33,0,67.41,0,0,10.59,0,8.67,48.15,416.02,0,0,0,0,33.7,0,5.78,162.31,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,166.37,14.44,28.89,5.78,28.89,3021.9499999999994

85,21:00-21:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,4.5,14.44,11.33,0,67.41,8.4,0,10.59,0,8.67,48.15,392.9,0,79.93,0,0,33.7,48.15,5.78,108.2,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,166.37,14.44,28.89,5.78,28.89,3073.3699999999994

86,21:15-21:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,4.5,14.44,11.33,0,67.41,8.4,0,10.59,0,8.67,48.15,401.57,0,79.93,0,0,33.7,48.15,5.78,108.2,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,166.37,14.44,28.89,5.78,28.89,3082.0399999999995

87,21:30-21:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,4.5,14.44,11.33,0,67.41,8.4,0,10.59,0,8.67,48.15,364.01,0,79.93,0,0,33.7,48.15,5.78,108.2,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,166.37,14.44,28.89,5.78,28.89,3044.4799999999996

88,21:45-22:00,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,4.5,14.44,11.33,0,67.41,8.4,0,10.59,0,8.67,48.15,318.75,0,79.93,0,0,33.7,48.15,5.78,108.2,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,166.37,14.44,28.89,5.78,28.89,2999.22

89,22:00-22:15,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,4.5,14.44,10.87,0,67.41,8.4,0,10.59,0,7.7,48.15,265.79,0,79.93,0,0,33.7,48.15,5.78,108.2,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,166.37,14.44,28.89,5.78,28.89,2944.83

90,22:15-22:30,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,4.5,14.44,10.87,0,67.41,8.4,0,10.59,0,7.7,48.15,229.19,0,79.93,0,0,33.7,48.15,5.78,108.2,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,166.37,14.44,28.89,5.78,28.89,2908.23

91,22:30-22:45,47.19,96.3,0,48.15,192.6,221.49,192.6,62.6,43.77,24.08,0,14.59,14.59,48.15,0,48.15,0,4.82,4.82,43.77,37.21,0.77,96.3,0,0,0,96.3,24.08,19.26,100,29.5,4.5,14.44,10.87,0,67.41,8.4,0,10.59,0,7.7,48.15,125.19,0,79.93,0,0,33.7,48.15,5.78,102.01,28.94,0,110.74,0,0,0,96.3,33.7,13.48,0,0,0,0,0,0,192.6,150.67,14.44,28.89,5.78,28.89,2782.34

