Time,Block,NR/2023/15349/D,NR/2023/13859/A,NR/2023/11315/A,NR/2023/11203/A,ER/2023/9449/C,NR/2023/11739/A,NR/2023/13858/A,NR/2023/11697/A,NR/2023/11328/A,NR/2023/11325/A,NR/2023/11654/A,NR/2023/13284/A,NR/2023/12646/A,NR/2023/15348/D,NR/2023/11458/A,NR/2023/14187/F,NR/2023/15357/C,NR/2023/11954/A,NR/2023/11469/A,NR/2023/13573/A,NR/2023/13983/F,NR/2023/15346/D,NR/2023/15358/C,NR/2023/15353/C,NR/2023/15355/C,NR/2023/15356/C,NR/2023/13283/A,NR/2023/14688/F,NR/2023/15361/C,NR/2023/13983/F/II,NR/2023/14688/F/II,NR/2023/11470/A,Total
70,17:15-17:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,48.300000,3.860000,0.000000,0.000000,84.990000,28.980000,0.820000,0.19,2.020000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1100.93

71,17:30-17:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,48.300000,3.860000,0.000000,0.000000,84.990000,28.980000,0.820000,0.1,2.020000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1100.84

72,17:45-18:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,48.300000,3.860000,0.000000,0.000000,84.990000,28.980000,0.820000,0,2.020000,0.000000,0.000000,6.760000,24.150000,24.150000,18.210000,0.000000,0.000000,21.240000,1100.74

73,18:00-18:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,48.300000,3.860000,0.000000,36.450000,84.990000,28.980000,0.870000,0,2.020000,0.000000,0.000000,6.760000,0.000000,24.150000,18.210000,0.000000,0.000000,21.240000,1113.09

74,18:15-18:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,48.300000,3.860000,0.000000,36.450000,84.990000,28.980000,0.870000,0,2.020000,0.000000,0.000000,6.760000,0.000000,24.150000,18.210000,0.000000,0.000000,21.240000,1113.09

75,18:30-18:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,48.300000,3.860000,0.000000,36.450000,84.990000,28.980000,0.870000,0,2.020000,0.000000,0.000000,6.760000,0.000000,24.150000,18.210000,0.000000,0.000000,21.240000,1113.09

76,18:45-19:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,18.350000,48.300000,3.860000,0.000000,36.450000,84.990000,28.980000,0.870000,0,2.020000,0.000000,0.000000,6.760000,0.000000,24.150000,18.210000,0.000000,0.000000,21.240000,1113.09

77,19:00-19:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,0.000000,48.300000,3.860000,0.000000,36.450000,84.990000,28.980000,0.920000,0,2.020000,0.000000,0.000000,6.760000,0.000000,24.150000,18.210000,0.000000,0.000000,21.240000,1094.79

78,19:15-19:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,0.000000,48.300000,3.860000,0.000000,36.450000,84.990000,28.980000,0.920000,0,2.020000,0.000000,0.000000,6.760000,0.000000,24.150000,18.210000,0.000000,0.000000,21.240000,1094.79

79,19:30-19:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,0.000000,48.300000,3.860000,0.000000,36.450000,84.990000,28.980000,0.920000,0,2.020000,0.000000,0.000000,6.760000,0.000000,24.150000,18.210000,0.000000,0.000000,21.240000,1094.79

80,19:45-20:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,0.000000,48.300000,3.860000,0.000000,36.450000,84.990000,28.980000,0.920000,0,2.020000,0.000000,0.000000,6.760000,0.000000,24.150000,18.210000,0.000000,0.000000,21.240000,1094.79

81,20:00-20:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,0.000000,48.300000,3.860000,0.000000,36.450000,84.990000,28.980000,0.920000,0,2.020000,0.000000,0.000000,6.760000,0.000000,24.150000,18.210000,0.000000,0.000000,21.240000,1094.79

82,20:15-20:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,0.000000,48.300000,3.860000,0.000000,36.450000,84.990000,28.980000,0.920000,0,2.020000,0.000000,0.000000,6.760000,0.000000,24.150000,18.210000,0.000000,0.000000,21.240000,1094.79

83,20:30-20:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,0.000000,48.300000,3.860000,0.000000,36.450000,84.990000,28.980000,0.920000,0,2.020000,0.000000,0.000000,6.760000,0.000000,24.150000,18.210000,0.000000,0.000000,21.240000,1094.79

84,20:45-21:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,0.000000,48.300000,3.860000,0.000000,36.450000,84.990000,28.980000,0.920000,0,2.020000,0.000000,0.000000,6.760000,0.000000,24.150000,18.210000,0.000000,0.000000,21.240000,1094.79

85,21:00-21:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,0.000000,91.770000,3.860000,0.000000,36.450000,84.990000,28.980000,0.920000,0,2.020000,0.000000,0.000000,6.760000,0.000000,20.280000,18.210000,0.000000,3.870000,21.240000,1138.26

86,21:15-21:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,0.000000,91.770000,3.860000,11.590000,36.450000,84.990000,28.980000,0.920000,0,2.020000,0.000000,0.000000,6.760000,0.000000,20.280000,18.210000,0.000000,3.870000,21.240000,1149.85

87,21:30-21:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,0.000000,91.770000,3.860000,72.450000,36.450000,84.990000,28.980000,0.920000,0,0.000000,0.000000,0.000000,6.760000,0.000000,20.280000,18.210000,0.000000,3.870000,21.240000,1208.69

88,21:45-22:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,0.000000,48.300000,24.150000,152.630000,0.000000,0.000000,0.000000,91.770000,3.860000,128.480000,36.450000,84.990000,28.980000,0.920000,0,0.000000,0.000000,0.000000,6.760000,0.000000,20.280000,18.210000,0.000000,3.870000,21.240000,1264.72

89,22:00-22:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,0.000000,91.770000,3.860000,67.620000,36.450000,84.990000,28.980000,0.920000,0,0.000000,0.000000,0.000000,6.760000,0.000000,20.290000,18.210000,0.000000,3.860000,21.240000,1343.87

90,22:15-22:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,0.000000,91.770000,3.860000,121.720000,36.450000,84.990000,28.980000,0.920000,0,0.000000,0.000000,0.000000,6.760000,0.000000,20.290000,18.210000,0.000000,3.860000,21.240000,1397.97

91,22:30-22:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,0.000000,91.770000,3.860000,153.590000,36.450000,84.990000,28.980000,0.920000,0,0.000000,0.000000,0.000000,6.760000,0.000000,20.290000,18.210000,0.000000,3.860000,21.240000,1429.84

92,22:45-23:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,0.000000,91.770000,3.860000,177.740000,36.450000,84.990000,28.980000,0.920000,0,0.000000,0.000000,0.000000,6.760000,0.000000,20.290000,18.210000,0.000000,3.860000,21.240000,1453.99

93,23:00-23:15,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,0.000000,91.770000,3.860000,186.440000,36.450000,84.990000,28.980000,0.870000,0,0.000000,0.000000,0.000000,6.760000,0.000000,20.290000,18.210000,0.000000,3.860000,21.240000,1462.64

94,23:15-23:30,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,0.000000,91.770000,3.860000,191.270000,36.450000,84.990000,28.980000,0.870000,0,0.000000,0.000000,0.000000,6.760000,0.000000,20.290000,18.210000,0.000000,3.860000,21.240000,1467.47

95,23:30-23:45,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,0.000000,91.770000,3.860000,169.050000,36.450000,84.990000,28.980000,0.870000,0,0.000000,0.000000,0.000000,6.760000,0.000000,20.290000,18.210000,0.000000,3.860000,21.240000,1445.25

96,23:45-24:00,193.200000,188.370000,22.220000,63.030000,0.000000,42.490000,84.520000,35.070000,48.300000,24.150000,152.630000,81.820000,23.120000,0.000000,91.770000,3.860000,153.590000,36.450000,84.990000,28.980000,0.870000,0,0.000000,0.000000,0.000000,6.760000,0.000000,20.290000,18.210000,0.000000,3.860000,21.240000,1429.79

