Time,Block,NR/2023/11953/A,NR/2023/10956/A,NR/2023/13925/D,NR/2023/10435/A,NR/2023/13928/D,NR/2023/11712/A,NR/2023/10786/A,NR/2023/12814/F,NR/2023/13053/F,NR/2023/10460/A,NR/2023/12917/F,NR/2023/12924/F,NR/2023/12872/F,NR/2023/10947/A,NR/2023/13929/D,NR/2023/13935/D,NR/2023/10651/A,NR/2023/12919/F,NR/2023/13951/C,NR/2023/12706/A,NR/2023/12923/F,NR/2023/13954/C,NR/2023/11266/A,ER/2023/8598/C,NR/2023/13369/F,NR/2023/13923/D,NR/2023/12915/F,NR/2023/10650/A,NR/2023/12921/F,NR/2023/13955/C,NR/2023/10720/A,NR/2023/13679/F,NR/2023/13053/F/II,NR/2023/12920/F,NR/2023/10561/A,NR/2023/10488/A,NR/2023/13939/C,NR/2023/13937/C,NR/2023/11709/A,NR/2023/12916/F,NR/2023/10432/A,NR/2023/13934/D,NR/2023/10959/A,NR/2023/10705/A,NR/2023/12661/A,NR/2023/10436/A,NR/2023/11507/A,NR/2023/12813/F,NR/2023/12169/A,NR/2023/11068/A,NR/2023/12922/F,Total
42,10:15-10:30,0.000000,85.170000,6.1,24.200000,99.270000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,161,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.670000,37.710000,0.000000,0.520000,43.570000,69,14.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1785.88

43,10:30-10:45,0.000000,85.170000,6.1,24.200000,99.270000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,165.9,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.670000,37.710000,0.000000,0.520000,43.570000,71.1,14.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1792.88

44,10:45-11:00,0.000000,85.170000,6.97,24.200000,99.270000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,169.4,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.670000,37.710000,0.000000,0.520000,43.570000,72.6,14.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1798.75

45,11:00-11:15,0.000000,85.170000,6.97,24.200000,99.270000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,178.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.480000,37.710000,0.000000,0.520000,43.570000,76.5,14.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1811.56

46,11:15-11:30,0.000000,85.170000,6.97,24.200000,99.270000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,182,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.480000,37.710000,0.000000,0.520000,43.570000,78,14.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1816.56

47,11:30-11:45,0.000000,85.170000,6.97,24.200000,99.270000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,185.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.480000,37.710000,0.000000,0.520000,43.570000,79.5,14.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1821.56

48,11:45-12:00,0.000000,85.170000,7.84,24.200000,99.270000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,185.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.480000,37.710000,0.000000,0.520000,43.570000,79.5,14.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1822.43

49,12:00-12:15,0.000000,85.170000,7.84,24.200000,147.910000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,185.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.480000,37.710000,0.000000,0.520000,43.570000,79.5,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1878.07

50,12:15-12:30,0.000000,85.170000,7.84,24.200000,147.910000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,185.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.480000,37.710000,0.000000,0.520000,43.570000,79.5,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1878.07

51,12:30-12:45,0.000000,85.170000,8.62,24.200000,147.910000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,185.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.480000,37.710000,0.000000,0.520000,43.570000,79.5,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1878.85

52,12:45-13:00,0.000000,85.170000,8.62,24.200000,147.910000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,185.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.480000,37.710000,0.000000,0.520000,43.570000,79.5,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1878.85

53,13:00-13:15,0.000000,85.170000,8.62,24.200000,147.910000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,185.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.480000,38.730000,0.000000,0.520000,43.570000,79.5,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1879.87

54,13:15-13:30,0.000000,85.170000,8.62,24.200000,147.910000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,185.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.480000,38.730000,0.000000,0.520000,43.570000,79.5,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1879.87

55,13:30-13:45,0.000000,85.170000,9.11,24.200000,147.910000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,185.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.480000,38.730000,0.000000,0.520000,43.570000,79.5,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1880.36

56,13:45-14:00,0.000000,85.170000,8.62,24.200000,147.910000,64.390000,91.010000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,185.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,100.000000,24.200000,24.200000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.480000,38.730000,0.000000,0.520000,43.570000,79.5,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1879.87

57,14:00-14:15,0.000000,85.170000,8.62,24.200000,147.910000,64.390000,106.500000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,175,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,80.000000,24.200000,19.360000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.670000,38.730000,23.180000,0.520000,43.570000,75,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1878.89

58,14:15-14:30,0.000000,85.170000,8.62,24.200000,147.910000,64.390000,106.500000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,172.2,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,80.000000,24.200000,19.360000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.670000,38.730000,23.180000,0.520000,43.570000,73.8,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1874.89

59,14:30-14:45,0.000000,85.170000,8.62,24.200000,147.910000,64.390000,106.500000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,169.4,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,80.000000,24.200000,19.360000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.670000,38.730000,23.180000,0.520000,43.570000,72.6,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1870.89

60,14:45-15:00,0.000000,85.170000,8.62,24.200000,147.910000,64.390000,106.500000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,163.1,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,80.000000,24.200000,19.360000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.670000,38.730000,23.180000,0.520000,43.570000,69.9,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1861.89

61,15:00-15:15,0.000000,85.170000,7.84,24.200000,147.910000,64.390000,106.500000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,155.4,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,24.200000,19.360000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.860000,39.740000,23.180000,0.520000,43.570000,66.6,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1771.31

62,15:15-15:30,0.000000,85.170000,6.97,24.200000,147.910000,64.390000,106.500000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,147,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,24.200000,19.360000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.860000,39.740000,23.180000,0.520000,43.570000,63,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1758.44

63,15:30-15:45,0.000000,85.170000,6.1,24.200000,147.910000,64.390000,106.500000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,138.6,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,24.200000,19.360000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.860000,39.740000,23.180000,0.520000,43.570000,59.4,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1745.57

64,15:45-16:00,0.000000,85.170000,5.23,24.200000,147.910000,64.390000,106.500000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,128.1,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,24.200000,19.360000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,18.860000,39.740000,23.180000,0.520000,43.570000,54.9,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1729.7

65,16:00-16:15,0.000000,85.170000,4.36,24.200000,147.910000,64.390000,106.500000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,116.9,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,24.200000,19.360000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.040000,39.740000,23.180000,0.520000,43.570000,50.1,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1713.01

66,16:15-16:30,0.000000,85.170000,3.49,24.200000,147.910000,64.390000,106.500000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,108.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,24.200000,19.360000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.040000,39.740000,23.180000,0.520000,43.570000,46.5,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1700.14

67,16:30-16:45,0.000000,85.170000,3.49,24.200000,147.910000,64.390000,106.500000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,95.9,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,24.200000,19.360000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.040000,39.740000,23.180000,0.520000,43.570000,41.1,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1682.14

68,16:45-17:00,0.000000,85.170000,2.61,24.200000,147.910000,64.390000,106.500000,85.690000,24.200000,23.240000,0.920000,0.610000,0.970000,0.000000,45.510000,80.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,24.200000,19.360000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.040000,39.740000,23.180000,0.520000,43.570000,34.5,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1659.26

69,17:00-17:15,0.000000,85.170000,2.61,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.680000,0.000000,0.000000,70,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.230000,39.740000,0.000000,0.520000,43.570000,30,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1473.82

70,17:15-17:30,0.000000,85.170000,1.74,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.680000,0.000000,0.000000,60.9,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.230000,39.740000,0.000000,0.520000,43.570000,26.1,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1459.95

71,17:30-17:45,0.000000,85.170000,1.74,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.680000,0.000000,0.000000,52.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.230000,39.740000,0.000000,0.520000,43.570000,22.5,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1447.95

72,17:45-18:00,0.000000,85.170000,0.77,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.680000,0.000000,0.000000,42,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,7.750000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.230000,39.740000,0.000000,0.520000,43.570000,18,21.280000,15.810000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1431.98

73,18:00-18:15,36.530000,85.170000,0.48,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.680000,0.000000,0.000000,31.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,13.5,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1458.42

74,18:15-18:30,36.530000,85.170000,0,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.680000,0.000000,0.000000,24.5,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,10.5,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1447.94

75,18:30-18:45,36.530000,85.170000,0,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.680000,0.000000,0.000000,21,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,9,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1442.94

76,18:45-19:00,36.530000,85.170000,0,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.680000,0.000000,0.000000,14,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,6,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1432.94

77,19:00-19:15,36.530000,85.170000,0,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.730000,0.000000,0.000000,9.34,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,4,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1426.33

78,19:15-19:30,36.530000,85.170000,0,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.730000,0.000000,0.000000,4.12,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,1.77,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1418.88

79,19:30-19:45,36.530000,85.170000,0,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.730000,0.000000,0.000000,0.97,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,0.41,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1414.37

80,19:45-20:00,36.530000,85.170000,0,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.730000,0.000000,0.000000,0,63.180000,0.970000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.980000,0.000000,23.720000,4.840000,0.000000,0.980000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,0,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1412.99

81,20:00-20:15,36.530000,85.170000,0,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.770000,0.000000,0.000000,0,63.180000,0.920000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,0,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1412.88

82,20:15-20:30,36.530000,85.170000,0,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.770000,0.000000,0.000000,0,63.180000,0.920000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,0,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1412.88

83,20:30-20:45,36.530000,85.170000,0,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.770000,0.000000,0.000000,0,63.180000,0.920000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.930000,0.000000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,0,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1412.88

84,20:45-21:00,36.530000,85.170000,0,24.200000,147.910000,64.390000,48.410000,85.690000,24.200000,23.240000,0.920000,0.610000,0.770000,0.000000,0.000000,0,63.180000,0.920000,0.000000,6.780000,0.610000,24.200000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.930000,68.740000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,0,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1505.82

85,21:00-21:15,36.530000,85.170000,0,24.200000,147.910000,64.390000,91.980000,85.690000,24.200000,23.240000,0.920000,0.610000,0.770000,0.000000,0.000000,0,63.180000,0.920000,62.930000,6.780000,0.610000,29.050000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.930000,68.740000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,0,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1617.17

86,21:15-21:30,36.530000,85.170000,0,24.200000,147.910000,64.390000,91.980000,85.690000,24.200000,23.240000,0.920000,0.610000,0.770000,0.000000,0.000000,0,63.180000,0.920000,62.930000,6.780000,0.610000,45.510000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.930000,68.740000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,0,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1633.63

87,21:30-21:45,36.530000,85.170000,0,24.200000,147.910000,64.390000,91.980000,85.690000,24.200000,23.240000,0.920000,0.610000,0.770000,0.000000,0.000000,0,63.180000,0.920000,62.930000,6.780000,0.610000,45.510000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.930000,68.740000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,0,21.280000,15.830000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1633.63

88,21:45-22:00,36.530000,85.170000,0,24.200000,147.910000,64.390000,91.980000,85.690000,24.200000,23.240000,0.920000,0.610000,0.770000,0.000000,0.000000,0,63.180000,0.920000,62.930000,6.780000,0.610000,45.510000,63.630000,0.000000,0.000000,0.000000,0.370000,14.280000,0.930000,68.740000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,38.210000,0.000000,0.520000,43.570000,0,21.280000,15.870000,62.930000,24.200000,255.520000,62.930000,0.000000,48.410000,1.020000,1633.67

89,22:00-22:15,36.530000,85.170000,0,24.200000,147.910000,64.390000,91.980000,85.690000,24.200000,23.240000,0.920000,0.610000,0.730000,23.240000,0.000000,0,63.180000,0.920000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,68.740000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,36.690000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1909.9

90,22:15-22:30,36.530000,85.170000,0,24.200000,147.910000,64.390000,91.980000,85.690000,24.200000,23.240000,0.920000,0.610000,0.730000,23.240000,0.000000,0,63.180000,0.920000,0.000000,6.780000,0.610000,0.000000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,68.740000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,36.690000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1909.9

91,22:30-22:45,36.530000,85.170000,0,24.200000,147.910000,64.390000,91.980000,85.690000,24.200000,23.240000,0.920000,0.610000,0.730000,23.240000,0.000000,0,63.180000,0.920000,0.000000,6.780000,0.610000,45.510000,63.630000,0.000000,0.000000,0.000000,0.370000,83.270000,0.930000,68.740000,23.720000,4.840000,0.000000,0.930000,48.410000,48.410000,19.410000,36.690000,23.180000,0.520000,43.570000,0,21.280000,232.470000,62.930000,24.200000,255.520000,62.930000,54.220000,48.410000,1.020000,1955.41

