Time,Block,NR/2024/19735/C,NR/2024/19043/A/16618,NR/2024/19656/A/17172,NR/2024/19730/C,NR/2024/18978/A/16660,NR/2024/18986/A/16681,NR/2024/19731/C,NR/2024/18976/A/16658,NR/2024/18996/A/17293,NR/2024/19469/A/16687,NR/2024/19622/A/16944,NR/2024/19789/C,NR/2024/19737/C,NR/2024/19172/A/17368,NR/2024/18919/A/17214,NR/2024/19121/A/16749,NR/2024/19785/C,NR/2024/19115/A/16608,NR/2024/19677/A/17280,NR/2024/19734/C,NR/2024/19075/A/16610,NR/2024/19024/A/16690,NR/2024/19774/C,NR/2024/19772/C,NR/2024/19771/C,NR/2024/19484/A/17289,NR/2024/18855/A/16750,NR/2024/19609/A/17183,NR/2024/19485/A/17288,NR/2024/19030/A/16624,NR/2024/19143/A/16606,NR/2024/19245/A/16689,NR/2024/18977/A/16659,NR/2024/18936/A/16649,NR/2024/19841/C,NR/2024/19761/C,NR/2024/19483/A/17291,NR/2024/18935/A/16648,NR/2024/19679/A/17286,NR/2024/19290/A/17367,NR/2024/19337/A/16688,NR/2024/18934/A/16647,NR/2024/19768/C,NR/2024/19733/C,NR/2024/19783/C,Total
49,12:00-12:15,57.920000,46.330000,1.930000,0.000000,14.480000,0.970000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,8.7,0,935.14

50,12:15-12:30,57.920000,46.330000,1.930000,0.000000,14.480000,0.970000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,8.94,0,935.38

51,12:30-12:45,57.920000,46.330000,1.930000,0.000000,14.480000,0.970000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,9.04,0,935.48

52,12:45-13:00,57.920000,46.330000,1.930000,0.000000,14.480000,0.970000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,8.81,0,935.25

53,13:00-13:15,57.920000,46.330000,1.930000,0.000000,14.480000,0.970000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,8.42,0,934.86

54,13:15-13:30,57.920000,46.330000,1.930000,0.000000,14.480000,0.970000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,8.33,0,934.77

55,13:30-13:45,57.920000,46.330000,1.930000,0.000000,14.480000,0.970000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,6.58,0,933.02

56,13:45-14:00,57.920000,46.330000,1.930000,0.000000,14.480000,0.970000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,6.56,0,933

57,14:00-14:15,57.920000,46.330000,1.930000,0.000000,14.480000,0.970000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,5.33,0,931.77

58,14:15-14:30,57.920000,46.330000,1.930000,0.000000,14.480000,0.970000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,6.08,0,932.52

59,14:30-14:45,57.920000,46.330000,1.930000,0.000000,14.480000,0.970000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,6.98,0,933.42

60,14:45-15:00,57.920000,46.330000,1.930000,0.000000,14.480000,0.970000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,6.25,0,932.69

61,15:00-15:15,57.920000,46.330000,2.900000,0.000000,14.480000,0.720000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,6.41,0,933.57

62,15:15-15:30,57.920000,46.330000,2.900000,0.000000,14.480000,0.720000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,6.18,0,933.34

63,15:30-15:45,57.920000,46.330000,2.900000,0.000000,14.480000,0.720000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,5.92,0,933.08

64,15:45-16:00,57.920000,46.330000,2.900000,0.000000,14.480000,0.720000,0.000000,39.580000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,19.310000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,19.310000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,3.44,0,930.6

65,16:00-16:15,57.920000,46.330000,2.900000,0.000000,0.000000,0.720000,0.000000,0.000000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,3.21,0,837.69

66,16:15-16:30,57.920000,46.330000,2.900000,0.000000,0.000000,0.720000,0.000000,0.000000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,4.67,0,839.15

67,16:30-16:45,57.920000,46.330000,2.900000,0.000000,0.000000,0.720000,0.000000,0.000000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,3.16,0,837.64

68,16:45-17:00,57.920000,46.330000,2.900000,0.000000,0.000000,0.720000,0.000000,0.000000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,48.260000,0.000000,52.510000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,1.930000,57.920000,6.760000,0.000000,72.400000,12.430000,5.790000,0.000000,67.570000,1.930000,4.830000,0,2.5,0,836.98

69,17:00-17:15,57.920000,0.000000,2.900000,0.000000,0.000000,0.680000,0.000000,0.000000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,108.690000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,72.400000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,1.96,0,722.69

70,17:15-17:30,57.920000,0.000000,2.900000,0.000000,0.000000,0.680000,0.000000,0.000000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,108.690000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,72.400000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,1.18,0,721.91

71,17:30-17:45,57.920000,0.000000,2.900000,0.000000,0.000000,0.680000,0.000000,0.000000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,108.690000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,72.400000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,1.07,0,721.8

72,17:45-18:00,57.920000,0.000000,2.900000,0.000000,0.000000,0.680000,0.000000,0.000000,48.260000,1.930000,0.000000,48.260000,0.000000,115.840000,0.000000,0.000000,0.000000,0.000000,0.000000,108.690000,0.000000,4.830000,33.790000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,72.400000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0.71,0,721.44

73,18:00-18:15,26.060000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,0.000000,167.000000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0.48,0,640.51

74,18:15-18:30,26.060000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,0.000000,167.000000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0.25,0,640.28

75,18:30-18:45,26.060000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,0.000000,167.000000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0.1,0,640.13

76,18:45-19:00,26.060000,0.000000,1.930000,0.000000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,0.000000,167.000000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,640.03

77,19:00-19:15,26.060000,0.000000,1.930000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,0.000000,167.000000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,835.09

78,19:15-19:30,26.060000,0.000000,1.930000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,0.000000,167.000000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,835.09

79,19:30-19:45,26.060000,0.000000,1.930000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,0.000000,167.000000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,835.09

80,19:45-20:00,26.060000,0.000000,1.930000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,0.000000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,0.000000,167.000000,0.000000,4.830000,0.000000,0.000000,0.000000,37.290000,66.790000,0.000000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,0.000000,67.570000,1.930000,0.000000,0,0,0,835.09

81,20:00-20:15,26.060000,0.000000,1.930000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,96.530000,167.000000,0.000000,4.830000,0.000000,0.000000,34.750000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,0,1280.96

82,20:15-20:30,26.060000,0.000000,1.930000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,96.530000,167.000000,0.000000,4.830000,0.000000,0.000000,58.880000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,0,1305.09

83,20:30-20:45,26.060000,0.000000,1.930000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,96.530000,167.000000,0.000000,4.830000,0.000000,0.000000,58.880000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,0,1305.09

84,20:45-21:00,26.060000,0.000000,1.930000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,96.530000,167.000000,0.000000,4.830000,0.000000,0.000000,58.880000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,0,1305.09

85,21:00-21:15,26.060000,0.000000,0.000000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,96.530000,149.910000,0.000000,4.830000,0.000000,0.000000,58.880000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,36.97,1323.04

86,21:15-21:30,26.060000,0.000000,0.000000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,96.530000,149.910000,0.000000,4.830000,0.000000,0.000000,58.880000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,36.97,1323.04

87,21:30-21:45,26.060000,0.000000,0.000000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,96.530000,149.910000,0.000000,4.830000,0.000000,0.000000,58.880000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,36.97,1323.04

88,21:45-22:00,26.060000,0.000000,0.000000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.000000,115.840000,0.000000,0.000000,96.530000,0.000000,96.530000,149.910000,0.000000,4.830000,0.000000,0.000000,58.880000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,36.97,1323.04

89,22:00-22:15,26.060000,0.000000,0.000000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,108.690000,0.000000,4.830000,0.000000,96.530000,58.880000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,36.97,1388.97

90,22:15-22:30,26.060000,0.000000,0.000000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,108.690000,0.000000,4.830000,0.000000,96.530000,58.880000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,0.000000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,36.97,1388.97

91,22:30-22:45,26.060000,0.000000,0.000000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,108.690000,0.000000,4.830000,0.000000,96.530000,52.130000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,96.530000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,36.97,1478.75

92,22:45-23:00,26.060000,0.000000,0.000000,193.060000,0.000000,0.680000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,52.510000,0.000000,4.830000,0.000000,96.530000,52.130000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,96.530000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,36.97,1422.57

93,23:00-23:15,26.060000,0.000000,0.000000,193.060000,0.000000,0.630000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,52.510000,0.000000,4.830000,0.000000,193.060000,52.130000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,96.530000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,36.97,1519.05

94,23:15-23:30,26.060000,0.000000,0.000000,193.060000,0.000000,0.630000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,52.510000,0.000000,4.830000,0.000000,193.060000,52.130000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,96.530000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,36.97,1519.05

95,23:30-23:45,26.060000,0.000000,0.000000,193.060000,0.000000,0.630000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,52.510000,0.000000,4.830000,0.000000,193.060000,52.130000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,96.530000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,36.97,1519.05

96,23:45-24:00,26.060000,0.000000,0.000000,193.060000,0.000000,0.630000,0.000000,0.000000,0.000000,1.930000,96.530000,0.000000,0.970000,115.840000,9.650000,0.000000,96.530000,0.000000,96.530000,52.510000,0.000000,4.830000,0.000000,193.060000,52.130000,37.290000,66.790000,96.530000,37.290000,0.000000,2.000000,1.930000,0.000000,0.000000,96.530000,0.000000,12.430000,0.000000,96.530000,67.570000,1.930000,0.000000,25,0,36.97,1519.05

