Time,Block,NR/2023/13284/A,NR/2023/13283/A,NR/2023/11521/A,NR/2023/11205/A,NR/2023/14120/F,NR/2023/14117/F,NR/2023/11470/A,NR/2023/14498/D,NR/2023/13983/F,NR/2023/13704/A,NR/2023/14121/F,NR/2023/14114/F,NR/2023/13858/A,NR/2023/11325/A,NR/2023/11204/A,NR/2023/14115/F,NR/2023/11954/A,NR/2023/11264/A,NR/2023/11469/A,NR/2023/11458/A,NR/2023/14119/F,NR/2023/14116/F,NR/2023/11892/A,NR/2023/14516/C,NR/2023/11203/A,NR/2023/11524/A,NR/2023/13283/A/II,NR/2023/14496/D,NR/2023/13859/A,NR/2023/11654/A,NR/2023/14118/F,NR/2023/11697/A,NR/2023/14497/D,NR/2023/11739/A,NR/2023/14113/F,NR/2023/11315/A,NR/2023/13704/A/II,NR/2023/14513/C,NR/2023/14136/F,NR/2023/13573/A,NR/2023/14518/C,NR/2023/14187/F,NR/2023/11328/A,NR/2023/12646/A,NR/2023/14510/C,NR/2023/14521/C,NR/2023/13983/F/II,NR/2023/14499/D,NR/2023/13573/A/II,NR/2023/14493/D,NR/2023/14495/D,NR/2023/14494/D,ER/2023/8825/C,SR/2023/6839/C,Total
39,09:30-09:45,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,91.230000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,5.92,126,54,0.000000,0.00,1638.84

40,09:45-10:00,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,0.000000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,91.230000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,5.91,133,57,0.000000,0.00,1648.83

41,10:00-10:15,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,91.230000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,6.38,141.4,60.6,0.000000,0.00,1752.05

42,10:15-10:30,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,91.230000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,6.51,145.6,62.4,0.000000,0.00,1758.18

43,10:30-10:45,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,91.230000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,5.6,145.6,62.4,0.000000,0.00,1757.27

44,10:45-11:00,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,91.230000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,4.2,145.6,62.4,0.000000,0.00,1755.87

45,11:00-11:15,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,91.230000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,6.78,145.6,62.4,0.000000,0.00,1758.45

46,11:15-11:30,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,91.230000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,7.48,145.6,62.4,0.000000,0.00,1759.15

47,11:30-11:45,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,91.230000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,5.01,145.6,62.4,0.000000,0.00,1756.68

48,11:45-12:00,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,91.230000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,5.81,145.6,62.4,0.000000,0.00,1757.48

49,12:00-12:15,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,3.53,145.6,62.4,0.000000,0.00,1811.43

50,12:15-12:30,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,6.84,145.6,62.4,0.000000,0.00,1814.74

51,12:30-12:45,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,9.22,145.6,62.4,0.000000,0.00,1817.12

52,12:45-13:00,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,6.76,145.6,62.4,0.000000,0.00,1814.66

53,13:00-13:15,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,6,145.6,62.4,0.000000,0.00,1813.9

54,13:15-13:30,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,5.34,145.6,62.4,0.000000,0.00,1813.24

55,13:30-13:45,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,5.21,145.6,62.4,0.000000,0.00,1813.11

56,13:45-14:00,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,90.750000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,19.600000,9.650000,48.270000,0.000000,30.000000,4.830000,0.000000,18.340000,0.000000,4.87,145.6,62.4,0.000000,0.00,1812.77

57,14:00-14:15,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,106.190000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,16.560000,9.650000,48.270000,23.100000,30.000000,4.830000,0.000000,18.340000,0.000000,5.12,145.6,62.4,0.000000,0.00,1848.52

58,14:15-14:30,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,106.190000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,16.560000,9.650000,48.270000,23.100000,30.000000,4.830000,0.000000,18.340000,0.000000,5.02,145.6,62.4,0.000000,0.00,1848.42

59,14:30-14:45,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,106.190000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,16.560000,9.650000,48.270000,23.100000,30.000000,4.830000,0.000000,18.340000,0.000000,4.83,145.6,62.4,0.000000,0.00,1848.23

60,14:45-15:00,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,106.190000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,16.560000,9.650000,48.270000,23.100000,30.000000,4.830000,0.000000,18.340000,0.000000,4.61,145.6,62.4,0.000000,0.00,1848.01

61,15:00-15:15,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,106.190000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,16.560000,9.650000,48.270000,23.100000,30.000000,4.830000,0.000000,18.340000,0.000000,1.4,140,60,50.000000,0.00,1886.8

62,15:15-15:30,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,106.190000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,16.560000,9.650000,48.270000,23.100000,30.000000,4.830000,0.000000,18.340000,0.000000,1.28,143.5,61.5,50.000000,0.00,1891.68

63,15:30-15:45,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,106.190000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,16.560000,9.650000,48.270000,23.100000,30.000000,4.830000,0.000000,18.340000,0.000000,4.17,129.5,55.5,50.000000,0.00,1874.57

64,15:45-16:00,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.970000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,106.190000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,16.560000,9.650000,48.270000,23.100000,30.000000,4.830000,0.000000,18.340000,0.000000,6.19,117.6,50.4,50.000000,0.00,1859.59

65,16:00-16:15,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.820000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,106.190000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,16.560000,9.650000,48.270000,23.100000,0.000000,4.830000,0.000000,18.340000,0.000000,4.58,108.5,46.5,50.000000,0.00,1814.83

66,16:15-16:30,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.820000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,106.190000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,16.560000,9.650000,48.270000,23.100000,0.000000,4.830000,0.000000,18.340000,0.000000,1.84,98,42,50.000000,0.00,1797.09

67,16:30-16:45,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.820000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,106.190000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,16.560000,9.650000,48.270000,23.100000,0.000000,4.830000,0.000000,18.340000,0.000000,0.89,84,36,50.000000,0.00,1776.14

68,16:45-17:00,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.820000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,106.190000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,24.140000,62.750000,16.560000,9.650000,48.270000,23.100000,0.000000,4.830000,0.000000,18.340000,0.000000,1.08,73.5,31.5,50.000000,0.00,1761.33

69,17:00-17:15,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.820000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,48.270000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,16.560000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,1.45,61.6,26.4,0.000000,0.00,1589.54

70,17:15-17:30,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.820000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,48.270000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,16.560000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,1.08,50.4,21.6,0.000000,0.00,1573.17

71,17:30-17:45,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.820000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,48.270000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,16.560000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0.48,35,15,0.000000,0.00,1550.57

72,17:45-18:00,0.000000,24.140000,48.270000,15.760000,0.610000,0.980000,21.240000,38.620000,0.820000,6.760000,0.610000,0.520000,77.230000,24.140000,7.720000,0.950000,0.000000,21.530000,84.940000,48.270000,1.010000,0.970000,0.000000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,16.560000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0.19,31.5,13.5,0.000000,0.00,1545.28

73,18:00-18:15,0.000000,0.000000,48.270000,15.780000,0.610000,0.980000,21.240000,38.620000,0.870000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,48.270000,1.010000,0.970000,66.520000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0,31.5,13.5,50.000000,0.00,1683.52

74,18:15-18:30,0.000000,0.000000,48.270000,15.780000,0.610000,0.980000,21.240000,38.620000,0.870000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,48.270000,1.010000,0.970000,66.520000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0,24.5,10.5,50.000000,0.00,1673.52

75,18:30-18:45,0.000000,0.000000,48.270000,15.780000,0.610000,0.980000,21.240000,38.620000,0.870000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,48.270000,1.010000,0.970000,66.520000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0,21,9,50.000000,50.00,1718.52

76,18:45-19:00,0.000000,0.000000,48.270000,15.780000,0.610000,0.980000,21.240000,38.620000,0.870000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,48.270000,1.010000,0.970000,66.520000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,18.340000,0.000000,0,14,6,50.000000,80.00,1738.52

77,19:00-19:15,0.000000,0.000000,48.270000,15.780000,0.610000,0.980000,21.240000,38.620000,0.920000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,48.270000,1.010000,0.970000,66.520000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,22.200000,0.000000,0,7,3,0.000000,140.00,1742.43

78,19:15-19:30,0.000000,0.000000,48.270000,15.780000,0.610000,0.980000,21.240000,38.620000,0.920000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,48.270000,1.010000,0.970000,66.520000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,22.200000,0.000000,0,4.2,1.8,0.000000,140.00,1738.43

79,19:30-19:45,0.000000,0.000000,48.270000,15.780000,0.610000,0.980000,21.240000,38.620000,0.920000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,48.270000,1.010000,0.970000,66.520000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,22.200000,0.000000,0,1.4,0.6,0.000000,140.00,1734.43

80,19:45-20:00,0.000000,0.000000,48.270000,15.780000,0.610000,0.980000,21.240000,38.620000,0.920000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,48.270000,1.010000,0.970000,66.520000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.980000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,22.200000,0.000000,0,0,0,0.000000,140.00,1732.43

81,20:00-20:15,0.000000,0.000000,48.270000,15.780000,0.610000,0.930000,21.240000,0.000000,0.920000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,48.270000,1.010000,0.970000,66.520000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,0.000000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.00,1531.45

82,20:15-20:30,0.000000,0.000000,48.270000,15.780000,0.610000,0.930000,21.240000,0.000000,0.920000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,48.270000,1.010000,0.970000,66.520000,0.000000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,15.450000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.00,1546.9

83,20:30-20:45,0.000000,0.000000,48.270000,15.780000,0.610000,0.930000,21.240000,0.000000,0.920000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,48.270000,1.010000,0.970000,66.520000,24.140000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,70.470000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.00,1626.06

84,20:45-21:00,0.000000,0.000000,48.270000,15.780000,0.610000,0.930000,21.240000,0.000000,0.920000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,48.270000,1.010000,0.970000,66.520000,43.440000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,108.120000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.00,1683.01

85,21:00-21:15,0.000000,0.000000,48.270000,15.780000,0.610000,0.930000,21.240000,0.000000,0.920000,6.760000,0.610000,0.520000,77.230000,24.140000,14.240000,0.950000,36.420000,21.530000,84.940000,91.710000,1.010000,0.970000,66.520000,28.960000,62.990000,193.080000,0.000000,147.460000,141.910000,257.760000,0.870000,0.000000,45.370000,42.470000,0.380000,22.200000,0.000000,139.980000,0.000000,62.750000,19.600000,9.650000,48.270000,0.000000,0.000000,4.830000,0.000000,0.000000,0.000000,0,0,0,0.000000,0.00,1743.83

