Column1,Block,NR/2025/29470/C,NR/2025/29464/C,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/20/3628,NR/2025/29507/C,GNA/NR/2025/06/01/5280,NR/2025/29508/C,NR/2025/29510/C,NR/2025/29472/C,NR/2025/29387/C,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/16/6051,NR/2025/29378/C,NR/2025/29471/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4973,NR/2025/29456/C,GNA/NR/2025/06/01/9719,NR/2025/29523/C,NR/2025/29528/C/Alternate/1,NR/2025/29527/C,NR/2025/29528/C,NR/2025/26562/A/82276,NR/2025/26975/A/82486,NR/2025/26889/A/82298,NR/2025/27281/A/82401,SR/2025/17681/C,NR/2025/29540/C,NR/2025/27157/A/81898,NR/2025/26445/A/82334,NR/2025/27506/A/81775,NR/2025/27726/A/82305,NR/2025/27176/A/82318,NR/2025/29504/C,NR/2025/27168/A/81795,NR/2025/29505/C,NR/2025/27100/A/81900,NR/2025/26566/A/82278,NR/2025/27167/A/81792,NR/2025/29541/C,NR/2025/27725/A/82306,NR/2025/26572/A/82280,NR/2025/26571/A/82279,NR/2025/27499/A/82297,NR/2025/27242/A/82001,NR/2025/26861/A/82292,NR/2025/28719/A/81876,NR/2025/27782/A/82302,NR/2025/27187/A/82312,NR/2025/27728/A/82304,NR/2025/27088/A/82330,NR/2025/27185/A/82316,NR/2025/26565/A/82277,NR/2025/26777/A/81860,NR/2025/26860/A/82213,NR/2025/29502/C,NR/2025/26085/A/81873,NR/2025/27727/A/82303,NR/2025/26952/A/81843,NR/2025/29162/A/81884,NR/2025/29536/C,NR/2025/26785/A/81777,NR/2025/27500/A/81776,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNARE/NR/2024/12/20/3668,NR/2025/28774/A/81771,NR/2025/27356/A/81936,Total
36,08:45-09:00,0,0,26.94,11.92,15.33,20.87,0,11.93,0,0,0,0,26.94,33.86,19.35,0,0,15.19,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,0,0,1.93,26.38,77.02,0,16.93,0,0,0,16.93,0,8.79,0,0,0,33.86,0,10.64,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.97,26.38,0,1.93,0,0,7.74,135.44,44.02,17.41,16.93,33.86,42,5.8,53,1567.4499999999998

37,09:00-09:15,0,0,26.96,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.96,33.86,19.35,24.91,0,15.09,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,10.64,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,46.56,7.64,77,1643.2600000000004

38,09:15-09:30,0,0,26.96,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.96,33.86,19.35,24.91,0,15.09,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,0.97,5.8,0,0,135.44,44.02,17.41,16.93,33.86,50.7,8.3,84,1655.0700000000002

39,09:30-09:45,0,0,26.96,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.96,33.86,19.35,24.91,0,15.09,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,54.49,8.71,95,1671.2300000000002

40,09:45-10:00,0,0,26.96,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.96,33.86,19.35,24.91,0,15.09,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,57.89,8.71,105,1684.6300000000003

41,10:00-10:15,0,0,26.96,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.96,33.86,19.35,24.91,0,14.91,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,60.91,9.84,112,1695.6000000000001

42,10:15-10:30,0,0,26.96,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.96,33.86,19.35,24.91,0,14.91,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,63.5,9.54,119,1704.89

43,10:30-10:45,0,0,26.96,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.96,33.86,19.35,24.91,0,14.91,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,59,8.6,84,1664.45

44,10:45-11:00,0,0,26.96,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.96,33.86,19.35,24.91,0,14.91,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,60.25,8.6,91,1672.7

45,11:00-11:15,0,0,26.96,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.96,33.86,19.35,24.91,0,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,61.19,8.6,98,1678.0500000000002

46,11:15-11:30,0,0,26.96,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.96,33.86,19.35,24.91,0,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,61.73,8.6,105,1685.5900000000001

47,11:30-11:45,0,0,26.96,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.96,33.86,19.35,24.91,0,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,62.38,8.6,88,1669.2400000000002

48,11:45-12:00,0,0,26.96,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.96,33.86,19.35,24.91,0,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,63.06,8.6,91,1672.92

49,12:00-12:15,0,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,0,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,63.85,8.6,88,1806.1699999999998

50,12:15-12:30,0,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,0,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,64.32,8.6,95,1813.6399999999999

51,12:30-12:45,0,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,0,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,100,6.56,133,1885.28

52,12:45-13:00,0,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,0,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,100,7.12,140,1892.84

53,13:00-13:15,0,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,0,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,11.61,0,0,0,0,0,0,0,0,8.79,0.97,0,0,1.93,5.8,0,0,135.44,44.02,17.41,16.93,33.86,100,7.6,116,1869.32

54,13:15-13:30,0,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,0,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,12.58,0,0,0,0,0,0,0,0,8.79,0.97,0,0,0.97,5.8,0,0,135.44,44.02,17.41,16.93,33.86,100,7.92,119,1872.65

55,13:30-13:45,0,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,0,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,12.58,0,0,0,0,0,0,0,0,8.79,0.97,0,0,0.97,5.8,0,0,135.44,44.02,17.41,16.93,33.86,100,8.6,182,1936.33

56,13:45-14:00,0,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,0,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,12.58,0,0,0,0,0,0,0,0,8.79,0.97,0,0,0.97,5.8,0,0,135.44,44.02,17.41,16.93,33.86,91.88,8.6,182,1928.21

57,14:00-14:15,116.09,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,116.09,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,12.58,0,0,0,0,0,0,0,0,8.79,0.97,0,0,0.97,5.8,0,0,135.44,44.02,17.41,16.93,33.86,67.63,8.6,172,2126.1400000000003

58,14:15-14:30,116.09,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,116.09,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,12.58,0,0,0,0,0,0,0,0,8.79,0.97,0,0,0.97,5.8,0,0,135.44,44.02,17.41,16.93,33.86,62.21,8.6,168,2116.7200000000003

59,14:30-14:45,116.09,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,116.09,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,12.58,0,0,0,0,0,0,0,0,8.79,0.97,0,0,0.97,5.8,0,0,135.44,44.02,17.41,16.93,33.86,59.2,8.59,140,2085.7000000000003

60,14:45-15:00,116.09,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,116.09,12.32,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,12.58,0,0,0,0,0,0,0,0,8.79,0.97,0,0,0.97,5.8,0,0,135.44,44.02,17.41,16.93,33.86,55.95,8.32,133,2075.1800000000003

61,15:00-15:15,116.09,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,116.09,15.09,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,13.54,0,0,0,0,0,0,0,0,8.79,0.97,0,0,0,5.8,0,0,135.44,44.02,17.41,16.93,33.86,52.31,7.33,123,2063.3100000000004

62,15:15-15:30,116.09,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,116.09,15.09,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,13.54,0,0,0,0,0,0,0,0,8.79,0.97,0,0,0,5.8,0,0,135.44,44.02,17.41,16.93,33.86,48.67,7.43,116,2052.7700000000004

63,15:30-15:45,116.09,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,116.09,15.09,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,13.54,0,0,0,0,0,0,0,0,8.79,0.97,0,0,0,5.8,0,0,135.44,44.02,17.41,16.93,33.86,40.69,7.12,109,2037.4800000000002

64,15:45-16:00,116.09,135.44,26.97,11.92,15.33,20.87,8.79,11.93,26.38,135.44,100.24,53.21,26.97,33.86,19.35,24.91,116.09,15.09,16.93,33.86,74.49,16.93,135.44,0,28.05,164.7,15.85,0,0,0,0,19.35,0,0,1.93,0,0,26.38,16.93,26.38,0,0,16.93,77.02,0,0,0,0,33.86,0,13.54,0,0,0,0,0,0,0,0,8.79,0.97,0,0,0,5.8,0,0,135.44,44.02,17.41,16.93,33.86,36.71,6.61,102,2025.9900000000002

65,16:00-16:15,0,0,26.97,11.92,15.33,20.87,0,11.93,0,0,0,0,26.97,33.86,19.35,0,0,15.74,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,0,33.86,0,13.54,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,135.44,0,0,53.21,7.74,135.44,44.02,17.41,16.93,33.86,32.81,4.94,88,2257.6

66,16:15-16:30,0,0,26.97,11.92,15.33,20.87,0,11.93,0,0,0,0,26.97,33.86,19.35,0,0,15.74,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,0,33.86,0,13.54,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,135.44,0,0,53.21,7.74,135.44,44.02,17.41,16.93,33.86,31.03,4.86,81,2248.7400000000002

67,16:30-16:45,0,0,26.97,11.92,15.33,20.87,0,11.93,0,0,0,0,26.97,33.86,19.35,0,0,15.74,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,0,33.86,0,13.54,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,135.44,0,0,53.21,7.74,135.44,44.02,17.41,16.93,33.86,29.26,4.34,74,2239.4500000000003

68,16:45-17:00,0,0,26.97,11.92,15.33,20.87,0,11.93,0,0,0,0,26.97,33.86,19.35,0,0,15.74,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,0,33.86,0,13.54,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,135.44,0,0,53.21,7.74,135.44,44.02,17.41,16.93,33.86,27.28,4.26,63,2226.3900000000003

69,17:00-17:15,0,0,26.97,11.92,15.33,20.87,0,11.93,0,0,0,0,26.97,33.86,19.35,0,0,16.48,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,0,33.86,0,13.54,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,135.44,0,0,0,7.74,135.44,44.02,17.41,16.93,33.86,25.29,0,56,2160.67

70,17:15-17:30,0,0,26.97,11.92,15.33,20.87,0,11.93,0,0,0,0,26.97,33.86,19.35,0,0,16.48,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,0,33.86,0,13.54,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,135.44,0,0,0,7.74,135.44,44.02,17.41,16.93,33.86,22.77,0,49,2151.15

71,17:30-17:45,0,0,26.97,11.92,15.33,20.87,0,11.93,0,0,0,0,26.97,33.86,19.35,0,0,16.48,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,0,33.86,0,13.54,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,135.44,0,0,0,7.74,135.44,44.02,17.41,16.93,33.86,20.28,0,35,2134.6600000000003

72,17:45-18:00,0,0,26.97,11.92,15.33,20.87,0,11.93,0,0,0,0,26.97,33.86,19.35,0,0,16.48,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,0,24.91,0,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,0,33.86,0,13.54,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,135.44,0,0,0,7.74,135.44,44.02,17.41,16.93,33.86,17.49,0,18,2114.87

73,18:00-18:15,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.22,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,5.8,24.91,106.41,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,0,13.54,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,0,0,0,0,7.74,135.44,44.02,17.41,16.93,33.86,14.81,0,7,2052.7099999999996

74,18:15-18:30,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.22,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,5.8,24.91,120.92,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,0,13.54,8.79,0,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,0,0,0,0,7.74,135.44,44.02,17.41,16.93,33.86,10.64,0,21,2077.0499999999997

75,18:30-18:45,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.22,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,5.8,24.91,145.11,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,0,13.54,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,0,0,0,0,7.74,135.44,44.02,17.41,16.93,33.86,3.52,0,15,2107.47

76,18:45-19:00,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.22,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,5.8,24.91,154.78,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,0,13.54,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,0,0,0,0,7.74,135.44,44.02,17.41,16.93,33.86,0.21,0,10,2108.83

77,19:00-19:15,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.87,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,5.8,24.91,164.46,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,0,13.54,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,0,0,0,0,7.74,135.44,44.02,29.02,16.93,33.86,0,0,5,2125.56

78,19:15-19:30,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.87,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,5.8,24.91,178.97,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,0,13.54,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,0,0,0,0,7.74,135.44,44.02,29.02,16.93,33.86,0,0,1,2136.0699999999997

79,19:30-19:45,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.87,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,5.8,24.91,183.81,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,0,13.54,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,0,0,0,0,7.74,135.44,44.02,29.02,16.93,33.86,0,0,0,2139.91

80,19:45-20:00,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.87,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,5.8,5.8,24.91,183.81,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,0,13.54,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.87,26.38,0,0,0,0,7.74,135.44,44.02,29.02,16.93,33.86,0,0,0,2139.91

81,20:00-20:15,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.87,16.93,33.86,0,16.93,0,59.43,28.05,105.27,116.09,27.09,5.8,24.91,203.15,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,13.54,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.92,26.38,0,0,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2180.5899999999997

82,20:15-20:30,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.87,16.93,33.86,0,16.93,0,57.82,28.05,106.88,116.09,27.09,5.8,24.91,203.15,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,13.54,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.92,26.38,0,0,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2180.5899999999997

83,20:30-20:45,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.87,16.93,33.86,0,16.93,0,57.83,28.05,106.87,116.09,27.09,5.8,24.91,198.32,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,13.54,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.92,26.38,0,0,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2175.7599999999998

84,20:45-21:00,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.87,16.93,33.86,0,16.93,0,57.85,28.05,106.85,116.09,27.09,5.8,24.91,188.64,0,217.66,0,1.93,26.38,77.02,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,13.54,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.92,26.38,0,0,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2166.08

85,21:00-21:15,0,0,26.96,11.92,0,20.87,0,11.93,0,0,0,0,26.96,33.86,0,0,0,17.87,16.93,33.86,0,16.93,0,0,28.05,164.7,116.09,27.09,5.8,24.91,203.15,0,217.66,0,1.93,26.38,106.41,0,16.93,0,25.23,116.09,16.93,0,8.79,116.09,0,8.71,33.86,135.44,12.58,8.79,19.35,26.38,135.44,19.35,0,135.44,74.49,0,0.92,26.38,0,0.97,0,0,7.74,0,44.02,29.02,16.93,33.86,0,0,0,2209.9899999999993

