Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/27167/A/78396,NR/2025/28246/C,NR/2025/26975/A/78722,NR/2025/27782/A/78716,NR/2025/26569/A/78689,NR/2025/28247/C,NR/2025/26570/A/78690,NR/2025/27359/A/78394,NR/2025/27162/A/78721,NR/2025/27281/A/78811,NR/2025/28242/C,NR/2025/27157/A/78293,NR/2025/28256/C,NR/2025/28262/C,NR/2025/28165/C,NR/2025/28245/C,NR/2025/28243/C,NR/2025/28248/C,NR/2025/28257/C,NR/2025/26777/A/78384,NR/2025/27356/A/78395,NR/2025/28173/C,NR/2025/26860/A/78642,NR/2025/27393/A/78391,NR/2025/27361/A/78392,NR/2025/26564/A/78688,NR/2025/28264/C,NR/2025/26952/A/78302,NR/2025/26563/A/78687,NR/2025/26785/A/78744,NR/2025/28228/C,NR/2025/28230/C,NR/2025/27622/A/78319,NR/2025/28229/C,NR/2025/28219/C,NR/2025/26445/A/78755,NR/2025/28227/C,NR/2025/27727/A/78717,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9719,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/08/2376,NR/2025/27499/A/78733,NR/2025/27360/A/78393,NR/2025/27725/A/78720,GNA/NR/2025/06/01/2868,NR/2025/26561/A/78686,NR/2025/26889/A/78734,GNA/NR/2025/06/01/9257,NR/2025/26861/A/78700,NR/2025/27728/A/78718,NR/2025/27242/A/78475,NR/2025/27726/A/78719,GNA/NR/2025/06/01/2569,NR/2025/27724/A/78371,NR/2025/27168/A/78397,NR/2025/27088/A/78750,GNA/NR/2025/06/01/7786,NR/2025/26085/A/78341,NR/2025/27462/A/78318,GNA/NR/2025/06/01/7663,Total
42,10:15-10:30,89.79,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,175,53.09,0,0,0,0,164.08,0,0,0,0,90.25,10.82,128.97,0,96.52,0,0,41.02,11.89,20.75,11.9,29.5,11.27,20.75,26.41,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,1874.3999999999999

43,10:30-10:45,93.49,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,182,53.09,0,0,0,0,164.08,0,0,0,0,90.25,8.96,128.97,0,96.52,0,0,41.02,11.89,20.75,11.9,29.5,11.27,20.75,26.41,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,1883.24

44,10:45-11:00,96.17,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,189,53.09,0,0,0,0,164.08,0,0,0,0,90.25,9.12,128.97,0,96.52,0,0,41.02,11.89,20.75,11.9,29.5,11.27,20.75,26.41,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,1893.08

45,11:00-11:15,99.19,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,196,53.09,0,0,0,0,164.08,0,0,0,0,90.25,9.12,128.97,0,96.52,0,0,41.02,11.89,20.75,11.9,29.5,11.73,20.75,26.41,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,1903.56

46,11:15-11:30,100,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,200,53.09,0,0,0,0,164.08,0,0,0,0,90.25,9.12,128.97,0,96.52,0,0,41.02,11.89,20.75,11.9,29.5,11.73,20.75,26.41,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,1908.37

47,11:30-11:45,100,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,203,53.09,0,0,0,0,164.08,0,0,0,0,90.25,9.12,128.97,0,96.52,0,0,41.02,11.89,20.75,11.9,29.5,11.73,20.75,26.41,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,1911.37

48,11:45-12:00,100,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,203,53.09,0,0,0,0,164.08,0,0,0,0,90.25,9.12,128.97,0,96.52,0,0,41.02,11.89,20.75,11.9,29.5,11.73,20.75,26.41,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,1911.37

49,12:00-12:15,100,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,203,53.09,0,0,0,0,164.08,0,0,0,0,90.25,9.12,128.97,135.13,96.52,0,0,41.02,11.89,20.75,11.9,29,11.64,20.75,26.56,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,2046.0599999999997

50,12:15-12:30,100,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,203,53.09,0,0,0,0,164.08,0,0,0,0,90.25,9.12,128.97,135.13,96.52,0,0,41.02,11.89,20.75,11.9,29,11.64,20.75,26.56,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,2046.0599999999997

51,12:30-12:45,100,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,203,53.09,0,0,0,0,164.08,0,0,0,0,90.25,9.12,128.97,135.13,96.52,0,0,41.02,11.89,20.75,11.9,29,11.64,20.75,26.56,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,2046.0599999999997

52,12:45-13:00,100,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,203,53.09,0,0,0,0,164.08,0,0,0,0,90.25,9.12,128.97,135.13,96.52,0,0,41.02,11.89,20.75,11.9,29,11.64,20.75,26.56,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,2046.0599999999997

53,13:00-13:15,100,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,203,53.09,0,0,0,0,164.08,0,0,0,0,90.25,9.12,128.97,135.13,96.52,0,0,41.02,11.89,20.75,11.9,29,11.54,20.75,26.56,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,2045.9599999999996

54,13:15-13:30,100,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,203,53.09,0,0,0,0,164.08,0,0,0,0,90.25,9.12,128.97,135.13,96.52,0,0,41.02,11.89,20.75,11.9,29,11.54,20.75,26.56,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,2045.9599999999996

55,13:30-13:45,100,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,200,53.09,0,0,0,0,164.08,0,0,0,0,90.25,9.12,128.97,135.13,96.52,0,0,41.02,11.89,20.75,11.9,29,11.54,20.75,26.56,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,2042.9599999999996

56,13:45-14:00,100,20.75,8.04,0,0,0,24.13,0,0,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,196,53.09,0,0,0,0,164.08,0,0,0,0,90.25,9.12,128.97,135.13,96.52,0,0,41.02,11.89,20.75,11.9,29,11.54,20.75,26.56,164.08,0,0,0,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,7.72,20.75,0,41.02,0.97,0,41.02,2038.9599999999996

57,14:00-14:15,98.51,20.75,8.04,0,0,0,24.13,0,33.78,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,189,53.09,0,193.04,38.61,0,164.08,0,0,0,144.78,90.25,9.12,128.97,135.13,96.52,144.78,0,41.02,11.89,20.75,11.9,29,11.46,20.75,26.56,164.08,0,0,28.96,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,9.65,20.75,0,41.02,0.97,0,41.02,2616.2699999999995

58,14:15-14:30,95.88,20.75,8.04,0,0,0,24.13,0,33.78,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,182,53.09,0,193.04,38.61,0,164.08,0,0,0,144.78,90.25,9.12,128.97,135.13,96.52,144.78,0,41.02,11.89,20.75,11.9,29,11.46,20.75,26.56,164.08,0,0,28.96,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,9.65,20.75,0,41.02,0.97,0,41.02,2606.6399999999994

59,14:30-14:45,93.28,20.75,8.04,0,0,0,24.13,0,33.78,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,175,53.09,0,193.04,38.61,0,164.08,0,0,0,144.78,90.25,11.14,128.97,135.13,96.52,144.78,0,41.02,11.89,20.75,11.9,29,11.46,20.75,26.56,164.08,0,0,28.96,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,9.65,20.75,0,41.02,0.97,0,41.02,2599.06

60,14:45-15:00,90.24,20.75,8.04,0,0,0,24.13,0,33.78,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,168,53.09,0,193.04,38.61,0,164.08,0,0,0,144.78,90.25,10.77,128.97,135.13,96.52,144.78,0,41.02,11.89,20.75,11.9,29,11.46,20.75,26.56,164.08,0,0,28.96,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,9.65,20.75,0,41.02,0.97,0,41.02,2588.6499999999996

61,15:00-15:15,86.77,20.75,8.04,0,0,0,24.13,0,33.78,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,161,53.09,0,193.04,38.61,0,164.08,0,0,0,144.78,90.25,8.69,128.97,135.13,96.52,144.78,0,41.02,11.89,20.75,11.9,29,11.46,20.75,26.56,164.08,0,0,28.96,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,9.65,20.75,0,41.02,0.97,0,41.02,2576.1

62,15:15-15:30,82.39,20.75,8.04,0,0,0,24.13,0,33.78,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,151,53.09,0,193.04,38.61,0,164.08,0,0,0,144.78,90.25,8.69,128.97,135.13,96.52,144.78,0,41.02,11.89,20.75,11.9,29,11.46,20.75,26.56,164.08,0,0,28.96,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,9.65,20.75,0,41.02,0.97,0,41.02,2561.72

63,15:30-15:45,77.77,20.75,8.04,0,0,0,24.13,0,33.78,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,140,53.09,0,193.04,38.61,0,164.08,0,0,0,144.78,90.25,8.69,128.97,135.13,96.52,144.78,0,41.02,11.89,20.75,11.9,29,11.46,20.75,26.56,164.08,0,0,28.96,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,9.65,20.75,0,41.02,0.97,0,41.02,2546.1

64,15:45-16:00,73.07,20.75,8.04,0,0,0,24.13,0,33.78,0,0,8.04,0,5.79,108.45,24.85,24.13,24.13,164.08,55.92,0,130,53.09,0,193.04,38.61,0,164.08,0,0,0,144.78,90.25,8.39,128.97,135.13,96.52,144.78,0,41.02,11.89,20.75,11.9,29,11.46,20.75,26.56,164.08,0,0,28.96,0,17.37,15.81,0,20.75,0,0,41.02,0,53.57,9.65,20.75,0,41.02,0.97,0,41.02,2531.1

65,16:00-16:15,68.03,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,108.45,0,0,0,0,0,164.08,116,0,90.25,193.04,38.61,144.78,0,135.13,0,53.09,0,0,5.79,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,11.82,20.75,26.56,164.08,0,0,28.96,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.87,9.65,41.02,2736.5400000000004

66,16:15-16:30,62.02,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,108.45,0,0,0,0,0,164.08,102,0,90.25,193.04,38.61,144.78,0,135.13,0,53.09,0,0,5.79,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,11.82,20.75,26.56,164.08,0,0,28.96,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.87,9.65,41.02,2716.5300000000007

67,16:30-16:45,55.89,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,108.45,0,0,0,0,0,164.08,88,0,90.25,193.04,38.61,144.78,0,135.13,0,53.09,0,0,5.79,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,11.82,20.75,26.56,164.08,0,0,28.96,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.87,9.65,41.02,2696.4

68,16:45-17:00,49.2,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,108.45,0,0,0,0,0,164.08,74,0,90.25,193.04,38.61,144.78,0,135.13,0,53.09,0,0,5.79,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,11.82,20.75,26.56,164.08,0,0,28.96,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.87,9.65,41.02,2675.71

69,17:00-17:15,42.75,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,63,0,90.25,193.04,38.61,144.78,0,135.13,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,12.29,20.75,26.56,164.08,0,0,28.96,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.87,9.65,41.02,2654.080000000001

70,17:15-17:30,35.86,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,49,0,90.25,193.04,38.61,144.78,0,135.13,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,12.29,20.75,26.56,164.08,0,0,28.96,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.87,9.65,41.02,2633.1900000000005

71,17:30-17:45,28.92,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,35,0,90.25,193.04,38.61,144.78,0,135.13,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,12.29,20.75,26.56,164.08,0,0,28.96,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.87,9.65,41.02,2612.2500000000005

72,17:45-18:00,22.65,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,21,0,90.25,193.04,38.61,144.78,0,135.13,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,12.29,20.75,26.56,164.08,0,0,28.96,8.04,17.37,144.78,0,20.75,0,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.87,9.65,41.02,2591.9800000000005

73,18:00-18:15,16.81,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,11,0,90.25,193.04,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,13.02,20.75,26.56,164.08,0,8.69,28.96,8.04,17.37,144.78,5.79,20.75,0,24.13,41.02,24.13,53.57,10.62,20.75,164.08,41.02,0.87,9.65,41.02,2457.19

74,18:15-18:30,12.05,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,7,0,90.25,193.04,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,13.02,20.75,26.56,164.08,0,8.69,28.96,8.04,17.37,144.78,5.79,20.75,0,24.13,41.02,24.13,53.57,10.62,20.75,164.08,41.02,0.87,9.65,41.02,2448.4300000000003

75,18:30-18:45,0.99,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,4,0,90.25,193.04,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,13.02,20.75,26.56,164.08,0,8.69,28.96,8.04,17.37,144.78,5.79,20.75,0,24.13,41.02,24.13,53.57,10.62,20.75,164.08,41.02,0.87,9.65,41.02,2434.3700000000003

76,18:45-19:00,0,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,1,0,90.25,193.04,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,13.02,20.75,26.56,164.08,0,8.69,28.96,8.04,17.37,144.78,5.79,20.75,0,24.13,41.02,24.13,53.57,10.62,20.75,164.08,41.02,0.87,9.65,41.02,2430.38

77,19:00-19:15,0,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,193.04,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,13.67,20.75,29,164.08,0,8.69,28.96,8.04,28.96,144.78,5.79,20.75,0,24.13,41.02,24.13,53.57,10.62,20.75,164.08,41.02,0.87,9.65,41.02,2444.0600000000004

78,19:15-19:30,0,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,193.04,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29,13.67,20.75,29,164.08,0,8.69,28.96,8.04,28.96,144.78,5.79,20.75,0,24.13,41.02,24.13,53.57,10.62,20.75,164.08,41.02,0.87,9.65,41.02,2444.0600000000004

79,19:30-19:45,0,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,193.04,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,26.7,13.67,20.75,26.7,164.08,0,8.69,28.96,8.04,28.96,144.78,5.79,20.75,0,24.13,41.02,24.13,53.57,10.62,20.75,164.08,41.02,0.87,9.65,41.02,2439.4600000000005

80,19:45-20:00,0,20.75,0,5.79,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,193.04,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,26.7,13.67,20.75,26.7,164.08,0,8.69,28.96,8.04,28.96,144.78,5.79,20.75,0,24.13,41.02,24.13,53.57,10.62,20.75,164.08,41.02,0.87,9.65,41.02,2439.4600000000005

81,20:00-20:15,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,26.61,14.41,20.75,26.61,0,0,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,10.62,20.75,164.08,41.02,0.92,9.65,41.02,2403.4

82,20:15-20:30,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,26.61,14.41,20.75,26.61,0,0,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,10.62,20.75,164.08,41.02,0.92,9.65,41.02,2403.4

83,20:30-20:45,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29.5,14.41,20.75,19.5,0,0,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,10.62,20.75,164.08,41.02,0.92,9.65,41.02,2399.1800000000003

84,20:45-21:00,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29.5,14.41,20.75,19.5,0,0,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,10.62,20.75,164.08,41.02,0.92,9.65,41.02,2399.1800000000003

85,21:00-21:15,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29.5,15.7,20.75,19.5,0,91.69,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.92,9.65,41.02,2491.190000000001

86,21:15-21:30,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29.5,15.7,20.75,19.5,0,94.59,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.92,9.65,41.02,2494.0900000000006

87,21:30-21:45,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29.5,15.7,20.75,19.5,0,99.42,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.92,9.65,41.02,2498.920000000001

88,21:45-22:00,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29.5,15.7,20.75,19.5,0,108.1,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.92,9.65,41.02,2507.600000000001

89,22:00-22:15,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29.5,15.52,20.75,29.5,0,113.89,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.82,9.65,41.02,2523.110000000001

90,22:15-22:30,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29.5,15.52,20.75,29.5,0,115.82,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.82,9.65,41.02,2525.040000000001

91,22:30-22:45,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29.5,15.52,20.75,29.5,0,106.17,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.82,9.65,41.02,2515.390000000001

92,22:45-23:00,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29.5,15.52,20.75,29.5,0,115.82,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.82,9.65,41.02,2525.040000000001

93,23:00-23:15,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29.5,15.52,20.75,29.5,0,119.68,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.77,9.65,41.02,2528.850000000001

94,23:15-23:30,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29.5,15.52,20.75,29.5,0,125.48,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.77,9.65,41.02,2534.6500000000005

95,23:30-23:45,0,20.75,0,27.03,8.04,0,0,144.78,33.78,55.92,24.85,0,217.17,0,162.68,0,0,0,0,0,164.08,0,0,90.25,135.13,38.61,144.78,0,0,0,0,0,0,0,0,0,96.52,0,24.13,41.02,11.89,20.75,11.9,29.5,15.52,20.75,29.5,0,131.27,8.69,28.96,8.04,28.96,144.78,5.79,20.75,164.08,24.13,41.02,24.13,53.57,9.65,20.75,164.08,41.02,0.77,9.65,41.02,2540.4400000000005

