Block,Time,KHSTPP-I,BRBCL,KHSTPP-II,FSTPP I & II,TALA,SASAN,SALAL,SEWA2,NAPP,URI2,DADRI_GF,SINGRAULI_HYDRO,JHAJJAR,RAMPUR,DADRI_LF,ANTA_LF,DHAULIGNGA,AURY_LF,KOLDAM,CHAMERA1,UNCHAHAR4,DADRI_CRF,ANTA_RF,DADRT2,AURY_CRF,UNCHAHAR1,KISHANGANGA,RAPPB,ANTA_CRF,RIHAND2,UNCHAHAR2,AURY_GF,UNCHAHAR3,CHAMERA2,TEHRI,CHAMERA3,TANAKPUR,RAPPC,ANTA_GF,KOTESHWR,RIHAND3,BSIUL,TANDA2,AURY_RF,DADRI_RF,PARBATI3,SINGRAULI,DULHASTI,NJPC,RIHAND1,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
23,05:30-05:45,44.538477,19.197964,141.355738,10.659306,0.000000,401.977323,2.230808,0.000000,20.503464,4.519401,0.000000,0.734515,372.441200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,462.671800,0.000000,8.639100,0.000000,0.000000,0.000000,56.691694,28.430030,0.000000,12.478700,0.000000,29.874008,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,0.000000,36.361012,88.310800,2.119459,0,0,0,0,0

24,05:45-06:00,44.538477,17.681928,141.355738,14.406424,0.000000,401.977323,2.230808,0.000000,20.503464,4.519401,0.000000,0.734515,458.832200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,550.982600,0.000000,12.039354,0.000000,0.000000,0.000000,56.691694,33.965870,0.000000,16.033306,0.000000,44.811012,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,15.818050,36.361012,88.310800,2.119459,0,0,0,0,0

25,06:00-06:15,35.674204,16.836023,112.558738,15.713563,0.000000,401.977323,2.230808,0.000000,20.503464,4.519401,0.000000,0.734515,522.593558,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,565.284630,0.000000,13.998510,0.000000,0.000000,0.000000,56.691694,33.928551,0.000000,17.845021,0.000000,44.811012,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,31.636100,36.361012,88.310800,2.119459,0,0,0,0,0

26,06:15-06:30,43.383850,19.197964,136.952812,19.898727,0.000000,401.977323,2.230808,0.000000,20.503464,4.519401,0.000000,0.734515,617.556273,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.962370,0.000000,0.000000,0.000000,629.384181,0.000000,20.907082,0.000000,0.000000,0.000000,56.691694,40.269600,0.000000,23.875503,12.641921,44.811012,0.000000,0.000000,52.257052,0.000000,8.518153,118.706633,0.000000,0.000000,0.000000,0.000000,0.000000,132.466200,31.636100,49.087366,88.310800,3.179189,0,0,0,0,0

27,06:30-06:45,44.538477,19.197964,141.355738,19.898727,0.000000,401.977323,6.692423,5.067005,20.503464,4.519401,0.000000,0.734515,626.958781,0.000000,0.000000,0.000000,8.242181,0.000000,0.000000,13.485981,0.000000,0.000000,0.000000,644.942507,0.000000,20.945018,0.000000,0.000000,0.000000,56.691694,40.690257,0.000000,25.331857,12.641921,44.811012,0.000000,0.000000,52.257052,0.000000,17.036305,118.706633,1.055890,0.000000,0.000000,0.000000,0.000000,132.466200,31.636100,77.267150,88.310800,25.433510,0,0,0,0,0

