Column1,Block,NR/2024/23214/A/38834,NR/2024/22820/A/38756,NR/2024/23331/C,NR/2024/22848/A/39076,NR/2024/23213/A/38832,NR/2024/23312/C,NR/2024/23346/C,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/6566,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/2171,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/26/2729,GNA/NR/2024/09/26/3248,GNA/NR/2024/09/01/9821,NR/2024/23122/A/39091,NR/2024/22754/A/39054,GNA/NR/2024/09/01/7119,NR/2024/23340/C,GNA/NR/2024/09/01/8090,NR/2024/23332/C,NR/2024/23342/C,NR/2024/22835/A/39117,NR/2024/23038/A/38752,NR/2024/23217/A/38841,GNA/NR/2024/09/26/2129,NR/2024/22803/A/39097,NR/2024/21658/A/38801,NR/2024/23119/A/39092,NR/2024/22874/A/39096,NR/2024/23121/A/39093,NR/2024/23118/A/39090,NR/30092023/26122029/SH-06,Total
84,20:45-21:00,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,0,2.42,9.79,21.77,0,33.87,193.54,0,37.38,0,24.78,29.03,0,163.11,2.9,90.96,3.87,8.71,10.64,96.77,0.77,37.38,48.38,37.38,12.46,0,1366.38

85,21:00-21:15,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,0,2.42,9.7,21.77,0,33.87,193.54,0,26.39,0,17.5,29.03,0,163.11,2.9,90.96,3.87,8.71,10.64,96.77,0.77,26.39,48.38,26.39,8.8,9.17,1331.5500000000002

86,21:15-21:30,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,0,2.42,9.7,21.77,0,33.87,193.54,0,26.39,0,17.5,29.03,0,163.11,2.9,90.96,3.87,8.71,10.64,96.77,0.77,26.39,48.38,26.39,8.8,9.17,1331.5500000000002

87,21:30-21:45,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,24.28,2.42,9.7,21.77,0,33.87,193.54,0,26.39,0,17.5,29.03,0,163.11,2.9,90.96,3.87,8.71,10.64,96.77,0.77,26.39,48.38,26.39,8.8,24.28,1370.9400000000003

88,21:45-22:00,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,24.28,2.42,9.7,21.77,0,33.87,193.54,0,26.39,0,17.5,29.03,0,163.11,2.9,90.96,3.87,8.71,10.64,96.77,0.77,26.39,48.38,26.39,8.8,24.28,1370.9400000000003

89,22:00-22:15,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,26.91,2.42,9.61,21.77,163.3,33.87,193.54,0,26.39,54.43,17.5,29.03,0,163.11,0.97,90.96,3.87,8.71,10.64,96.77,0.77,26.39,48.38,26.39,8.8,26.91,1591.9100000000003

90,22:15-22:30,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,26.91,2.42,9.61,21.77,163.3,33.87,193.54,0,26.39,54.43,17.5,29.03,0,163.11,0.97,90.96,3.87,8.71,10.64,96.77,0.77,26.39,48.38,26.39,8.8,26.91,1591.9100000000003

91,22:30-22:45,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,26.91,2.42,9.61,21.77,163.3,33.87,193.54,0,26.39,54.43,17.5,29.03,0,163.11,0.97,90.96,3.87,8.71,10.64,96.77,0.77,26.39,48.38,26.39,8.8,26.91,1591.9100000000003

92,22:45-23:00,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,26.91,2.42,9.61,21.77,163.3,33.87,193.54,0,26.39,54.43,17.5,29.03,0,163.11,1.94,90.96,3.87,7.74,10.64,96.77,0.77,26.39,48.38,26.39,8.8,26.91,1591.9100000000003

93,23:00-23:15,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,26.91,2.42,9.51,21.77,163.3,33.87,193.54,0,26.39,54.43,17.5,29.03,0,163.11,1.94,94.25,3.87,7.74,10.64,96.77,0.77,26.39,48.38,26.39,8.8,26.91,1595.1000000000004

94,23:15-23:30,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,26.91,2.42,9.51,21.77,163.3,33.87,193.54,0,26.39,54.43,17.5,29.03,0,163.11,1.94,94.25,3.87,7.74,10.64,96.77,0.77,26.39,48.38,26.39,8.8,26.91,1595.1000000000004

95,23:30-23:45,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,26.91,2.42,9.51,21.77,163.3,33.87,193.54,0,26.39,54.43,17.5,29.03,0,163.11,1.94,94.25,3.87,7.74,10.64,96.77,0.77,26.39,48.38,26.39,8.8,26.91,1595.1000000000004

96,23:45-24:00,0,4.84,0,84.36,0,241.92,48.39,96.77,24.19,26.91,2.42,9.51,21.77,163.3,33.87,193.54,0,26.39,54.43,17.5,29.03,0,163.11,1.94,94.25,3.87,7.74,10.64,96.77,0.77,26.39,48.38,26.39,8.8,26.91,1595.1000000000004

