Time,Block,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/20072024/20072024/IEX_240719_01603,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21695/C,NR/2024/21072/A/28064,NR/2024/21096/A/28046,NR/2024/21142/A/27765,NR/2024/21150/A/27806,NR/2024/21160/A/27808,NR/2024/21691/C,NR/2024/21710/C,NR/2024/21173/A/27815,NR/2024/21238/A/28035,NR/2024/21183/A/28032,NR/2024/21144/A/27787,NR/2024/21103/A/28043,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/20072024/20072024/HPX-TAMCTG-190724-01752,NR/2024/21075/A/28034,NR/2024/20966/A/27716,NR/2024/21714/C,NR/2024/21685/C,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/26122029/SH-06,NR/2024/20574/A/27850,NR/2024/21148/A/27805,NR/2024/21567/A/28061,NR/2024/21089/A/28063,NR/2024/21186/A/28073,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21698/C,NR/2024/21023/A/27784,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/20573/A/27847,NR/20072024/20072024/IEX_240720_01626,NR/2024/21692/C,NR/2024/21146/A/27807,NR/2024/21087/A/27816,NR/2024/21113/A/28062,NR/2024/21153/A/27804,NR/2024/20688/A/27817,NR/2024/21141/A/27767,NR/2024/20931/A/27991,NR/2024/21339/A/27760,NR/16072024/31072024/NR/16072024/31072024/717758,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/20711/A/28108,NR/2024/21158/A/27809,NR/2024/21159/A/27810,NR/2024/21062/A/27871,NR/2024/21108/A/28041,NR/20072024/20072024/IEX_240719_01602,NR/2024/21152/A/27715,NR/2024/21227/A/28042,NR/2024/21500/A/27632,NR/2024/21199/A/27783,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/R2,NR/2024/21076/A/28031,NR/2024/21156/A/27811,NR/2024/19779/A/27748,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01102023/23072042/L_NR_2012_04,NR/2024/21099/A/27768,NR/2024/21210/A/27764,NR/30092023/31122025/SH-07,Total
27,06:30-06:45,0,0,0.000000,12.200000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,0,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.670000,96.040000,0.000000,0.000000,24.010000,48.020000,14.950000,1609.19

28,06:45-07:00,0,0,0.000000,12.200000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,0,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.670000,96.040000,0.000000,0.000000,24.010000,48.020000,14.950000,1609.19

29,07:00-07:15,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,0.22,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.770000,96.040000,0.000000,0.000000,24.010000,48.020000,14.950000,1606.75

30,07:15-07:30,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,0.88,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.770000,96.040000,0.000000,0.000000,24.010000,48.020000,14.950000,1607.41

31,07:30-07:45,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,1.46,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.770000,96.040000,0.000000,0.000000,24.010000,48.020000,14.950000,1607.99

32,07:45:08:00,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,2.03,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,0.000000,0.000000,48.020000,96.040000,96.040000,0.670000,0.870000,0.000000,23.930000,0.000000,1.920000,0.000000,5.760000,0.000000,72.030000,24.010000,90.280000,0.610000,0.770000,96.040000,0.000000,0.000000,24.010000,48.020000,14.950000,1608.56

33,08:00-08:15,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,2.06,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,5.760000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,14.950000,1608.78

34,08:15-08:30,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,2.12,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,5.760000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,14.950000,1608.84

35,08:30-08:45,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,2.39,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,6.720000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,14.950000,1609.11

36,08:45:09:00,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,3.21,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,6.720000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,14.950000,1609.93

37,09:00:09:15,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,3.96,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,6.720000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,15.190000,1611.88

38,09:15-09:30,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,4.99,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,6.720000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,15.190000,1612.91

39,09:30-09:45,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,5.99,4.800000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,6.720000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,15.190000,1615.83

40,09:45-10:00,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,4.98,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,32.000000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,15.190000,1614.82

41,10:00-10:15,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,6.74,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1616.81

42,10:15-10:30,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,6.28,0.960000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1616.35

43,10:30-10:45,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,5.16,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1616.19

44,10:45-11:00,0,0,0.000000,9.440000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,7.06,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1618.09

45,11:00-11:15,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,6.35,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1619.68

46,11:15-11:30,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,7.3,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1620.63

47,11:30-11:45,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,7.84,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1621.17

48,11:45-12:00,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,8.03,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1621.36

49,12:00-12:15,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,6.34,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1619.67

50,12:15-12:30,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,4.52,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1617.85

51,12:30-12:45,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,2.74,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1616.07

52,12:45-13:00,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,2.44,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1615.77

53,13:00-13:15,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,2.7,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,9.600000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1616.03

54,13:15-13:30,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,3.99,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,9.600000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1617.32

55,13:30-13:45,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,5.05,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,9.600000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1618.38

56,13:45-14:00,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,5.01,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,9.600000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1618.34

57,14:00-14:15,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,5.18,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,9.600000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1618.51

58,14:15-14:30,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,3.17,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,9.600000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1616.5

59,14:30-14:45,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,2.55,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,9.600000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1615.88

60,14:45-15:00,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,3.29,2.880000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,9.600000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1616.62

61,15:00-15:15,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,5.13,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1618.46

62,15:15-15:30,0,0,0.000000,11.740000,0.000000,37.100000,24.010000,48.020000,0.870000,0.970000,4.95,1.920000,24.010000,2.880000,21.130000,0.480000,83.730000,12.370000,0.000000,11.670000,4.800000,0.000000,240.100000,15.080000,23.710000,0.000000,0.520000,12.370000,37.100000,48.020000,0.000000,0.000000,96.040000,0.000000,0.000000,0.000000,163.510000,0.360000,24.010000,37.100000,1.580000,66.450000,0.000000,48.020000,96.040000,0.000000,0.000000,96.040000,0.670000,0.870000,24.010000,23.930000,0.000000,1.920000,0.000000,10.560000,72.030000,0.000000,0.000000,90.280000,0.610000,0.960000,0.000000,0.000000,0.000000,24.010000,48.020000,23.710000,1618.28

