Block,Time,UNCHAHAR1,PARBATI3,RIHAND1,NAPP,TANAKPUR,ANTA_LF,AURY_LF,SINGRAULI_HYDRO,DHAULIGNGA,RIHAND2,KOLDAM,DADRI_RF,DADRI_CRF,KOTESHWR,ANTA_GF,SEWA2,UNCHAHAR2,RAPPC,ANTA_CRF,CHAMERA2,AURY_CRF,BSIUL,JHAJJAR,CHAMERA1,SALAL,RIHAND3,DADRI_LF,DADRT2,URI,RAMPUR,ANTA_RF,TEHRI,DADRI_GF,URI2,KISHANGANGA,CHAMERA3,TANDA2,DULHASTI,SINGRAULI,UNCHAHAR3,AURY_RF,NJPC,AURY_GF,RAPPB,UNCHAHAR4,KHSTPP-I,SASAN,KHSTPP-II,BRBCL,FSTPP I & II,TALA,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
26,06:15-06:30,9.333113,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,17.597833,56.880686,0.000000,0.000000,0.000000,36.085431,0.000000,7.959636,28.524807,52.431260,0.000000,25.804627,0.000000,18.935894,403.538900,13.530939,1.342947,119.102363,0.000000,486.365500,34.024397,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,27.990390,0.000000,47.612347,120.953321,21.470966,0.000000,127.687798,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,13.073794,0.000000,0,0,0,0,0

27,06:30-06:45,10.019515,3.678079,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,26.396749,56.880686,0.000000,0.000000,0.000000,36.085431,0.000000,10.147252,31.709409,52.431260,0.000000,25.804627,0.000000,12.560365,533.779009,26.629715,6.714733,119.102363,0.000000,448.804600,3.189787,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,27.990390,0.000000,47.612347,120.953321,20.793811,0.000000,132.248076,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,13.073794,0.000000,0,0,0,0,0

28,06:45-07:00,10.283693,15.747082,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,26.396749,56.880686,0.000000,0.000000,0.000000,36.085431,0.000000,10.147252,40.412498,52.431260,0.000000,25.804627,0.000000,12.560365,627.125003,26.629715,53.717866,119.102363,0.000000,547.463408,3.189787,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,27.990390,0.000000,47.612347,120.953321,24.481313,0.000000,132.248076,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

29,07:00-07:15,10.283693,15.747082,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,26.396749,56.880686,0.000000,0.000000,0.000000,36.085431,0.000000,10.147252,40.825905,52.431260,0.000000,25.804627,0.000000,12.560365,628.639544,26.629715,53.717866,119.102363,0.000000,587.913608,3.189787,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,27.990390,0.000000,47.612347,120.953321,24.739150,0.000000,132.248076,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

30,07:15-07:30,10.283693,15.747082,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,26.396749,56.880686,0.000000,0.000000,0.000000,36.085431,0.000000,10.147252,40.825905,52.431260,0.000000,25.804627,0.000000,12.560365,628.639544,26.629715,53.717866,119.102363,0.000000,617.769708,3.189787,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,27.990390,0.000000,47.612347,120.953321,24.739150,0.000000,135.166655,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

31,07:30-07:45,10.283693,15.747082,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,17.597833,56.880686,0.000000,0.000000,0.000000,36.085431,0.000000,10.147252,40.825905,52.431260,0.000000,25.804627,0.000000,6.280182,628.639544,13.530939,53.717866,119.102363,0.000000,609.101808,3.189787,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,27.990390,0.000000,47.612347,120.953321,24.739150,0.000000,109.446684,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

32,07:45:08:00,10.283693,15.747082,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,17.597833,56.880686,0.000000,0.000000,0.000000,17.093099,0.000000,10.147252,40.825905,52.431260,0.000000,25.368131,0.000000,0.000000,628.639544,13.530939,6.714733,119.102363,0.000000,608.138708,3.189787,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,1.226412,0.000000,47.612347,120.953321,24.739150,0.000000,72.964456,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

33,08:00-08:15,10.283693,3.678079,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,8.798916,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,10.147252,40.825905,52.431260,0.000000,25.368131,0.000000,0.000000,628.639544,8.369339,1.342947,119.102363,0.000000,615.843508,3.189787,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,0.000000,0.000000,31.741565,120.953321,24.739150,0.000000,54.723342,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

34,08:15-08:30,10.283693,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,9.885355,40.825905,52.431260,0.000000,25.368131,0.000000,0.000000,628.639544,0.000000,1.342947,119.102363,0.000000,630.289957,3.189787,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,0.000000,0.000000,31.741565,120.953321,24.739150,0.000000,32.834005,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

35,08:30-08:45,10.283693,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,5.083897,40.825905,52.431260,0.000000,12.684066,0.000000,0.000000,628.639544,0.000000,1.342947,119.102363,0.000000,640.884108,3.189787,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,0.000000,0.000000,15.870782,120.953321,24.739150,0.000000,16.417003,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

36,08:45:09:00,10.283693,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,5.083897,40.825905,52.431260,0.000000,12.684066,0.000000,0.000000,628.639544,0.000000,1.342947,119.102363,0.000000,629.326908,3.189787,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,0.000000,0.000000,15.870782,120.953321,24.739150,0.000000,0.000000,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

37,09:00:09:15,10.283693,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,5.083897,40.825905,52.431260,0.000000,0.000000,0.000000,0.000000,628.639544,0.000000,1.342947,119.102363,0.000000,657.632732,3.721418,0.000000,0.000000,44.960397,0.000000,4.534467,0.000000,0.000000,0.000000,15.870782,120.953321,24.739150,0.000000,0.000000,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

38,09:15-09:30,10.283693,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,5.083897,40.825905,52.431260,0.000000,0.000000,0.000000,0.000000,628.639544,0.000000,1.342947,119.102363,0.000000,657.632732,34.024397,0.000000,0.000000,29.973598,0.000000,4.534467,0.000000,0.000000,0.000000,15.870782,120.953321,24.739150,0.000000,0.000000,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

39,09:30-09:45,10.283693,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,5.083897,40.825905,52.431260,0.000000,0.000000,0.000000,0.000000,628.639544,0.000000,1.342947,119.102363,0.000000,657.632732,34.024397,0.000000,0.000000,29.973598,0.000000,4.664024,0.000000,0.000000,0.000000,15.870782,120.953321,24.739150,0.000000,0.000000,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

40,09:45-10:00,10.283693,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,5.083897,40.825905,52.431260,0.000000,0.000000,0.000000,0.000000,628.639544,0.000000,1.342947,119.102363,0.000000,657.632732,3.721418,0.000000,0.000000,29.973598,0.000000,4.664024,0.000000,0.000000,0.000000,15.870782,120.953321,24.739150,0.000000,0.000000,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

41,10:00-10:15,10.283693,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,5.083897,40.825905,52.431260,0.000000,0.000000,0.000000,0.000000,628.639544,0.000000,1.342947,119.102363,0.000000,657.632732,2.658156,0.000000,0.000000,26.575781,0.000000,4.664024,0.000000,0.000000,0.000000,15.870782,120.953321,24.739150,0.000000,0.000000,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

42,10:15-10:30,10.283693,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,5.083897,40.825905,52.431260,0.000000,0.000000,0.000000,0.000000,628.639544,0.000000,1.342947,119.102363,0.000000,657.632732,2.658156,0.000000,0.000000,14.986799,0.000000,4.664024,0.000000,0.000000,0.000000,15.870782,120.953321,24.739150,0.000000,0.000000,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

43,10:30-10:45,10.283693,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,5.083897,40.825905,52.431260,0.000000,0.000000,0.000000,0.000000,628.639544,0.000000,1.342947,119.102363,0.000000,657.632732,2.658156,0.000000,0.000000,14.986799,0.000000,4.664024,0.000000,0.000000,0.000000,0.000000,120.953321,24.739150,0.000000,0.000000,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

44,10:45-11:00,10.283693,0.000000,88.605200,0.000000,0.000000,0.000000,0.000000,0.700116,0.000000,56.880686,0.000000,0.000000,0.000000,8.546549,0.000000,5.083897,40.825905,52.431260,0.000000,0.000000,0.000000,0.000000,628.639544,0.000000,1.342947,119.102363,0.000000,657.632732,2.658156,0.000000,0.000000,0.000000,0.000000,4.664024,0.000000,0.000000,0.000000,0.000000,120.953321,24.739150,0.000000,0.000000,0.000000,0.000000,0.000000,33.515215,403.317387,142.072298,14.446451,17.470730,0.000000,0,0,0,0,0

