Block,Time,DADRI_GF,RIHAND1,AURY_RF,DULHASTI,KISHANGANGA,SEWA2,ANTA_CRF,AURY_GF,UNCHAHAR2,AURY_CRF,RIHAND2,URI2,SINGRAULI_HYDRO,NJPC,DHAULIGNGA,TANAKPUR,RAPPB,KOLDAM,RAMPUR,TANDA2,UNCHAHAR4,CHAMERA3,DADRI_CRF,KOTESHWR,PARBATI3,BSIUL,CHAMERA2,NAPP,SALAL,JHAJJAR,SINGRAULI,ANTA_RF,DADRT2,KHSTPP-II,KUDGI,FSTPP I & II,KHSTPP-I,TALA,BRBCL,SASAN,UNCHAHAR1,AURY_LF,RIHAND3,UNCHAHAR3,ANTA_GF,ANTA_LF,RAPPC,TEHRI,CHAMERA1,DADRI_LF,DADRI_RF,URI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
25,06:00-06:15,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,28.775025,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,31.989217,12.668495,38.186531,37.366436,81.422792,319.486240,129.027750,0.000000,381.196202,139.880772,14.50,9.656688,22.269126,26.426043,14.497500,400.131000,11.576764,0.000000,119.522827,15.464000,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

26,06:15-06:30,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,28.775025,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,31.989217,12.668495,38.186531,37.366436,81.422792,319.486240,129.027750,0.000000,381.196202,139.880772,14.50,9.656688,22.269126,26.426043,14.497500,400.131000,11.576764,0.000000,119.522827,15.464000,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,50.149752,0,0,0,0,0

27,06:30-06:45,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,28.775025,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,6.190432,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,31.989217,12.668495,38.186531,37.366436,81.422792,319.486240,129.027750,0.000000,381.196202,133.536992,14.50,9.656688,22.269126,26.426043,14.497500,400.131000,11.576764,0.000000,119.522827,15.464000,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,50.149752,0,0,0,0,0

28,06:45-07:00,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,28.775025,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,4.952346,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.691064,12.668495,38.186531,37.366436,81.422792,319.486240,129.027750,0.000000,381.196202,106.445766,14.50,9.656688,22.269126,26.426043,14.497500,400.131000,11.576764,0.000000,119.522827,15.464000,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

29,07:00-07:15,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,28.775025,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,6.809476,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,12.668495,38.186531,37.366436,81.422792,319.486240,134.587013,0.000000,381.196202,99.287772,19.33,9.656688,22.269126,26.426043,14.497500,400.131000,11.576764,0.000000,119.522827,15.464000,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

30,07:15-07:30,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,20.313634,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,12.668495,38.186531,37.366436,81.422792,319.486240,134.643115,0.000000,372.102500,70.042352,19.33,6.236892,13.696465,26.426043,14.497500,400.131000,11.429710,0.000000,119.522827,13.294506,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

31,07:30-07:45,0.000000,43.492500,0.000000,47.780431,0.000000,15.274612,0.000000,0.000000,20.324149,0.000000,114.167812,30.553191,0.961436,147.816993,35.319915,11.390396,0.000000,0.000000,0.000000,0.000000,0.000000,28.089204,0.000000,34.306884,3.075886,12.668495,38.186531,37.366436,81.422792,319.486240,134.643115,0.000000,363.342555,70.042352,19.33,5.431247,13.696465,26.426043,14.497500,400.131000,11.429710,0.000000,119.522827,13.294506,0.000000,0.000000,49.304838,65.029986,41.230890,0.000000,0.000000,45.348180,0,0,0,0,0

