Column1,Block,NR/2024/21940/A/34014,NR/2024/21954/A/34013,NR/2024/22755/C,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/MPL/24-25/STOA/128,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/22772/C,NR/2024/22611/A/33780,NR/2024/22610/A/33779,NR/2024/22774/C,NR/2024/21658/A/33727,NR/2024/21961/A/34018,NR/2024/21983/A/33738,NR/2024/21938/A/34020,NR/2024/21943/A/34012,NR/2024/22773/C,NR/2024/21968/A/34041,NR/2024/22279/A/33722,NR/2024/21918/A/34083,NR/2024/21970/A/34042,NR/2024/21956/A/34015,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/2024/21911/A/33978,NR/2024/21974/A/34044,NR/2024/21971/A/34043,NR/01082024/31082024/SKS-Raigarh,NR/2024/21933/A/33739,NR/2024/22010/A/34085,NR/30092023/26122029/SH-06,NR/2024/22623/A/33786,NR/16082024/31082024/APL-Raigarh_august,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22014/A/33726,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/2024/21860/A/33970,NR/2024/21814/A/34045,NR/30092023/31122025/SH-07,NR/2024/21966/A/33774,NR/2024/22498/A/34091,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/2024/22042/A/33725,NR/01082024/31082024/jitpl,Total
63,15:30-15:45,84.19,24.07,241.42,0,0,0,0,6.1,5.79,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,7.73,0,15.49,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1299.4361999999996

64,15:45-16:00,84.19,24.07,241.42,0,0,0,0,3.4,5.89,42.49,28.01,0.97,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,9.66,0,15.49,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1298.7661999999996

65,16:00-16:15,84.19,24.07,241.42,0,0,0,0,6.62,5.89,42.49,28.01,0.82,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,9.66,0,15.49,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1301.8361999999997

66,16:15-16:30,84.19,24.07,241.42,0,0,0,0,5.56,5.89,41.53,28.01,0.82,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,9.66,0,15.49,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1299.8161999999998

67,16:30-16:45,84.19,24.07,241.42,0,0,0,0,3.15,5.99,35.73,28.01,0.82,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,9.66,0,15.49,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1291.7061999999999

68,16:45-17:00,84.19,24.07,241.42,0,0,0,0,2.63,6.18,28.01,28.01,0.82,0,48.28,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,0,96.57,26.33,26.33,8.78,24.14,11.72,26.9071,9.66,0,15.49,0,1.93,0,48.28,0,26.9071,96.57,21.25,0,3.86,17.422,1283.6562

69,17:00-17:15,84.19,24.07,241.42,48.28,21.25,0,0,1.28,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,9.66,96.57,15.49,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1248.0661999999998

70,17:15-17:30,84.19,24.07,241.42,48.28,21.25,0,0,0.19,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,9.66,96.57,15.49,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1246.9761999999998

71,17:30-17:45,84.19,24.07,241.42,48.28,21.25,0,0,0.29,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,9.66,96.57,15.49,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1247.0761999999997

72,17:45-18:00,84.19,24.07,241.42,48.28,21.25,0,0,0.54,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,11.72,26.9071,9.66,96.57,15.49,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1247.3261999999997

73,18:00-18:15,84.19,24.07,241.42,48.28,21.25,0,0,0.54,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,0,26.9071,10.62,96.57,15.49,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1236.5661999999998

74,18:15-18:30,84.19,24.07,241.42,48.28,21.25,0,0,0.12,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,24.14,24.14,0,26.33,26.33,8.78,0,0,26.9071,10.62,96.57,15.49,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1236.1461999999997

75,18:30-18:45,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.9071,10.62,96.57,15.49,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1255.3461999999997

76,18:45-19:00,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.9071,10.62,96.57,15.49,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1255.3461999999997

77,19:00-19:15,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.9071,11.59,96.57,15.49,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1256.3161999999998

78,19:15-19:30,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.9071,11.59,96.57,15.49,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1256.3161999999998

79,19:30-19:45,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.9071,11.59,96.57,15.49,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1256.3161999999998

80,19:45-20:00,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.9071,11.59,96.57,15.49,0,1.93,96.57,48.28,0,26.9071,0,0,0,3.86,17.422,1256.3161999999998

81,20:00-20:15,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.8708,11.59,96.57,15.49,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1256.2435999999998

82,20:15-20:30,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.8708,11.59,96.57,15.49,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1256.2435999999998

83,20:30-20:45,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.8708,11.59,96.57,15.49,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1256.2435999999998

84,20:45-21:00,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.8708,11.59,96.57,15.49,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1256.2435999999998

85,21:00-21:15,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.8708,11.59,96.57,15.31,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1256.0635999999997

86,21:15-21:30,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.8708,11.59,96.57,15.31,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1256.0635999999997

87,21:30-21:45,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.8708,11.59,96.57,15.31,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1256.0635999999997

88,21:45-22:00,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,0,0,0,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.8708,11.59,96.57,15.31,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1256.0635999999997

89,22:00-22:15,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.8708,10.62,96.57,15.31,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1385.4635999999994

90,22:15-22:30,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,43.46,24.14,0,26.33,26.33,8.78,0,0,26.8708,10.62,96.57,15.31,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1385.4635999999994

91,22:30-22:45,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,0,26.8708,9.66,96.57,15.31,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1408.6435999999994

92,22:45-23:00,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.77,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,0,26.8708,9.66,96.57,15.31,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1408.6435999999994

93,23:00-23:15,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.72,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,0,26.8708,9.66,96.57,15.31,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1408.5935999999995

94,23:15-23:30,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.72,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,0,26.8708,9.66,96.57,15.31,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1408.5935999999995

95,23:30-23:45,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.72,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,0,26.8708,9.66,96.57,15.31,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1408.5935999999995

96,23:45-24:00,84.19,24.07,241.42,48.28,21.25,0,0,0,0,0,28.01,0.72,97.78,0,32.59,38.63,164.41,26.33,4.83,90.78,8.78,67.6,24.14,0,26.33,26.33,8.78,0,0,26.8708,9.66,96.57,15.31,0,1.93,96.57,48.28,0,26.8708,0,0,0,3.86,17.422,1408.5935999999995

