Time,Block,NR/2023/12922/F,NR/2023/10436/A,NR/2023/12706/A,NR/2023/12916/F,NR/2023/10956/A,NR/2023/10561/A,NR/2023/13531/D,NR/2023/12921/F,NR/2023/13542/C,NR/2023/12924/F,NR/2023/11953/A,NR/2023/11712/A,NR/2023/11709/A,NR/2023/10947/A,NR/2023/10435/A,NR/2023/12923/F,NR/2023/10432/A,NR/2023/11266/A,NR/2023/13552/C,NR/2023/13315/F,NR/2023/12813/F,NR/2023/10651/A,NR/2023/10786/A,NR/2023/12917/F,NR/2023/10488/A,NR/2023/12920/F,NR/2023/13575/C,NR/2023/12915/F,NR/2023/12919/F,NR/2023/12872/F,NR/2023/13524/D,NR/2023/13551/C,NR/2023/12169/A,NR/2023/12814/F,NR/2023/13536/C,NR/2023/10720/A,ER/2023/8302/C,NR/2023/13526/D,NR/2023/13532/D,NR/2023/13503/D,NR/2023/13533/D,NR/2023/10460/A,NR/2023/13541/C,NR/2023/11507/A,NR/2023/13369/F,NR/2023/12661/A,NR/2023/11447/A,NR/2023/10959/A,Total
45,11:00-11:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,47.420000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,178.5,15.240000,0.000000,85.640000,33.630000,23.710000,100.000000,5.42,86.560000,8.230000,76.5,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1783.01

46,11:15-11:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,47.420000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,185.5,15.240000,0.000000,85.640000,33.630000,23.710000,100.000000,5.81,86.560000,8.230000,79.5,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1793.4

47,11:30-11:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,47.420000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,185.5,15.240000,0.000000,85.640000,33.630000,23.710000,100.000000,6,86.560000,8.230000,79.5,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1793.59

48,11:45-12:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,47.420000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,189,15.240000,0.000000,85.640000,33.630000,23.710000,100.000000,6.19,86.560000,8.230000,81,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1798.78

49,12:00-12:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,189,15.150000,0.000000,85.640000,33.630000,23.710000,100.000000,6.39,86.560000,8.230000,81,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1797.92

50,12:15-12:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,189,15.150000,0.000000,85.640000,33.630000,23.710000,100.000000,6.77,86.560000,8.230000,81,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1798.3

51,12:30-12:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,189,15.150000,0.000000,85.640000,33.630000,23.710000,100.000000,7.06,86.560000,8.230000,81,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1798.59

52,12:45-13:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,189,15.150000,0.000000,85.640000,33.630000,23.710000,100.000000,7.55,86.560000,8.230000,81,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1799.08

53,13:00-13:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,185.5,15.060000,0.000000,85.640000,34.650000,23.710000,100.000000,8.52,86.560000,8.230000,79.5,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1795.98

54,13:15-13:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,185.5,15.060000,0.000000,85.640000,34.650000,23.710000,100.000000,9.39,86.560000,8.230000,79.5,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1796.85

55,13:30-13:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,185.5,15.060000,0.000000,85.640000,34.650000,23.710000,75.000000,8.81,86.560000,8.230000,79.5,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1771.27

56,13:45-14:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,90.960000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,185.5,15.060000,0.000000,85.640000,34.650000,23.710000,21.000000,8.03,86.560000,8.230000,79.5,23.220000,30.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1716.49

57,14:00-14:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,23.170000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,106.450000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,182,15.060000,0.000000,85.640000,34.650000,23.710000,0.000000,7.64,86.560000,8.230000,78,23.220000,0.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1698.76

58,14:15-14:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,23.170000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,106.450000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,182,15.060000,0.000000,85.640000,34.650000,23.710000,0.000000,7.35,86.560000,8.230000,78,23.220000,0.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1698.47

59,14:30-14:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,23.170000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,106.450000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,175,15.060000,0.000000,85.640000,34.650000,23.710000,0.000000,6.97,86.560000,8.230000,75,23.220000,0.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1688.09

60,14:45-15:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,23.170000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,106.450000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,163.8,15.060000,0.000000,85.640000,34.650000,23.710000,0.000000,6.58,86.560000,8.230000,70.2,23.220000,0.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1671.7

61,15:00-15:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,23.170000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,106.450000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,154,15.060000,0.000000,85.640000,36.690000,23.710000,0.000000,6.1,86.560000,8.230000,66,23.220000,0.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1659.26

62,15:15-15:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,23.170000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,106.450000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,147,15.060000,0.000000,85.640000,36.690000,23.710000,0.000000,5.9,86.560000,8.230000,63,23.220000,0.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1649.06

63,15:30-15:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,23.170000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,106.450000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,133,15.060000,0.000000,85.640000,36.690000,23.710000,0.000000,5.81,86.560000,8.230000,57,23.220000,0.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1628.97

64,15:45-16:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,46.450000,0.980000,0.000000,0.610000,0.000000,64.350000,23.170000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,106.450000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,123.2,15.060000,0.000000,85.640000,36.690000,23.710000,0.000000,5.32,86.560000,8.230000,52.8,23.220000,0.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1614.48

65,16:00-16:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.980000,0.000000,0.610000,0.000000,64.350000,23.170000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,106.450000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,109.9,15.150000,0.000000,85.640000,36.690000,23.710000,0.000000,4.06,86.560000,8.230000,47.1,23.220000,0.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1596.24

66,16:15-16:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.980000,0.000000,0.610000,0.000000,64.350000,23.170000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,106.450000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,100.8,15.150000,0.000000,85.640000,36.690000,23.710000,0.000000,3.87,86.560000,8.230000,43.2,23.220000,0.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1583.05

67,16:30-16:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.980000,0.000000,0.610000,0.000000,64.350000,23.170000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,106.450000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,91,15.150000,0.000000,85.640000,36.690000,23.710000,0.000000,2.9,86.560000,8.230000,39,23.220000,0.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1568.08

68,16:45-17:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,48.380000,0.980000,0.000000,0.610000,0.000000,64.350000,23.170000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,106.450000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.970000,84,15.150000,0.000000,85.640000,36.690000,23.710000,0.000000,2.03,86.560000,8.230000,36,23.220000,0.000000,300.460000,24.190000,62.900000,14.960000,25.040000,1557.21

69,17:00-17:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.680000,77,15.240000,0.000000,85.640000,36.690000,23.710000,0.000000,1.94,110.240000,8.230000,33,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1416.79

70,17:15-17:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.680000,63,15.240000,0.000000,85.640000,36.690000,23.710000,0.000000,1.45,110.240000,8.230000,27,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1396.3

71,17:30-17:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.680000,53.9,15.240000,0.000000,85.640000,36.690000,23.710000,0.000000,1.16,110.240000,8.230000,23.1,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1383.01

72,17:45-18:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.980000,0.000000,0.610000,0.000000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.680000,42,15.240000,0.000000,85.640000,36.690000,23.710000,0.000000,0.68,110.240000,8.230000,18,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1365.53

73,18:00-18:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.980000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.680000,35,15.340000,0.000000,85.640000,35.670000,23.710000,0.000000,0.48,142.370000,8.230000,15,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1423.05

74,18:15-18:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.980000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.680000,28,15.340000,0.000000,85.640000,35.670000,23.710000,0.000000,0,142.370000,8.230000,12,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1412.57

75,18:30-18:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.980000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.680000,21,15.340000,0.000000,85.640000,35.670000,23.710000,0.000000,0,142.370000,8.230000,9,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1402.57

76,18:45-19:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.980000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,59.850000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.680000,14,15.340000,0.000000,85.640000,35.670000,23.710000,0.000000,0,142.370000,0.000000,6,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1392.56

77,19:00-19:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.980000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,59.850000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.730000,7,15.520000,0.000000,85.640000,35.670000,23.710000,0.000000,0,142.370000,0.000000,3,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1382.79

78,19:15-19:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.980000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,59.850000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.730000,3.5,15.520000,0.000000,85.640000,35.670000,23.710000,0.000000,0,142.370000,0.000000,1.5,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1377.79

79,19:30-19:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.980000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,59.850000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.730000,0,15.520000,0.000000,85.640000,35.670000,23.710000,0.000000,0,142.370000,0.000000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1372.79

80,19:45-20:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.980000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,59.850000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.980000,0.000000,0.370000,0.970000,0.730000,0,15.520000,0.000000,85.640000,35.670000,23.710000,0.000000,0,142.370000,0.000000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1372.79

81,20:00-20:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,59.850000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.930000,0.000000,0.370000,0.920000,0.770000,0,15.610000,0.000000,85.640000,34.650000,23.710000,0.000000,0,142.370000,0.000000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1371.75

82,20:15-20:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,59.850000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.930000,0.000000,0.370000,0.920000,0.770000,0,15.610000,0.000000,85.640000,34.650000,23.710000,0.000000,0,142.370000,0.000000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1371.75

83,20:30-20:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,59.850000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.930000,0.000000,0.370000,0.920000,0.770000,0,15.610000,0.000000,85.640000,34.650000,23.710000,0.000000,0,142.370000,0.000000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1371.75

84,20:45-21:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,59.850000,0.000000,4.840000,62.900000,63.140000,48.380000,0.920000,48.380000,0.930000,0.000000,0.370000,0.920000,0.770000,0,15.610000,0.000000,85.640000,34.650000,23.710000,0.000000,0,142.370000,0.000000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1371.75

85,21:00-21:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,91.930000,0.920000,48.380000,0.930000,0.000000,0.370000,0.920000,0.770000,0,15.710000,0.000000,85.640000,34.650000,23.710000,0.000000,0,110.240000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1383.28

86,21:15-21:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,0.000000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,51.630000,0.000000,4.840000,62.900000,63.140000,91.930000,0.920000,48.380000,0.930000,0.000000,0.370000,0.920000,0.770000,0,15.710000,0.000000,85.640000,34.650000,23.710000,0.000000,0,110.240000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1383.28

87,21:30-21:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,29.030000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,59.850000,0.000000,4.840000,62.900000,63.140000,91.930000,0.920000,48.380000,0.930000,0.000000,0.370000,0.920000,0.770000,0,15.710000,0.000000,85.640000,34.650000,23.710000,0.000000,0,86.560000,0.000000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1388.62

88,21:45-22:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,87.090000,0.610000,36.510000,64.350000,0.000000,0.000000,24.190000,0.610000,43.550000,59.850000,0.000000,4.840000,62.900000,63.140000,91.930000,0.920000,48.380000,0.930000,0.000000,0.370000,0.920000,0.770000,0,15.710000,0.000000,85.640000,34.650000,23.710000,0.000000,0,86.560000,0.000000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1446.68

89,22:00-22:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,79.350000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,59.850000,62.900000,4.840000,62.900000,63.140000,91.930000,0.920000,48.380000,0.930000,48.380000,0.370000,0.920000,0.730000,0,15.890000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,0.000000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1648.9

90,22:15-22:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,159.670000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,59.850000,62.900000,4.840000,62.900000,63.140000,91.930000,0.920000,48.380000,0.930000,48.380000,0.370000,0.920000,0.730000,0,15.890000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,0.000000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1729.22

91,22:30-22:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,235.150000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,59.850000,62.900000,4.840000,62.900000,63.140000,91.930000,0.920000,48.380000,0.930000,48.380000,0.370000,0.920000,0.730000,0,15.890000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,0.000000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1804.7

92,22:45-23:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,294.180000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,59.850000,62.900000,4.840000,62.900000,63.140000,91.930000,0.920000,48.380000,0.930000,48.380000,0.370000,0.920000,0.730000,0,15.890000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,0.000000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1863.73

93,23:00-23:15,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,329.020000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,59.850000,62.900000,4.840000,62.900000,63.140000,91.930000,0.920000,48.380000,0.930000,48.380000,0.370000,0.920000,0.630000,0,15.990000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,0.000000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1898.57

94,23:15-23:30,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,346.440000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,62.900000,4.840000,62.900000,63.140000,91.930000,0.920000,48.380000,0.930000,48.380000,0.370000,0.920000,0.630000,0,15.990000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1916

95,23:30-23:45,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,346.440000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,62.900000,4.840000,62.900000,63.140000,91.930000,0.920000,48.380000,0.930000,48.380000,0.370000,0.920000,0.630000,0,15.990000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1916

96,23:45-24:00,1.020000,24.190000,6.770000,0.520000,100.160000,48.380000,0.000000,0.930000,339.660000,0.610000,36.510000,64.350000,23.170000,23.220000,24.190000,0.610000,43.550000,51.630000,62.900000,4.840000,62.900000,63.140000,91.930000,0.920000,48.380000,0.930000,48.380000,0.370000,0.920000,0.630000,0,15.990000,54.190000,85.640000,32.610000,23.710000,0.000000,0,86.560000,8.230000,0,23.220000,0.000000,300.460000,0.000000,62.900000,14.960000,25.040000,1909.22

