Time,Block,NR/2023/11643/A,NR/2023/11476/A,NR/2023/11952/F,NR/2023/12947/C,NR/2023/11957/F,NR/2023/10236/A,NR/2023/10613/A,NR/2023/12928/D,NR/2023/11642/A,NR/2023/11958/F,NR/2023/12932/D,NR/2023/11862/F,NR/2023/10434/A,NR/2023/10173/A,NR/2023/11284/A,NR/2023/11947/F,NR/2023/11640/A,NR/2023/11941/F,NR/2023/10223/A,NR/2023/11960/F,NR/2023/10611/A,NR/2023/11959/F,NR/2023/11961/F,NR/2023/11342/A,NR/2023/11955/F,NR/2023/12944/C,NR/2023/12945/C,NR/2023/10344/A,NR/2023/12656/F,NR/2023/11330/A,NR/2023/11963/F,NR/2023/10944/A,NR/2023/11962/F,NR/2023/10487/A,NR/2023/11956/F,NR/2023/10229/A,NR/2023/12931/D,NR/2023/12933/D,Total
59,14:30-14:45,13.050000,48.340000,0.000000,15.870000,0.710000,236.680000,0.000000,81.600000,14.500000,0.560000,7.73,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,75,175,1166.89

60,14:45-15:00,13.050000,48.340000,0.000000,15.870000,0.710000,236.680000,0.000000,81.600000,14.500000,0.560000,7.54,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,70.2,163.8,1150.7

61,15:00-15:15,13.050000,48.340000,0.000000,15.970000,0.710000,236.680000,0.000000,81.600000,14.500000,0.560000,7.35,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,66,154,1136.61

62,15:15-15:30,13.050000,48.340000,0.000000,15.970000,0.710000,236.680000,0.000000,81.600000,14.500000,0.560000,7.25,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,63,147,1126.51

63,15:30-15:45,13.050000,48.340000,0.000000,15.970000,0.710000,236.680000,0.000000,81.600000,14.500000,0.560000,6.77,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,57,133,1106.03

64,15:45-16:00,13.050000,48.340000,0.000000,15.970000,0.710000,236.680000,0.000000,81.600000,14.500000,0.560000,6.28,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,27.520000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,52.8,123.2,1091.54

65,16:00-16:15,13.050000,48.340000,0.000000,16.060000,0.710000,236.680000,0.000000,81.600000,14.500000,0.560000,5.8,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,30.570000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,47.1,109.9,1075.2

66,16:15-16:30,13.050000,48.340000,0.000000,16.060000,0.710000,236.680000,0.000000,81.600000,14.500000,0.560000,5.66,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,30.570000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,43.2,100.8,1062.06

67,16:30-16:45,13.050000,48.340000,0.000000,16.060000,0.710000,236.680000,0.000000,81.600000,14.500000,0.560000,5.27,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,30.570000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,39,91,1047.67

68,16:45-17:00,13.050000,48.340000,0.000000,16.060000,0.710000,236.680000,0.000000,81.600000,14.500000,0.560000,4.83,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,24.170000,30.570000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,33.6,78.4,1029.23

69,17:00-17:15,13.050000,48.340000,0.000000,16.160000,0.710000,236.680000,0.000000,81.600000,14.500000,0.560000,4.64,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,27,63,959.82

70,17:15-17:30,13.050000,48.340000,0.000000,16.160000,0.710000,236.680000,0.000000,134.190000,14.500000,0.560000,3.38,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,18.9,44.1,984.15

71,17:30-17:45,13.050000,48.340000,0.000000,16.160000,0.710000,236.680000,0.000000,145.410000,14.500000,0.560000,2.42,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,15.3,35.7,982.41

72,17:45-18:00,13.050000,48.340000,0.000000,16.160000,0.710000,236.680000,0.000000,193.360000,14.500000,0.560000,1.74,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,0.000000,30.570000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,13.2,30.8,1022.68

73,18:00-18:15,13.050000,48.340000,36.480000,16.240000,0.710000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,0.000000,32.610000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,10.2,23.8,1049.54

74,18:15-18:30,13.050000,48.340000,36.480000,16.240000,0.710000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,0.000000,32.610000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,6,14,1035.54

75,18:30-18:45,13.050000,48.340000,36.480000,16.240000,0.710000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,0.000000,32.610000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,3,7,1025.54

76,18:45-19:00,13.050000,48.340000,36.480000,16.240000,0.710000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,0.000000,32.610000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,1.5,3.5,1020.54

77,19:00-19:15,13.050000,48.340000,36.480000,16.340000,0.710000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,0.000000,32.610000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,0,0,1015.64

78,19:15-19:30,13.050000,48.340000,36.480000,16.340000,0.710000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,0.000000,32.610000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,0,0,1015.64

79,19:30-19:45,13.050000,48.340000,36.480000,16.340000,0.710000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,0.000000,32.610000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,0,0,1015.64

80,19:45-20:00,13.050000,48.340000,36.480000,16.340000,0.710000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.660000,9.960000,0.660000,0.690000,116.020000,0.360000,0.000000,32.610000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.350000,43.030000,0,0,1015.64

81,20:00-20:15,13.050000,48.340000,36.480000,16.520000,0.720000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.370000,43.030000,0,0,1014.81

82,20:15-20:30,13.050000,48.340000,36.480000,16.520000,0.720000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.370000,43.030000,0,0,1014.81

83,20:30-20:45,13.050000,48.340000,36.480000,16.520000,0.720000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.370000,43.030000,0,0,1014.81

84,20:45-21:00,13.050000,48.340000,36.480000,16.520000,0.720000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.370000,43.030000,0,0,1014.81

85,21:00-21:15,13.050000,48.340000,36.480000,16.610000,0.720000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.370000,43.030000,0,0,1014.9

86,21:15-21:30,13.050000,48.340000,36.480000,16.610000,0.720000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.370000,43.030000,0,0,1014.9

87,21:30-21:45,13.050000,48.340000,36.480000,16.610000,0.720000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.370000,43.030000,0,0,1014.9

88,21:45-22:00,13.050000,48.340000,36.480000,16.610000,0.720000,236.680000,0.000000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,0.000000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,0.000000,0.420000,0.000000,0.420000,41.570000,0.370000,43.030000,0,0,1014.9

89,22:00-22:15,13.050000,48.340000,36.480000,16.710000,0.720000,236.680000,12.670000,193.360000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,64.970000,0.420000,27.840000,0.420000,41.570000,0.370000,43.030000,0,0,1143.63

90,22:15-22:30,13.050000,48.340000,36.480000,16.710000,0.720000,236.680000,12.670000,166.100000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,64.970000,0.420000,27.840000,0.420000,41.570000,0.370000,43.030000,0,0,1116.37

91,22:30-22:45,13.050000,48.340000,36.480000,16.710000,0.720000,236.680000,12.670000,166.100000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,64.970000,0.420000,27.840000,0.420000,41.570000,0.370000,43.030000,0,0,1116.37

92,22:45-23:00,13.050000,48.340000,36.480000,16.710000,0.720000,236.680000,12.670000,166.100000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,64.970000,0.420000,27.840000,0.420000,41.570000,0.370000,43.030000,0,0,1116.37

93,23:00-23:15,13.050000,48.340000,36.480000,16.790000,0.720000,236.680000,12.670000,166.100000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,64.970000,0.420000,27.840000,0.420000,41.570000,0.370000,43.030000,0,0,1116.45

94,23:15-23:30,13.050000,48.340000,36.480000,16.790000,0.720000,236.680000,12.670000,166.100000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,64.970000,0.420000,27.840000,0.420000,41.570000,0.370000,43.030000,0,0,1116.45

95,23:30-23:45,13.050000,48.340000,36.480000,16.790000,0.720000,236.680000,12.670000,166.100000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,64.970000,0.420000,27.840000,0.420000,41.570000,0.370000,43.030000,0,0,1116.45

96,23:45-24:00,13.050000,48.340000,36.480000,16.790000,0.720000,236.680000,12.670000,166.100000,14.500000,0.560000,0,2.900000,24.170000,75.530000,33.840000,6.770000,23.150000,29.000000,21.510000,0.640000,9.960000,0.640000,0.700000,116.020000,0.360000,0.000000,31.600000,12.250000,2.900000,64.970000,0.420000,27.840000,0.420000,41.570000,0.370000,43.030000,0,0,1116.45

