Column1,Block,NR/2025/26304/C,NR/2025/25948/A/67998,NR/2025/26297/C,WR/2025/27361/A/68074,WR/2025/27350/A/67463,NR/2025/25945/A/68006,NR/2025/25947/A/67999,NR/2025/25955/A/67974,NR/2025/26031/A/67604,NR/2025/26269/C,NR/2025/26085/A/67460,NR/2025/26311/C,NR/2025/25752/A/67483,NR/2025/26308/C,NR/2025/26307/C,GNARE/NR/2024/12/20/3668,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/16/2139,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/4565,NR/30092023/26122029/SH-06,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/6490,NR/30092023/31122025/SH-07,GNA/NR/2025/04/01/7459,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/16/1389,GNA/NR/2025/04/29/1142,GNA/NR/2025/04/16/4327,GNA/NR/2025/04/29/1534,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/16/8132,GNA/NR/2025/04/16/2341,GNA/NR/2025/04/16/6639,Total
74,18:15-18:30,22.16,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,271.65,0.63,16.47,0,9.63,22.16,8.26,43.78,2.89,1.93,46.85,10.14,48.16,32,50,9.63,32,9.63,0,28.9,0,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1143.7199999999998

75,18:30-18:45,22.25,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,271.65,0.63,16.47,0,9.63,22.16,4.98,43.78,2.89,1.93,46.68,10.14,48.16,32,50,9.63,32,9.63,0,28.9,2.89,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1143.25

76,18:45-19:00,22.35,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,271.65,0.63,16.47,0,9.63,24.08,2.44,43.78,2.89,1.93,46.68,10.14,48.16,32,50,9.63,32,9.63,0,28.9,2.89,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1142.73

77,19:00-19:15,22.06,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,271.65,0.72,16.47,0,9.63,23.12,0.31,43.78,2.89,1.93,46.68,11.34,48.16,32,50,9.63,32,9.63,0,28.9,2.89,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1140.6399999999999

78,19:15-19:30,21.67,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,271.65,0.72,16.47,0,9.63,20.23,0,43.78,2.89,1.93,46.68,11.34,48.16,32,50,9.63,32,9.63,0,28.9,2.89,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1137.05

79,19:30-19:45,21.39,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,271.65,0.72,16.47,0,9.63,17.34,0,43.78,2.89,1.93,46.68,11.34,48.16,32,50,9.63,32,9.63,0,28.9,2.89,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1133.8799999999999

80,19:45-20:00,20.9,14.59,96.33,24.08,0,43.78,43.78,29.02,6.74,271.65,0.72,16.47,0,9.63,15.41,0,43.78,2.89,1.93,46.68,11.34,48.16,32,50,9.63,32,9.63,0,28.9,2.89,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1131.4599999999996

81,20:00-20:15,18.88,14.59,96.33,24.08,0,43.78,43.78,29.02,5.78,271.65,0.67,28.51,0,9.63,13.49,0,43.78,2.89,1.93,46.68,12.26,48.16,32,50,9.63,32,9.63,0,28.9,2.89,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1139.4699999999996

82,20:15-20:30,17.82,14.59,96.33,24.08,0,43.78,43.78,29.02,5.78,271.65,0.67,28.51,0,9.63,12.52,0,43.78,2.89,1.93,46.68,12.26,48.16,32,50,9.63,32,9.63,0,28.9,2.89,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1137.4399999999996

83,20:30-20:45,17.44,14.59,96.33,24.08,0,43.78,43.78,29.02,5.78,271.65,0.67,28.51,0,10.4,11.56,0,43.78,2.89,1.93,46.68,12.26,48.16,32,50,9.63,32,9.63,0,28.9,2.89,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1136.8699999999997

84,20:45-21:00,17.05,14.59,96.33,24.08,0,43.78,43.78,29.02,5.78,271.65,0.67,28.51,0,12.04,9.63,0,43.78,2.89,1.93,46.68,12.26,48.16,32,50,9.63,32,9.63,0,28.9,2.89,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1136.1899999999996

85,21:00-21:15,17.05,14.59,96.33,24.08,0,43.78,43.78,29.02,5.78,271.65,0,28.51,0,14.26,7.71,0,43.78,2.89,1.93,46.68,13.19,48.16,32,50,9.63,32,9.63,0,28.9,2.89,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1136.7499999999998

86,21:15-21:30,17.05,14.59,96.33,24.08,0,43.78,43.78,29.02,5.78,271.65,0,28.51,0,17.82,7.71,0,43.78,2.89,1.93,46.68,13.19,48.16,32,50,9.63,32,9.63,0,28.9,2.89,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1140.31

87,21:30-21:45,17.15,14.59,96.33,24.08,0,43.78,43.78,29.02,5.78,271.65,0,28.51,0,21.39,9.63,0,43.78,2.89,1.93,46.68,13.19,48.16,32,50,9.63,32,9.63,0,28.9,2.89,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1145.8999999999999

88,21:45-22:00,17.24,14.59,96.33,24.08,0,43.78,43.78,29.02,5.78,271.65,0,28.51,0,22.16,8.67,0,43.78,2.89,1.93,46.68,13.19,48.16,32,50,9.63,32,9.63,0,28.9,32.75,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1175.6599999999999

89,22:00-22:15,14.83,14.59,96.33,24.08,0,43.78,43.78,29.02,4.82,271.65,0,28.51,0,23.22,9.63,0,43.78,2.89,1.93,46.68,13.19,48.16,32,50,9.63,32,9.63,0,28.9,32.75,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1174.31

90,22:15-22:30,13.87,14.59,96.33,24.08,0,43.78,43.78,29.02,4.82,271.65,0,28.51,0,23.5,10.6,0,43.78,2.89,1.93,46.68,13.19,48.16,32,50,9.63,32,9.63,0,28.9,32.75,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1174.6

91,22:30-22:45,13.49,14.59,96.33,24.08,0,43.78,43.78,29.02,4.82,271.65,0,28.51,0,23.41,11.56,0,43.78,2.89,1.93,46.68,13.19,48.16,32,50,9.63,32,9.63,0,28.9,32.75,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1175.09

92,22:45-23:00,13.2,14.59,96.33,24.08,0,43.78,43.78,29.02,4.82,271.65,0,28.51,0,22.64,12.52,0,43.78,2.89,1.93,46.68,13.19,48.16,32,50,9.63,32,9.63,0,28.9,32.75,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1174.99

93,23:00-23:15,13,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,271.65,0.63,16.47,0,21.1,14.45,0,43.78,2.89,1.93,46.68,12.99,48.16,32,50,9.63,32,9.63,0,28.9,32.75,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1162.6000000000001

94,23:15-23:30,12.81,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,271.65,0.63,16.47,0,18.78,16.38,0,43.78,2.89,1.93,46.68,12.99,48.16,32,50,9.63,32,9.63,0,28.9,32.75,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1162.02

95,23:30-23:45,12.72,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,271.65,0.63,16.47,0,17.24,15.41,0,43.78,2.89,1.93,46.68,12.99,48.16,32,50,9.63,32,9.63,0,28.9,32.75,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1159.42

96,23:45-24:00,12.62,14.59,96.33,24.08,0,43.78,43.78,29.02,3.85,271.65,0.63,16.47,0,16.47,17.34,0,43.78,2.89,1.93,46.68,12.99,48.16,32,50,9.63,32,9.63,0,28.9,32.75,72.25,24.76,2.89,9.63,2.89,14.59,19.27,72.25,1160.4800000000002

