Time,Block,NR/2023/12968/D,NR/2023/12963/D,NR/2023/11960/F,NR/2023/11342/A,NR/2023/10173/A,NR/2023/11963/F,NR/2023/11284/A,NR/2023/10434/A,NR/2023/11952/F,NR/2023/10344/A,NR/2023/11642/A,NR/2023/11643/A,NR/2023/11947/F,NR/2023/12656/F,NR/2023/11941/F,NR/2023/12962/D,NR/2023/12983/C,NR/2023/12967/D,NR/2023/11959/F,NR/2023/11957/F,NR/2023/10944/A,NR/2023/11476/A,NR/2023/12979/C,NR/2023/10236/A,NR/2023/12977/C,NR/2023/11955/F,NR/2023/10487/A,NR/2023/11330/A,NR/2023/10229/A,NR/2023/10223/A,NR/2023/11962/F,NR/2023/10613/A,NR/2023/11862/F,NR/2023/10611/A,NR/2023/11958/F,NR/2023/11956/F,NR/2023/11961/F,NR/2023/12981/C,NR/2023/11640/A,NR/2023/12972/C,Total
56,13:45-14:00,185.5,79.5,0.660000,116.100000,0.000000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,8.66,35.690000,78.370000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,15.890000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,24.190000,1123.46

57,14:00-14:15,182,78,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,8.35,35.690000,80.010000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,15.890000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,23.160000,24.190000,1218.53

58,14:15-14:30,182,78,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,8.35,35.690000,81.660000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,15.890000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,23.160000,24.190000,1220.18

59,14:30-14:45,175,75,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,7.84,35.690000,81.660000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,15.890000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,23.160000,24.190000,1209.67

60,14:45-15:00,163.8,70.2,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,7.84,35.690000,81.660000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,15.890000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,23.160000,24.190000,1193.67

61,15:00-15:15,154,66,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,7.35,36.720000,81.660000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,15.980000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,23.160000,24.190000,1180.3

62,15:15-15:30,147,63,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,7.35,36.720000,81.660000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,15.980000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,23.160000,24.190000,1170.3

63,15:30-15:45,133,57,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,7.35,36.720000,81.660000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,15.980000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,23.160000,24.190000,1150.3

64,15:45-16:00,123.2,52.8,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,6.29,36.720000,81.660000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,15.980000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,23.160000,24.190000,1135.24

65,16:00-16:15,109.9,47.1,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,5.81,37.730000,81.660000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.070000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,23.160000,24.190000,1116.86

66,16:15-16:30,100.8,43.2,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,5.66,37.730000,81.660000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.070000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,23.160000,24.190000,1103.71

67,16:30-16:45,91,39,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,5.27,37.730000,81.660000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.070000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,23.160000,24.190000,1089.32

68,16:45-17:00,78.4,33.6,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,4.84,37.730000,81.660000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.070000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,23.160000,24.190000,1070.89

69,17:00-17:15,63,27,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,4.64,37.730000,81.660000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.170000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,0.000000,1001.44

70,17:15-17:30,44.1,18.9,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,3.39,37.730000,134.290000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.170000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,0.000000,1025.82

71,17:30-17:45,35.7,15.3,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,2.42,37.730000,145.510000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.170000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,0.000000,1024.07

72,17:45-18:00,30.8,13.2,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,0.000000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,1.74,37.730000,193.500000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.170000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,0.000000,1064.38

73,18:00-18:15,23.8,10.2,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,36.720000,193.500000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.250000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,0.000000,1088.21

74,18:15-18:30,14,6,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,36.720000,193.500000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.250000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,0.000000,1074.21

75,18:30-18:45,7,3,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,36.720000,193.500000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.250000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,0.000000,1064.21

76,18:45-19:00,3.5,1.5,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,36.720000,193.500000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.250000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,0.000000,1059.21

77,19:00-19:15,0,0,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,36.720000,193.500000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.440000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,0.000000,1054.4

78,19:15-19:30,0,0,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,36.720000,193.500000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.440000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,0.000000,1054.4

79,19:30-19:45,0,0,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,36.720000,193.500000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.440000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,0.000000,1054.4

80,19:45-20:00,0,0,0.660000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,36.720000,193.500000,0.660000,0.710000,0.000000,48.380000,0.000000,236.850000,16.440000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.350000,0.690000,0.000000,0.000000,0.000000,1054.4

81,20:00-20:15,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,35.690000,193.500000,0.640000,0.720000,0.000000,48.380000,0.000000,236.850000,16.620000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,1053.55

82,20:15-20:30,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,35.690000,193.500000,0.640000,0.720000,0.000000,48.380000,0.000000,236.850000,16.620000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,1053.55

83,20:30-20:45,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,35.690000,193.500000,0.640000,0.720000,0.000000,48.380000,0.000000,236.850000,16.620000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,1053.55

84,20:45-21:00,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,35.690000,193.500000,0.640000,0.720000,0.000000,48.380000,0.000000,236.850000,16.620000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,1053.55

85,21:00-21:15,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,32.550000,193.500000,0.640000,0.720000,0.000000,48.380000,0.000000,236.850000,16.720000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,1050.51

86,21:15-21:30,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,32.550000,193.500000,0.640000,0.720000,0.000000,48.380000,0.000000,236.850000,16.720000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,1050.51

87,21:30-21:45,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,32.550000,193.500000,0.640000,0.720000,0.000000,48.380000,0.000000,236.850000,16.720000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,1050.51

88,21:45-22:00,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,32.550000,193.500000,0.640000,0.720000,0.000000,48.380000,0.000000,236.850000,16.720000,0.360000,41.600000,0.000000,43.060000,21.530000,0.420000,0.000000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,0.000000,0.000000,1050.51

89,22:00-22:15,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,32.550000,193.500000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.810000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1179.31

90,22:15-22:30,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,32.550000,166.220000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.810000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1152.03

91,22:30-22:45,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,32.550000,166.220000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.810000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1152.03

92,22:45-23:00,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,32.550000,166.220000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.810000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1152.03

93,23:00-23:15,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,32.550000,166.220000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.900000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1152.12

94,23:15-23:30,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,32.550000,166.220000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.900000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1152.12

95,23:30-23:45,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,32.550000,166.220000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.900000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1152.12

96,23:45-24:00,0,0,0.640000,116.100000,75.580000,0.420000,33.860000,24.190000,36.500000,12.260000,14.510000,13.060000,6.770000,2.900000,62.890000,0,32.550000,166.220000,0.640000,0.720000,27.860000,48.380000,0.000000,236.850000,16.900000,0.360000,41.600000,65.020000,43.060000,21.530000,0.420000,12.670000,2.900000,9.970000,0.560000,0.370000,0.700000,0.000000,23.160000,0.000000,1152.12

