Time,Block,NR/2023/11642/A,NR/2023/11643/A,NR/2023/11961/F,NR/2023/12656/F,NR/2023/10944/A,NR/2023/12903/F,NR/2023/11963/F,NR/2023/13001/C,NR/2023/11958/F,NR/2023/10344/A,NR/2023/11476/A,NR/2023/11956/F,ER/2023/7895/C,NR/2023/11962/F,NR/2023/10434/A,NR/2023/10236/A,NR/2023/12988/D,NR/2023/10223/A,NR/2023/11862/F,NR/2023/11640/A,NR/2023/10173/A,NR/2023/10613/A,NR/2023/12992/D,NR/2023/11959/F,NR/2023/11342/A,NR/2023/11941/F,NR/2023/13011/C,NR/2023/12994/D,NR/2023/13003/C,NR/2023/11960/F,NR/2023/13002/C,NR/2023/11957/F,NR/2023/11947/F,NR/2023/11330/A,NR/2023/11284/A,NR/2023/10611/A,NR/2023/13006/C,NR/2023/12991/D,NR/2023/10487/A,NR/2023/11952/F,NR/2023/13009/C,NR/2023/11955/F,NR/2023/10229/A,Total
51,12:30-12:45,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,31.590000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,6.97,21.530000,2.900000,0.000000,0.000000,0.000000,81,0.660000,116.100000,62.890000,0.000000,189,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1150.47

52,12:45-13:00,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,31.590000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,7.05,21.530000,2.900000,0.000000,0.000000,0.000000,81,0.660000,116.100000,62.890000,0.000000,189,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1150.55

53,13:00-13:15,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,32.610000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,7.57,21.530000,2.900000,0.000000,0.000000,0.000000,81,0.660000,116.100000,62.890000,0.000000,189,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1152.09

54,13:15-13:30,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,32.610000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,7.84,21.530000,2.900000,0.000000,0.000000,0.000000,81,0.660000,116.100000,62.890000,0.000000,189,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1152.36

55,13:30-13:45,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,32.610000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,8.66,21.530000,2.900000,0.000000,0.000000,0.000000,81,0.660000,116.100000,62.890000,0.000000,189,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1153.18

56,13:45-14:00,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,32.610000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,8.66,21.530000,2.900000,0.000000,0.000000,0.000000,79.5,0.660000,116.100000,62.890000,0.000000,185.5,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1148.18

57,14:00-14:15,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,32.610000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,8.35,21.530000,2.900000,23.160000,75.580000,0.000000,78,0.660000,116.100000,62.890000,0.000000,182,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1241.61

58,14:15-14:30,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,32.610000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,8.35,21.530000,2.900000,23.160000,75.580000,0.000000,78,0.660000,116.100000,62.890000,0.000000,182,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1241.61

59,14:30-14:45,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,32.610000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,7.84,21.530000,2.900000,23.160000,75.580000,0.000000,75,0.660000,116.100000,62.890000,0.000000,175,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1231.1

60,14:45-15:00,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,32.610000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,7.84,21.530000,2.900000,23.160000,75.580000,0.000000,70.2,0.660000,116.100000,62.890000,0.000000,163.8,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,30.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1215.1

61,15:00-15:15,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,33.630000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,7.84,21.530000,2.900000,23.160000,75.580000,0.000000,66,0.660000,116.100000,62.890000,0.000000,154,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1172.12

62,15:15-15:30,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,33.630000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,6.97,21.530000,2.900000,23.160000,75.580000,0.000000,63,0.660000,116.100000,62.890000,0.000000,147,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,81.170000,41.600000,0.000000,0.000000,0.360000,43.060000,1161.25

63,15:30-15:45,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,33.630000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,6.97,21.530000,2.900000,23.160000,75.580000,0.000000,57,0.660000,116.100000,62.890000,0.000000,133,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,134.290000,41.600000,0.000000,0.000000,0.360000,43.060000,1194.37

64,15:45-16:00,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,33.630000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,6.1,21.530000,2.900000,23.160000,75.580000,0.000000,52.8,0.660000,116.100000,62.890000,0.000000,123.2,0.000000,0.660000,10.890000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,134.290000,41.600000,0.000000,0.000000,0.360000,43.060000,1179.5

65,16:00-16:15,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,35.670000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,5.22,21.530000,2.900000,23.160000,75.580000,0.000000,47.1,0.660000,116.100000,62.890000,0.000000,109.9,0.000000,0.660000,15.980000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,134.290000,41.600000,0.000000,0.000000,0.360000,43.060000,1166.75

66,16:15-16:30,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,35.670000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,5.22,21.530000,2.900000,23.160000,75.580000,0.000000,43.2,0.660000,116.100000,62.890000,0.000000,100.8,0.000000,0.660000,15.980000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,134.290000,41.600000,0.000000,0.000000,0.360000,43.060000,1153.75

67,16:30-16:45,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,35.670000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,4.79,21.530000,2.900000,23.160000,75.580000,0.000000,39,0.660000,116.100000,62.890000,0.000000,91,0.000000,0.660000,15.980000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,134.290000,41.600000,0.000000,0.000000,0.360000,43.060000,1139.32

68,16:45-17:00,14.510000,13.060000,0.690000,2.900000,0.000000,24.190000,0.420000,35.670000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,4.44,21.530000,2.900000,23.160000,75.580000,0.000000,33.6,0.660000,116.100000,62.890000,0.000000,78.4,0.000000,0.660000,15.980000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,134.290000,41.600000,0.000000,0.000000,0.360000,43.060000,1120.97

69,17:00-17:15,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,35.670000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,4.27,21.530000,2.900000,0.000000,75.580000,0.000000,27,0.660000,116.100000,62.890000,0.000000,63,0.000000,0.660000,16.170000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,134.290000,41.600000,0.000000,0.000000,0.360000,43.060000,1051.64

70,17:15-17:30,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,35.670000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,3.39,21.530000,2.900000,0.000000,75.580000,0.000000,18.9,0.660000,116.100000,62.890000,0.000000,44.1,0.000000,0.660000,16.170000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,145.510000,41.600000,0.000000,0.000000,0.360000,43.060000,1034.98

71,17:30-17:45,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,35.670000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,2.42,21.530000,2.900000,0.000000,75.580000,0.000000,15.3,0.660000,116.100000,62.890000,0.000000,35.7,0.000000,0.660000,16.170000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,166.220000,41.600000,0.000000,0.000000,0.360000,43.060000,1042.72

72,17:45-18:00,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,35.670000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,1.74,21.530000,2.900000,0.000000,75.580000,0.000000,13.2,0.660000,116.100000,62.890000,0.000000,30.8,0.000000,0.660000,16.170000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,0.000000,0.000000,0.360000,43.060000,1062.32

73,18:00-18:15,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,36.690000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,10.2,0.660000,116.100000,62.890000,0.000000,23.8,0.000000,0.660000,16.350000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1088.28

74,18:15-18:30,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,36.690000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,6,0.660000,116.100000,62.890000,0.000000,14,0.000000,0.660000,16.350000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1074.28

75,18:30-18:45,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,36.690000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,3,0.660000,116.100000,62.890000,0.000000,7,0.000000,0.660000,16.350000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1064.28

76,18:45-19:00,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,36.690000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,1.5,0.660000,116.100000,62.890000,0.000000,3.5,0.000000,0.660000,16.350000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1059.28

77,19:00-19:15,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,36.690000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,0,0.660000,116.100000,62.890000,0.000000,0,29.990000,0.660000,16.530000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1084.45

78,19:15-19:30,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,36.690000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,0,0.660000,116.100000,62.890000,0.000000,0,38.700000,0.660000,16.530000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1093.16

79,19:30-19:45,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,36.690000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,0,0.660000,116.100000,62.890000,0.000000,0,29.990000,0.660000,16.530000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1084.45

80,19:45-20:00,14.510000,13.060000,0.690000,2.900000,0.000000,0.000000,0.420000,36.690000,0.560000,12.260000,48.380000,0.350000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,0,0.660000,116.100000,62.890000,0.000000,0,51.280000,0.660000,16.530000,0.710000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1105.74

81,20:00-20:15,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,34.650000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,0,0.640000,116.100000,62.890000,0.000000,0,59.020000,0.640000,16.720000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1111.63

82,20:15-20:30,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,34.650000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,0,0.640000,116.100000,62.890000,0.000000,0,88.040000,0.640000,16.720000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1140.65

83,20:30-20:45,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,34.650000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,0,0.640000,116.100000,62.890000,0.000000,0,98.680000,0.640000,16.720000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1151.29

84,20:45-21:00,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,34.650000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,0,0.640000,116.100000,62.890000,0.000000,0,112.230000,0.640000,16.720000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1164.84

85,21:00-21:15,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,32.530000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,0,0.640000,116.100000,62.890000,0.000000,0,146.090000,0.640000,16.900000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1196.76

86,21:15-21:30,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,32.530000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,0,0.640000,116.100000,62.890000,0.000000,0,168.340000,0.640000,16.900000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1219.01

87,21:30-21:45,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,32.530000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,0,0.640000,116.100000,62.890000,0.000000,0,192.530000,0.640000,16.900000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1243.2

88,21:45-22:00,14.510000,13.060000,0.700000,2.900000,0.000000,0.000000,0.420000,32.530000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,0.000000,75.580000,0.000000,0,0.640000,116.100000,62.890000,0.000000,0,215.750000,0.640000,16.900000,0.720000,6.770000,0.000000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,0.000000,0.360000,43.060000,1266.42

89,22:00-22:15,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,32.530000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,62.890000,0.000000,0,97.720000,0.640000,17.090000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,193.500000,41.600000,36.500000,27.090000,0.360000,43.060000,1304.38

90,22:15-22:30,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,32.530000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,62.890000,0.000000,0,96.750000,0.640000,17.090000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,166.220000,41.600000,36.500000,71.600000,0.360000,43.060000,1320.64

91,22:30-22:45,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,32.530000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,62.890000,0.000000,0,96.750000,0.640000,17.090000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,166.220000,41.600000,36.500000,103.520000,0.360000,43.060000,1352.56

92,22:45-23:00,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,32.530000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,62.890000,0.000000,0,119.970000,0.640000,17.090000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,166.220000,41.600000,36.500000,85.140000,0.360000,43.060000,1357.4

93,23:00-23:15,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,32.530000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,62.890000,0.000000,0,217.690000,0.640000,17.370000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,166.220000,41.600000,36.500000,19.350000,0.360000,43.060000,1389.61

94,23:15-23:30,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,32.530000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,62.890000,0.000000,0,196.400000,0.640000,17.370000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,166.220000,41.600000,36.500000,35.800000,0.360000,43.060000,1384.77

95,23:30-23:45,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,32.530000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,62.890000,0.000000,0,175.120000,0.640000,17.370000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,166.220000,41.600000,36.500000,35.800000,0.360000,43.060000,1363.49

96,23:45-24:00,14.510000,13.060000,0.700000,2.900000,27.860000,0.000000,0.420000,32.530000,0.560000,12.260000,48.380000,0.370000,0.000000,0.420000,24.190000,236.850000,0,21.530000,2.900000,23.160000,75.580000,12.670000,0,0.640000,116.100000,62.890000,0.000000,0,159.640000,0.640000,17.370000,0.720000,6.770000,65.020000,33.860000,9.970000,0.000000,166.220000,41.600000,36.500000,35.800000,0.360000,43.060000,1348.01

