Column1,Block,NR/2025/33632/A/99226,NR/2025/32534/A/99209,NR/2025/32534/A/99211,NR/2025/32535/A/99214,NR/2025/32535/A/99216,NR/2025/32599/A/98918,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/99195,NR/2025/33637/A/99224,NR/2025/33633/A/99225,NR/2025/34179/C,NR/2025/34147/C,NR/2025/34141/C,NR/2025/34185/C,NR/2025/34143/C,NR/2025/34122/C,NR/2025/34091/C,NR/2025/31049/A/99208,NR/2025/32004/A/99172,NR/2025/34092/C,NR/2025/31048/A/99207,NR/2025/33469/A/98832,NR/2025/34125/C,NR/2025/34093/C,NR/2025/34128/C,NR/2025/32262/A/98788,NR/2025/31045/A/99206,NR/2025/29440/A/98743,NR/2025/31421/A/99288,NR/2025/31043/A/99205,NR/2025/32559/A/99168,NR/2025/32397/A/98759,NR/2025/32375/A/99285,NR/2025/33955/A/99016,NR/2025/32610/A/99167,NR/2025/29992/A/98863,NR/2025/32455/A/99233,NR/2025/34119/C,NR/2025/33656/A/99200,NR/2025/33670/A/99018,NR/2025/32556/A/99169,NR/2025/32532/A/99194,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/1196,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6209,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,Total
52,12:45-13:00,1.16,0.29,0.39,0.19,0.39,179,96.67,0.58,1.64,1.45,20.27,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1564.5099999999995

53,13:00-13:15,1.16,0.29,0.39,0.19,0.39,179,96.67,0.58,1.64,1.45,8.84,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1553.0799999999995

54,13:15-13:30,1.16,0.29,0.39,0.19,0.39,179,95,0.58,1.64,1.45,8.84,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1551.4099999999994

55,13:30-13:45,1.16,0.29,0.39,0.19,0.39,168,93.33,0.45,1.64,1.45,8.84,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1538.6099999999994

56,13:45-14:00,1.16,0.29,0.39,0.19,0.39,168,91.67,0.45,1.64,1.45,8.84,193.06,48.26,0,48.26,43.87,193.06,0,0,0,0,13.51,43.87,0,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1536.9499999999996

57,14:00-14:15,1.16,0.29,0.39,0.19,0.39,168,88.33,0.51,1.64,1.45,8.84,193.06,48.26,0,48.26,43.87,193.06,0,0,96.53,0,13.51,43.87,96.53,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.66,0,1726.6299999999999

58,14:15-14:30,1.16,0.29,0.35,0.19,0.39,168,84.43,0.52,1.64,1.45,8.84,193.06,48.26,0,48.26,43.87,193.06,0,0,96.53,0,13.51,43.87,96.53,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.66,0,1722.6999999999998

59,14:30-14:45,1.16,0.29,0.68,0.19,0.58,161,80.34,0.97,1.64,1.45,8.84,193.06,48.26,0,48.26,43.87,193.06,0,0,96.53,0,13.51,43.87,96.53,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.66,0,1712.58

60,14:45-15:00,1.16,0.29,0.68,0.19,0.68,154,77.85,0.97,1.64,1.45,8.84,193.06,48.26,0,48.26,43.87,193.06,0,0,96.53,0,13.51,43.87,96.53,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.66,0,1703.1899999999998

61,15:00-15:15,1.16,0.29,0.65,0.19,0.65,144,73.34,0.92,1.64,1.45,10.8,193.06,48.26,0,48.26,43.87,193.06,0,0,96.53,0,13.51,43.87,96.53,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1690.6299999999997

62,15:15-15:30,1.16,0.29,0.62,0.19,0.54,133,68.27,0.77,1.64,1.45,10.8,193.06,48.26,0,48.26,43.87,193.06,0,0,96.53,0,13.51,43.87,96.53,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1674.2699999999998

63,15:30-15:45,1.16,0.29,0.59,0.19,0.52,126,63.2,0.74,1.64,1.45,10.8,193.06,48.26,0,48.26,43.87,193.06,0,0,96.53,0,13.51,43.87,96.53,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1662.1199999999994

64,15:45-16:00,1.16,0.29,0.49,0.19,0.43,116,58.13,0.62,1.64,1.45,10.8,193.06,48.26,0,48.26,43.87,193.06,0,0,96.53,0,13.51,43.87,96.53,37.3,0,0,0.97,0,0,0,0,0,14.48,0,44.4,0,76.86,0,82.05,0,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1646.7399999999996

65,16:00-16:15,0,0.26,0.42,0.17,0.37,105,46.53,0.53,0,0,10.8,193.06,0,0,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.87,48.26,0,43.87,0,48.26,14.48,37.3,44.4,0,0,164.1,82.05,43.87,0.48,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.57,0,1619.3299999999995

66,16:15-16:30,0,0.25,0.4,0.16,0.35,95,41.74,0.49,0,0,10.8,193.06,0,0,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.87,48.26,0,43.87,0,48.26,14.48,37.3,44.4,0,0,164.1,82.05,43.87,0.42,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.57,0,1604.3799999999994

67,16:30-16:45,0,0.23,0.36,0.15,0.32,91,37.25,0.45,0,0,10.8,193.06,0,0,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.87,48.26,0,43.87,0,48.26,14.48,37.3,44.4,0,0,164.1,82.05,43.87,0.39,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.57,0,1595.7199999999996

68,16:45-17:00,0,0.22,0.28,0.14,0.25,81,32.65,0.36,0,0,8.84,193.06,0,0,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.87,48.26,0,43.87,0,48.26,14.48,37.3,44.4,0,0,164.1,82.05,43.87,0.38,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.57,0,1578.8899999999994

69,17:00-17:15,0,0.23,0.19,0.15,0.17,70,27.64,0.24,0,0,8.19,193.06,0,0,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.87,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,0,0,164.1,82.05,43.87,0.38,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1570.8399999999997

70,17:15-17:30,0,0.24,0.09,0.16,0.07,56,22.84,0.11,0,0,7.91,193.06,0,0,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.87,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,0,0,164.1,82.05,43.87,0.41,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1551.4799999999998

71,17:30-17:45,0,0.26,0,0.17,0,39,18.04,0,0,0,7.72,193.06,0,0,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.87,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,0,0,164.1,82.05,43.87,0.43,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1529.2699999999998

72,17:45-18:00,0,0.25,0,0.16,0,32,12.98,0,0,0,7.79,193.06,0,0,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.87,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,0,0,164.1,82.05,43.87,0.42,24.13,24.13,14.62,14.62,29.03,48.26,19.31,0,15.3,20.83,96.53,96.53,18.76,0,1517.2499999999998

73,18:00-18:15,0,0.18,0,0.13,0,21,10.32,0,0,0,8.61,193.06,0,0,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.87,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0.3,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.76,0,1469.5699999999997

74,18:15-18:30,0,0.13,0,0.09,0,18,7.56,0,0,0,6.26,193.06,0,0,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.87,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0.21,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.76,0,1461.2799999999997

75,18:30-18:45,0,0.08,0,0.05,0,11,3.38,0,0,0,4.08,193.06,0,0,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.87,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0.13,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.76,0,1447.7499999999998

76,18:45-19:00,0,0.03,0,0.02,0,5,1.65,0,0,0,2.62,193.06,0,0,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.87,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0.05,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.76,0,1438.3999999999996

77,19:00-19:15,0,0,0,0,0,1,0.94,0,0,0,0,193.06,0,27.03,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.57,0,1457.8599999999997

78,19:15-19:30,0,0,0,0,0,0,0,0,0,0,0,193.06,0,29.92,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.57,0,1458.8099999999997

79,19:30-19:45,0,0,0,0,0,0,0,0,0,0,0,193.06,0,34.75,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.57,0,1463.6399999999996

80,19:45-20:00,0,0,0,0,0,0,0,0,0,0,0,193.06,0,40.54,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,0,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.57,0,1469.4299999999996

81,20:00-20:15,0,0,0,0,0,0,0,0,0,0,0,193.06,0,45.37,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,54.3,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.29,0,1528.2799999999995

82,20:15-20:30,0,0,0,0,0,0,0,0,0,0,0,193.06,0,52.13,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,54.3,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.29,0,1535.0399999999995

83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,193.06,0,61.78,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,54.3,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.29,0,1544.6899999999996

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,193.06,0,65.64,0,0,28.96,96.53,76.86,0,0,13.51,0,0,0,54.3,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.29,0,1548.5499999999995

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,193.06,0,69.5,0,0,28.96,96.53,106.18,0,0,13.51,0,0,0,54.3,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.29,0,1581.7299999999996

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,193.06,0,75.29,0,0,28.96,96.53,106.18,0,0,13.51,0,0,0,54.3,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.29,0,1587.5199999999995

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,193.06,0,79.15,0,0,28.96,96.53,106.18,0,0,13.51,0,0,0,54.3,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.29,0,1591.3799999999997

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,193.06,0,82.05,0,0,28.96,96.53,106.18,0,0,13.51,0,0,0,54.3,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.29,0,1594.2799999999995

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,193.06,0,83.02,0,0,28.96,96.53,106.18,0,0,13.51,0,0,0,54.3,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.29,0,1595.2499999999995

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,193.06,0,93.63,0,0,28.96,96.53,106.18,0,0,13.51,0,0,0,54.3,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.29,0,1605.8599999999994

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,193.06,0,109.08,0,0,28.96,96.53,106.18,0,0,12.55,0,0,0,54.3,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.29,0,1620.3499999999995

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,193.06,0,112.94,0,0,28.96,96.53,106.18,0,0,12.55,0,0,0,54.3,96.53,0.92,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.29,0,1624.2099999999996

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,193.06,0,109.08,0,0,28.96,96.53,106.18,0,0,12.55,0,0,0,54.3,96.53,0.87,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.11,0,1620.1199999999994

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,193.06,0,110.04,0,0,28.96,96.53,106.18,0,0,12.55,0,0,0,54.3,96.53,0.87,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.11,0,1621.0799999999995

95,23:30-23:45,0,0,0,0,0,0,0,0,0,0,0,193.06,0,105.22,0,0,28.96,96.53,106.18,0,0,12.55,0,0,0,54.3,96.53,0.87,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.11,0,1616.2599999999995

96,23:45-24:00,0,0,0,0,0,0,0,0,0,0,0,193.06,0,106.18,0,0,28.96,96.53,106.18,0,0,12.55,0,0,0,54.3,96.53,0.87,48.26,0,43.87,8.69,48.26,14.48,37.3,44.4,48.26,0,164.1,82.05,43.87,0,24.13,24.13,14.62,14.62,29.03,48.26,0,0,0,20.83,96.53,48.26,18.11,0,1617.2199999999996

