Time,Block,NR/2023/11205/A,NR/2023/14117/F,NR/2023/11697/A,NR/2023/14432/C,NR/2023/14187/F,NR/2023/14136/F,NR/2023/11521/A,NR/2023/14413/C,NR/2023/13704/A,NR/2023/14421/C,NR/2023/14113/F,NR/2023/14121/F,NR/2023/14415/C,NR/2023/13573/A,NR/2023/14114/F,NR/2023/13283/A,NR/2023/11458/A,NR/2023/13858/A,NR/2023/11739/A,NR/2023/14381/D,NR/2023/13284/A,NR/2023/14120/F,NR/2023/12646/A,NR/2023/14115/F,NR/2023/14433/C,NR/2023/11469/A,NR/2023/11892/A,NR/2023/11470/A,NR/2023/13573/A/II,NR/2023/14118/F,NR/2023/11654/A,NR/2023/14389/C,NR/2023/14379/D,NR/2023/14417/C,NR/2023/11954/A,NR/2023/14380/D,NR/2023/13859/A,NR/2023/11325/A,NR/2023/14406/C,NR/2023/11315/A,NR/2023/11524/A,NR/2023/13983/F,NR/2023/11204/A,NR/2023/11264/A,NR/2023/14407/C,NR/2023/11328/A,NR/2023/13283/A/II,NR/2023/14116/F,NR/2023/14119/F,NR/2023/11203/A,NR/2023/14405/C,NR/2023/14431/C,NR/2023/13704/A/II,NR/2023/13983/F/II,NR/2023/14386/D,NR/2023/14385/D,NR/2023/14382/D,Total
37,09:00:09:15,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.010000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,105,45,4.49,1623.43

38,09:15-09:30,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.010000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,116.9,50.1,4.94,1640.88

39,09:30-09:45,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.010000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,128.8,55.2,5.92,1658.86

40,09:45-10:00,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,0.000000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.010000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,140,60,5.91,1674.85

41,10:00-10:15,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,147,63,6.38,1771.65

42,10:15-10:30,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,6.51,1775.78

43,10:30-10:45,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,5.6,1774.87

44,10:45-11:00,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,4.2,1773.47

45,11:00-11:15,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,6.78,1776.05

46,11:15-11:30,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,7.48,1776.75

47,11:30-11:45,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,5.01,1774.28

48,11:45-12:00,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,30.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,5.81,1775.08

49,12:00-12:15,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,3.53,1742.8

50,12:15-12:30,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,6.84,1746.11

51,12:30-12:45,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,9.22,1748.49

52,12:45-13:00,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,7.59,1746.86

53,13:00-13:15,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,6,1745.27

54,13:15-13:30,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,5.34,1744.61

55,13:30-13:45,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,0.000000,0.000000,0.970000,149.8,64.2,4.64,1743.91

56,13:45-14:00,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,90.750000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,13.590000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,40.550000,0.000000,0.970000,149.8,64.2,4.87,1784.69

57,14:00-14:15,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,106.190000,77.230000,42.470000,0.000000,0.000000,0.610000,23.100000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,16.360000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,50.200000,0.000000,0.970000,149.8,64.2,5.12,1835.9

58,14:15-14:30,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,106.190000,77.230000,42.470000,0.000000,0.000000,0.610000,23.100000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,16.360000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,87.850000,0.000000,0.970000,149.8,64.2,5.9,1874.33

59,14:30-14:45,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,106.190000,77.230000,42.470000,0.000000,0.000000,0.610000,23.100000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,16.360000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,117.780000,0.000000,0.970000,149.8,64.2,8.13,1906.49

60,14:45-15:00,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,106.190000,77.230000,42.470000,0.000000,0.000000,0.610000,23.100000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,16.360000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,148.670000,0.000000,0.970000,149.8,64.2,4.61,1933.86

61,15:00-15:15,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,106.190000,77.230000,42.470000,38.620000,0.000000,0.610000,23.100000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,23.48,164.120000,0.000000,0.970000,140,60,1.4,1996.04

62,15:15-15:30,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,106.190000,77.230000,42.470000,38.620000,0.000000,0.610000,23.100000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,0.000000,45.370000,141.910000,24.140000,0.000000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,45,164.120000,0.000000,0.970000,143.5,61.5,1.28,2022.44

63,15:30-15:45,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,106.190000,77.230000,42.470000,38.620000,0.000000,0.610000,23.100000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,0.000000,45.370000,141.910000,24.140000,63.720000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,164.120000,0.000000,0.970000,140,60,4.17,2039.05

64,15:45-16:00,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,106.190000,77.230000,42.470000,38.620000,0.000000,0.610000,23.100000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,0.000000,45.370000,141.910000,24.140000,63.720000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,19.56,164.120000,0.000000,0.970000,126,54,6.19,2040.63

65,16:00-16:15,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,106.190000,77.230000,42.470000,38.620000,0.000000,0.610000,23.100000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,0.000000,45.370000,141.910000,24.140000,58.890000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,34.24,164.120000,0.000000,0.820000,112,48,4.58,2028.72

66,16:15-16:30,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,106.190000,77.230000,42.470000,38.620000,0.000000,0.610000,23.100000,0.950000,0.000000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,0.000000,45.370000,141.910000,24.140000,58.890000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,45,164.120000,0.000000,0.820000,101.5,43.5,1.84,2021.74

67,16:30-16:45,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,106.190000,77.230000,42.470000,38.620000,0.000000,0.610000,23.100000,0.950000,48.270000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,0.000000,45.370000,141.910000,24.140000,58.890000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,164.120000,0.000000,0.820000,87.5,37.5,0.89,2004.06

68,16:45-17:00,15.760000,0.980000,0.000000,0.000000,9.650000,24.140000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,106.190000,77.230000,42.470000,38.620000,0.000000,0.610000,23.100000,0.950000,48.270000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,0.000000,45.370000,141.910000,24.140000,58.890000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,7.83,164.120000,0.000000,0.820000,78.4,33.6,1.08,1999.08

69,17:00-17:15,15.760000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,48.270000,77.230000,42.470000,38.620000,0.000000,0.610000,0.000000,0.950000,48.270000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,0.000000,45.370000,141.910000,24.140000,58.890000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,18.59,164.120000,0.000000,0.820000,67.9,29.1,1.45,1890.05

70,17:15-17:30,15.760000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,48.270000,77.230000,42.470000,38.620000,0.000000,0.610000,0.000000,0.950000,48.270000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,0.000000,45.370000,141.910000,24.140000,54.060000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,26.41,164.120000,0.000000,0.820000,56,24,1.08,1875.67

71,17:30-17:45,15.760000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,48.270000,77.230000,42.470000,38.620000,0.000000,0.610000,0.000000,0.950000,48.270000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,0.000000,45.370000,141.910000,24.140000,54.060000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,54.78,164.120000,0.000000,0.820000,35,15,0.48,1873.44

72,17:45-18:00,15.760000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,24.140000,48.270000,77.230000,42.470000,38.620000,0.000000,0.610000,0.000000,0.950000,48.270000,84.940000,0.000000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,0.000000,45.370000,141.910000,24.140000,54.060000,22.200000,193.080000,0.000000,7.720000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,54.78,164.120000,0.000000,0.820000,31.5,13.5,0.19,1868.15

73,18:00-18:15,15.780000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,48.270000,77.230000,42.470000,38.620000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,66.520000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,36.420000,45.370000,141.910000,24.140000,195.980000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,164.120000,0.000000,0.870000,31.5,13.5,0,1992.22

74,18:15-18:30,15.780000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,48.270000,77.230000,42.470000,38.620000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,66.520000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,36.420000,45.370000,141.910000,24.140000,182.460000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,164.120000,0.000000,0.870000,24.5,10.5,0,1968.7

75,18:30-18:45,15.780000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,48.270000,77.230000,42.470000,38.620000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,66.520000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,36.420000,45.370000,141.910000,24.140000,161.220000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,164.120000,0.000000,0.870000,21,9,0,1942.46

76,18:45-19:00,15.780000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,48.270000,77.230000,42.470000,38.620000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,66.520000,21.240000,62.750000,0.980000,257.760000,18.340000,147.460000,18.200000,36.420000,45.370000,141.910000,24.140000,162.190000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,164.120000,0.000000,0.870000,14,6,0,1933.43

77,19:00-19:15,15.780000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,48.270000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,66.520000,21.240000,62.750000,0.980000,257.760000,0.000000,147.460000,18.480000,36.420000,45.370000,141.910000,24.140000,153.500000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,164.120000,0.000000,0.920000,7,3,0,1858.11

78,19:15-19:30,15.780000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,48.270000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,66.520000,21.240000,62.750000,0.980000,257.760000,0.000000,147.460000,18.480000,36.420000,45.370000,141.910000,24.140000,177.630000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,164.120000,0.000000,0.920000,4.2,1.8,0,1878.24

79,19:30-19:45,15.780000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,48.270000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,66.520000,21.240000,62.750000,0.980000,257.760000,0.000000,147.460000,18.480000,36.420000,45.370000,141.910000,24.140000,213.350000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,164.120000,0.000000,0.920000,1.4,0.6,0,1909.96

80,19:45-20:00,15.780000,0.980000,0.000000,0.000000,9.650000,0.000000,48.270000,0.000000,6.760000,0.000000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,48.270000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,0.000000,84.940000,66.520000,21.240000,62.750000,0.980000,257.760000,0.000000,147.460000,18.480000,36.420000,45.370000,141.910000,24.140000,250.040000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,164.120000,0.000000,0.920000,0,0,0,1944.65

81,20:00-20:15,15.780000,0.930000,0.000000,84.960000,9.650000,0.000000,48.270000,0.000000,6.760000,49.240000,0.380000,0.610000,4.830000,0.000000,0.520000,0.000000,48.270000,77.230000,42.470000,0.000000,0.000000,0.610000,0.000000,0.950000,38.620000,84.940000,66.520000,21.240000,62.750000,0.870000,257.760000,0.000000,147.460000,18.660000,36.420000,45.370000,141.910000,24.140000,276.100000,22.200000,193.080000,0.000000,14.240000,21.530000,0.000000,48.270000,0.000000,0.970000,1.010000,62.990000,0,91.710000,0.000000,0.920000,0,0,0,2071.14

