Column1,Block,NR/2024/21954/A/32825,NR/2024/21940/A/32827,NR/2024/21918/A/32872,NR/2024/22639/C,NR/2024/22640/C,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21933/A/32566,NR/2024/21860/A/32903,NR/2024/21966/A/32755,NR/2024/21968/A/32831,NR/2024/21658/A/32531,NR/2024/21983/A/32565,NR/2024/22637/C,NR/2024/21974/A/32839,NR/2024/21971/A/32836,NR/2024/21911/A/32801,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/22010/A/32884,NR/30092023/31122025/SH-07,NR/2024/21970/A/32833,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/2024/22042/A/32529,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/2024/21943/A/32824,NR/16082024/31082024/APL-Raigarh_august,NR/16082024/31082024/MPL/24-25/STOA/128,NR/2024/22632/C,NR/2024/22432/A/32579,NR/2024/22498/A/32887,NR/2024/22014/A/32530,NR/2024/22279/A/32526,NR/01082024/31082024/SKS-Raigarh,NR/2024/21961/A/32583,NR/2024/21956/A/32828,NR/30092023/26122029/SH-06,NR/01082024/31082024/jitpl,NR/2024/21938/A/32585,NR/2024/21814/A/32841,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01102023/02012046/L_NR_2021_17,NR/2024/22654/C,NR/2024/22534/A/32581,NR/2024/22535/A/32580,NR/01102023/14082046/L_NR_2021_16,Total
62,15:15-15:30,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,6.73,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,13.27,29.04,10.58,0,1340.2298

63,15:30-15:45,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,7.69,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,15,27.31,10.58,0,1341.1898

64,15:45-16:00,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.96,48.08,0,26.23,26.23,96.17,15.89,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,9.62,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,19.52,22.79,10.58,0,1343.1198

65,16:00-16:15,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.82,48.08,0,26.23,26.23,96.17,16.8,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,9.62,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,20.58,21.73,10.58,0,1343.8898

66,16:15-16:30,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.82,48.08,0,26.23,26.23,96.17,16.8,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,9.62,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,19.91,19.43,10.58,0,1340.9198000000001

67,16:30-16:45,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.82,48.08,0,26.23,26.23,96.17,16.8,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,9.62,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,16.16,15.87,10.58,0,1333.6098

68,16:45-17:00,23.97,83.84,90.4,163.73,27.89,0,24.04,48.08,96.17,26.23,0.82,48.08,0,26.23,26.23,96.17,16.8,11.68,26.7799,8.74,0,3.85,0,38.47,0,0,240.42,9.62,21.16,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,0,0,0,12.79,11.35,10.58,0,1325.7197999999999

69,17:00-17:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,9.62,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1290.9497999999999

70,17:15-17:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,9.62,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1290.9497999999999

71,17:30-17:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,9.62,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1290.9497999999999

72,17:45-18:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,11.68,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,9.62,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1290.9497999999999

73,18:00-18:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,10.58,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1280.2297999999998

74,18:15-18:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,10.58,0,1.92,4.81,8.74,0,24.04,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1280.2297999999998

75,18:30-18:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,10.58,0,1.92,4.81,8.74,0,43.28,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1299.4697999999999

76,18:45-19:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,26.7799,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,10.58,0,1.92,4.81,8.74,0,43.28,26.7799,17.23,0,48.08,96.17,0,0,0,0,0,0,1299.4697999999999

77,19:00-19:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,11.54,0,1.92,4.81,8.74,0,43.28,25.8389,17.23,0,48.08,96.17,0,0,0,0,0,0,1304.7088999999999

78,19:15-19:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,11.54,0,1.92,4.81,8.74,0,43.28,25.8389,17.23,0,48.08,96.17,0,0,0,0,0,0,1304.7088999999999

79,19:30-19:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,11.54,0,1.92,4.81,8.74,0,43.28,25.8389,17.23,0,48.08,96.17,0,0,0,0,0,0,1304.7088999999999

80,19:45-20:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,11.54,0,1.92,4.81,8.74,0,43.28,25.8389,17.23,0,48.08,96.17,0,0,0,0,0,0,1304.7088999999999

81,20:00-20:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,11.54,0,1.92,4.81,8.74,0,43.28,25.8389,17.23,0,48.08,96.17,0,0,0,0,0,0,1304.7088999999999

82,20:15-20:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,11.54,0,1.92,4.81,8.74,0,43.28,25.8389,17.23,0,48.08,96.17,0,0,0,0,0,0,1304.7088999999999

83,20:30-20:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,11.54,0,1.92,4.81,8.74,0,43.28,20.9536,17.23,0,48.08,96.17,0,0,0,0,0,0,1299.8236

84,20:45-21:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,11.54,0,1.92,4.81,8.74,0,43.28,20.9536,17.23,0,48.08,96.17,0,0,0,0,0,0,1299.8236

85,21:00-21:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,11.54,0,1.92,4.81,8.74,0,43.28,20.9536,17.23,0,48.08,96.17,0,0,0,0,0,0,1299.8236

86,21:15-21:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,11.54,0,1.92,4.81,8.74,0,43.28,20.9536,17.23,0,48.08,96.17,0,0,0,0,0,0,1299.8236

87,21:30-21:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,11.54,0,1.92,4.81,8.74,0,43.28,20.9536,17.23,0,48.08,96.17,0,0,0,0,0,0,1299.8236

88,21:45-22:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,11.54,0,1.92,4.81,8.74,0,43.28,20.9536,17.23,0,48.08,96.17,0,0,0,0,0,0,1299.8236

89,22:00-22:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,10.58,0,1.92,4.81,8.74,97.37,43.28,20.9536,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1428.6936

90,22:15-22:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,10.58,0,1.92,4.81,8.74,97.37,43.28,20.9536,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1428.6936

91,22:30-22:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,9.62,0,1.92,4.81,8.74,97.37,67.32,20.9536,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1451.7736

92,22:45-23:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.77,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,9.62,0,1.92,4.81,8.74,97.37,67.32,20.9536,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1451.7736

93,23:00-23:15,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.72,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,9.62,0,1.92,4.81,8.74,97.37,67.32,20.9536,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1451.7235999999998

94,23:15-23:30,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.72,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,9.62,0,1.92,4.81,8.74,97.37,67.32,20.9536,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1451.7235999999998

95,23:30-23:45,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.72,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,9.62,0,1.92,4.81,8.74,97.37,67.32,20.9536,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1451.7235999999998

96,23:45-24:00,23.97,83.84,90.4,163.73,27.89,0,0,48.08,0,26.23,0.72,0,0,26.23,26.23,0,16.8,0,32,8.74,48.08,3.85,24.04,38.47,96.17,21.16,240.42,9.62,0,1.92,4.81,8.74,97.37,67.32,20.9536,17.23,32.46,48.08,96.17,0,0,0,0,0,0,1451.7235999999998

