Time,Block,ER/2023/7662/C,NR/2023/12617/D,NR/2023/12619/D,ER/2023/7657/C,NR/2023/12621/D,NR/2023/10229/A,NR/2023/11957/F,NR/2023/11961/F,NR/2023/10434/A,NR/2023/11284/A,NR/2023/10236/A,NR/2023/10613/A,NR/2023/11956/F,NR/2023/11862/F,NR/2023/11952/F,NR/2023/11643/A,NR/2023/11476/A,NR/2023/11947/F,NR/2023/10944/A,NR/2023/10487/A,NR/2023/10344/A,NR/2023/12633/C,NR/2023/11941/F,NR/2023/11642/A,NR/2023/12626/C,NR/2023/11955/F,NR/2023/11962/F,NR/2023/11342/A,NR/2023/11960/F,NR/2023/11963/F,NR/2023/10223/A,NR/2023/11959/F,NR/2023/11958/F,NR/2023/12638/C,NR/2023/11330/A,NR/2023/12620/D,NR/2023/10611/A,NR/2023/12632/C,Total
59,14:30-14:45,0.000000,8.33,76.2,0.000000,177.8,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1123.33

60,14:45-15:00,0.000000,8.24,72,0.000000,168,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,33.630000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,10.000000,1109.24

61,15:00-15:15,0.000000,8.09,66.6,0.000000,155.4,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,35.670000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1083.13

62,15:15-15:30,0.000000,7.9,62.1,0.000000,144.9,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,35.670000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1067.94

63,15:30-15:45,0.000000,7.27,58.5,0.000000,136.5,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,35.670000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1055.31

64,15:45-16:00,0.000000,6.31,51.9,0.000000,121.1,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.490000,62.610000,14.450000,35.670000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1032.35

65,16:00-16:15,0.000000,5.73,46.5,0.000000,108.5,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.590000,62.610000,14.450000,36.690000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,1014.89

66,16:15-16:30,0.000000,5.35,41.1,0.000000,95.9,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.590000,62.610000,14.450000,36.690000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,996.51

67,16:30-16:45,0.000000,4.38,37.5,0.000000,87.5,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.590000,62.610000,14.450000,36.690000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,983.54

68,16:45-17:00,0.000000,3.9,31.2,0.000000,72.8,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.590000,62.610000,14.450000,36.690000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,962.06

69,17:00-17:15,0.000000,3.03,25.2,0.000000,58.8,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.680000,62.610000,14.450000,37.700000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,942.29

70,17:15-17:30,0.000000,1.78,18.9,0.000000,44.1,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.680000,62.610000,14.450000,37.700000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,66.850000,9.920000,0.000000,920.04

71,17:30-17:45,0.000000,1.2,13.5,0.000000,31.5,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.680000,62.610000,14.450000,37.700000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,133.710000,9.920000,0.000000,968.32

72,17:45-18:00,0.000000,0.55,12,0.000000,28,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,0.000000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.680000,62.610000,14.450000,37.700000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,133.710000,9.920000,0.000000,962.67

73,18:00-18:15,0.000000,0,9,0.000000,21,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.680000,62.610000,14.450000,37.700000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,192.660000,9.920000,0.000000,1047.42

74,18:15-18:30,0.000000,0,4.5,0.000000,10.5,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.680000,62.610000,14.450000,37.700000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,192.660000,9.920000,0.000000,1032.42

75,18:30-18:45,0.000000,0,3,0.000000,7,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.680000,62.610000,14.450000,37.700000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,192.660000,9.920000,0.000000,1027.42

76,18:45-19:00,0.000000,0,1.5,0.000000,3.5,49.850000,0.770000,0.770000,24.080000,33.720000,274.170000,0.000000,0.390000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.680000,62.610000,14.450000,37.700000,0.360000,0.460000,115.600000,0.730000,0.460000,24.920000,0.730000,0.620000,0.000000,0.000000,192.660000,9.920000,0.000000,1022.42

77,19:00-19:15,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,0.000000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.770000,62.610000,14.450000,37.700000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,0.000000,0.000000,192.660000,9.920000,0.000000,1018.11

78,19:15-19:30,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,0.000000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.770000,62.610000,14.450000,37.700000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,0.000000,0.000000,192.660000,9.920000,0.000000,1018.11

79,19:30-19:45,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,0.000000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.770000,62.610000,14.450000,37.700000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,0.000000,0.000000,192.660000,9.920000,0.000000,1018.11

80,19:45-20:00,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,0.000000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.770000,62.610000,14.450000,37.700000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,0.000000,0.000000,192.660000,9.920000,0.000000,1018.11

81,20:00-20:15,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,0.000000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.770000,62.610000,14.450000,34.650000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,0.000000,0.000000,192.660000,9.920000,0.000000,1015.06

82,20:15-20:30,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,0.000000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.770000,62.610000,14.450000,34.650000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,0.000000,0.000000,192.660000,9.920000,0.000000,1015.06

83,20:30-20:45,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,0.000000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.770000,62.610000,14.450000,34.650000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,0.000000,0.000000,192.660000,9.920000,0.000000,1015.06

84,20:45-21:00,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,0.000000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.770000,62.610000,14.450000,34.650000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,0.000000,0.000000,144.590000,9.920000,0.000000,966.99

85,21:00-21:15,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,0.000000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.870000,62.610000,14.450000,34.650000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,0.000000,0.000000,66.850000,9.920000,0.000000,889.35

86,21:15-21:30,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,0.000000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.870000,62.610000,14.450000,34.650000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,26.970000,0.000000,66.850000,9.920000,0.000000,916.32

87,21:30-21:45,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,0.000000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.870000,62.610000,14.450000,34.650000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,95.370000,0.000000,66.850000,9.920000,0.000000,984.72

88,21:45-22:00,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,0.000000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,0.000000,41.420000,12.210000,11.870000,62.610000,14.450000,34.650000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,169.540000,0.000000,66.850000,9.920000,0.000000,1058.89

89,22:00-22:15,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,12.620000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,34.650000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,103.070000,64.730000,66.850000,9.920000,0.000000,1097.59

90,22:15-22:30,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,12.620000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,34.650000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,170.500000,64.730000,66.850000,9.920000,0.000000,1165.02

91,22:30-22:45,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,12.620000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,34.650000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,233.120000,64.730000,66.850000,9.920000,0.000000,1227.64

92,22:45-23:00,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,12.620000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,34.650000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,276.470000,64.730000,66.850000,9.920000,0.000000,1270.99

93,23:00-23:15,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,12.620000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,32.610000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,312.110000,64.730000,66.850000,9.920000,0.000000,1304.59

94,23:15-23:30,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,12.620000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,32.610000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,333.300000,64.730000,66.850000,9.920000,0.000000,1325.78

95,23:30-23:45,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,12.620000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,32.610000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,335.230000,64.730000,66.850000,9.920000,0.000000,1327.71

96,23:45-24:00,0.000000,0,0,0.000000,0,49.850000,0.870000,0.860000,24.080000,33.720000,274.170000,12.620000,0.440000,2.890000,36.350000,13.000000,48.160000,6.740000,27.740000,41.420000,12.210000,11.950000,62.610000,14.450000,32.610000,0.360000,0.510000,115.600000,0.810000,0.510000,24.920000,0.810000,0.720000,202.290000,64.730000,66.850000,9.920000,0.000000,1194.77

