Time,Block,NR/2023/13253/A,NR/2023/13385/A,NR/2023/16191/A,NR/2023/13148/A,NR/2023/17390/C,NR/2023/16185/A,NR/2023/16073/A,NR/2023/13168/A,NR/2023/13383/A,NR/2023/17383/C,NR/2023/13165/A,NR/2023/16077/A,NR/2023/17388/C,NR/2023/16291/F,NR/2023/17379/C,NR/2023/17380/C,NR/2023/13150/A,NR/2023/17372/D,NR/2023/15770/A,NR/2023/17389/C,NR/2023/17371/D,NR/2023/17377/C,NR/2023/13387/A,NR/2023/13254/A,NR/2023/17381/C,Total
92,22:45-23:00,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,36.830000,193.320000,22.230000,85.930000,0.000000,0.770000,8.580000,193.320000,63.020000,106.820000,62.830000,0.000000,0,7.070000,100.040000,19.610000,313.180000,1463.88

93,23:00-23:15,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,36.830000,193.320000,22.230000,85.930000,0.000000,0.770000,8.580000,193.320000,63.020000,106.820000,62.830000,0.000000,0,6.050000,100.040000,19.610000,313.180000,1462.86

94,23:15-23:30,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,36.830000,193.320000,22.230000,85.930000,0.000000,0.770000,8.580000,193.320000,63.020000,106.820000,62.830000,0.000000,0,6.050000,100.040000,19.610000,313.180000,1462.86

95,23:30-23:45,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,36.830000,193.320000,22.230000,85.930000,0.000000,0.770000,8.580000,193.320000,63.020000,106.820000,62.830000,0.000000,0,6.050000,100.040000,19.610000,313.180000,1462.86

96,23:45-24:00,48.330000,50.020000,42.050000,36.470000,0,38.660000,0.000000,34.800000,36.830000,193.320000,22.230000,85.930000,0.000000,0.770000,8.580000,193.320000,63.020000,106.820000,62.830000,0.000000,0,6.050000,100.040000,19.610000,294.810000,1444.49

