Column1,Block,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/6209,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4125,NR/2025/32559/A/101699,NR/2025/32610/A/101698,NR/2025/29992/A/101362,NR/2025/32004/A/101703,NR/2025/32397/A/101227,NR/30092023/31122025/SH-07,NR/2025/34827/C,NR/2025/34808/C,NR/2025/34809/C,NR/2025/34810/C,NR/2025/34807/C,NR/2025/34826/C,NR/2025/34828/C,NR/2025/31045/A/101657,NR/2025/31048/A/101658,NR/2025/29440/A/101243,NR/2025/31043/A/101656,NR/2025/34078/A/101345,NR/2025/31049/A/101659,NR/2025/32262/A/101289,NR/2025/32455/A/101799,NR/2025/34263/A/101407,NR/2025/34792/C,NR/2025/34247/A/101660,NR/2025/32556/A/101700,NR/2025/34789/C,NR/2025/31421/A/101711,NR/2025/32375/A/101708,NR/2025/34791/C,NR/2025/33637/A/101413,NR/2025/33632/A/101409,NR/2025/33633/A/101411,NR/2025/32535/A/101642,NR/2025/32534/A/101640,NR/2025/32599/A/101374,NR/2025/32535/A/101641,NR/2025/32532/A/101635,NR/2025/34835/C,GNARE/NR/2024/12/20/3668,NR/2025/32534/A/101639,NR/2025/32532/A/101636,Total
56,13:45-14:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,10.58,0,0,0,67.35,134.69,0,0,0,0,0,0,1.64,1.15,1.44,0.29,0.38,133,0.1,0.29,8.81,29.81,0.1,0.58,1101.9299999999998

57,14:00-14:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,11.55,0,0,0,67.35,134.69,0,0,96.21,0,0,96.21,1.64,1.15,1.44,0.29,0.38,119,0.1,0.29,8.81,28.89,0.1,0.58,1280.4

58,14:15-14:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,11.55,0,0,0,67.35,134.69,0,0,96.21,0,0,96.21,1.64,1.15,1.44,0.38,0.38,112,0.1,0.29,8.81,27.99,0.19,0.58,1272.6800000000003

59,14:30-14:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,11.55,0,0,0,67.35,134.69,0,0,96.21,0,0,96.21,1.64,1.15,1.44,0.38,0.38,105,0.1,0.29,8.81,27.13,0.19,0.58,1264.8200000000004

60,14:45-15:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,11.55,0,0,0,67.35,134.69,0,0,96.21,0,0,96.21,1.64,1.15,1.44,0.29,0.38,98,0.1,0.29,8.81,26.29,0.19,0.58,1256.89

61,15:00-15:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,11.55,0,0,0,67.35,134.69,0,0,96.21,0,0,96.21,1.64,1.15,1.44,0.29,0.38,98,0.1,0.29,10.77,24.95,0.19,0.58,1257.5100000000002

62,15:15-15:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,0,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,11.55,0,0,0,67.35,134.69,0,0,96.21,0,0,96.21,1.64,1.15,1.44,0.29,0.38,91,0.1,0.29,10.77,23.25,0.1,0.58,1248.72

63,15:30-15:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,3.7,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,11.55,0,0,0,67.35,134.69,0,0,96.21,0,0,96.21,1.64,1.15,1.44,0.29,0.38,112,0.1,0.29,10.77,21.55,0.1,0.58,1271.72

64,15:45-16:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,3.7,8.66,19.24,8.66,0,0,44.26,0,0,0,30.79,24.05,24.05,76.95,24.05,30.79,163.8,0,0,0.96,0,11.55,0,0,0,67.35,134.69,0,0,96.21,0,0,96.21,1.64,1.15,1.44,0.29,0.38,102,0.1,0.29,10.77,19.85,0.1,0.67,1260.1100000000001

65,16:00-16:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,3.7,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,11.55,96.21,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0.29,0.38,95,0.1,0.29,10.77,17.31,0.19,0.67,1246.3400000000001

66,16:15-16:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,3.7,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,11.55,96.21,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0.29,0.38,84,0.1,0.29,10.77,14.77,0.19,0.67,1232.8000000000002

67,16:30-16:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,3.7,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,12.51,96.21,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0.38,0.38,77,0.1,0.29,10.77,12.23,0.19,0.67,1224.3100000000004

68,16:45-17:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,3.7,8.66,19.24,8.66,24.05,24.05,44.26,76.95,0,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,12.51,96.21,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0.38,0.18,70,0.1,0.29,8.81,9.7,0.1,0.32,1212.18

69,17:00-17:15,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,3.7,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,12.51,96.21,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0.29,0.02,63,0.1,0.29,8.16,8.69,0.1,0.04,1211.6499999999999

70,17:15-17:30,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,3.7,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,12.51,96.21,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0.29,0,53,0.1,0.29,7.88,7.67,0.1,0,1200.29

71,17:30-17:45,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,3.7,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,13.47,96.21,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0.29,0,42,0.1,0.29,7.7,10.24,0.19,0,1192.73

72,17:45-18:00,15.25,20.84,16.84,67.35,17.32,16.84,33.67,67.35,0,3.7,8.66,19.24,8.66,24.05,24.05,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,13.47,96.21,0,0,67.35,0,134.69,24.05,0,30.79,30.79,0,0,0,0,0,0,32,0.1,0.29,7.76,8.15,0.19,0,1180.41

73,18:00-18:15,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,3.7,8.66,0,8.66,37.18,37.18,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,13.47,96.21,0,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,21,0.1,0.28,8.58,6.23,0.1,0,1173.1

74,18:15-18:30,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,3.7,8.66,0,8.66,37.18,37.18,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,13.47,96.21,0,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,14,0.06,0.18,6.23,4.35,0.06,0,1161.69

75,18:30-18:45,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,3.7,8.66,0,8.66,37.18,37.18,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,13.47,96.21,0,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,7,0.04,0.11,4.07,2.13,0.04,0,1150.2

76,18:45-19:00,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,3.7,8.66,0,8.66,37.18,37.18,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,13.47,96.21,0,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,5,0.01,0.04,2.61,0.76,0.01,0,1145.24

77,19:00-19:15,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,3.7,8.66,0,8.66,37.18,37.18,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,0,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,1,0,0,0,0.45,0,0,1138.3000000000002

78,19:15-19:30,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,3.7,8.66,0,8.66,37.18,37.18,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,0,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0.18,0,0,1137.0300000000002

79,19:30-19:45,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,3.7,8.66,0,8.66,37.18,37.18,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,0,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0.04,0,0,1136.89

80,19:45-20:00,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,3.7,8.66,0,8.66,37.18,37.18,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,0,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1136.8500000000001

81,20:00-20:15,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,3.7,8.66,0,8.66,37.18,37.18,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1190.9700000000003

82,20:15-20:30,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,3.7,8.66,0,8.66,37.18,37.18,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1190.9700000000003

83,20:30-20:45,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,76.95,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1187.2700000000002

84,20:45-21:00,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,77.1,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1187.42

85,21:00-21:15,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1216.15

86,21:15-21:30,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1216.15

87,21:30-21:45,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1216.15

88,21:45-22:00,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1216.15

89,22:00-22:15,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1216.15

90,22:15-22:30,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,13.47,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1216.15

91,22:30-22:45,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,12.51,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1215.19

92,22:45-23:00,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.91,0,12.51,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1215.19

93,23:00-23:15,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,12.51,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1215.15

94,23:15-23:30,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,12.51,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1215.15

95,23:30-23:45,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,12.51,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1215.15

96,23:45-24:00,0,20.84,16.84,67.35,17.32,16.84,33.67,19.24,0,0,8.66,0,8.66,37.18,37.18,44.26,105.83,8.66,0,0,0,0,0,0,0,163.8,96.21,0,0.87,0,12.51,96.21,54.12,48.1,67.35,0,134.69,37.18,0,30.79,30.79,0,0,0,0,0,0,0,0,0,0,0,0,0,1215.15

