Column1,Block,NR/2025/26335/A/75947,NR/2025/26755/A/75790,GNARE/NR/2024/12/20/3668,NR/2025/27618/C,NR/2025/27600/C,NR/2025/27619/C,NR/2025/26233/A/76310,NR/2025/27525/C,NR/2025/26827/A/76297,NR/2025/27526/C,NR/2025/27527/C,NR/2025/27528/C,NR/2025/26822/A/76299,NR/2025/27529/C,NR/2025/27651/C,NR/2025/26082/A/76363,NR/2025/27532/C,NR/2025/27533/C,NR/2025/26005/A/75774,NR/2025/26336/A/75943,NR/2025/27558/C,NR/2025/27562/C,NR/2025/26265/A/76309,NR/2025/26202/A/76366,NR/2025/26191/A/75771,NR/2025/27597/C,NR/2025/27598/C,NR/2025/27613/C,NR/2025/26232/A/76311,NR/2025/26085/A/75796,NR/2025/26879/A/75945,NR/2025/26828/A/76296,NR/2025/27621/C,NR/2025/26785/A/75791,NR/2025/27615/C,NR/2025/25859/A/76206,NR/2025/26379/A/76204,NR/2025/26101/A/75944,NR/2025/27149/A/75928,NR/2025/26825/A/76298,NR/2025/26153/A/75792,NR/2025/26959/A/75930,NR/2025/26829/A/76295,NR/2025/26289/A/76308,NR/2025/26291/A/76307,NR/2025/25861/A/76208,NR/2025/25967/A/76205,NR/2025/25860/A/76207,NR/2025/26004/A/75773,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/8954,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/8068,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/2474,NR/2025/27593/C,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/4138,NR/2025/27649/C,NR/2025/27650/C,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/16/9317,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/6363,Total
40,09:45-10:00,151,10.63,46.42,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,6.76,0,0,0,0,164.24,0,48.3,0,0,26.61,26.61,10.63,11.95,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,1970.31

41,10:00-10:15,158,12.56,56.05,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,3.86,0,9.95,6.76,0,0,0,0,164.24,0,48.3,0,0,26.61,26.61,10.63,11.95,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,1989.83

42,10:15-10:30,165,12.56,58.88,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,3.86,0,9.95,6.76,0,0,0,0,164.24,0,48.3,0,0,26.61,26.61,10.63,11.95,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,1999.6599999999999

43,10:30-10:45,172,12.56,67.32,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,3.86,0,9.95,6.76,0,0,0,0,164.24,0,48.3,0,0,26.61,26.61,10.63,11.95,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2015.1

44,10:45-11:00,179,12.56,68.14,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,3.86,0,9.95,6.76,0,0,0,0,164.24,0,48.3,0,0,26.61,26.61,10.63,11.95,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2022.9199999999996

45,11:00-11:15,186,13.53,68.58,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,8.69,0,0,0,0,164.24,0,48.3,0,0,26.61,26.61,10.63,11.85,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2032.1999999999998

46,11:15-11:30,189,13.53,70.16,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,8.69,0,0,0,0,164.24,0,48.3,0,0,26.61,26.61,10.63,11.85,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2036.7799999999997

47,11:30-11:45,193,13.53,71.18,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,8.69,0,0,0,0,164.24,0,48.3,0,0,26.61,26.61,10.63,11.85,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2041.7999999999997

48,11:45-12:00,193,13.53,71.89,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,8.69,0,0,0,0,164.24,0,48.3,0,0,26.61,26.61,10.63,11.85,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2042.5099999999998

49,12:00-12:15,193,13.53,77.81,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,8.69,0,0,0,0,164.24,0,48.3,0,0,26.7,26.7,10.63,11.68,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2048.44

50,12:15-12:30,193,13.53,79.07,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,8.69,0,0,0,0,164.24,0,48.3,0,0,26.7,26.7,10.63,11.68,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2049.7000000000003

51,12:30-12:45,196,13.53,75.88,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,8.69,0,0,0,0,164.24,0,48.3,0,0,26.7,26.7,10.63,11.68,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2049.51

52,12:45-13:00,196,13.53,75.74,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,8.69,0,0,0,0,164.24,0,48.3,0,0,26.7,26.7,10.63,11.68,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2049.3700000000003

53,13:00-13:15,196,13.53,76.1,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,8.69,0,0,0,0,164.24,0,48.3,0,0,26.7,26.7,10.63,11.68,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2049.73

54,13:15-13:30,196,13.53,75.71,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,8.69,0,0,0,0,164.24,0,48.3,0,0,26.7,26.7,10.63,11.68,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2049.34

55,13:30-13:45,196,13.53,74.92,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,8.69,0,0,0,0,164.24,0,48.3,0,0,26.7,26.7,10.63,11.68,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2048.55

56,13:45-14:00,189,13.53,73.48,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,47.34,53.14,52.85,48.3,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0.97,0,0,37.33,0,43.91,96.61,0,0,2.9,0,9.95,8.69,0,0,0,0,164.24,0,48.3,0,0,26.7,26.7,10.63,11.68,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2040.1100000000001

57,14:00-14:15,182,11.59,76.16,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,0,53.14,62.8,39.61,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0,0,0,37.33,0,43.91,96.61,0,33.81,2.9,0,0,9.66,0,0,0,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,11.68,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2122.73

58,14:15-14:30,175,11.59,73.61,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,0,53.14,62.8,39.61,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0,0,0,37.33,0,43.91,96.61,0,33.81,2.9,0,0,9.66,0,0,0,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,11.68,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2113.1800000000007

59,14:30-14:45,168,11.59,70.09,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,0,53.14,62.8,39.61,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0,0,0,37.33,0,43.91,96.61,0,33.81,2.9,0,0,9.66,0,0,0,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,11.68,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2102.6600000000003

60,14:45-15:00,161,11.59,67.49,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,0,53.14,62.8,39.61,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0,0,0,37.33,0,43.91,96.61,0,33.81,2.9,0,0,9.66,0,0,0,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,11.68,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2093.06

61,15:00-15:15,144,8.69,63.99,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,0,53.14,62.8,39.61,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0,0,0,37.33,0,43.91,96.61,0,33.81,1.93,0,0,11.59,0,0,0,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,11.85,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2070.7900000000004

62,15:15-15:30,130,8.69,60.53,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,0,53.14,62.8,39.61,0,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0,0,0,37.33,0,43.91,96.61,0,33.81,1.93,0,0,11.59,0,0,0,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,11.85,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2053.33

63,15:30-15:45,123,8.69,53.6,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,0,53.14,62.8,39.61,111.1,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0,0,0,37.33,0,43.91,96.61,0,33.81,1.93,0,0,11.59,0,0,0,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,11.85,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2150.5000000000005

64,15:45-16:00,111,8.69,49.6,43.91,96.61,14.64,0,96.61,0,48.3,24.15,4.83,0,4.83,0,0,53.14,62.8,39.61,111.1,48.3,164.24,0,0,0,108.55,62.8,14.64,0,0,0,0,37.33,0,43.91,96.61,0,33.81,1.93,0,0,11.59,0,0,0,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,11.85,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2134.4999999999995

65,16:00-16:15,98,5.8,38.97,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,62.8,0,4.83,0.82,0,14.64,0,53.14,0,96.61,164.24,33.81,1.93,43.91,62.8,11.59,37.33,48.3,24.15,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,12.21,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2165.19

66,16:15-16:30,86,5.8,34.55,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,62.8,0,4.83,0.82,0,14.64,0,53.14,0,96.61,164.24,33.81,1.93,43.91,62.8,11.59,37.33,48.3,24.15,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,12.21,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2148.77

67,16:30-16:45,67,5.8,24.04,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,62.8,0,4.83,0.82,0,14.64,0,53.14,0,96.61,164.24,33.81,1.93,43.91,62.8,11.59,37.33,48.3,24.15,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,12.21,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2119.2599999999998

68,16:45-17:00,56,5.8,22.6,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,62.8,0,4.83,0.82,0,14.64,0,53.14,0,96.61,164.24,33.81,1.93,43.91,62.8,11.59,37.33,48.3,24.15,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,12.21,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2106.82

69,17:00-17:15,46,0,20.43,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,62.8,0,4.83,0.68,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,43.91,62.8,11.59,37.33,48.3,24.15,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,12.66,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2069.8300000000004

70,17:15-17:30,39,0,17.58,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,62.8,0,4.83,0.68,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,43.91,62.8,11.59,37.33,48.3,24.15,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,12.66,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2059.98

71,17:30-17:45,25,0,12.94,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,62.8,0,4.83,0.68,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,43.91,62.8,11.59,37.33,48.3,24.15,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,12.66,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2041.3399999999997

72,17:45-18:00,18,0,8.76,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,108.55,62.8,0,4.83,0.68,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,43.91,62.8,11.59,37.33,48.3,24.15,111.1,164.24,0,48.3,0,0,26.7,26.7,10.63,12.66,28.98,13.53,17.56,0,0,0,0,0,0,0,14.49,82.12,164.24,0,20.53,0,2030.1599999999999

73,18:00-18:15,7,0,4.14,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.68,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,43.91,62.8,11.59,37.33,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,26.7,26.7,10.63,13.36,28.98,13.53,17.56,82.12,67.63,0,0,0,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2230.87

74,18:15-18:30,4,0,2.64,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.68,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,43.91,62.8,11.59,37.33,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,26.7,26.7,10.63,13.36,28.98,13.53,17.56,82.12,67.63,0,0,0,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2226.37

75,18:30-18:45,1,0,1.19,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.68,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.55,62.8,11.59,25.13,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,26.7,26.7,10.63,13.36,28.98,13.53,17.56,82.12,67.63,0,0,0,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2195.3599999999997

76,18:45-19:00,0,0,0.48,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.68,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.55,62.8,11.59,25.13,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,26.7,26.7,10.63,13.36,28.98,13.53,17.56,82.12,67.63,0,0,0,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2193.6499999999996

77,19:00-19:15,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.72,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.55,62.8,11.59,25.13,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,26.7,26.7,10.63,14.25,28.98,13.53,26.08,82.12,67.63,0,0,0,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2202.62

78,19:15-19:30,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.72,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.55,62.8,11.59,25.13,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,26.7,26.7,10.63,14.25,28.98,13.53,26.08,82.12,67.63,0,0,0,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2202.62

79,19:30-19:45,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.72,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.55,62.8,11.59,25.13,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29,25.55,10.63,13.23,28.98,13.53,26.08,82.12,67.63,0,0,0,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2202.75

80,19:45-20:00,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.72,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.55,62.8,11.59,25.13,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29,25.55,10.63,13.23,28.98,13.53,26.08,82.12,67.63,0,0,0,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2202.75

81,20:00-20:15,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.55,62.8,9.66,25.13,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29.5,24.6,10.63,13.68,28.98,13.53,26.08,62.8,67.63,0,0,0,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2181.55

82,20:15-20:30,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.55,62.8,9.66,25.13,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29.5,24.6,10.63,13.68,28.98,13.53,26.08,62.8,67.63,0,0,0,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2181.55

83,20:30-20:45,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.01,62.8,9.66,24.66,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29.5,24.6,10.63,13.68,28.98,13.53,26.08,62.8,67.63,0,0,0,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2180.54

84,20:45-21:00,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,0,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.01,62.8,9.66,24.66,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29.5,24.6,10.63,13.68,28.98,13.53,26.08,62.8,67.63,0,0,0,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2180.54

85,21:00-21:15,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.01,62.8,9.66,24.66,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29.5,29.5,10.63,13.68,28.98,13.53,26.08,62.8,67.63,0,27.8,88.61,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2379.1400000000003

86,21:15-21:30,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.01,62.8,9.66,24.66,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29.5,29.5,10.63,13.68,28.98,13.53,26.08,62.8,67.63,0,27.8,88.61,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2379.1400000000003

87,21:30-21:45,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.01,62.8,9.66,24.66,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29.5,29.5,10.63,13.68,28.98,13.53,26.08,62.8,67.63,0,27.8,88.61,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2379.1400000000003

88,21:45-22:00,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,33.81,1.93,29.01,62.8,9.66,24.66,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29.5,29.5,10.63,13.68,28.98,13.53,26.08,62.8,67.63,0,27.8,88.61,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2379.1400000000003

89,22:00-22:15,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,33.81,2.9,29.01,62.8,7.73,24.66,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29.5,29.5,10.63,13.5,28.98,13.53,26.08,62.8,67.63,0,27.8,88.61,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2378

90,22:15-22:30,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,33.81,2.9,29.01,62.8,7.73,24.66,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29.5,29.5,10.63,13.5,28.98,13.53,26.08,62.8,67.63,0,27.8,88.61,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2378

91,22:30-22:45,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,33.81,2.9,29.01,62.8,7.73,24.66,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29.5,29.5,10.63,13.5,28.98,13.53,26.08,62.8,67.63,0,27.8,88.61,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2378

92,22:45-23:00,0,0,0,0,0,0,4.83,0,43.91,0,0,0,14.64,0,77.29,47.34,0,0,48.3,111.1,0,0,96.61,96.61,48.3,162.84,0,0,4.83,0.77,33.81,14.64,0,0,0,96.61,164.24,33.81,2.9,29.01,62.8,7.73,24.66,48.3,24.15,111.1,164.24,0,48.3,28.98,5.8,29.5,29.5,10.63,13.5,28.98,13.53,26.08,62.8,67.63,0,27.8,88.61,0,5.8,14.49,82.12,164.24,19.32,20.53,14.49,2378

