Column1,Time,GNA/NR/2024/11/01/4503,GNA/WR/2024/11/01/4200,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2024/10/15/7089,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,WR/01102023/31032046/L_NR_2020_05,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,GNA/NR/2024/11/01/1868,NR/30092023/26122029/SH-06,NR/01102023/31052040/LT-31,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2024/11/01/5428,NR/01102023/30042040/GNA_LT_36,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_07,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/9042,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/11/01/9061,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/3646,NR/01102023/05012040/L_NR_2020_02,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,SR/01102023/07102043/L_NR_2018_61
79,19:30-19:45,8.64,50,2.38,150,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,36.5,0,1.76,86.63,0,17.29,26.24,1.39,260.75,114.83,0,36.5,134.33,0,36.5,0,1.66,0,0,0,0,0,0,13.01

80,19:45-20:00,8.64,50,2.38,150,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,36.5,0,1.76,86.63,0,17.29,26.24,1.39,260.75,114.83,0,36.5,134.33,0,36.5,0,1.66,0,0,0,0,0,0,12.41

81,20:00-20:15,8.64,50,2.38,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,34.57,0,1.6,86.63,0,17.29,26.24,1.39,260.75,114.83,0,34.57,134.33,0,34.57,0,1.66,0,0,0,0,0,0,11.81

82,20:15-20:30,8.64,50,2.38,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,34.57,0,1.6,86.63,0,17.29,26.24,1.39,260.75,114.83,0,34.57,134.33,0,34.57,0,1.66,0,0,0,0,0,0,11

83,20:30-20:45,8.64,50,2.38,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,34.57,0,1.6,67.74,0,17.29,26.24,1.39,205.09,70.02,0,34.57,134.33,0,34.57,0,1.66,0,0,0,0,0,0,10.2

84,20:45-21:00,8.64,50,2.38,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,34.57,0,1.6,67.74,0,17.29,26.24,1.39,205.09,70.02,0,34.57,134.33,0,34.57,0,1.66,0,0,0,0,0,0,9

85,21:00-21:15,8.64,50,2.38,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,34.57,0,1.6,57.34,0,17.29,26.24,1.32,202.3,70.02,0,34.57,115.25,0,34.57,0,1.66,0,0,0,0,0,0,8.8

86,21:15-21:30,8.64,50,2.38,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,34.57,0,1.6,57.34,0,17.29,26.24,1.32,202.3,70.02,0,34.57,115.25,0,34.57,0,1.66,0,0,0,0,0,0,8.6

87,21:30-21:45,8.64,50,2.38,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,34.57,0,1.6,57.34,0,17.29,26.24,1.32,202.3,70.02,0,34.57,115.25,0,34.57,0,1.66,0,0,0,0,0,0,7.4

88,21:45-22:00,8.64,50,2.38,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,92.85,34.57,0,1.6,57.34,0,17.29,26.24,1.32,188.85,70.02,0,34.57,115.25,0,34.57,0,1.66,0,0,0,0,0,0,7.4

89,22:00-22:15,8.64,50,2.3,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,31.69,0,1.53,57.34,0,17.29,26.24,1.24,197.5,70.02,0,31.69,115.25,142.69,31.69,47.56,1.66,0,0,0,0,0,0,7.4

90,22:15-22:30,8.64,50,2.3,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,31.69,0,1.53,57.34,0,17.29,26.24,1.24,197.5,70.02,0,31.69,115.25,142.69,31.69,47.56,1.66,0,0,0,0,0,0,7.4

91,22:30-22:45,8.64,50,2.3,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,100.05,31.69,0,1.53,57.34,0,17.29,26.24,1.24,178.29,70.02,0,31.69,115.25,142.69,31.69,47.56,1.66,0,0,0,0,0,0,7.4

92,22:45-23:00,8.64,50,2.3,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,84.52,31.69,0,1.53,57.34,0,17.29,26.24,1.24,178.29,70.02,0,31.69,115.25,142.69,31.69,47.56,1.66,0,0,0,0,0,0,7.4

93,23:00-23:15,8.64,50,2.3,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,84.52,31.69,0,1.53,57.34,0,17.29,26.24,1.24,178.29,70.02,0,31.69,115.25,142.69,31.69,47.56,1.66,0,0,0,0,0,0,7.4

94,23:15-23:30,8.64,50,2.3,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,84.52,31.69,0,1.53,57.34,0,17.29,26.24,1.24,178.29,70.02,0,31.69,115.25,142.69,31.69,47.56,1.66,0,0,0,0,0,0,7.4

95,23:30-23:45,8.64,50,2.3,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,71.07,31.69,0,1.53,57.34,0,17.29,26.24,1.24,178.29,70.02,0,31.69,115.25,142.69,31.69,47.56,1.66,0,0,0,0,0,0,7.4

96,23:45-24:00,8.64,50,2.3,200,0,0,0,19.99,13.34,6.67,0,0,0,6.67,6.67,13.33,8.64,0,0,60.51,31.69,0,1.53,57.34,0,17.29,26.24,1.24,178.29,70.02,0,31.69,115.25,142.69,31.69,47.56,1.66,0,0,0,0,0,0,7.4

