Column1,Block,NR/2025/24883/C,NR/2024/24434/A/49267,NR/2025/24885/C,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/17/2132,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/17/8178,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/17/3869,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/3925,GNA/WR/2025/01/01/8625,NR/2024/24508/A/49539,WR/2024/25501/A/49525,NR/30092023/31122025/SH-07,NR/2025/24876/C,NR/2024/24614/A/49540,GNA/NR/2025/01/01/3945,NR/2024/24435/A/49266,NR/2024/24566/A/49251,NR/2024/24507/A/49538,NR/30092023/26122029/SH-06,NR/2025/24887/C,NR/2025/24884/C,GNA/NR/2025/01/01/6528,NR/2025/24886/C,NER/2024/2820/A/49517,NR/2024/24418/A/49249,SR/2024/15456/A/49268,GNA/NR/2025/01/17/6226,NR/2025/24875/C,Total
86,21:15-21:30,0,0,0,30,50,0,19.16,0,1.37,47.9,28.74,26.82,34.49,34.49,0,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,0,0,14.37,0,0,0.57,268.24,0,0,862.9

87,21:30-21:45,0,0,0,30,50,0,19.16,0,1.37,47.9,28.74,26.82,34.49,34.49,0,47.9,20.12,47.9,50,14.37,38.32,0,0,0,43.11,16.29,0,28.74,0,0,0,14.37,0,0,0.57,268.24,0,0,862.9

88,21:45-22:00,0,0,0,30,50,0,19.16,0,1.37,47.9,28.74,26.82,34.49,34.49,0,47.9,20.12,47.9,50,14.37,38.32,0,0,0,34.49,16.29,0,28.74,0,0,0,14.37,0,0,0.57,268.24,0,0,854.28

89,22:00-22:15,0,0,0,30,50,0,19.16,0,1.47,47.9,28.74,26.82,33.53,33.53,0,47.9,20.12,47.9,0,14.37,38.32,0,0,0,33.53,16.29,0,28.74,0,0,0,8.62,0,0,0.48,287.4,0,0,814.8199999999999

90,22:15-22:30,0,0,0,30,50,0,19.16,0,1.47,47.9,28.74,26.82,33.53,33.53,0,47.9,20.12,47.9,0,14.37,38.32,0,0,0,33.53,16.29,0,28.74,0,0,0,8.62,0,0,0.48,287.4,0,0,814.8199999999999

91,22:30-22:45,0,0,0,30,50,0,19.16,0,1.47,47.9,28.74,26.82,33.53,33.53,0,47.9,20.12,47.9,0,14.37,38.32,0,0,0,33.53,16.29,0,28.74,0,0,0,8.62,0,0,0.48,287.4,0,0,814.8199999999999

92,22:45-23:00,0,0,0,30,50,0,19.16,0,1.47,47.9,28.74,26.82,33.53,33.53,0,47.9,20.12,47.9,0,14.37,38.32,0,0,0,33.53,16.29,0,28.74,0,0,0,8.62,0,0,0.48,287.4,0,0,814.8199999999999

93,23:00-23:15,0,0,0,30,50,0,19.16,0,1.47,47.9,28.74,26.82,26.82,26.82,0,47.9,20.12,47.9,0,14.37,38.32,0,0,0,26.82,16.29,0,28.74,0,0,0,8.62,0,0,0.48,287.4,0,0,794.69

94,23:15-23:30,0,0,0,30,50,0,19.16,0,1.47,47.9,28.74,26.82,26.82,26.82,0,47.9,20.12,47.9,0,14.37,38.32,0,0,0,26.82,16.29,0,28.74,0,0,0,8.62,0,0,0.48,287.4,0,0,794.69

95,23:30-23:45,0,0,0,30,50,0,19.16,0,1.47,47.9,28.74,26.82,26.82,26.82,0,47.9,20.12,47.9,0,14.37,38.32,0,0,0,26.82,16.29,0,28.74,0,0,0,8.62,0,0,0.48,287.4,0,0,794.69

96,23:45-24:00,0,0,0,30,50,0,19.16,0,1.47,47.9,28.74,26.82,26.82,26.82,0,47.9,20.12,47.9,0,14.37,38.32,0,0,0,26.82,16.29,0,28.74,0,0,0,8.62,0,0,0.48,287.4,0,0,794.69

