Column1,Block,NR/2024/23038/A/38614,NR/2024/22874/A/38905,NR/2024/22848/A/38877,NR/2024/23307/C,NR/2024/22754/A/38894,NR/2024/23217/A/38670,NR/2024/22820/A/38618,NR/2024/21658/A/38674,NR/2024/23119/A/38908,GNA/NR/2024/09/01/9821,NR/2024/23121/A/38907,NR/2024/23299/C,NR/2024/23304/C,NR/2024/23311/C,NR/2024/23122/A/38909,NR/2024/22835/A/38945,NR/2024/23280/C,GNA/NR/2024/09/01/8090,NR/2024/22803/A/38904,NR/2024/23298/C,NR/2024/23308/C,NR/2024/23118/A/38910,NR/2024/23213/A/38678,NR/2024/23214/A/38679,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/6566,NR/30092023/26122029/SH-06,GNA/NR/2024/09/25/9437,GNA/NR/2024/09/25/7488,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7908,GNA/NR/2024/09/16/2535,GNA/NR/2024/09/01/7119,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23305/C,Total
82,20:15-20:30,3.87,48.38,84.36,62.9,0,9.68,4.84,0.77,37.38,0,37.38,163.11,42,16.33,37.38,90.96,241.92,0,96.77,0,1.94,12.46,0,0,32,24.19,32,62.9,193.54,96.77,2.42,21.77,0,24.78,9.98,33.87,1526.6500000000003

83,20:30-20:45,3.87,48.38,84.36,62.9,0,9.68,4.84,0.77,37.38,0,37.38,163.11,42,16.67,37.38,90.96,241.92,0,96.77,0,1.94,12.46,0,0,32,24.19,32,62.9,193.54,96.77,2.42,21.77,0,24.78,9.98,33.87,1526.9900000000002

84,20:45-21:00,3.87,48.38,84.36,62.9,0,8.71,4.84,0.77,37.38,0,37.38,163.11,42,16.17,37.38,90.96,241.92,0,96.77,0,2.9,12.46,0,0,32,24.19,32,62.9,193.54,96.77,2.42,21.77,0,24.78,9.98,33.87,1526.4800000000002

85,21:00-21:15,3.87,48.38,84.36,62.9,0,8.71,4.84,0.77,26.39,0,26.39,163.11,42,15.74,26.39,90.96,241.92,0,96.77,0,2.9,8.8,0,0,32,24.19,32,62.9,193.54,96.77,2.42,21.77,0,17.5,9.88,33.87,1482.04

86,21:15-21:30,3.87,48.38,84.36,62.9,0,8.71,4.84,0.77,26.39,0,26.39,163.11,42,15.65,26.39,90.96,241.92,0,96.77,0,2.9,8.8,0,0,32,24.19,32,62.9,193.54,96.77,2.42,21.77,0,17.5,9.88,33.87,1481.95

87,21:30-21:45,3.87,48.38,84.36,62.9,0,8.71,4.84,0.77,26.39,0,26.39,163.11,42,17.86,26.39,90.96,241.92,0,96.77,0,2.9,8.8,0,0,16.67,24.19,16.67,62.9,193.54,96.77,2.42,21.77,0,17.5,9.88,33.87,1453.5

88,21:45-22:00,3.87,48.38,84.36,62.9,0,8.71,4.84,0.77,26.39,0,26.39,163.11,42,19.73,26.39,90.96,241.92,0,96.77,0,2.9,8.8,0,0,16.67,24.19,16.67,62.9,193.54,96.77,2.42,21.77,0,17.5,9.88,33.87,1455.37

89,22:00-22:15,3.87,48.38,84.36,60.97,54.43,8.71,4.84,0.77,26.39,0,26.39,163.11,42,23.04,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,16.67,24.19,16.67,62.9,193.54,96.77,2.42,21.77,163.3,17.5,9.79,33.87,1672.46

90,22:15-22:30,3.87,48.38,84.36,60.97,54.43,8.71,4.84,0.77,26.39,0,26.39,163.11,42,21,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,16.67,24.19,16.67,62.9,193.54,96.77,2.42,21.77,163.3,17.5,9.79,33.87,1670.42

91,22:30-22:45,3.87,48.38,84.36,60.97,54.43,8.71,4.84,0.77,26.39,0,26.39,163.11,42,19.97,26.39,90.96,241.92,0,96.77,0,0.97,8.8,0,0,16.67,24.19,21.47,62.9,193.54,96.77,2.42,21.77,163.3,17.5,9.79,33.87,1674.19

92,22:45-23:00,3.87,48.38,84.36,60.97,54.43,7.74,4.84,0.77,26.39,0,26.39,163.11,42,18.33,26.39,90.96,241.92,0,96.77,0,1.94,8.8,0,0,16.67,24.19,21.47,62.9,193.54,96.77,2.42,21.77,163.3,17.5,9.79,33.87,1672.55

93,23:00-23:15,3.87,48.38,84.36,60.97,54.43,7.74,4.84,0.77,26.39,0,26.39,163.11,42,18.36,26.39,94.25,241.92,0,96.77,0,1.94,8.8,0,0,21.47,24.19,21.47,62.9,193.54,96.77,2.42,21.77,163.3,17.5,9.7,33.87,1680.58

94,23:15-23:30,3.87,48.38,84.36,60.97,54.43,7.74,4.84,0.77,26.39,0,26.39,163.11,42,18.44,26.39,94.25,241.92,0,96.77,0,1.94,8.8,0,0,21.47,24.19,21.47,62.9,193.54,96.77,2.42,21.77,163.3,17.5,9.7,33.87,1680.66

95,23:30-23:45,3.87,48.38,84.36,60.97,54.43,7.74,4.84,0.77,26.39,0,26.39,163.11,42,19.54,26.39,94.25,241.92,0,96.77,0,1.94,8.8,0,0,21.47,24.19,21.47,62.9,193.54,96.77,2.42,21.77,163.3,17.5,9.7,33.87,1681.76

96,23:45-24:00,3.87,48.38,84.36,60.97,54.43,7.74,4.84,0.77,26.39,0,26.39,163.11,42,18.68,26.39,94.25,241.92,0,96.77,0,1.94,8.8,0,0,21.47,24.19,21.47,62.9,193.54,96.77,2.42,21.77,163.3,17.5,9.7,33.87,1680.8999999999999

