Time,Block,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/26122029/SH-06,NR/2024/20777/A/24520,NR/2024/20050/A/24783,NR/01102023/02012046/L_NR_2021_17,NR/2024/19588/A/24579,NR/2024/20554/A/24458,NR/2024/21285/C,NR/01062024/30062024/R2,NR/2024/20130/A/24572,NR/2024/19642/A/24811,NR/2024/20037/A/24516,NR/2024/20558/A/24818,NR/2024/19757/A/24825,NR/01062024/30062024/APPCPL/180/F25/GNA/12300,NR/30062024/30062024/IEX_240629_01348_1,NR/2024/20537/A/24704,NR/2024/19919/A/24797,NR/2024/19640/A/24810,NR/20062024/30062024/1000011400-GOHP-BRPL(DISCOM),NR/2024/19966/A/24527,NR/2024/19683/A/24484,NR/01062024/30062024/1000011017-PPGCL-BRPL,NR/01062024/30062024/NDMC/D-46/EE(Power)/2024,NR/2024/20515/A/24567,NR/2024/20513/A/24568,NR/2024/21258/C,NR/2024/20540/A/24290,NR/2024/20557/A/24819,NR/2024/20141/A/24552,NR/16062024/30062024/1000011196-KWHPS-BRPL(DISCOM),NR/2024/20599/A/24518,NR/2024/19791/A/24800,NR/2024/19355/A/24709,NR/2024/20598/A/24519,NR/2024/20572/A/24781,NR/2024/20144/A/24557,NR/2024/20597/A/24775,NR/30092023/31122025/SH-07,NR/2024/19475/A/24703,NR/2024/19637/A/24537,NR/2024/19432/A/24831,NR/2024/20553/A/24465,NR/01062024/30062024/1000011034-ACBL-BRPL,NR/01062024/30062024/IIPL/(JPL(TM)-BRPL)/BRPLT-169/24-25/1,NR/2024/20560/A/24817,NR/2024/20524/A/24743,NR/2024/19779/A/24461,NR/2024/20211/A/24558,NR/01062024/30062024/IEPL01,NR/01102023/23072042/L_NR_2012_04,NR/01062024/30062024/8588/OAN/GMRETL/GPHHPPL-BRPL,NR/2024/20516/A/24566,NR/2024/20142/A/24556,NR/2024/19978/A/24799,NR/2024/21266/C,NR/01062024/30062024/JPL-BRPL(PTC)GNA,NR/2024/21265/C,NR/2024/20090/A/24467,NR/2024/19760/A/24514,NR/2024/20041/A/24776,NR/01062024/30062024/1000011195-SIEL-BRPL(DISCOM),NR/2024/20048/A/24784,NR/2024/20212/A/24561,NR/2024/19988/A/24515,NR/2024/20109/A/24707,NR/2024/19918/A/24798,NR/2024/20552/A/24466,NR/2024/19699/A/24828,NR/01102023/14082046/L_NR_2021_16,Total
26,06:15-06:30,0.000000,32.000000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,4.820000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.330000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.530000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1644.96

27,06:30-06:45,0.000000,32.000000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,4.820000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.330000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.530000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1644.96

28,06:45-07:00,0.000000,32.000000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.960000,4.820000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.330000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.530000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1644.96

29,07:00-07:15,0.000000,32.000000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,2.890000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.330000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.680000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1642.22

30,07:15-07:30,0.000000,32.000000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,2.890000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.330000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.680000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1642.22

31,07:30-07:45,0.000000,26.910000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,2.890000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.680000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1637.71

32,07:45:08:00,0.000000,26.910000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,2.890000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.680000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1637.71

33,08:00-08:15,0.000000,26.910000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,3.860000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.960000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1834.58

34,08:15-08:30,0.000000,26.910000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,73.320000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,3.860000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.960000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1834.58

35,08:30-08:45,0.000000,26.910000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,3.860000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.960000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1882.8

36,08:45:09:00,0.000000,26.910000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,67.530000,0.000000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,3.860000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.960000,1.590000,38.590000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1882.8

37,09:00:09:15,0.000000,26.910000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,67.530000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,3.860000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1882.8

38,09:15-09:30,0.000000,26.910000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,67.530000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,3.860000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1882.8

39,09:30-09:45,0.000000,26.910000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,67.530000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,3.860000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1882.8

40,09:45-10:00,0.000000,26.910000,0.000000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,67.530000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,3.860000,10.960000,0.350000,0.000000,0.000000,64.710000,0.000000,0.000000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,24.120000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1882.8

41,10:00-10:15,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1907.88

42,10:15-10:30,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1907.88

43,10:30-10:45,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1907.88

44,10:45-11:00,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1907.88

45,11:00-11:15,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1907.88

46,11:15-11:30,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1907.88

47,11:30-11:45,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1907.88

48,11:45-12:00,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,0.000000,0.000000,48.240000,0,1907.88

49,12:00-12:15,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1921.39

50,12:15-12:30,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1921.39

51,12:30-12:45,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1921.39

52,12:45-13:00,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1921.39

53,13:00-13:15,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1921.39

54,13:15-13:30,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1921.39

55,13:30-13:45,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1921.39

56,13:45-14:00,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,244.220000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1921.39

57,14:00-14:15,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1725.77

58,14:15-14:30,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1725.77

59,14:30-14:45,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1725.77

60,14:45-15:00,0.000000,26.910000,67.530000,0.000000,0,66.750000,0.000000,0.000000,0.000000,0.480000,11.720000,48.240000,32.890000,48.600000,0.000000,0.000000,57.880000,121.540000,90.680000,0.000000,38.590000,1.930000,24.120000,21.750000,0.880000,0.680000,0.000000,4.820000,10.960000,0.350000,0.000000,24.120000,64.710000,0.000000,24.120000,32.890000,0.880000,0.000000,26.910000,192.940000,0.000000,24.120000,0.000000,0.000000,0.000000,32.890000,0.000000,0.960000,1.590000,0.000000,0.000000,0.000000,0.970000,0.520000,84.100000,24.120000,0.000000,168.580000,1.930000,0.000000,0.000000,0.000000,0.000000,0.610000,96.470000,183.290000,13.510000,0.000000,48.240000,0,1725.77

