Time,Block,NR/2024/20540/A/21967,NR/2024/20597/A/22246,NR/2024/20773/C,NR/2024/20558/A/22566,NR/2024/20109/A/22515,NR/2024/19588/A/22227,NR/2024/20050/A/22252,NR/2024/20516/A/22223,NR/2024/19791/A/22527,NR/2024/19432/A/22575,NR/2024/20524/A/22488,NR/2024/20513/A/22224,NR/2024/20560/A/22565,NR/2024/19683/A/22067,NR/2024/19918/A/22526,NR/2024/19640/A/22627,NR/2024/19760/A/22169,NR/2024/20557/A/22567,NR/2024/20211/A/22219,NR/2024/20811/C,NR/2024/20130/A/22467,NR/2024/20144/A/22220,NR/2024/20048/A/22254,NR/2024/19779/A/22028,NR/2024/20554/A/22146,NR/2024/20552/A/22047,NR/2024/20142/A/22221,NR/2024/20041/A/22257,NR/2024/20037/A/22166,NR/2024/20212/A/22215,NR/2024/19699/A/22573,NR/2024/19637/A/22185,NR/2024/20772/C,NR/2024/20537/A/22514,NR/2024/20806/C,NR/2024/20812/C,NR/2024/20572/A/22564,NR/2024/20827/C,NR/2024/19475/A/22472,NR/2024/20553/A/22046,NR/2024/20599/A/22164,NR/2024/19919/A/22525,NR/2024/20785/C,NR/2024/19642/A/22626,NR/2024/19988/A/22168,NR/2024/19355/A/22516,NR/2024/19966/A/22195,NR/2024/20090/A/22050,NR/2024/20515/A/22225,NR/2024/20141/A/22222,NR/2024/19757/A/22571,NR/2024/20598/A/22163,NR/2024/20814/C,NR/2024/20797/C,Total
38,09:15-09:30,9.660000,0.000000,4.54,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,0.000000,121.710000,0.000000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,0.000000,96.600000,0.000000,2063

39,09:30-09:45,9.660000,0.000000,4.69,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,0.000000,121.710000,0.000000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,0.000000,96.600000,0.000000,2063.15

40,09:45-10:00,9.660000,0.000000,4.78,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,0.000000,121.710000,0.000000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,0.000000,96.600000,0.000000,2063.24

41,10:00-10:15,11.590000,24.150000,5.07,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2205.53

42,10:15-10:30,11.590000,24.150000,5.22,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2205.68

43,10:30-10:45,11.590000,24.150000,5.41,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2205.87

44,10:45-11:00,11.590000,24.150000,5.55,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2206.01

45,11:00-11:15,11.590000,24.150000,5.75,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2206.21

46,11:15-11:30,11.590000,24.150000,5.94,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2206.4

47,11:30-11:45,11.590000,24.150000,6.28,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2206.74

48,11:45-12:00,11.590000,24.150000,6.47,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,0.000000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2206.93

49,12:00-12:15,11.590000,24.150000,6.76,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2220.74

50,12:15-12:30,11.590000,24.150000,7.05,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2221.03

51,12:30-12:45,11.590000,24.150000,7.2,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2221.18

52,12:45-13:00,11.590000,24.150000,7.34,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2221.32

53,13:00-13:15,11.590000,24.150000,7.53,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2221.51

54,13:15-13:30,11.590000,24.150000,7.92,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2221.9

55,13:30-13:45,11.590000,24.150000,7.78,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2221.76

56,13:45-14:00,11.590000,24.150000,7.34,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,243.200000,24.150000,96.600000,0.000000,2221.32

57,14:00-14:15,13.520000,24.150000,7.2,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,48.670000,24.150000,96.600000,0.000000,2028.58

58,14:15-14:30,13.520000,24.150000,6.96,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,48.670000,24.150000,96.600000,0.000000,2028.34

59,14:30-14:45,13.520000,24.150000,6.81,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,48.670000,24.150000,96.600000,0.000000,2028.19

60,14:45-15:00,13.520000,24.150000,6.57,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,48.670000,24.150000,96.600000,0.000000,2027.95

61,15:00-15:15,13.520000,24.150000,6.47,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,48.670000,24.150000,96.600000,0.000000,2027.85

62,15:15-15:30,13.520000,24.150000,6.33,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,48.670000,24.150000,96.600000,0.000000,2027.71

63,15:30-15:45,13.520000,24.150000,5.99,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,48.670000,9.340000,96.600000,0.000000,2012.56

64,15:45-16:00,13.520000,24.150000,5.6,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,48.300000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.970000,0.000000,0.000000,0.520000,48.300000,72.450000,0.610000,48.300000,24.150000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,38.640000,1.930000,0.880000,0.350000,48.670000,9.340000,96.600000,0.000000,2012.17

65,16:00-16:15,12.560000,24.150000,4.73,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,0.000000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.820000,0.000000,0.000000,0.520000,0.000000,72.450000,0.610000,48.300000,0.000000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,0.000000,1.930000,0.880000,0.350000,48.670000,9.340000,96.600000,0.000000,1850.8

66,16:15-16:30,12.560000,24.150000,4.49,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,0.000000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.820000,0.000000,0.000000,0.520000,0.000000,72.450000,0.610000,48.300000,0.000000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,0.000000,1.930000,0.880000,0.350000,48.670000,9.340000,96.600000,0.000000,1850.56

67,16:30-16:45,12.560000,24.150000,3.67,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,0.000000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.820000,0.000000,0.000000,0.520000,0.000000,72.450000,0.610000,48.300000,0.000000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,0.000000,1.930000,0.880000,0.350000,48.670000,9.340000,96.600000,0.000000,1849.74

68,16:45-17:00,12.560000,24.150000,3.4,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,0.000000,10.970000,1.590000,0.000000,0.480000,0.880000,0.000000,0.820000,0.000000,0.000000,0.520000,0.000000,72.450000,0.610000,48.300000,0.000000,168.760000,57.960000,0.000000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,0.000000,1.930000,0.880000,0.350000,48.670000,9.340000,96.600000,0.000000,1849.47

69,17:00-17:15,12.560000,0.000000,2.86,32.930000,183.540000,66.840000,0.000000,0.980000,64.800000,24.150000,0.000000,0.680000,32.930000,1.930000,13.520000,90.800000,0.000000,10.970000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,0.000000,0.520000,0.000000,72.450000,0.610000,48.300000,0.000000,168.760000,57.960000,96.600000,130.600000,32.930000,0.000000,193.200000,0.000000,24.150000,121.710000,67.620000,11.740000,96.600000,96.600000,0.000000,1.930000,0.880000,0.350000,48.670000,0.000000,96.600000,0.000000,1960.29

70,17:15-17:30,12.560000,0.000000,2.24,32.820000,183.540000,66.840000,0.000000,0.980000,64.590000,24.070000,0.000000,0.680000,32.820000,1.930000,13.480000,90.510000,0.000000,10.940000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,0.000000,0.520000,0.000000,72.220000,0.610000,48.150000,0.000000,168.760000,57.960000,96.600000,130.600000,32.820000,0.000000,192.570000,0.000000,24.070000,121.310000,67.620000,11.700000,96.600000,96.290000,0.000000,1.930000,0.880000,0.350000,48.510000,0.000000,0.000000,0.000000,1860.09

71,17:30-17:45,12.560000,0.000000,1.67,0.000000,183.540000,66.840000,0.000000,0.980000,0.000000,0.000000,0.000000,0.680000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,0.000000,0.520000,0.000000,0.000000,0.610000,0.000000,0.000000,168.760000,57.960000,96.600000,130.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.620000,0.000000,96.600000,0.000000,0.000000,1.930000,0.880000,0.350000,0.000000,0.000000,0.000000,0.000000,942.65

72,17:45-18:00,12.560000,0.000000,0,0.000000,183.540000,66.840000,0.000000,0.980000,0.000000,0.000000,0.000000,0.680000,0.000000,1.930000,0.000000,0.000000,0.000000,0.000000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,0.000000,0.520000,0.000000,0.000000,0.610000,0.000000,0.000000,0.000000,57.960000,96.600000,130.600000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.620000,0.000000,96.600000,0.000000,0.000000,1.930000,0.880000,0.350000,0.000000,0.000000,0.000000,0.000000,772.22

73,18:00-18:15,12.560000,0.000000,0.73,31.600000,183.540000,66.840000,0.000000,0.980000,62.180000,23.170000,0.000000,0.680000,31.600000,1.930000,12.970000,87.130000,0.000000,10.530000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,0.000000,0.520000,0.000000,69.510000,0.610000,46.350000,0.000000,168.760000,57.960000,96.600000,130.600000,31.600000,0.000000,185.390000,0.000000,23.170000,116.780000,67.620000,0.000000,96.600000,92.690000,0.000000,1.930000,0.880000,0.350000,46.700000,0.000000,0.000000,0.000000,1813.08

74,18:15-18:30,12.560000,0.000000,0.45,32.140000,183.540000,66.840000,0.000000,0.980000,63.240000,23.570000,0.000000,0.680000,32.140000,1.930000,13.200000,88.620000,0.000000,10.710000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,0.000000,0.520000,0.000000,70.710000,0.610000,47.140000,0.000000,168.760000,57.960000,96.600000,130.600000,32.140000,0.000000,188.550000,0.000000,23.570000,118.780000,67.620000,0.000000,96.600000,94.280000,0.000000,1.930000,0.880000,0.350000,47.500000,0.000000,0.000000,0.000000,1827.72

75,18:30-18:45,12.560000,0.000000,0,32.080000,183.540000,66.840000,0.000000,0.980000,63.120000,23.520000,0.000000,0.680000,32.080000,1.930000,13.180000,88.460000,0.000000,10.690000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,0.000000,0.520000,0.000000,70.580000,0.610000,47.050000,0.000000,46.200000,57.960000,96.600000,130.600000,32.080000,0.000000,188.200000,0.000000,23.520000,47.050000,67.620000,0.000000,96.600000,94.100000,0.000000,1.930000,0.880000,0.350000,47.410000,0.000000,0.000000,0.000000,1631.54

76,18:45-19:00,12.560000,0.000000,0,32.080000,183.540000,66.840000,0.000000,0.980000,63.130000,23.520000,0.000000,0.680000,32.080000,1.930000,13.180000,88.460000,0.000000,10.690000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,0.000000,0.520000,0.000000,70.580000,0.610000,47.050000,0.000000,16.950000,57.960000,96.600000,130.600000,32.080000,0.000000,188.210000,0.000000,23.520000,47.050000,67.620000,0.000000,96.600000,94.100000,0.000000,1.930000,0.880000,0.350000,47.410000,0.000000,0.000000,0.000000,1602.31

77,19:00-19:15,12.560000,0.000000,0,22.070000,241.500000,66.840000,0.000000,0.980000,43.420000,16.180000,0.000000,0.680000,22.070000,1.930000,9.060000,60.850000,0.000000,7.350000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,0.000000,0.520000,0.000000,48.550000,0.610000,32.370000,0.000000,0.000000,0.000000,96.600000,130.600000,22.070000,0.000000,129.470000,0.000000,16.180000,32.370000,67.620000,0.000000,96.600000,64.730000,0.000000,1.930000,0.880000,0.350000,32.610000,0.000000,0.000000,0.000000,1331.57

78,19:15-19:30,12.560000,0.000000,0,22.450000,241.500000,66.840000,0.000000,0.980000,44.180000,16.460000,0.000000,0.680000,22.450000,1.930000,9.220000,61.900000,0.000000,7.480000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,0.000000,0.520000,0.000000,49.390000,0.610000,32.920000,0.000000,0.000000,0.000000,96.600000,130.600000,22.450000,0.000000,131.700000,0.000000,16.460000,32.920000,67.620000,0.000000,96.600000,65.850000,0.000000,1.930000,0.880000,0.350000,33.170000,0.000000,0.000000,0.000000,1341.22

79,19:30-19:45,12.560000,0.000000,0,21.940000,241.500000,66.840000,0.000000,0.980000,43.160000,16.080000,0.000000,0.680000,21.940000,1.930000,9.010000,60.490000,0.000000,7.310000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,0.000000,0.520000,0.000000,48.260000,0.610000,32.180000,0.000000,0.000000,0.000000,96.600000,130.600000,21.940000,0.000000,128.700000,0.000000,16.080000,32.180000,67.620000,0.000000,96.600000,64.350000,0.000000,1.930000,0.880000,0.350000,32.420000,0.000000,0.000000,0.000000,1328.26

80,19:45-20:00,12.560000,0.000000,0,22.010000,241.500000,66.840000,0.000000,0.980000,43.300000,16.130000,0.000000,0.680000,22.010000,1.930000,9.030000,60.670000,0.000000,7.330000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,0.000000,0.520000,0.000000,48.410000,0.610000,32.270000,0.000000,0.000000,0.000000,96.600000,130.600000,22.010000,0.000000,129.090000,0.000000,16.130000,32.270000,67.620000,0.000000,96.600000,64.540000,0.000000,1.930000,0.880000,0.350000,32.520000,0.000000,0.000000,0.000000,1329.94

81,20:00-20:15,11.590000,0.000000,0,20.240000,241.500000,66.840000,0.000000,0.980000,39.830000,14.850000,19.320000,0.680000,20.240000,1.930000,8.320000,55.820000,0.000000,6.740000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,17.810000,0.520000,0.000000,44.530000,0.610000,29.690000,0.000000,0.000000,0.000000,96.600000,130.600000,20.240000,0.000000,118.750000,29.690000,0.000000,29.690000,0.000000,0.000000,96.600000,59.380000,0.000000,1.930000,0.880000,0.350000,29.920000,0.000000,0.000000,73.420000,1342.11

82,20:15-20:30,11.590000,0.000000,0,20.470000,241.500000,66.840000,0.000000,0.980000,40.280000,15.010000,19.320000,0.680000,20.470000,1.930000,8.400000,56.440000,0.000000,6.820000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,18.020000,0.520000,0.000000,45.030000,0.610000,30.020000,0.000000,0.000000,0.000000,96.600000,130.600000,20.470000,0.000000,120.100000,30.020000,0.000000,30.020000,0.000000,0.000000,96.600000,60.050000,0.000000,1.930000,0.880000,0.350000,30.260000,0.000000,0.000000,73.420000,1348.25

83,20:30-20:45,11.590000,0.000000,0,20.490000,241.500000,66.840000,0.000000,0.980000,40.310000,15.020000,19.320000,0.680000,20.490000,1.930000,8.410000,56.490000,0.000000,6.830000,1.590000,48.300000,0.480000,0.880000,0.000000,0.770000,0.000000,18.030000,0.520000,0.000000,45.070000,0.610000,30.050000,0.000000,0.000000,0.000000,96.600000,130.600000,20.490000,0.000000,120.200000,30.050000,0.000000,30.050000,0.000000,0.000000,96.600000,60.100000,0.000000,1.930000,0.880000,0.350000,30.270000,0.000000,0.000000,73.420000,1348.72

