Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/30334/A/86401,NR/2025/29985/A/86823,NR/2025/27978/A/86921,NR/2025/30977/C,NR/2025/29992/A/86624,NR/2025/30958/C,NR/2025/30492/A/86478,NR/2025/29440/A/86427,NR/2025/31030/C,NR/2025/30105/A/86883,NR/2025/30978/C,NR/2025/30086/A/86884,NR/2025/30980/C,NR/2025/30931/C,NR/2025/31033/C,NR/2025/29628/A/86893,NR/2025/30965/C,NR/2025/30084/A/86885,NR/2025/29910/A/86891,NR/2025/31040/C,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8139,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,NR/2025/31131/C,NR/2025/26975/A/86896,NR/2025/27964/A/86840,NR/2025/29353/A/86556,NR/2025/27963/A/86839,NR/2025/31030/C/Alternate/1,NR/2025/28725/A/86837,NR/2025/30067/A/86860,NR/2025/29352/A/86558,NR/2025/30082/A/86876,NR/2025/30083/A/86886,NR/2025/31024/C,NR/2025/30121/A/86405,GNA/NR/2025/07/01/8230,NR/2025/29167/A/86737,NR/2025/31135/C,NR/2025/27962/A/86838,NR/2025/31002/C,NR/2025/31134/C,NR/2025/30998/C,NR/2025/31003/C,NR/2025/31022/C,NR/2025/30101/A/86917,NR/2025/31023/C,GNA/NR/2025/07/01/2236,NR/2025/31021/C,NR/2025/30217/A/86882,NR/2025/27970/A/86842,NR/2025/29439/A/86548,NR/2025/30822/A/86821,NR/2025/31027/C,NR/2025/27968/A/86841,NR/2025/30191/A/86402,NR/2025/29915/A/86735,NR/2025/31026/C,Total
46,11:15-11:30,95,5.24,179,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.18,26.8,134.89,15.19,26.8,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1818.4099999999999

47,11:30-11:45,95,5.24,179,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.07,26.8,134.89,15.19,26.8,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1818.3

48,11:45-12:00,95,5.24,179,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.07,26.8,134.89,15.19,26.8,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1818.3

49,12:00-12:15,90,5.24,161,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.07,26.85,134.89,15.1,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1795.31

50,12:15-12:30,90,5.24,165,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.07,26.85,134.89,15.1,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1799.31

51,12:30-12:45,90,5.24,144,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.07,26.85,134.89,15.1,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1778.31

52,12:45-13:00,90,5.24,144,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.07,26.85,134.89,15.1,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1778.31

53,13:00-13:15,93.33,5.24,161,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.67,26.85,134.89,15.1,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1799.2399999999998

54,13:15-13:30,93.33,5.24,161,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.67,26.85,134.89,15.1,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1799.2399999999998

55,13:30-13:45,93.33,5.24,161,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.67,26.85,134.89,15.1,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1799.2399999999998

56,13:45-14:00,91.67,5.24,161,0,0,0,48.09,13.47,0,160.11,0,0,0,48.09,44.24,32.14,0,143.07,0,0,2.67,26.85,134.89,15.1,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,1797.58

57,14:00-14:15,88.33,5.24,175,0,144.27,0,48.09,13.47,0,192.36,0,144.27,0,48.09,44.24,32.14,0,143.07,0,0,3.03,26.85,134.89,15.19,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,2129.4799999999996

58,14:15-14:30,83.71,5.24,172,0,144.27,0,48.09,13.47,0,192.36,0,144.27,0,48.09,44.24,32.14,0,143.07,0,0,3.03,26.85,134.89,15.19,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,2121.859999999999

59,14:30-14:45,74.16,6.73,168,0,144.27,0,48.09,13.47,0,192.36,0,144.27,0,48.09,44.24,32.14,0,143.07,0,0,3.03,26.85,134.89,15.19,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,2109.7999999999993

60,14:45-15:00,72.24,7.02,161,0,144.27,0,48.09,13.47,0,192.36,0,144.27,0,48.09,44.24,32.14,0,143.07,0,0,3.03,26.85,134.89,15.19,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,2101.169999999999

61,15:00-15:15,70,7.11,154,0,144.27,0,48.09,13.47,0,192.36,0,144.27,0,48.09,44.24,32.14,0,143.07,0,0,4.45,26.85,134.89,15.37,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,2093.6199999999994

62,15:15-15:30,67.11,6.86,147,0,144.27,0,48.09,13.47,0,192.36,0,144.27,0,48.09,44.24,32.14,0,143.07,0,0,4.45,26.85,134.89,15.37,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,2083.4799999999996

63,15:30-15:45,56.67,6.46,137,0,144.27,0,48.09,13.47,0,192.36,0,144.27,0,48.09,44.24,32.14,0,143.07,0,0,2.55,26.85,134.89,15.37,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,2060.74

64,15:45-16:00,55.67,6.02,126,0,144.27,0,48.09,13.47,0,192.36,0,144.27,0,48.09,44.24,32.14,0,143.07,0,0,2.55,26.85,134.89,15.37,26.85,0,43.71,20.75,15.24,19.24,0,5.77,0,81.75,0,0,0,0,28.61,0,0,7.69,0,224.82,0,0,0,76.58,0,0.96,16.58,43.71,0,29.03,81.75,14.57,0,0,0,0,96.18,0,0,0,37.16,2048.2999999999997

65,16:00-16:15,55,5.54,112,96.18,0,44.24,0,13.47,0.96,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,16.58,2.55,26.85,134.89,15.55,26.85,0,43.71,20.75,15.24,19.24,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2199.8999999999996

66,16:15-16:30,54.37,5.1,98,96.18,0,44.24,0,13.47,0.96,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,16.58,2.55,26.85,134.89,15.55,26.85,0,43.71,20.75,15.24,19.24,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2184.83

67,16:30-16:45,50.06,4.65,84,96.18,0,44.24,0,13.47,0.96,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,16.58,2.42,26.85,134.89,15.55,26.85,0,43.71,20.75,15.24,19.24,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2165.94

68,16:45-17:00,48.72,4.16,77,96.18,0,44.24,0,13.47,0.96,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,16.58,2.31,26.85,134.89,15.55,26.85,0,43.71,20.75,15.24,19.24,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2157

69,17:00-17:15,41.32,0,63,96.18,0,44.24,0,13.47,0.87,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,16.58,1.94,25.85,134.89,15.93,26.85,0,43.71,20.75,15.24,19.24,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2130.36

70,17:15-17:30,35.06,0,56,96.18,0,44.24,0,13.47,0.87,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,16.58,1.7,25.85,134.89,15.93,26.85,0,43.71,20.75,15.24,19.24,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2116.86

71,17:30-17:45,23.33,0,49,96.18,0,44.24,0,13.47,0.87,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,16.58,1.34,25.85,134.89,15.93,25.85,0,43.71,20.75,15.24,19.24,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2096.77

72,17:45-18:00,21.67,0,39,96.18,0,44.24,0,13.47,0.87,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,16.58,1.21,25.85,134.89,15.93,25.85,0,43.71,20.75,15.24,19.24,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2084.98

73,18:00-18:15,20,0,28,96.18,0,44.24,0,13.47,0.87,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,16.58,0.97,9,134.89,16.39,29,0,43.71,20.75,0,0,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2024.3499999999997

74,18:15-18:30,17.96,0,21,96.18,0,44.24,0,13.47,0.87,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,16.58,0.73,9,134.89,16.39,29,0,43.71,20.75,0,0,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2015.07

75,18:30-18:45,13.74,0,14,96.18,0,44.24,0,13.47,0.87,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,19.24,0.48,9,134.89,16.39,29,0,43.71,20.75,0,0,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2006.2599999999998

76,18:45-19:00,0.88,0,11,96.18,0,44.24,0,13.47,0.87,135.54,29.14,0,37.16,0,0,0,76.58,0,43.71,19.24,0.19,9,134.89,16.39,29,0,43.71,20.75,0,0,0,5.77,144.27,81.75,0,56.82,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,0,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,1990.1099999999997

77,19:00-19:15,0.28,0,5,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,19.24,0,29,134.89,16.84,29,0,43.71,20.75,0,0,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,48.09,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2051.8999999999996

78,19:15-19:30,0.03,0,1,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,19.24,0,29,134.89,16.84,29,0,43.71,20.75,0,0,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,48.09,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2047.6499999999996

79,19:30-19:45,0,0,0,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,19.24,0,29,134.89,16.84,29,0,43.71,20.75,0,0,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,48.09,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2046.6199999999997

80,19:45-20:00,0,0,0,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,19.24,0,29,134.89,16.84,29,0,43.71,20.75,0,0,0,5.77,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,0,48.09,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2046.6199999999997

81,20:00-20:15,0,0,0,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,19.24,0,29,134.89,17.3,29,0,43.71,20.75,0,0,0,25.97,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,48.09,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2121.3799999999997

82,20:15-20:30,0,0,0,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,19.24,0,29,134.89,17.3,29,0,43.71,20.75,0,0,0,25.97,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,48.09,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2121.3799999999997

83,20:30-20:45,0,0,0,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,19.24,0,29,134.89,17.3,29,0,43.71,20.75,0,0,0,25.97,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,48.09,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2121.3799999999997

84,20:45-21:00,0,0,0,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,76.58,0,43.71,19.24,0,29,134.89,17.3,29,0,43.71,20.75,0,0,0,25.97,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,48.09,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2121.3799999999997

85,21:00-21:15,0,0,0,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,105.8,0,43.71,19.24,0,29,134.89,17.3,29,0,43.71,20.75,0,0,0,25.97,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,48.09,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2150.6

86,21:15-21:30,0,0,0,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,105.8,0,43.71,19.24,0,29,134.89,17.3,29,0,43.71,20.75,0,0,0,25.97,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,48.09,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2150.6

87,21:30-21:45,0,0,0,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,105.8,0,43.71,19.24,0,29,134.89,18.69,29,0,43.71,20.75,0,0,0,25.97,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,48.09,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2151.99

88,21:45-22:00,0,0,0,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,105.8,0,43.71,19.24,0,29,134.89,18.69,29,0,43.71,20.75,0,0,0,25.97,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,48.09,0,0,0,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2151.99

89,22:00-22:15,0,0,0,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,105.8,0,43.71,19.24,0,29,134.89,15,29,0,43.71,20.75,0,0,48.09,25.97,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,0,0,0,144.27,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2292.57

90,22:15-22:30,0,0,0,96.18,0,44.24,0,13.47,0.91,192.36,29.14,0,37.16,0,0,0,105.8,0,43.71,19.24,0,29,134.89,15,29,0,43.71,20.75,0,0,48.09,25.97,144.27,81.75,0,0,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,0,0,0,144.27,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2292.57

91,22:30-22:45,0,0,0,96.18,0,44.24,0,12.5,0.91,31.6,29.14,0,37.16,0,0,0,105.8,0,43.71,19.24,0,29,134.89,15,29,0,43.71,20.75,0,0,48.09,25.97,144.27,81.75,0,160.76,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,0,0,0,144.27,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2291.6

92,22:45-23:00,0,0,0,96.18,0,44.24,0,12.5,0.91,28.93,29.14,0,37.16,0,0,0,105.8,0,43.71,19.24,0,29,134.89,15,29,0,43.71,20.75,0,0,48.09,25.97,144.27,81.75,0,163.43,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,0,0,0,144.27,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2291.6

93,23:00-23:15,0,0,0,96.18,0,44.24,0,12.5,0.91,26.85,29.14,0,37.16,0,0,0,105.8,0,43.71,19.24,0,29,134.89,15,29,0,43.71,20.75,0,0,48.09,25.97,144.27,81.75,0,165.51,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,0,0,0,96.18,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2243.51

94,23:15-23:30,0,0,0,96.18,0,44.24,0,12.5,0.91,25.2,29.14,0,37.16,0,0,0,105.8,0,43.71,19.24,0,29,134.89,15,29,0,43.71,20.75,0,0,48.09,25.97,144.27,81.75,0,167.16,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,0,0,0,96.18,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2243.51

95,23:30-23:45,0,0,0,96.18,0,44.24,0,12.5,0.91,24.29,29.14,0,37.16,0,0,0,105.8,0,43.71,19.24,0,29,134.89,15,29,0,43.71,20.75,0,0,48.09,25.97,144.27,81.75,0,168.07,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,0,0,0,96.18,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2243.51

96,23:45-24:00,0,0,0,96.18,0,44.24,0,12.5,0.91,24.58,29.14,0,37.16,0,0,0,105.8,0,43.71,19.24,0,29,134.89,15,29,0,43.71,20.75,0,0,48.09,26.11,144.27,81.75,0,167.78,143.07,0,28.61,48.09,14.57,0,6.73,224.82,54.1,0,0,0,96.18,0,0,0,32.14,0,81.75,0,7.69,144.27,25.08,134.65,0,0,48.09,0,0,2243.65

