Column1,Block,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,GNA/NR/2024/08/14/7906,NR/01082024/15082024/IIPL/JPL-T-BRPL/04/Aug24,NR/30092023/31122025/SH-07,NR/01082024/15082024/APL-Raigarh,NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21658/A/31905,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01082024/31082024/SKS-Raigarh,SR/2024/13861/C,NR/2024/21983/A/31914,GNA/NR/2024/08/14/2226,NR/2024/21974/A/32194,NR/2024/21971/A/32193,NR/2024/21860/A/32234,NR/2024/22533/C,NR/2024/21966/A/32073,NR/2024/21909/A/32122,NR/2024/22010/A/32212,NR/2024/22524/C,NR/2024/22398/A/32233,NR/2024/22432/A/31930,NR/2024/22014/A/31880,NR/2024/21961/A/32143,NR/2024/21938/A/32145,NR/2024/22279/A/31874,NR/2024/21956/A/32163,NR/2024/21814/A/32195,NR/2024/22042/A/31879,NR/2024/21943/A/32159,NR/2024/21918/A/32208,NR/2024/22521/C,NR/2024/21954/A/32160,NR/2024/22523/C,NR/2024/21968/A/32189,NR/2024/21940/A/32161,NR/2024/21970/A/32190,NR/2024/22058/A/31944,NR/01102023/02012046/L_NR_2021_17,NR/2024/22052/A/31943,NR/2024/22532/C,NR/01102023/14082046/L_NR_2021_16,Total
63,15:30-15:45,0,4.16,24.0835,0,0,0,24.0835,0,0,0.96,11.75,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,6.55,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,20.77,21.54,0,1372.887

64,15:45-16:00,0,4.16,24.0835,0,0,0,24.0835,0,0,0.96,11.75,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,5.88,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,10.58,0,17.02,23.18,0,1370.107

65,16:00-16:15,0,4.16,24.0835,0,144.26,0,24.0835,0,0,0.82,17.08,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,5.15,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,6.15,0,16.16,11.73,0,1502.0870000000002

66,16:15-16:30,0,4.16,24.0835,0,144.26,0,24.0835,0,0,0.82,17.08,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,4.79,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,6.15,0,14.23,10,0,1498.067

67,16:30-16:45,0,4.16,24.0835,0,144.26,0,24.0835,0,0,0.82,17.08,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,3.52,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,6.15,0,11.35,8.37,0,1492.2869999999998

68,16:45-17:00,0,4.16,18.9768,0,144.26,0,18.9768,0,0,0.82,17.08,12.39,0,48.08,0,37.15,37.15,48.08,0,48.08,192.34,11.68,2.97,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,6.35,0,7.6,6.64,0,1476.2436

69,17:00-17:15,48.08,4.16,18.9768,0,144.26,48.08,18.9768,192.34,0,0.77,17.08,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,1.69,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1454.3236000000002

70,17:15-17:30,48.08,4.16,18.9768,0,144.26,48.08,18.9768,192.34,0,0.77,17.08,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,2.04,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1454.6736

71,17:30-17:45,48.08,4.16,18.9768,0,144.26,48.08,18.9768,192.34,0,0.77,17.08,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,1.57,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1454.2036000000003

72,17:45-18:00,48.08,4.16,18.9768,0,144.26,48.08,18.9768,192.34,0,0.77,17.08,12.39,0,0,0,37.15,37.15,48.08,0,0,0,11.68,1.25,240.42,12.5,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1453.8836000000001

73,18:00-18:15,48.08,4.16,9.1736,0,144.26,48.08,9.1736,192.34,0,0.77,17.08,12.39,0,0,0,37.15,37.15,48.08,0,0,0,0,0.74,240.42,11.54,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1421.1272000000001

74,18:15-18:30,48.08,4.16,9.1736,0,144.26,48.08,9.1736,192.34,0,0.77,17.08,12.39,127.91,0,0,37.15,37.15,48.08,0,0,0,0,0.43,240.42,11.54,1.92,0,0,4.81,24.04,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1548.7272

75,18:30-18:45,48.08,4.16,0,0,144.26,48.08,32,192.34,0,0.77,17.08,12.39,100.02,0,0,37.15,37.15,48.08,0,0,0,0,0.24,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1553.54

76,18:45-19:00,48.08,4.16,0,0,144.26,48.08,32,192.34,0,0.77,17.08,12.39,104.83,0,0,37.15,37.15,48.08,0,0,0,0,0,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1558.11

77,19:00-19:15,48.08,4.16,0,0,144.26,48.08,32,192.34,0,0.77,17.08,12.39,115.4,0,90.4,37.15,37.15,48.08,48.08,0,0,0,0,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1707.16

78,19:15-19:30,48.08,4.16,0,0,144.26,48.08,32,192.34,0,0.77,17.08,12.39,110.6,0,90.4,37.15,37.15,48.08,51.93,0,0,0,0,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1706.21

79,19:30-19:45,48.08,4.16,0,0,144.26,48.08,32,192.34,0,0.77,17.08,12.39,105.79,0,90.4,37.15,37.15,48.08,57.7,0,0,0,0,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1707.17

80,19:45-20:00,48.08,4.16,0,0,144.26,48.08,32,192.34,0,0.77,17.08,12.39,100.98,0,90.4,37.15,37.15,48.08,63.47,0,0,0,0,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1708.13

81,20:00-20:15,48.08,4.16,0,0,144.26,48.08,30.5,192.34,0,0.77,17.08,12.39,93.28,0,90.4,37.15,37.15,48.08,34.62,0,0,0,0,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1670.0800000000002

82,20:15-20:30,48.08,4.16,0,0,144.26,48.08,30.5,192.34,0,0.77,17.08,12.39,92.32,0,90.4,37.15,37.15,48.08,37.51,0,0,0,0,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1672.01

83,20:30-20:45,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.77,17.08,12.39,84.63,0,90.4,37.15,37.15,48.08,39.43,0,0,0,0,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1696.74

84,20:45-21:00,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.77,17.08,12.39,60.59,0,90.4,37.15,37.15,48.08,46.16,0,0,0,0,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1679.43

85,21:00-21:15,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.77,17.08,12.39,45.2,0,90.4,37.15,37.15,48.08,54.82,0,0,0,0,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1672.7000000000003

86,21:15-21:30,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.77,17.08,12.39,21.16,0,90.4,37.15,37.15,48.08,59.63,0,0,0,0,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1653.47

87,21:30-21:45,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.77,17.08,12.39,0,0,90.4,37.15,37.15,48.08,67.32,0,0,0,0,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1640.0000000000002

88,21:45-22:00,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.77,17.08,12.39,0,0,90.4,37.15,37.15,48.08,75.97,0,0,0,0,240.42,11.54,1.92,0,0,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1648.65

89,22:00-22:15,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.77,17.08,12.39,0,0,90.4,37.15,37.15,48.08,72.13,0,0,0,0,240.42,10.58,1.92,113.61,37.87,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1795.33

90,22:15-22:30,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.77,17.08,12.39,0,0,90.4,37.15,37.15,48.08,76.94,0,0,0,0,240.42,10.58,1.92,113.61,37.87,4.81,43.28,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1800.1399999999999

91,22:30-22:45,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.77,17.08,12.39,0,0,90.4,37.15,37.15,48.08,80.78,0,0,0,0,240.42,9.62,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1827.0599999999997

92,22:45-23:00,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.77,17.08,12.39,0,0,90.4,37.15,37.15,48.08,81.74,0,0,0,0,240.42,9.62,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1828.0199999999998

93,23:00-23:15,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.72,17.08,12.39,0,0,90.4,37.15,37.15,48.08,81.74,0,0,0,0,240.42,9.62,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1827.9699999999998

94,23:15-23:30,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.72,17.08,12.39,0,0,90.4,37.15,37.15,48.08,76.94,0,0,0,0,240.42,9.62,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1823.1699999999998

95,23:30-23:45,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.72,17.08,12.39,0,0,90.4,37.15,37.15,48.08,72.13,0,0,0,0,240.42,9.62,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1818.36

96,23:45-24:00,48.08,4.16,30.5,0,144.26,48.08,30.5,192.34,0,0.72,17.08,12.39,0,0,90.4,37.15,37.15,48.08,69.24,0,0,0,0,240.42,9.62,1.92,113.61,37.87,4.81,67.32,48.08,3.85,38.47,90.4,27.89,23.97,163.73,37.15,83.84,12.39,0,0,0,0,0,1815.4699999999998

