Time,Block,NR/2024/21089/A/28898,NR/2024/21210/A/28606,NR/2024/21062/A/28875,NR/2024/21682/A/28884,NR/2024/21238/A/28947,NR/2024/21183/A/28940,NR/2024/21890/C,NR/2024/21160/A/28663,NR/2024/21142/A/28605,NR/2024/21186/A/28908,NR/2024/21141/A/28604,NR/2024/20966/A/28586,NR/2024/21099/A/28603,NR/2024/21150/A/28661,NR/2024/21861/C,NR/2024/20688/A/28673,NR/2024/21152/A/28585,NR/2024/20931/A/28837,NR/2024/21715/A/28444,NR/2024/20573/A/28865,NR/2024/21153/A/28659,NR/01072024/31072024/R2,NR/2024/21199/A/28645,NR/2024/21173/A/28671,NR/2024/21113/A/28897,NR/2024/21567/A/28896,NR/30092023/26122029/SH-06,NR/2024/21103/A/28913,NR/2024/21023/A/28647,NR/2024/21158/A/28665,NR/2024/21859/C,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21144/A/28669,NR/2024/21146/A/28662,NR/2024/21864/C,NR/2024/21227/A/28912,NR/2024/21339/A/28609,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21148/A/28660,NR/2024/21076/A/28936,NR/2024/21159/A/28664,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21108/A/28911,NR/2024/21156/A/28658,NR/16072024/31072024/NR/16072024/31072024/717758,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21096/A/28916,NR/2024/21878/C,NR/2024/21858/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21087/A/28672,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/30092023/31122025/SH-07,NR/2024/21882/C,NR/2024/20711/A/28885,NR/2024/21694/A/28918,SR/2024/13595/C,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/2024/21072/A/28899,NR/2024/21075/A/28946,NR/2024/19779/A/28595,NR/2024/20574/A/28867,NR/01102023/23072042/L_NR_2012_04,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,Total
28,06:45-07:00,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,13.740000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0.24,72.340000,24.120000,12.900000,23.470000,0.000000,96.460000,0.000000,240.00,0.000000,96.460000,37.260000,11.720000,0.680000,0.000000,0.000000,0,0,1826.88

29,07:00-07:15,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,1.040000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0.49,72.340000,24.120000,12.700000,23.470000,0.000000,96.460000,0.000000,260.00,0.000000,96.460000,37.260000,11.720000,0.770000,0.000000,0.000000,0,0,1834.32

30,07:15-07:30,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,0.000000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0.57,72.340000,24.120000,12.700000,23.470000,0.000000,96.460000,0.000000,280.00,0.000000,96.460000,37.260000,11.720000,0.770000,0.000000,0.000000,0,0,1853.36

31,07:30-07:45,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,0.000000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,0.71,72.340000,24.120000,12.700000,23.470000,0.000000,96.460000,0.000000,290.00,0.000000,96.460000,37.260000,11.720000,0.770000,0.000000,0.000000,0,0,1863.5

32,07:45:08:00,37.260000,48.230000,0.000000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,0.000000,1.590000,24.120000,0.000000,24.120000,37.260000,12.420000,23.470000,84.090000,0.000000,0.680000,164.220000,96.460000,0.480000,0.360000,0.000000,0.000000,0.000000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,1.2,72.340000,24.120000,12.700000,23.470000,0.000000,96.460000,0.000000,290.00,0.000000,96.460000,37.260000,11.720000,0.770000,0.000000,0.000000,0,0,1863.99

33,08:00-08:15,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,1.46,0.000000,24.120000,12.520000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1574.26

34,08:15-08:30,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,1.86,0.000000,24.120000,12.520000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1574.66

35,08:30-08:45,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,1.62,0.000000,24.120000,12.520000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1574.42

36,08:45:09:00,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,8.680000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,1.26,0.000000,24.120000,12.520000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1574.06

37,09:00:09:15,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,1.87,0.000000,24.120000,12.520000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1575.64

38,09:15-09:30,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,9.650000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,1.98,0.000000,24.120000,12.520000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1575.75

39,09:30-09:45,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,2.17,0.000000,24.120000,12.520000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1577.87

40,09:45-10:00,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,2.85,0.000000,24.120000,12.520000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1578.55

41,10:00-10:15,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,4.02,0.000000,24.120000,12.520000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1579.72

42,10:15-10:30,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,11.580000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,5.19,0.000000,24.120000,12.520000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1580.89

43,10:30-10:45,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,4.09,0.000000,24.120000,12.520000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1580.75

44,10:45-11:00,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,3.16,0.000000,24.120000,12.520000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1579.82

45,11:00-11:15,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,48.230000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,2.58,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1602.47

46,11:15-11:30,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,48.230000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,1.69,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1601.58

47,11:30-11:45,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,48.230000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,4.41,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1604.3

48,11:45-12:00,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,48.230000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,5.29,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1605.18

49,12:00-12:15,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,48.230000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,4.52,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1604.41

50,12:15-12:30,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,48.230000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,4.98,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1604.87

51,12:30-12:45,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,48.230000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,3.08,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1602.97

52,12:45-13:00,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,48.230000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,3.27,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1603.16

53,13:00-13:15,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,48.230000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,3.43,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1603.32

54,13:15-13:30,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,48.230000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,3.71,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1603.6

55,13:30-13:45,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,48.230000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,4.43,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1604.32

56,13:45-14:00,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,48.230000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,4.91,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1604.8

57,14:00-14:15,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,4.8,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1581.19

58,14:15-14:30,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,4.84,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1581.23

59,14:30-14:45,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,4.43,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1580.82

60,14:45-15:00,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,3.24,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1579.63

61,15:00-15:15,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,3.36,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1579.75

62,15:15-15:30,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,4.89,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1581.28

63,15:30-15:45,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,5.33,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1581.72

64,15:45-16:00,37.260000,48.230000,24.120000,241.150000,2.890000,21.220000,0.000000,0.970000,48.230000,24.730000,0.000000,4.820000,24.120000,0.880000,27.970000,66.740000,1.930000,0.000000,12.540000,0.000000,1.590000,0.000000,72.340000,24.120000,37.260000,12.420000,23.470000,84.090000,96.460000,0.680000,164.220000,0.000000,0.480000,0.360000,0.000000,0.000000,96.460000,15.140000,0.520000,90.670000,0.880000,0.000000,12.420000,24.040000,0.610000,0.000000,0.000000,24.120000,0.000000,4.11,0.000000,24.120000,12.250000,23.470000,0.000000,96.460000,0.000000,0.00,0.000000,0.000000,37.260000,11.720000,0.960000,0.000000,0.000000,0,0,1580.5

