Time,Block,NR/2023/13635/A,NR/2023/14898/A,NR/2023/12168/A,NR/2023/12592/A,NR/2023/12431/A,NR/2023/12052/A,NR/2023/12053/A,NR/2023/16392/C,NR/2023/12148/A,NR/2023/16368/D,NR/2023/14746/A,NR/2023/12591/A,WR/2023/18367/C,NR/2023/13862/A,NR/2023/16383/C,SR/2023/8819/C,SR/2023/8851/C,NR/2023/12167/A,NR/2023/14745/A,NR/2023/12422/A,NR/2023/15402/F,NR/2023/15309/F,NR/2023/14737/A,NR/2023/12347/A,NR/2023/15057/F,NR/2023/16369/D,NR/2023/16385/C,NR/2023/16190/F,NR/2023/16386/C,NR/2023/14895/A,NR/2023/16389/C,NR/2023/16388/C,Total
71,17:30-17:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,0.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,48.360000,0.820000,1.16,16.580000,193.460000,96.730000,95.760000,0.000000,0.000000,1057.69

72,17:45-18:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,0.000000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,0.00,24.180000,24.180000,0.000000,0.000000,4.840000,33.860000,48.360000,0.820000,0.87,16.580000,193.460000,96.730000,95.760000,0.000000,0.000000,1057.4

73,18:00-18:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,48.360000,0.870000,0.39,16.670000,193.460000,96.730000,95.760000,0.000000,0.000000,1119.38

74,18:15-18:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,48.360000,0.870000,0.19,16.670000,193.460000,96.730000,95.760000,0.000000,0.000000,1119.18

75,18:30-18:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,48.360000,0.870000,0,16.670000,193.460000,96.730000,95.760000,0.000000,0.000000,1118.99

76,18:45-19:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,0.000000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,48.360000,0.870000,0,16.670000,193.460000,96.730000,95.760000,0.000000,0.000000,1118.99

77,19:00-19:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,48.360000,0.920000,0,16.760000,193.460000,96.730000,95.760000,0.000000,0.000000,1141.38

78,19:15-19:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,48.360000,0.920000,0,16.760000,193.460000,96.730000,95.760000,0.000000,0.000000,1141.38

79,19:30-19:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,48.360000,0.920000,0,16.760000,193.460000,96.730000,95.760000,0.000000,0.000000,1141.38

80,19:45-20:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,48.360000,0.920000,0,16.760000,193.460000,96.730000,95.760000,50.000000,0.000000,1191.38

81,20:00-20:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,48.360000,0.920000,0,16.950000,193.460000,96.730000,95.760000,50.000000,0.000000,1191.57

82,20:15-20:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,48.360000,0.920000,0,16.950000,193.460000,96.730000,95.760000,50.000000,0.000000,1191.57

83,20:30-20:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,48.360000,0.920000,0,16.950000,193.460000,96.730000,95.760000,50.000000,0.000000,1191.57

84,20:45-21:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,48.360000,0.920000,0,16.950000,193.460000,96.730000,95.760000,50.000000,0.000000,1191.57

85,21:00-21:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,91.890000,0.920000,0,16.850000,193.460000,96.730000,95.760000,50.000000,43.530000,1278.53

86,21:15-21:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,91.890000,0.920000,0,16.850000,193.460000,96.730000,95.760000,50.000000,43.530000,1278.53

87,21:30-21:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,91.890000,0.920000,0,16.850000,193.460000,96.730000,95.760000,50.000000,43.530000,1278.53

88,21:45-22:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,0.000000,50.060000,0.000000,0.000000,8.070000,0.00,50.00,24.180000,0.000000,0.000000,0.000000,4.840000,33.860000,91.890000,0.920000,0,16.850000,193.460000,96.730000,95.760000,50.000000,43.530000,1278.53

89,22:00-22:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,7.060000,0.00,50.00,24.180000,0.000000,38.010000,0.000000,4.840000,33.860000,91.890000,0.920000,0,16.760000,193.460000,96.730000,95.760000,50.000000,43.530000,1427.29

90,22:15-22:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,7.060000,0.00,50.00,24.180000,0.000000,38.010000,0.000000,4.840000,33.860000,91.890000,0.920000,0,16.760000,193.460000,96.730000,95.760000,50.000000,43.530000,1427.29

91,22:30-22:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,7.060000,0.00,50.00,24.180000,0.000000,38.010000,0.000000,4.840000,33.860000,91.890000,0.920000,0,16.760000,193.460000,96.730000,95.760000,50.000000,43.530000,1427.29

92,22:45-23:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,7.060000,0.00,50.00,24.180000,0.000000,38.010000,0.000000,4.840000,33.860000,91.890000,0.920000,0,16.760000,193.460000,96.730000,95.760000,50.000000,43.530000,1427.29

93,23:00-23:15,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,5.040000,0.00,50.00,24.180000,0.000000,38.010000,0.000000,4.840000,33.860000,91.890000,0.870000,0,16.670000,193.460000,96.730000,95.760000,50.000000,43.530000,1425.13

94,23:15-23:30,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,5.040000,0.00,50.00,24.180000,0.000000,38.010000,0.000000,4.840000,33.860000,91.890000,0.870000,0,16.670000,193.460000,96.730000,95.760000,50.000000,43.530000,1425.13

95,23:30-23:45,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,5.040000,0.00,50.00,24.180000,0.000000,38.010000,0.000000,4.840000,33.860000,91.890000,0.870000,0,16.670000,193.460000,96.730000,95.760000,50.000000,43.530000,1425.13

96,23:45-24:00,25.030000,77.380000,46.620000,100.120000,125.110000,63.120000,36.500000,22.250000,22.250000,0.000000,88.700000,50.060000,0.000000,23.150000,5.040000,0.00,50.00,24.180000,0.000000,38.010000,0.000000,4.840000,33.860000,91.890000,0.870000,0,16.670000,193.460000,96.730000,95.760000,50.000000,43.530000,1425.13

