Time,Block,NR/2024/21573/C,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/2024/21141/A/27269,NR/2024/21113/A/27523,NR/2024/21076/A/27504,NR/2024/21146/A/27316,NR/2024/21089/A/27524,NR/2024/21148/A/27315,NR/2024/21594/C,NR/2024/20931/A/27491,NR/2024/20574/A/27566,NR/2024/21602/C,NR/2024/21604/C,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/2024/21210/A/27267,NR/2024/21574/C,NR/2024/21099/A/27270,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/2024/21062/A/27569,NR/2024/21087/A/27302,NR/2024/21186/A/27540,NR/2024/21339/A/27265,NR/2024/21496/A/27459,NR/2024/20688/A/27303,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/17072024/17072024/IEX_240717_01580,NR/2024/20573/A/27567,NR/2024/21227/A/27549,NR/2024/21183/A/27506,NR/2024/21588/C,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/30092023/31122025/SH-07,NR/2024/21160/A/27318,NR/2024/21156/A/27314,NR/2024/21158/A/27321,NR/2024/21159/A/27319,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/2024/21598/C,NR/2024/21601/C,NR/2024/21142/A/27268,NR/2024/21569/C,NR/2024/20966/A/27244,NR/2024/21150/A/27317,NR/2024/21199/A/27455,NR/2024/21636/C,NR/2024/21500/A/27140,NR/2024/21153/A/27313,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/2024/21075/A/27507,NR/2024/19779/A/27254,NR/30092023/26122029/SH-06,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21096/A/27551,NR/2024/21238/A/27508,NR/2024/21103/A/27550,NR/2024/21072/A/27525,NR/2024/21152/A/27243,NR/2024/21023/A/27457,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/21108/A/27548,NR/2024/20711/A/27589,NR/2024/21144/A/27294,NR/2024/21592/C,NR/2024/21173/A/27301,NR/01072024/31072024/R2,NR/2024/21485/A/27588,Total
26,06:15-06:30,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.670000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1592.74

27,06:30-06:45,0,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.670000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1592.74

28,06:45-07:00,0.26,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.670000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1593

29,07:00-07:15,0.57,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.770000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1593.41

30,07:15-07:30,0.79,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.770000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1593.63

31,07:30-07:45,0.83,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.770000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1593.67

32,07:45:08:00,0.91,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,0.000000,0.000000,0.000000,0.000000,96.040000,48.020000,163.510000,24.010000,0.000000,0.000000,24.010000,48.020000,0.000000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,53.450000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,0.000000,0.000000,5.760000,1.580000,14.950000,11.670000,0.770000,32.000000,48.020000,24.010000,2.880000,83.730000,37.100000,1.920000,0.000000,96.040000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,24.010000,240.100000,1593.75

33,08:00-08:15,1.11,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,5.760000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1594.14

34,08:15-08:30,1.31,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,5.760000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1594.34

35,08:30-08:45,1.86,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,6.720000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1595.85

36,08:45:09:00,2.51,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,6.720000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1596.5

37,09:00:09:15,2.63,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,6.720000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1596.62

38,09:15-09:30,3.14,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,6.720000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1597.13

39,09:30-09:45,4.26,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,6.720000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1598.25

40,09:45-10:00,4.97,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1602.8

41,10:00-10:15,4.28,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1602.11

42,10:15-10:30,4.32,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1602.15

43,10:30-10:45,3.05,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1600.88

44,10:45-11:00,3.03,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1600.86

45,11:00-11:15,5.56,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1603.39

46,11:15-11:30,5.36,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,48.020000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1603.19

47,11:30-11:45,4.22,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1578.65

48,11:45-12:00,4.04,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1578.47

49,12:00-12:15,3.21,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,0.000000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1553.02

50,12:15-12:30,3.31,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,0.000000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,12.370000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1553.12

51,12:30-12:45,4.49,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,0.000000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1550.09

52,12:45-13:00,4.84,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,0.000000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,10.560000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1550.44

53,13:00-13:15,5.32,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,0.000000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,9.600000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1549.96

54,13:15-13:30,4.58,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,0.000000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,9.600000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1549.22

55,13:30-13:45,4.66,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,9.600000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1573.92

56,13:45-14:00,4.46,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,26.330000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,9.600000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1573.72

57,14:00-14:15,2.87,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,18.550000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,9.600000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1564.35

58,14:15-14:30,1.78,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,18.550000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,9.600000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1563.26

59,14:30-14:45,1.68,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,18.550000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,9.600000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1563.16

60,14:45-15:00,2.77,0,0,0.000000,37.100000,90.280000,0.360000,37.100000,0.520000,0.000000,48.020000,0.000000,0.000000,0.000000,0.000000,48.020000,163.510000,24.010000,0.000000,24.010000,24.010000,24.620000,96.040000,0.000000,66.450000,0.000000,12.200000,0.000000,0.000000,0.000000,21.130000,0.000000,0.000000,18.550000,0.970000,0.610000,0.670000,0.870000,8.160000,0.000000,0.000000,0.000000,48.020000,6.130000,4.800000,0.870000,53.450000,0.000000,9.600000,1.580000,14.950000,11.670000,0.960000,32.000000,0.000000,24.010000,2.880000,83.730000,37.100000,1.920000,96.040000,0.000000,0.000000,23.930000,96.040000,0.480000,0.000000,24.010000,0.000000,240.100000,1564.25

