Time,Block,NR/2023/12282/D,NR/2023/11642/A,NR/2023/11476/A,NR/2023/11962/F,NR/2023/11956/F,NR/2023/11330/A,NR/2023/12302/C,NR/2023/10611/A,NR/2023/11961/F,NR/2023/12283/D,NR/2023/11941/F,NR/2023/10613/A,NR/2023/10487/A,NR/2023/11963/F,NR/2023/12300/C,NR/2023/11955/F,NR/2023/10229/A,NR/2023/11959/F,NR/2023/10236/A,NR/2023/12303/C,NR/2023/11960/F,NR/2023/11957/F,NR/2023/10434/A,NR/2023/12290/D,NR/2023/12316/C,NR/2023/12284/D,NR/2023/11862/F,NR/2023/11643/A,NR/2023/10944/A,NR/2023/11342/A,NR/2023/11958/F,NR/2023/11947/F,NR/2023/10344/A,NR/2023/11952/F,Total
67,16:30-16:45,2.41,14.450000,48.180000,0.410000,0.350000,0.000000,11.770000,9.920000,0.680000,41.1,62.630000,0.000000,41.430000,0.410000,29.550000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.000000,66.870000,10.000000,95.9,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,867.43

68,16:45-17:00,1.18,14.450000,48.180000,0.410000,0.350000,0.000000,11.770000,9.920000,0.680000,34.2,62.630000,0.000000,41.430000,0.410000,29.550000,0.360000,42.740000,0.660000,213.720000,8.500000,0.660000,0.700000,13.000000,66.870000,10.000000,79.8,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,843.2

69,17:00-17:15,0.89,14.450000,48.180000,0.410000,0.350000,0.000000,11.870000,9.920000,0.680000,26.1,62.630000,0.000000,41.430000,0.410000,30.570000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.000000,66.870000,0.000000,60.9,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,798.53

70,17:15-17:30,0.6,14.450000,48.180000,0.410000,0.350000,0.000000,11.870000,9.920000,0.680000,21,62.630000,0.000000,41.430000,0.410000,30.570000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.000000,66.870000,0.000000,49,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,781.24

71,17:30-17:45,0.31,14.450000,48.180000,0.410000,0.350000,0.000000,11.870000,9.920000,0.680000,15,62.630000,0.000000,41.430000,0.410000,30.570000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.000000,69.080000,0.000000,35,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,763.16

72,17:45-18:00,0.21,14.450000,48.180000,0.410000,0.350000,0.000000,11.870000,9.920000,0.680000,12,62.630000,0.000000,41.430000,0.410000,30.570000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,13.000000,80.930000,0.000000,28,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,0.000000,764.91

73,18:00-18:15,0,14.450000,48.180000,0.410000,0.350000,0.000000,11.960000,9.920000,0.680000,9,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,12.640000,80.930000,0.000000,21,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,791.8

74,18:15-18:30,0,14.450000,48.180000,0.410000,0.350000,0.000000,11.960000,9.920000,0.680000,3,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,10.740000,133.730000,0.000000,7,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,822.7

75,18:30-18:45,0,14.450000,48.180000,0.410000,0.350000,0.000000,11.960000,9.920000,0.680000,1.5,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,10.740000,192.700000,0.000000,3.5,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,876.67

76,18:45-19:00,0,14.450000,48.180000,0.410000,0.350000,0.000000,11.960000,9.920000,0.680000,0,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,10.740000,192.700000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,871.67

77,19:00-19:15,0,14.450000,48.180000,0.410000,0.350000,0.000000,12.050000,9.920000,0.680000,0,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,10.740000,192.700000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,871.76

78,19:15-19:30,0,14.450000,48.180000,0.410000,0.350000,0.000000,12.050000,9.920000,0.680000,0,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,24.090000,192.700000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,885.11

79,19:30-19:45,0,14.450000,48.180000,0.410000,0.350000,0.000000,12.050000,9.920000,0.680000,0,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,24.090000,192.700000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,885.11

80,19:45-20:00,0,14.450000,48.180000,0.410000,0.350000,0.000000,12.050000,9.920000,0.680000,0,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.660000,213.720000,0.000000,0.660000,0.700000,24.090000,192.700000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,885.11

81,20:00-20:15,0,14.450000,48.180000,0.410000,0.370000,0.000000,12.050000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,192.700000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,885.11

82,20:15-20:30,0,14.450000,48.180000,0.410000,0.370000,0.000000,12.050000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,192.700000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,885.11

83,20:30-20:45,0,14.450000,48.180000,0.410000,0.370000,0.000000,12.050000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,192.700000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,885.11

84,20:45-21:00,0,14.450000,48.180000,0.410000,0.370000,0.000000,12.050000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,192.700000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,885.11

85,21:00-21:15,0,14.450000,48.180000,0.410000,0.370000,0.000000,12.140000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,192.700000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,885.2

86,21:15-21:30,0,14.450000,48.180000,0.410000,0.370000,0.000000,12.140000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,192.700000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,885.2

87,21:30-21:45,0,14.450000,48.180000,0.410000,0.370000,0.000000,12.140000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,192.700000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,885.2

88,21:45-22:00,0,14.450000,48.180000,0.410000,0.370000,0.000000,12.140000,9.920000,0.690000,0,62.630000,0.000000,41.430000,0.410000,31.590000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,133.730000,0.000000,0,2.890000,13.010000,0.000000,115.620000,0.560000,6.740000,12.210000,36.350000,826.23

89,22:00-22:15,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.140000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,133.730000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,912.88

90,22:15-22:30,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.140000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,846.02

91,22:30-22:45,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.140000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,846.02

92,22:45-23:00,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.140000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,846.02

93,23:00-23:15,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.240000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,846.12

94,23:15-23:30,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.240000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,846.12

95,23:30-23:45,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.240000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,846.12

96,23:45-24:00,0,14.450000,48.180000,0.410000,0.370000,53.960000,12.240000,9.920000,0.690000,0,62.630000,12.620000,41.430000,0.410000,28.540000,0.360000,42.740000,0.640000,213.720000,0.000000,0.640000,0.710000,24.090000,66.870000,0.000000,0,2.890000,13.010000,23.120000,115.620000,0.560000,6.740000,12.210000,36.350000,846.12

