Time,Block,NR/2023/12916/F,NR/2023/12923/F,NR/2023/11496/A,NR/2023/10956/A,NR/2023/10720/A,NR/2023/12814/F,NR/2023/13261/C,NR/2023/11447/A,NR/2023/10460/A,NR/2023/12919/F,NR/2023/11507/A,NR/2023/10947/A,SR/2023/5976/C,NR/2023/12872/F,NR/2023/12917/F,NR/2023/11266/A,NR/2023/12813/F,NR/2023/12169/A,SR/2023/5974/C,NR/2023/13263/C,NR/2023/12661/A,NR/2023/13256/C,NR/2023/13145/F,NR/2023/13258/C,NR/2023/12920/F,NR/2023/12921/F,NR/2023/10651/A,NR/2023/11953/A,NR/2023/11712/A,NR/2023/12956/F,NR/2023/10959/A,NR/2023/10786/A,NR/2023/12706/A,NR/2023/10561/A,NR/2023/13244/D,NR/2023/12915/F,NR/2023/10436/A,NR/2023/12924/F,NR/2023/11709/A,NR/2023/12922/F,NR/2023/13248/D,NR/2023/13249/D,ER/2023/8139/C,NR/2023/13241/D,Total
50,12:15-12:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,10.000000,0.000000,28.530000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,44.1,102.9,130.000000,7.83,1309.41

51,12:30-12:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,10.000000,0.000000,28.530000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,44.1,102.9,130.000000,7.83,1309.41

52,12:45-13:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,10.000000,0.000000,28.530000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,44.1,102.9,130.000000,7.83,1309.41

53,13:00-13:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,10.000000,0.000000,28.530000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,44.1,102.9,130.000000,8.61,1310.19

54,13:15-13:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,10.000000,0.000000,28.530000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,44.1,102.9,130.000000,8.8,1310.38

55,13:30-13:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,10.000000,0.000000,28.530000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,44.1,102.9,130.000000,8.8,1310.38

56,13:45-14:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,0.000000,62.870000,0.000000,0.00,10.000000,0.000000,28.530000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,90.920000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,44.1,102.9,130.000000,9.32,1310.9

57,14:00-14:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,17.200000,62.870000,0.000000,0.00,10.000000,0.000000,30.570000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,106.390000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,44.1,102.9,130.000000,9.32,1368.76

58,14:15-14:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,17.200000,62.870000,0.000000,0.00,10.000000,0.000000,30.570000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,106.390000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,44.1,102.9,130.000000,9.23,1368.67

59,14:30-14:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,17.200000,62.870000,0.000000,0.00,10.000000,62.870000,30.570000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,106.390000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,42.29,98.69,130.000000,9.14,1425.43

60,14:45-15:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,17.200000,62.870000,0.000000,0.00,10.000000,62.870000,30.570000,24.180000,30.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,106.390000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,40.53,94.58,130.000000,8.61,1419.03

61,15:00-15:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,36.700000,62.870000,0.000000,0.00,10.000000,62.870000,30.570000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,106.390000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,39.48,92.11,130.000000,7.83,1404.23

62,15:15-15:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,36.700000,62.870000,0.000000,0.00,10.000000,62.870000,30.570000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,106.390000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,37.5,87.52,130.000000,6.96,1396.79

63,15:30-15:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,36.700000,62.870000,0.000000,0.00,10.000000,62.870000,30.570000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,106.390000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,33.59,78.37,130.000000,6.96,1383.73

64,15:45-16:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,36.700000,62.870000,0.000000,0.00,10.000000,62.870000,30.570000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,106.390000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,30.78,71.84,130.000000,6.09,1373.52

65,16:00-16:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,36.700000,62.870000,0.000000,0.00,10.000000,62.870000,32.610000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,106.390000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,28.83,67.27,80.000000,5.22,1318.17

66,16:15-16:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,36.700000,62.870000,0.000000,0.00,10.000000,62.870000,32.610000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,106.390000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,26.31,61.4,80.000000,4.35,1308.91

67,16:30-16:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,36.700000,62.870000,0.000000,0.00,10.000000,62.870000,32.610000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,106.390000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,23.79,55.51,80.000000,3.39,1299.54

68,16:45-17:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.870000,12.710000,23.210000,0.970000,255.260000,0.000000,0.00,0.970000,0.920000,36.700000,62.870000,0.000000,0.00,10.000000,62.870000,32.610000,24.180000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,106.390000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,19.59,45.72,80.000000,2.61,1284.77

69,17:00-17:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.960000,12.710000,23.210000,0.970000,255.260000,0.000000,50.00,0.680000,0.920000,36.700000,62.870000,0.000000,0.00,10.000000,62.870000,32.610000,0.000000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,16.23,37.88,0.000000,2.61,1138.01

70,17:15-17:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.960000,12.710000,23.210000,0.970000,255.260000,0.000000,50.00,0.680000,0.920000,36.700000,62.870000,0.000000,0.00,10.000000,62.870000,32.610000,0.000000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,9.79,22.86,0.000000,1.74,1115.68

71,17:30-17:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.960000,12.710000,23.210000,0.970000,255.260000,0.000000,50.00,0.680000,0.920000,36.700000,62.870000,0.000000,0.00,10.000000,62.870000,32.610000,0.000000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,8.12,18.94,0.000000,1.64,1109.99

72,17:45-18:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,14.960000,12.710000,23.210000,0.970000,255.260000,0.000000,50.00,0.680000,0.920000,36.700000,62.870000,0.000000,0.00,10.000000,62.870000,32.610000,0.000000,0.000000,0.980000,0.980000,63.110000,0.000000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,68.870000,0.370000,24.180000,0.610000,0.000000,1.020000,4.48,10.45,0.000000,0.87,1142.16

73,18:00-18:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.050000,12.710000,23.210000,0.970000,255.260000,0.000000,50.00,0.680000,0.920000,36.700000,62.870000,0.000000,0.00,0.000000,62.870000,34.650000,0.000000,0.000000,0.980000,0.980000,63.110000,36.490000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,113.950000,0.370000,24.180000,0.610000,0.000000,1.020000,3.64,8.49,0.000000,0.77,1212.96

74,18:15-18:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.050000,12.710000,23.210000,0.970000,255.260000,0.000000,50.00,0.680000,0.920000,36.700000,62.870000,0.000000,0.00,0.000000,62.870000,34.650000,0.000000,0.000000,0.980000,0.980000,63.110000,36.490000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,113.950000,0.370000,24.180000,0.610000,0.000000,1.020000,2.52,5.88,0.000000,0,1208.46

75,18:30-18:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.050000,12.710000,23.210000,0.970000,255.260000,0.000000,50.00,0.680000,0.920000,36.700000,62.870000,0.000000,0.00,0.000000,62.870000,34.650000,0.000000,0.000000,0.980000,0.980000,63.110000,36.490000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,146.050000,0.370000,24.180000,0.610000,0.000000,1.020000,1.67,3.9,0.000000,0,1237.73

76,18:45-19:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.050000,12.710000,23.210000,0.970000,255.260000,0.000000,50.00,0.680000,0.920000,50.850000,62.870000,0.000000,0.00,0.000000,62.870000,34.650000,0.000000,0.000000,0.980000,0.980000,63.110000,36.490000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,146.050000,0.370000,24.180000,0.610000,0.000000,1.020000,0.42,0.97,0.000000,0,1247.7

77,19:00-19:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.150000,12.710000,23.210000,0.970000,255.260000,0.000000,80.00,0.730000,0.920000,50.850000,62.870000,0.000000,50.00,0.000000,62.870000,34.650000,0.000000,0.000000,0.980000,0.980000,63.110000,36.490000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,146.050000,0.370000,24.180000,0.610000,0.000000,1.020000,1.84,4.27,0.000000,0,1332.57

78,19:15-19:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.150000,12.710000,23.210000,0.970000,255.260000,0.000000,80.00,0.730000,0.920000,50.850000,62.870000,0.000000,50.00,0.000000,62.870000,34.650000,0.000000,0.000000,0.980000,0.980000,63.110000,36.490000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,146.050000,0.370000,24.180000,0.610000,0.000000,1.020000,0.72,1.7,0.000000,0,1328.88

79,19:30-19:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.150000,12.710000,23.210000,0.970000,255.260000,0.000000,80.00,0.730000,0.920000,50.850000,62.870000,0.000000,50.00,0.000000,62.870000,34.650000,0.000000,0.000000,0.980000,0.980000,63.110000,36.490000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,146.050000,0.370000,24.180000,0.610000,0.000000,1.020000,0.13,0.28,0.000000,0,1326.87

80,19:45-20:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.150000,12.710000,23.210000,0.970000,255.260000,0.000000,80.00,0.730000,0.920000,50.850000,62.870000,0.000000,50.00,0.000000,62.870000,34.650000,0.000000,0.000000,0.980000,0.980000,63.110000,36.490000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,146.050000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1326.46

81,20:00-20:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.230000,12.710000,23.210000,0.920000,255.260000,0.000000,80.00,0.770000,0.920000,50.850000,62.870000,0.000000,50.00,0.000000,62.870000,33.630000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,146.050000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1325.41

82,20:15-20:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.230000,12.710000,23.210000,0.920000,255.260000,0.000000,80.00,0.770000,0.920000,50.850000,62.870000,0.000000,50.00,0.000000,62.870000,33.630000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,146.050000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1325.41

83,20:30-20:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.230000,12.710000,23.210000,0.920000,255.260000,0.000000,80.00,0.770000,0.920000,50.850000,62.870000,0.000000,50.00,0.000000,62.870000,33.630000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,127.470000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1306.83

84,20:45-21:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.230000,12.710000,23.210000,0.920000,255.260000,0.000000,80.00,0.770000,0.920000,50.850000,62.870000,0.000000,50.00,0.000000,62.870000,33.630000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,48.360000,6.770000,48.360000,113.950000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1293.31

85,21:00-21:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.330000,12.710000,23.210000,0.920000,255.260000,0.000000,80.00,0.770000,0.920000,36.700000,62.870000,0.000000,50.00,0.000000,62.870000,33.630000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,91.880000,6.770000,48.360000,68.870000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1277.7

86,21:15-21:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.330000,12.710000,23.210000,0.920000,255.260000,0.000000,80.00,0.770000,0.920000,36.700000,62.870000,0.000000,50.00,0.000000,62.870000,33.630000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,91.880000,6.770000,48.360000,68.870000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1277.7

87,21:30-21:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.330000,12.710000,23.210000,0.920000,255.260000,0.000000,80.00,0.770000,0.920000,36.700000,62.870000,0.000000,50.00,0.000000,62.870000,33.630000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,91.880000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1232.63

88,21:45-22:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.330000,12.710000,23.210000,0.920000,255.260000,0.000000,80.00,0.770000,0.920000,50.850000,62.870000,0.000000,50.00,0.000000,62.870000,33.630000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,91.880000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,0.000000,1.020000,0,0,0.000000,0,1246.78

89,22:00-22:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.420000,12.710000,23.210000,0.920000,255.260000,27.860000,0.00,0.730000,0.920000,50.850000,62.870000,65.000000,0.00,0.000000,62.870000,32.610000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,91.880000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1231.82

90,22:15-22:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.420000,12.710000,23.210000,0.920000,255.260000,27.860000,0.00,0.730000,0.920000,50.850000,62.870000,65.000000,0.00,0.000000,62.870000,32.610000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,91.880000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1231.82

91,22:30-22:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.420000,12.710000,23.210000,0.920000,255.260000,27.860000,0.00,0.730000,0.920000,50.850000,62.870000,65.000000,0.00,0.000000,62.870000,32.610000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,91.880000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1231.82

92,22:45-23:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.420000,12.710000,23.210000,0.920000,255.260000,27.860000,0.00,0.730000,0.920000,50.850000,62.870000,65.000000,0.00,0.000000,62.870000,32.610000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,91.880000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1231.82

93,23:00-23:15,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.510000,12.710000,23.210000,0.920000,255.260000,27.860000,0.00,0.630000,0.920000,50.850000,62.870000,65.000000,0.00,0.000000,62.870000,32.610000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,91.880000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1231.81

94,23:15-23:30,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.510000,12.710000,23.210000,0.920000,255.260000,27.860000,0.00,0.630000,0.920000,36.700000,62.870000,65.000000,0.00,0.000000,62.870000,32.610000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,91.880000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1217.66

95,23:30-23:45,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.510000,12.710000,23.210000,0.920000,255.260000,27.860000,0.00,0.630000,0.920000,36.700000,62.870000,65.000000,0.00,0.000000,62.870000,32.610000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,91.880000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1217.66

96,23:45-24:00,0.520000,0.610000,20.310000,85.080000,23.700000,78.340000,15.510000,12.710000,23.210000,0.920000,255.260000,27.860000,0.00,0.630000,0.920000,36.700000,62.870000,65.000000,0.00,0.000000,62.870000,32.610000,0.000000,0.000000,0.930000,0.930000,63.110000,36.490000,64.320000,4.840000,21.270000,91.880000,6.770000,48.360000,23.800000,0.370000,24.180000,0.610000,23.150000,1.020000,0,0,0.000000,0,1217.66

