Column1,Block,NR/2025/32004/A/97338,NR/2025/32262/A/96895,NR/2025/32559/A/97334,NR/2025/32610/A/97333,NR/2025/29992/A/96998,NR/2025/33696/C,NR/2025/33721/C,NR/2025/33686/C,NR/2025/33697/C,NR/2025/32556/A/97335,NR/2025/32554/A/97295,NR/2025/33698/C,NR/2025/31421/A/97349,NR/2025/33689/C,NR/2025/33712/C,NR/2025/32598/A/97267,NR/2025/33233/A/97365,NR/2025/33720/C,NR/2025/31041/A/97302,NR/2025/31046/A/97301,NR/2025/31042/A/97456,NR/2025/31047/A/97457,NR/2025/32455/A/97386,NR/2025/32535/A/97282,NR/2025/32534/A/97279,NR/2025/32652/A/97045,NR/2025/32857/A/97038,NR/2025/32599/A/97037,NR/2025/32534/A/97280,NR/2025/32532/A/97277,NR/2025/32653/A/97044,NR/2025/32535/A/97281,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/97278,GNA/NR/2025/08/01/6475,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/4125,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6452,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6187,NR/2025/32375/A/97366,NR/2025/32397/A/96864,NR/2025/33469/A/96993,NR/2025/29440/A/96851,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/2025/33606/C,Total
55,13:30-13:45,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,8.83,33.72,14.45,48.18,0,0,0,0,0,0.29,0.29,1.64,1.16,161,0.37,0.48,1.45,0.19,95.76,0.51,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1172.5

56,13:45-14:00,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,8.83,33.72,14.45,48.18,0,0,0,0,0,0.29,0.29,1.64,1.16,161,0.37,0.48,1.45,0.19,95.7,0.51,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1172.44

57,14:00-14:15,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,8.83,33.72,14.45,48.18,0,0,0,0,0,0.29,0.29,1.64,1.16,119,0.37,0.48,1.45,0.19,94.21,0.51,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1128.95

58,14:15-14:30,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,8.83,33.72,14.45,48.18,0,0,0,0,0,0.29,0.29,1.64,1.16,119,0.37,0.48,1.45,0.19,92.27,0.51,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1127.0099999999998

59,14:30-14:45,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,8.83,33.72,14.45,48.18,0,0,0,0,0,0.64,0.29,1.64,1.16,119,0.77,0.48,1.45,0.19,89.75,0.91,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1125.6399999999999

60,14:45-15:00,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,8.83,33.72,14.45,48.18,0,0,0,0,0,0.58,0.29,1.64,1.16,119,0.77,0.48,1.45,0.19,86.66,0.82,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1122.3999999999999

61,15:00-15:15,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,10.78,33.72,14.45,48.18,0,0,0,0,0,0.37,0.29,1.64,1.16,126,0.77,0.48,1.45,0.19,78.12,0.52,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1122.2999999999997

62,15:15-15:30,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,10.78,33.72,14.45,48.18,0,0,0,0,0,0.32,0.29,1.64,1.16,119,0.77,0.48,1.45,0.19,73.58,0.45,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1110.6399999999999

63,15:30-15:45,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,10.78,33.72,14.45,48.18,0,0,0,0,0,0.29,0.29,1.64,1.16,119,0.77,0.48,1.45,0.19,65.5,0.42,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1102.4999999999995

64,15:45-16:00,0,0,0,0,26.23,24.09,192.7,96.35,24.09,0,0,24.09,0,76.71,10.78,33.72,14.45,48.18,0,0,0,0,0,0.24,0.29,1.64,1.16,112,0.77,0.48,1.45,0.19,61.07,0.34,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.96,26.95,26.95,18.09,1090.9399999999998

65,16:00-16:15,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,10.78,33.72,14.45,0,0,0,0,0,0,0,0.25,0,0,98,0.77,0.48,0,0.16,55.89,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.87,26.95,26.95,0,1066.7699999999998

66,16:15-16:30,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,10.78,33.72,14.45,0,0,0,0,0,0,0,0.24,0,0,88,0.77,0.48,0,0.16,50.48,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.87,26.95,26.95,0,1051.3499999999997

67,16:30-16:45,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,10.78,33.72,14.45,0,0,0,0,0,0,0,0.26,0,0,77,0.77,0.42,0,0.17,31.41,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.87,26.95,26.95,0,1021.2499999999997

68,16:45-17:00,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,8.83,33.72,14.45,0,0,0,0,0,0,0,0.27,0,0,67,0.77,0.44,0,0.17,30.49,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,0,13.49,0.87,26.95,26.95,0,1008.4099999999999

69,17:00-17:15,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,8.17,33.72,14.45,0,0,0,0,0,0,0,0.27,0,0,60,0.77,0.45,0,0.18,22.82,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,8.67,13.49,0.87,26.95,26.95,0,1001.7699999999998

70,17:15-17:30,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,7.89,33.72,14.45,0,0,0,0,0,0,0,0.27,0,0,46,0.77,0.45,0,0.18,20.34,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,8.67,13.49,0.87,26.95,26.95,0,985.0099999999998

71,17:30-17:45,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,7.71,33.72,14.45,0,0,0,0,0,0,0,0.27,0,0,39,0,0.45,0,0.18,17.85,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,8.67,13.49,0.87,26.95,26.95,0,974.5699999999998

72,17:45-18:00,76.71,0,24.09,24.09,44.32,0,192.7,0,0,24.09,96.35,0,48.18,0,7.78,33.72,14.45,0,0,0,0,0,0,0,0.21,0,0,32,0,0.36,0,0.14,15.37,0,20.79,48.18,8.76,12.04,48.18,24.09,8.76,18.72,12.04,19.27,15.27,17.38,0,8.67,13.49,0.87,26.95,26.95,0,964.9699999999998

73,18:00-18:15,76.71,0,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,8.59,33.72,14.45,0,0,0,0,0,48.18,0,0.14,0,0,25,0,0.25,0,0.1,12.21,0,20.79,0,8.76,12.04,48.18,24.09,8.76,18.72,12.04,0,0,17.38,0,8.67,13.49,0.87,26.94,26.94,0,960.26

74,18:15-18:30,76.71,0,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,6.24,33.72,14.45,0,0,0,0,0,48.18,0,0.1,0,0,18,0,0.15,0,0.07,9.04,0,20.79,0,8.76,12.04,48.18,24.09,8.76,18.72,12.04,0,0,17.38,0,8.67,13.49,0.87,26.94,26.94,0,947.5699999999999

75,18:30-18:45,76.71,0,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,4.08,33.72,14.45,0,0,0,0,0,48.18,0,0.05,0,0,11,0,0.09,0,0.04,5.88,0,20.79,0,8.76,12.04,48.18,24.09,8.76,18.72,12.04,0,0,17.38,0,8.67,13.49,0.87,26.94,26.94,0,935.1099999999999

76,18:45-19:00,76.71,0,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,2.61,33.72,14.45,0,0,0,0,0,48.18,0,0.02,0,0,6,0,0.04,0,0.02,2.72,0,20.79,0,8.76,12.04,48.18,24.09,8.76,18.72,12.04,0,0,17.38,0,8.67,13.49,0.87,26.94,26.94,0,925.3799999999999

77,19:00-19:15,76.71,0,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,1,0,0,0,0,1.53,0,20.79,0,8.76,12.04,48.18,24.09,8.76,18.72,12.04,0,0,17.38,0,8.67,13.49,0.92,26.94,26.94,0,916.5499999999998

78,19:15-19:30,76.71,0,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0.68,0,20.79,0,8.76,12.04,48.18,24.09,8.76,18.72,12.04,0,0,17.38,0,8.67,13.49,0.92,26.94,26.94,0,914.6999999999998

79,19:30-19:45,76.71,0,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,18.72,12.04,0,0,17.38,0,8.67,13.49,0.92,23.31,23.31,0,906.7599999999996

80,19:45-20:00,76.71,0,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,18.72,12.04,0,0,17.38,0,8.67,13.49,0.92,23.31,23.31,0,906.7599999999996

81,20:00-20:15,76.71,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,13.49,0.92,23.31,23.31,0,956.8399999999997

82,20:15-20:30,76.71,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,13.49,0.92,23.31,23.31,0,956.8399999999997

83,20:30-20:45,76.71,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,13.49,0.92,23.31,23.31,0,956.8399999999997

84,20:45-21:00,76.71,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,13.49,0.92,23.31,23.31,0,956.8399999999997

85,21:00-21:15,105.98,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,13.49,0.92,23.31,23.31,0,986.1099999999997

86,21:15-21:30,105.98,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,13.49,0.92,23.31,23.31,0,986.1099999999997

87,21:30-21:45,105.98,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,13.49,0.92,23.31,23.31,0,986.1099999999997

88,21:45-22:00,105.98,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,13.49,0.92,23.31,23.31,0,986.1099999999997

89,22:00-22:15,105.98,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,13.49,0.92,23.31,23.31,0,986.1099999999997

90,22:15-22:30,105.98,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,13.49,0.92,23.31,23.31,0,986.1099999999997

91,22:30-22:45,105.98,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,12.53,0.92,26.94,26.94,0,992.4099999999999

92,22:45-23:00,105.98,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,12.53,0.92,26.94,26.94,0,992.4099999999999

93,23:00-23:15,105.98,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,12.53,0.87,26.94,26.94,0,992.3599999999999

94,23:15-23:30,105.98,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,12.53,0.87,26.94,26.94,0,992.3599999999999

95,23:30-23:45,105.98,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,12.53,0.87,26.94,26.94,0,992.3599999999999

96,23:45-24:00,105.98,54.2,37.23,37.23,44.32,0,192.7,0,0,37.23,96.35,0,48.18,0,0,33.72,14.45,0,0,0,0,0,48.18,0,0,0,0,0,0,0,0,0,0,0,20.79,0,8.76,12.04,48.18,24.09,8.76,14.6,12.04,0,0,17.38,0,8.67,12.53,0.87,26.94,26.94,0,992.3599999999999

