Time,Block,NR/2023/11956/F,NR/2023/10944/A,NR/2023/10344/A,NR/2023/10223/A,NR/2023/12656/F,NR/2023/12943/C,NR/2023/11643/A,NR/2023/11962/F,NR/2023/11342/A,NR/2023/11476/A,NR/2023/10434/A,NR/2023/10229/A,NR/2023/11952/F,NR/2023/11961/F,NR/2023/12880/D,NR/2023/11958/F,NR/2023/11284/A,NR/2023/11640/A,NR/2023/12881/D,NR/2023/10487/A,NR/2023/10611/A,NR/2023/11960/F,NR/2023/11941/F,NR/2023/12890/C,NR/2023/12883/D,NR/2023/11947/F,NR/2023/12902/C,NR/2023/10236/A,NR/2023/11862/F,NR/2023/10613/A,NR/2023/12882/D,NR/2023/11959/F,NR/2023/11642/A,NR/2023/11963/F,NR/2023/11955/F,NR/2023/11957/F,NR/2023/11330/A,NR/2023/12889/C,NR/2023/10173/A,Total
57,14:00-14:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,7.35,0.820000,33.840000,23.150000,51.99,41.570000,9.960000,0.930000,33.840000,32.610000,22.28,6.770000,15.410000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,75.530000,1001.59

58,14:15-14:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,7.15,0.820000,33.840000,23.150000,51.15,41.570000,9.960000,0.930000,33.840000,32.610000,21.92,6.770000,15.410000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,75.530000,1000.19

59,14:30-14:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,7.06,0.820000,33.840000,23.150000,166.6,41.570000,9.960000,0.930000,33.840000,32.610000,71.4,6.770000,15.410000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,75.530000,1165.03

60,14:45-15:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,6.57,0.820000,33.840000,23.150000,163.8,41.570000,9.960000,0.930000,33.840000,32.610000,70.2,6.770000,15.410000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,75.530000,1160.54

61,15:00-15:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,6.28,0.820000,33.840000,23.150000,154.7,41.570000,9.960000,0.930000,33.840000,34.650000,66.3,6.770000,15.510000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,75.530000,1149.39

62,15:15-15:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,5.99,0.820000,33.840000,23.150000,150.5,41.570000,9.960000,0.930000,33.840000,34.650000,64.5,6.770000,15.510000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,75.530000,1143.1

63,15:30-15:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,5.7,0.820000,33.840000,23.150000,137.2,41.570000,9.960000,0.930000,33.840000,34.650000,58.8,6.770000,15.510000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,75.530000,1123.81

64,15:45-16:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,5.61,0.820000,33.840000,23.150000,124.6,41.570000,9.960000,0.930000,33.840000,34.650000,53.4,6.770000,15.510000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,75.530000,1105.72

65,16:00-16:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,5.51,0.820000,33.840000,23.150000,112,41.570000,9.960000,0.930000,33.840000,34.650000,48,6.770000,15.590000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,75.530000,1087.7

66,16:15-16:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,5.37,0.820000,33.840000,23.150000,100.8,41.570000,9.960000,0.930000,33.840000,34.650000,43.2,6.770000,15.590000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,75.530000,1071.56

67,16:30-16:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,4.59,0.820000,33.840000,23.150000,91,41.570000,9.960000,0.930000,33.840000,34.650000,39,6.770000,15.590000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,75.530000,1056.78

68,16:45-17:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,4.54,0.820000,33.840000,23.150000,78.4,41.570000,9.960000,0.930000,33.840000,34.650000,33.6,6.770000,15.590000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,24.170000,75.530000,1038.73

69,17:00-17:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,3.96,0.820000,33.840000,0.000000,63,41.570000,9.960000,0.930000,33.840000,34.650000,27,6.770000,15.690000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,968.93

70,17:15-17:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,3.38,0.820000,33.840000,0.000000,44.1,41.570000,9.960000,0.930000,33.840000,34.650000,18.9,6.770000,15.690000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,941.35

71,17:30-17:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,2.42,0.820000,33.840000,0.000000,35.7,41.570000,9.960000,0.930000,33.840000,34.650000,15.3,6.770000,15.690000,236.680000,2.900000,0.000000,158.750000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1006.03

72,17:45-18:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,0.000000,1.020000,1.74,0.820000,33.840000,0.000000,30.8,41.570000,9.960000,0.930000,33.840000,34.650000,13.2,6.770000,15.690000,236.680000,2.900000,0.000000,193.360000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1032.96

73,18:00-18:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,23.8,41.570000,9.960000,0.930000,33.840000,34.650000,10.2,6.770000,15.780000,236.680000,2.900000,0.000000,193.360000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1057.79

74,18:15-18:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,14,41.570000,9.960000,0.930000,33.840000,34.650000,6,6.770000,15.780000,236.680000,2.900000,0.000000,193.360000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1043.79

75,18:30-18:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,7,41.570000,9.960000,0.930000,33.840000,34.650000,3,6.770000,15.780000,236.680000,2.900000,0.000000,193.360000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1033.79

76,18:45-19:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,3.5,41.570000,9.960000,0.930000,33.840000,34.650000,1.5,6.770000,15.780000,236.680000,2.900000,0.000000,193.360000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1028.79

77,19:00-19:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,34.650000,0,6.770000,15.870000,236.680000,2.900000,0.000000,193.360000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1023.88

78,19:15-19:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,34.650000,0,6.770000,15.870000,236.680000,2.900000,0.000000,193.360000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1023.88

79,19:30-19:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,34.650000,0,6.770000,15.870000,236.680000,2.900000,0.000000,193.360000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1023.88

80,19:45-20:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,34.650000,0,6.770000,15.870000,236.680000,2.900000,0.000000,193.360000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1023.88

81,20:00-20:15,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,32.610000,0,6.770000,15.970000,236.680000,2.900000,0.000000,193.360000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1021.94

82,20:15-20:30,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,32.610000,0,6.770000,15.970000,236.680000,2.900000,0.000000,193.360000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1021.94

83,20:30-20:45,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,32.610000,0,6.770000,15.970000,236.680000,2.900000,0.000000,193.360000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1021.94

84,20:45-21:00,0.510000,0.000000,12.250000,21.510000,2.900000,0.000000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,32.610000,0,6.770000,15.970000,236.680000,2.900000,0.000000,193.360000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1021.94

85,21:00-21:15,0.510000,0.000000,12.250000,21.510000,2.900000,31.230000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.160000,236.680000,2.900000,0.000000,162.130000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1021.12

86,21:15-21:30,0.510000,0.000000,12.250000,21.510000,2.900000,59.170000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.160000,236.680000,2.900000,0.000000,134.190000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1021.12

87,21:30-21:45,0.510000,0.000000,12.250000,21.510000,2.900000,112.250000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.160000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1021.12

88,21:45-22:00,0.510000,0.000000,12.250000,21.510000,2.900000,112.250000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,0.000000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.160000,236.680000,2.900000,0.000000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,0.000000,0.000000,75.530000,1021.12

89,22:00-22:15,0.510000,27.840000,12.250000,21.510000,2.900000,112.250000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.240000,236.680000,2.900000,12.670000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1149.83

90,22:15-22:30,0.510000,27.840000,12.250000,21.510000,2.900000,112.250000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.240000,236.680000,2.900000,12.670000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1149.83

91,22:30-22:45,0.510000,27.840000,12.250000,21.510000,2.900000,112.250000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.240000,236.680000,2.900000,12.670000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1149.83

92,22:45-23:00,0.510000,27.840000,12.250000,21.510000,2.900000,112.250000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.240000,236.680000,2.900000,12.670000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1149.83

93,23:00-23:15,0.510000,27.840000,12.250000,21.510000,2.900000,112.250000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.340000,236.680000,2.900000,12.670000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1149.93

94,23:15-23:30,0.510000,27.840000,12.250000,21.510000,2.900000,112.250000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.340000,236.680000,2.900000,12.670000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1149.93

95,23:30-23:45,0.510000,27.840000,12.250000,21.510000,2.900000,112.250000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.340000,236.680000,2.900000,12.670000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1149.93

96,23:45-24:00,0.510000,27.840000,12.250000,21.510000,2.900000,53.080000,13.050000,0.580000,116.020000,48.340000,24.170000,43.030000,36.480000,1.020000,0,0.820000,33.840000,23.150000,0,41.570000,9.960000,0.930000,33.840000,31.600000,0,6.770000,16.340000,236.680000,2.900000,12.670000,81.110000,0.930000,14.500000,0.610000,0.360000,0.900000,64.970000,0.000000,75.530000,1090.76

