,,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,MEGHALAYA,NA,NA,NA,UTTARAKHAND,MEGHALAYA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,ARUNACHAL PRADESH,NA,SIKKIM,TAMIL NADU,HIMACHAL PRADESH,MEGHALAYA,MP,Gujarat,HIMACHAL PRADESH,NA,MEGHALAYA,HIMACHAL PRADESH,NA,NA,NA,MEGHALAYA,ANDHRA PRADESH,UTTAR PRADESH,NA,GOA,NA,
,,RSRPL_BKN,HP,HP,Meghalaya_Ben,JPNIGRIE_JNSTPP,SOLAPUR_SOLAR,SEIL,UTTARAKHAND,Meghalaya_Ben,HP,Teesta_III,HP-GOVT,Arunachal_Ben,RKM_POWER,SIKKIM,OPGPGPLU2TN,CHANJUII,Meghalaya_Ben,JP BINA,SUGEN_GUVNL,GBHHPL,KWHEP,Meghalaya_Ben,HP,JHABUA_IPP,SEILP2,SINGOLI,Meghalaya_Ben,ITCWIND,BCMLB001,KAMENG,GOA_Beneficiary,SKS Raigarh,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,NDMC,BRPL,BYPL,BYPL,BRPL,MES (Delhi),BRPL,BYPL,BYPL,BRPL,BRPL,BRPL,NDMC,BRPL,BYPL,BYPL,TPDDL,BYPL,BRPL,BRPL,DIAPL,BRPL,BYPL,BRPL,BRPL,BRPL,BRPL,BYPL,ITCLH,NDMC,TPDDL,BRPL,NDMC,
,,North-North,North-North,North-North,North East-East-North,West-North,West-North,South-West-North,North-North,North East-East-North,North-North,East-North,North-North,North East-East-North,West-East-North,East-North,South-East-North,North-North,North East-East-North,West-North,West-East-North,North-North,North-North,North East-East-North,North-North,West-East-North,South-West-North,North-North,North East-East-North,South-West-North,North-North,North East-East-North,West-North,West-North,
24,05:45-06:00,0,38.390000,50.380000,62.570000,99.330000,0,0.000000,47.980000,19.470000,117.560000,0.000000,50.860000,0.000000,0.000000,0.000000,0.000000,9.620000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,40.310000,0.000000,0.580000,0.000000,106.060000,23.990000,62.380000,918.55

25,06:00-06:15,0,38.390000,0.000000,62.570000,99.330000,0,0.000000,47.980000,19.470000,0.000000,0.000000,162.190000,0.000000,0.000000,0.000000,0.000000,9.530000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.670000,0.000000,106.060000,23.990000,62.380000,821.63

26,06:15-06:30,0,38.390000,0.000000,62.570000,99.330000,0,0.000000,47.980000,19.470000,0.000000,0.000000,126.680000,0.000000,0.000000,0.000000,0.000000,9.530000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.670000,0.000000,106.060000,23.990000,62.380000,786.12

27,06:30-06:45,0,38.390000,0.000000,62.570000,99.330000,0.2,0.000000,47.980000,19.470000,0.000000,0.000000,96.930000,0.000000,0.000000,0.000000,0.000000,9.530000,22.070000,49.660000,0.000000,4.030000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.670000,0.000000,106.060000,23.990000,62.380000,755.55

28,06:45-07:00,0,38.390000,0.000000,62.570000,99.330000,0.6,0.000000,47.980000,19.470000,0.000000,0.000000,67.180000,0.000000,0.000000,0.000000,0.000000,9.530000,22.070000,49.660000,0.000000,4.030000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.670000,0.000000,106.060000,23.990000,62.380000,726.2

29,07:00-07:15,0,38.390000,0.000000,62.570000,99.330000,1.07,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.530000,22.070000,49.660000,0.000000,4.030000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.670000,0.000000,106.060000,23.990000,62.380000,659.49

30,07:15-07:30,0,38.390000,0.000000,62.570000,99.330000,1.66,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.530000,22.070000,49.660000,0.000000,4.030000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.670000,0.000000,106.060000,23.990000,62.380000,660.08

31,07:30-07:45,0,38.390000,0.000000,62.570000,99.330000,2.34,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.530000,22.070000,49.660000,0.000000,4.030000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.670000,0.000000,106.060000,23.990000,62.380000,660.76

32,07:45:08:00,0,38.390000,0.000000,62.570000,99.330000,3,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.530000,22.070000,49.660000,0.000000,4.030000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.670000,0.000000,106.060000,23.990000,62.380000,661.42

33,08:00-08:15,0,38.390000,0.000000,62.570000,99.330000,3.07,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.430000,22.070000,49.660000,0.000000,4.030000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,0.000000,106.060000,23.990000,62.380000,661.68

34,08:15-08:30,0,38.390000,0.000000,62.570000,99.330000,3.36,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.430000,22.070000,49.660000,0.000000,4.030000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,0.000000,106.060000,23.990000,62.380000,661.97

35,08:30-08:45,0,38.390000,0.000000,62.570000,99.330000,3.45,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.430000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,0.000000,106.060000,23.990000,62.380000,663.08

36,08:45:09:00,0,38.390000,0.000000,62.570000,99.330000,3.6,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.430000,22.070000,49.660000,0.000000,5.050000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,0.000000,106.060000,23.990000,62.380000,663.23

37,09:00:09:15,15.84,38.390000,0.000000,62.570000,99.330000,3.74,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.430000,22.070000,49.660000,0.000000,6.060000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,717.17

38,09:15-09:30,15.84,38.390000,0.000000,62.570000,99.330000,4.03,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.430000,22.070000,49.660000,0.000000,6.060000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,717.46

39,09:30-09:45,15.84,38.390000,0.000000,62.570000,99.330000,4.32,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.430000,22.070000,49.660000,0.000000,6.060000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,717.75

40,09:45-10:00,15.84,38.390000,0.000000,62.570000,99.330000,4.61,0.000000,47.980000,19.470000,0.000000,0.000000,0.000000,28.790000,0.000000,0.000000,0.000000,9.430000,22.070000,49.660000,0.000000,7.060000,0.000000,34.550000,77.740000,0.000000,0.000000,0.000000,0.000000,0.960000,8.160000,106.060000,23.990000,62.380000,719.04

