Block,Time,SALAL,DULHASTI,UNCHAHAR4,DADRI_GF,URI,DADRT2,KOLDAM,AURY_CRF,UNCHAHAR3,TEHRI,ANTA_RF,RAMPUR,CHAMERA2,RIHAND2,TANDA2,KOTESHWR,NAPP,ANTA_CRF,AURY_RF,KISHANGANGA,RAPPB,CHAMERA1,RIHAND1,PARBATI3,CHAMERA3,JHAJJAR,UNCHAHAR1,UNCHAHAR2,ANTA_GF,DHAULIGNGA,DADRI_LF,SINGRAULI_HYDRO,BSIUL,NJPC,RIHAND3,AURY_GF,SINGRAULI,RAPPC,AURY_LF,ANTA_LF,TANAKPUR,DADRI_CRF,URI2,DADRI_RF,SEWA2,BRBCL,TALA,FSTPP I & II,SASAN,KHSTPP-II,KHSTPP-I,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
32,07:45:08:00,60.683591,38.152355,2.348602,0.000000,39.504101,367.316765,0.000000,0.000000,17.841158,0.000000,0.000000,0.983006,31.269456,120.287898,5.181808,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,27.174272,83.660324,37.903927,11.217119,357.827000,15.086180,17.400837,0.000000,10.501598,0.000000,0.754018,18.918797,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,17.032574,0.000000,16.135677,404.992467,114.589938,36.006197,0,0,0,0,0

33,08:00-08:15,60.683591,38.152355,2.348602,0.000000,33.631870,367.316765,0.000000,0.000000,15.588461,0.000000,0.000000,0.983006,31.269456,120.287898,5.181808,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,13.446558,83.660324,5.902200,11.217119,357.827000,12.178884,14.592344,0.000000,0.000000,0.000000,0.754018,12.612531,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,14.085418,404.992467,95.247938,29.840451,0,0,0,0,0

34,08:15-08:30,60.683591,38.152355,2.348602,0.000000,33.631870,367.316765,0.000000,0.000000,14.719262,0.000000,0.000000,0.983006,31.269456,120.287898,5.181808,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,12.835351,83.660324,3.688875,11.217119,357.827000,12.178884,14.575454,0.000000,0.000000,0.000000,0.754018,12.612531,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,13.349075,404.992467,95.247938,29.840451,0,0,0,0,0

35,08:30-08:45,60.683591,38.152355,2.348602,0.000000,33.631870,367.316765,0.000000,0.000000,14.719262,0.000000,0.000000,0.983006,15.634728,120.287898,5.181808,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,0.000000,83.660324,0.000000,11.217119,357.827000,12.178884,14.575454,0.000000,0.000000,0.000000,0.754018,12.612531,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,13.349075,404.992467,95.247938,29.840451,0,0,0,0,0

36,08:45:09:00,60.683591,38.152355,2.348602,0.000000,33.631870,367.316765,0.000000,0.000000,14.719262,0.000000,0.000000,0.983006,15.634728,120.287898,5.181808,8.919085,50.417475,0.000000,0.000000,5.377496,0.000000,0.000000,83.660324,0.000000,11.217119,357.827000,12.178884,14.575454,0.000000,0.000000,0.000000,0.754018,12.612531,25.648249,126.284015,0.000000,145.054314,67.377536,0.000000,0.000000,0.000000,0.000000,33.998240,0.000000,18.182077,19.341973,0.000000,13.349075,404.992467,95.247938,29.840451,0,0,0,0,0

