Time,Block,NR/2023/12168/A,NR/2023/15057/F,NR/2023/12592/A,NR/2023/15309/F,NR/2023/14746/A,NR/2023/16169/C,NR/2023/16176/C,NR/2023/14895/A,NR/2023/15402/F,NR/2023/16170/C,NR/2023/16193/C,NR/2023/12431/A,NR/2023/16157/C,NR/2023/12591/A,NR/2023/16174/C,NR/2023/13862/A,NR/2023/13635/A,NR/2023/12167/A,NR/2023/16154/C,NR/2023/16168/C,NR/2023/14737/A,NR/2023/16152/D,NR/2023/15937/F,NR/2023/14898/A,NR/2023/12053/A,NR/2023/16167/C,NR/2023/12052/A,NR/2023/14745/A,NR/2023/12422/A,ER/2023/10074/C,NR/2023/12347/A,NR/2023/16156/C,WR/2023/18197/C,NR/2023/12148/A,NR/2023/16166/C,NR/2023/16155/C,NR/2023/16172/C,Total
60,14:45-15:00,46.620000,0.970000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,9.100000,96.730000,62.870000,7.1,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,50.000000,106.400000,0.000000,0.000000,22.250000,0.000000,0.000000,7.74,1268.05

61,15:00-15:15,46.620000,0.920000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,9.100000,96.730000,62.870000,6.18,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,0.000000,106.400000,0.000000,0.000000,22.250000,0.000000,0.000000,7.74,1217.08

62,15:15-15:30,46.620000,0.920000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,9.100000,96.730000,62.870000,5.18,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,0.000000,106.400000,0.000000,0.000000,22.250000,0.000000,0.000000,7.74,1216.08

63,15:30-15:45,46.620000,0.920000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,9.100000,96.730000,62.870000,4.06,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,0.000000,106.400000,0.000000,0.000000,22.250000,0.000000,0.000000,7.74,1214.96

64,15:45-16:00,46.620000,0.920000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,9.100000,96.730000,62.870000,3.4,193.460000,77.380000,0.000000,16.580000,63.120000,24.180000,0.000000,0.000000,106.400000,0.000000,0.000000,22.250000,0.000000,0.000000,7.74,1214.3

65,16:00-16:15,46.620000,0.820000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,9.100000,96.730000,62.870000,2,193.460000,77.380000,0.000000,16.670000,63.120000,24.180000,0.000000,0.000000,106.400000,0.000000,0.000000,22.250000,0.000000,0.000000,7.74,1212.89

66,16:15-16:30,46.620000,0.820000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,9.100000,96.730000,62.870000,2.37,193.460000,77.380000,0.000000,16.670000,63.120000,24.180000,0.000000,0.000000,106.400000,0.000000,0.000000,22.250000,0.000000,0.000000,7.74,1213.26

67,16:30-16:45,46.620000,0.820000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,9.100000,96.730000,62.870000,1.89,193.460000,77.380000,0.000000,16.670000,63.120000,24.180000,0.000000,0.000000,106.400000,0.000000,0.000000,22.250000,0.000000,0.000000,7.74,1212.78

68,16:45-17:00,46.620000,0.820000,100.120000,4.840000,0.000000,17.410000,0.000000,95.760000,6.770000,11.120000,0.000000,125.110000,0.000000,50.060000,0.000000,23.150000,25.030000,24.180000,9.100000,96.730000,62.870000,3.52,193.460000,77.380000,0.000000,16.670000,63.120000,24.180000,0.000000,0.000000,106.400000,0.000000,0.000000,22.250000,0.000000,0.000000,7.74,1214.41

69,17:00-17:15,46.620000,0.820000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,2.43,193.460000,77.380000,0.000000,16.760000,63.120000,24.180000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1089.18

70,17:15-17:30,46.620000,0.820000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,1.21,193.460000,77.380000,0.000000,16.760000,63.120000,24.180000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1087.96

71,17:30-17:45,46.620000,0.820000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,0.87,193.460000,77.380000,0.000000,16.760000,63.120000,24.180000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1087.62

72,17:45-18:00,46.620000,0.820000,100.120000,4.840000,0.000000,0.000000,0.000000,95.760000,0.000000,0.000000,0.000000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,0.62,193.460000,77.380000,0.000000,16.760000,63.120000,24.180000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1087.37

73,18:00-18:15,46.620000,0.870000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,0.43,193.460000,77.380000,36.500000,16.850000,63.120000,0.000000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1181.86

74,18:15-18:30,46.620000,0.870000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,0.32,193.460000,77.380000,36.500000,16.850000,63.120000,0.000000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1181.75

75,18:30-18:45,46.620000,0.870000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,0.14,193.460000,77.380000,36.500000,16.850000,63.120000,0.000000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1181.57

76,18:45-19:00,46.620000,0.870000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,0.000000,50.060000,0.000000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,0,193.460000,77.380000,36.500000,16.850000,63.120000,0.000000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1181.43

77,19:00-19:15,46.620000,0.920000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,0.000000,50.060000,22.250000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,0,193.460000,77.380000,36.500000,16.950000,63.120000,0.000000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1203.83

78,19:15-19:30,46.620000,0.920000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,0.000000,50.060000,22.250000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,0,193.460000,77.380000,36.500000,16.950000,63.120000,0.000000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1203.83

79,19:30-19:45,46.620000,0.920000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,0.000000,50.060000,22.250000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,0,193.460000,77.380000,36.500000,16.950000,63.120000,0.000000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1203.83

80,19:45-20:00,46.620000,0.920000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,0.000000,50.060000,22.250000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,0,193.460000,77.380000,36.500000,16.950000,63.120000,0.000000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,0.000000,0.000000,0,1203.83

81,20:00-20:15,46.620000,0.920000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,0.000000,50.060000,22.250000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.030000,63.120000,0.000000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,50.000000,0.000000,0,1253.91

82,20:15-20:30,46.620000,0.920000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,0.000000,50.060000,22.250000,0.000000,25.030000,24.180000,9.100000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.030000,63.120000,0.000000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,50.000000,0.000000,0,1253.91

83,20:30-20:45,46.620000,0.920000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,0.000000,50.060000,22.250000,0.000000,25.030000,24.180000,10.110000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.030000,63.120000,0.000000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,50.000000,0.000000,0,1254.92

84,20:45-21:00,46.620000,0.920000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,0.000000,50.060000,22.250000,0.000000,25.030000,24.180000,10.110000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.030000,63.120000,0.000000,0.000000,0.000000,48.360000,0.000000,0.000000,22.250000,50.000000,0.000000,0,1254.92

85,21:00-21:15,46.620000,0.920000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,10.510000,50.060000,22.250000,0.000000,25.030000,24.180000,10.110000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.130000,63.120000,0.000000,0.000000,0.000000,91.890000,148.000000,0.000000,22.250000,50.000000,0.000000,0,1457.06

86,21:15-21:30,46.620000,0.920000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,10.510000,50.060000,22.250000,0.000000,25.030000,24.180000,10.110000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.130000,63.120000,0.000000,0.000000,0.000000,91.890000,148.000000,0.000000,22.250000,50.000000,0.000000,0,1457.06

87,21:30-21:45,46.620000,0.920000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,10.510000,50.060000,22.250000,0.000000,25.030000,24.180000,10.110000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.130000,63.120000,0.000000,0.000000,0.000000,91.890000,148.000000,0.000000,22.250000,0.000000,0.000000,0,1407.06

88,21:45-22:00,46.620000,0.920000,100.120000,4.840000,0.000000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,10.510000,50.060000,22.250000,0.000000,25.030000,24.180000,10.110000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.130000,63.120000,0.000000,0.000000,0.000000,91.890000,148.000000,0.000000,22.250000,0.000000,0.000000,0,1407.06

89,22:00-22:15,46.620000,0.920000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,10.510000,50.060000,22.250000,23.150000,25.030000,24.180000,10.110000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.220000,63.120000,0.000000,36.850000,0.000000,91.890000,148.000000,0.000000,22.250000,0.000000,0.000000,0,1553.14

90,22:15-22:30,46.620000,0.920000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,10.510000,50.060000,22.250000,23.150000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.220000,63.120000,0.000000,36.850000,0.000000,91.890000,148.000000,0.000000,22.250000,0.000000,0.000000,0,1549.09

91,22:30-22:45,46.620000,0.920000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,10.510000,50.060000,22.250000,23.150000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.220000,63.120000,0.000000,36.850000,0.000000,91.890000,148.000000,0.000000,22.250000,0.000000,0.000000,0,1549.09

92,22:45-23:00,46.620000,0.920000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,10.510000,50.060000,22.250000,23.150000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.220000,63.120000,0.000000,36.850000,0.000000,91.890000,148.000000,0.000000,22.250000,0.000000,0.000000,0,1549.09

93,23:00-23:15,46.620000,0.870000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,10.510000,50.060000,22.250000,23.150000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.310000,63.120000,0.000000,36.850000,0.000000,91.890000,148.000000,0.000000,22.250000,0.000000,0.000000,0,1549.13

94,23:15-23:30,46.620000,0.870000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,10.510000,50.060000,22.250000,23.150000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.310000,63.120000,0.000000,36.850000,0.000000,91.890000,148.000000,0.000000,22.250000,0.000000,0.000000,0,1549.13

95,23:30-23:45,46.620000,0.870000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,10.510000,50.060000,22.250000,23.150000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.310000,63.120000,0.000000,36.850000,0.000000,91.890000,148.000000,0.000000,22.250000,0.000000,0.000000,0,1549.13

96,23:45-24:00,46.620000,0.870000,100.120000,4.840000,85.990000,0.000000,62.870000,95.760000,0.000000,0.000000,19.350000,125.110000,10.510000,50.060000,22.250000,23.150000,25.030000,24.180000,6.060000,96.730000,62.870000,0,193.460000,77.380000,36.500000,17.310000,63.120000,0.000000,36.850000,0.000000,91.890000,148.000000,0.000000,22.250000,0.000000,0.000000,0,1549.13

